bnuber,gene,gene_description,copy_number,growth_rate_hr-1
b3141,"agai, eck3129, jw3110, yrag",galactosamine-6-phosphate isomerase,,0.31
b3142,"yrah, eck3130, fmau, jw3111",predicted fimbrial-like adhesin protein,,0.31
b3143,"yrai, eck3131, jw3112",predicted periplasmic pilin chaperone,,0.31
b3144,"yraj, eck3132, jw3113",predicted outer membrane protein,,0.31
b3145,"yrak, eck3133, fmav, jw3114",predicted fimbrial-like adhesin protein,,0.31
b3146,"yral, eck3134, jw3115",predicted methyltransferase,115,0.31
b3147,"yram, eck3135, jw3116",conserved protein,156,0.31
b3148,"yran, eck3136, jw3117",conserved protein,,0.31
b3149,"diaa, eck3137, jw3118, yrao",dnaa initiator-associating factor for replication initiation,,0.31
b3150,"yrap, ecfh, eck3138, jw3119",predicted protein,370,0.31
b3151,"yraq, eck3139, jw3120",predicted permease,,0.31
b3152,"yrar, eck3140, jw5528",predicted nucleoside-diphosphate-sugar epimerase,,0.31
b3153,"yhbo, eck3141, jw5529",predicted intracellular protease,325,0.31
b3154,"yhbp, eck3142, jw3123",conserved protein,,0.31
b3155,"yhbq, eck3143, jw3124",predicted endonuclease,,0.31
b3156,"yhbs, eck3144, jw3125",predicted acyltransferase with acyl-coa n-acyltransferase domain,903,0.31
b3157,"yhbt, eck3145, jw3126",predicted lipid carrier protein,,0.31
b3158,"yhbu, eck3146, jw3127",predicted peptidase (collagenase-like),,0.31
b3159,"yhbv, eck3147, jw5530",predicted protease,,0.31
b3160,"yhbw, eck3148, jw3129",predicted enzyme,,0.31
b3161,"mtr, eck3149, jw3130",tryptophan transporter of high affinity,,0.31
b3162,"dead, csda, eck3150, jw5531, mssb, rhld",atp-dependent rna helicase,,0.31
b3163,"nlpi, eck3151, jw3132, yhbm",conserved protein,73,0.31
b3164,"pnp, bfl, eck3152, jw5851","polynucleotide phosphorylase/polyadenylase (ec:2,7,7,8)",4557,0.31
b3165,"rpso, eck3154, jw3134, secc",30s ribosomal subunit protein s15,15457,0.31
b3166,"trub, eck3155, jw3135, yhba","trna u55 pseudouridine synthase (ec:4,2,1,70)",,0.31
b3167,"rbfa, eck3156, jw3136, sdr-43, yhbb",30s ribosome binding factor,1428,0.31
b3168,"infb, eck3157, jw3137, ssyg","fused protein chain initiation factor 2, if2: membrane",2367,0.31
b3169,"nusa, eck3158, jw3138",transcription termination/antitermination l factor,3256,0.31
b3170,"rimp, eck3159, jw5533, yhbc",conserved protein,430,0.31
b3171,"mety, eck3160, jwr0071",trna-met,,0.31
b3172,"argg, arg6, arge, eck3161, jw3140","argininosuccinate synthetase (ec:6,3,4,5)",4021,0.31
b3173,"yhbx, eck3162, jw5534","predicted hydrolase, inner membrane",,0.31
b3174,"leuu, eck3163, jwr0072",trna-leu,,0.31
b3175,"secg, eck3164, jw3142, prlh",preprotein translocase membrane subunit,716,0.31
b3176,"glmm, eck3165, jw3143, mrsa, yhbf","phosphoglucosamine mutase (ec:5,4,2,10)",1207,0.31
b3177,"folp, dhps, eck3166, jw3144","7,8-dihydropteroate synthase (ec:2,5,1,15)",,0.31
b3178,"ftsh, eck3167, hflb, jw3145, mrsc, std, tolz","protease, atp-dependent zinc-metallo (ec:3,4,24,-)",1497,0.31
b3179,"rlme, eck3168, ftsj, jw3146, mrsf, rrmj","23s rrna methyltransferase (ec:2,1,1,-)",,0.31
b3180,"yhby, eck3169, jw3147",predicted rna-binding protein,1879,0.31
b3181,"grea, eck3170, jw3148",transcription elongation factor,2583,0.31
b3182,"dacb, eck3171, jw3149","d-alanyl-d-alanine carboxypeptidase (ec:3,4,16,4)",,0.31
b3183,"obge, cgta, eck3172, jw3150, obg, yhbz",gtpase involved in cell partioning and dna repair,866,0.31
b3184,"yhbe, eck3173, jw3151",conserved inner membrane protein,,0.31
b3185,"rpma, eck3174, jw3152, rpz",50s ribosomal subunit protein l27,6892,0.31
b3186,"rplu, eck3175, jw3153",50s ribosomal subunit protein l21,11528,0.31
b3187,"ispb, cel, eck3176, jw3154, yhbd","octaprenyl diphosphate synthase (ec:2,5,1,-)",362,0.31
b3188,"sfsb, eck3177, jw3155, nlp, sfs7",dna-binding transcriptional activator of maltose metabolism,,0.31
b3189,"mura, eck3178, jw3156, mrba, murz","udp-n-acetylglucosamine 1-carboxyvinyltransferase (ec:2,5,1,7)",529,0.31
b3190,"yrba, eck3179, jw3157",predicted dna-binding transcriptional regulator,1178,0.31
b3191,"yrbb, eck3180, jw5535",predicted protein,230,0.31
b3192,"yrbc, eck3181, jw3159",predicted abc-type organic solvent transporter,2395,0.31
b3193,"yrbd, eck3182, jw3160, vpsc",predicted abc-type organic solvent transporter,148,0.31
b3194,"yrbe, eck3183, jw3161, vpsb",predicted toluene transporter subunit: membrane component of abc,,0.31
b3195,"yrbf, eck3184, jw3162, vpsa",predicted toluene transporter subunit: atp-binding component of abc,77,0.31
b3196,"yrbg, eck3185, jw3163",predicted calcium/sodium:proton antiporter,,0.31
b3197,"kdsd, eck3186, jw3164, yrbh","d-arabinose 5-phosphate isomerase (ec:5,3,1,13)",112,0.31
b3198,"kdsc, eck3187, jw3165, yrbi, yrbj","3-deoxy-d-manno-octulosonate 8-phosphate phosphatase (ec:3,1,3,45)",481,0.31
b3199,"lptc, eck3188, jw3166, yrbk",conserved protein,,0.31
b3200,"lpta, eck3189, jw3167, yhbn",periplasmic lps-binding protein,1625,0.31
b3201,"lptb, eck3190, jw3168, yhbg",predicted transporter subunit: atp-binding component of abc,938,0.31
b3202,"rpon, eck3191, glnf, jw3169, ntra","rna polymerase, sigma 54 (sigma n) factor",147,0.31
b3203,"hpf, eck3192, jw3170, yhbh","predicted ribosome-associated, sigma 54 modulation protein",4460,0.31
b3204,"ptsn, eck3193, jw3171, rpop, yhbi","sugar-specific enzyme iia component of pts (ec:2,7,1,69)",979,0.31
b3205,"yhbj, eck3194, jw3172",predicted protein with nucleoside triphosphate hydrolase domain,107,0.31
b3206,"npr, eck3195, jw3173, ptso, rpor, yhbk",phosphohistidinoprotein-hexose phosphotransferase component of,,0.31
b3207,"yrbl, eck3196, jw3174",predicted protein,,0.31
b3208,"mtga, eck3197, jw3175, mgt, yrbm","biosynthetic peptidoglycan transglycosylase (ec:2,4,2,-)",,0.31
b3209,"elbb, eck3198, elb2, jw3176, yhbl, yzzb",isoprenoid biosynthesis protein with amidotransferase-like domain,1637,0.31
b3210,"arcb, eck3200, jw5536",hybrid sensory histidine kinase in two-component regulatory system,134,0.31
b3211,"yhcc, eck3201, jw3178",predicted fe-s oxidoreductase,,0.31
b3212,"gltb, aspb, eck3202, jw3179, ossb, psiq","glutamate synthase, large subunit (ec:1,4,1,13)",1905,0.31
b3213,"gltd, aspb, eck3203, jw3180, ossb, psiq","glutamate synthase, 4fe-4s protein, small subunit (ec:1,4,1,13)",1895,0.31
b3214,"gltf, eck3204, jw3181, ossb",periplasmic protein,,0.31
b3215,"yhca, eck3205, jw3182",predicted periplasmic chaperone protein,,0.31
b3216,"yhcd, eck3206, jw3183",predicted outer membrane protein,,0.31
b3219,"yhcf, eck3208, jw3188",predicted transcriptional regulator,,0.31
b3220,"yhcg, eck3209, jw3189",conserved protein,,0.31
b3221,"yhch, eck3210, jw3190",conserved protein,,0.31
b3222,"nank, eck3211, jw5538, yhci",predicted n-acetylmannosamine kinase,,0.31
b3223,"nane, eck3212, jw3192, yhcj",predicted n-acetylmannosamine-6-p epimerase,,0.31
b3224,"nant, eck3213, jw3193",sialic acid transporter,,0.31
b3225,"nana, eck3214, jw3194, npl","n-acetylneuraminate lyase (ec:4,1,3,3)",,0.31
b3226,"nanr, eck3215, jw3195, yhck",dna-binding transcriptional dual regulator,,0.31
b3227,"dcud, eck3216, jw3196, yhcl",predicted transporter,,0.31
b3228,"sspb, eck3217, jw3197",clpxp protease specificity-enhancing factor,609,0.31
b3229,"sspa, eck3218, jw3198, pog, ssp",stringent starvation protein a,3862,0.31
b3230,"rpsi, eck3219, jw3199",30s ribosomal subunit protein s9,12311,0.31
b3231,"rplm, eck3220, jw3200",50s ribosomal subunit protein l13,19143,0.31
b3232,"yhcm, eck3221, jw3201",conserved protein with nucleoside triphosphate hydrolase domain,,0.31
b3233,"yhcb, eck3222, jw5539",conserved protein,1783,0.31
b3234,"degq, eck3223, hhoa, jw3203","serine endoprotease, periplasmic (ec:3,4,21,-)",1267,0.31
b3235,"degs, eck3224, hhob, htrh, jw3204","serine endoprotease, periplasmic (ec:3,4,21,-)",,0.31
b3236,"mdh, eck3225, jw3205","malate dehydrogenase, nad(p)-binding (ec:1,1,1,37)",37946,0.31
b3237,"argr, eck3226, jw3206, rarg, xera","dna-binding transcriptional dual regulator, l-arginine-binding",,0.31
b3238,"yhcn, eck3227, jw5540",conserved protein,,0.31
b3239,"yhco, eck3228, jw3208",predicted barnase inhibitor,,0.31
b3240,"aaeb, eck3229, jw3209, yhcp",p-hydroxybenzoic acid efflux system component,,0.31
b3241,"aaea, eck3230, jw3210, yhcq",p-hydroxybenzoic acid efflux system component,,0.31
b3242,"aaex, eck3231, jw5541, yhcr",membrane protein of efflux system,,0.31
b3243,"aaer, eck3232, jw3212, qsea, yhcs","predicted dna-binding transcriptional regulator, efflux system",,0.31
b3244,"tldd, eck3233, jw3213, yhdo",predicted peptidase,304,0.31
b3247,"rng, adhr, cafa, eck3235, jw3216, yhdf","ribonuclease g (ec:3,1,4,-)",,0.31
b3248,"yhde, eck3236, jw3217",conserved protein,,0.31
b3249,"mred, eck3237, jw3218",cell wall structural complex mrebcd transmembrane component mred,,0.31
b3250,"mrec, eck3238, jw3219",cell wall structural complex mrebcd transmembrane component mrec,,0.31
b3251,"mreb, eck3239, envb, jw3220, mon, rody","cell wall structural complex mrebcd, actin-like component mreb",2554,0.31
b3252,"csrd, eck3240, jw3221, yhda",conserved inner membrane protein,,0.31
b3253,"yhdh, eck3241, jw3222","predicted oxidoreductase, zn-dependent and nad(p)-binding",1061,0.31
b3255,"accb, eck3242, fabe, jw3223","acetyl coa carboxylase, bccp subunit",2750,0.31
b3256,"accc, eck3243, fabg, jw3224","acetyl-coa carboxylase, biotin carboxylase subunit (ec:6,3,4,14)",1748,0.31
b3257,"yhdt, eck3244, jw3225",conserved inner membrane protein,,0.31
b3258,"panf, eck3245, jw3226",pantothenate:sodium symporter,,0.31
b3259,"prma, eck3246, jw3227, prm-1, yhdi","methylase for 50s ribosomal subunit protein l11 (ec:2,1,1,-)",166,0.31
b3260,"dusb, eck3247, jw3228, yhdg",trna-dihydrouridine synthase b,,0.31
b3261,"fis, eck3248, jw3229, nbp",global dna-binding transcriptional dual regulator,,0.31
b3262,"yhdj, ccrm, eck3249, jw5543",predicted methyltransferase,,0.31
b3263,"yhdu, eck3250, jw3231",predicted membrane protein,,0.31
b3264,"envr, acrs, eck3251, jw3232, yhdk",dna-binding transcriptional regulator,,0.31
b3265,"acre, eck3252, envc, jw3233",cytoplasmic membrane lipoprotein,,0.31
b3266,"acrf, eck3253, envd, jw3234",multidrug efflux system protein,,0.31
b3267,"yhdv, eck3254, jw3235",predicted outer membrane protein,,0.31
b3268,"yhdw, eck3255, jw3236",pseudogene,,0.31
b3269,"yhdx, eck3256, jw5544",predicted amino-acid transporter subunit,,0.31
b3270,"yhdy, eck3257, jw5545",predicted amino-acid transporter subunit,,0.31
b3271,"yhdz, eck3258, jw3239",predicted amino-acid transporter subunit,,0.31
b3273,"thrv, eck3260, jwr0074",trna-thr,,0.31
b3275,"rrld, eck3262, jwr0076",23s ribosomal rna of rrnd operon,,0.31
b3276,"alau, eck3263, jwr0077, tald",trna-ala,,0.31
b3277,"ileu, eck3264, jwr0078, tild",trna-ile,,0.31
b3278,"rrsd, eck3265, jwr0079",16s ribosomal rna of rrnd operon,,0.31
b3279,"yrda, eck3266, jw5710",conserved protein,255,0.31
b3280,"yrdb, eck3267, jw3241",conserved protein,,0.31
b3281,"aroe, eck3268, jw3242","dehydroshikimate reductase, nad(p)-binding (ec:1,1,1,25)",133,0.31
b3282,"rimn, eck3269, jw3243, yrdc",predicted ribosome maturation factor,151,0.31
b3283,"yrdd, eck3270, jw5949",predicted dna topoisomerase,,0.31
b3284,"smg, eck3271, jw3245",conserved protein,,0.31
b3287,"def, eck3273, fms, jw3248","peptide deformylase (ec:3,5,1,88)",926,0.31
b3288,"fmt, eck3274, jw3249, yhdd",10-formyltetrahydrofolate:l-methionyl-trna(fmet) n-formyltransferase,435,0.31
b3289,"rsmb, eck3275, fmu, fmv, jw3250, rrmb, sun, yhdb","16s rrna m(5)c967 methyltransferase,",86,0.31
b3290,"trka, eck3276, jw3251, sapg",nad-binding component of trk potassium transporter,100,0.31
b3291,"mscl, eck3277, jw3252, stka, yhdc",mechanosensitive channel,674,0.31
b3292,"zntr, eck3279, jw3254, yhdm",dna-binding transcriptional activator in response to zn(ii),,0.31
b3293,"yhdn, eck3280, jw3255",conserved protein,,0.31
b3294,"rplq, eck3281, jw3256",50s ribosomal subunit protein l17,12671,0.31
b3295,"rpoa, eck3282, jw3257, pez, phs, sez","rna polymerase, alpha subunit (ec:2,7,7,6)",7835,0.31
b3296,"rpsd, eck3283, jw3258, rama, sud",30s ribosomal subunit protein s4,17929,0.31
b3297,"rpsk, eck3284, jw3259",30s ribosomal subunit protein s11,9024,0.31
b3298,"rpsm, eck3285, jw3260",30s ribosomal subunit protein s13,20235,0.31
b3299,"rpmj, eck3286, jw3261, secx",50s ribosomal subunit protein l36,,0.31
b3300,"secy, eck3287, jw3262, prla",preprotein translocase membrane subunit,643,0.31
b3301,"rplo, eck3288, jw3263",50s ribosomal subunit protein l15,12587,0.31
b3302,"rpmd, eck3289, jw3264",50s ribosomal subunit protein l30,19332,0.31
b3303,"rpse, eck3290, eps, jw3265, spc, spca",30s ribosomal subunit protein s5,17346,0.31
b3304,"rplr, eck3291, jw3266",50s ribosomal subunit protein l18,10076,0.31
b3305,"rplf, eck3292, jw3267",50s ribosomal subunit protein l6,16523,0.31
b3306,"rpsh, eck3293, jw3268",30s ribosomal subunit protein s8,9505,0.31
b3307,"rpsn, eck3294, jw3269",30s ribosomal subunit protein s14,10022,0.31
b3308,"rple, eck3295, jw3270",50s ribosomal subunit protein l5,18281,0.31
b3309,"rplx, eck3296, jw3271",50s ribosomal subunit protein l24,16058,0.31
b3310,"rpln, eck3297, jw3272",50s ribosomal subunit protein l14,10410,0.31
b3311,"rpsq, eck3298, jw3273, neaa",30s ribosomal subunit protein s17,9107,0.31
b3312,"rpmc, eck3299, jw3274",50s ribosomal subunit protein l29,18802,0.31
b3313,"rplp, eck3300, jw3275",50s ribosomal subunit protein l16,18188,0.31
b3314,"rpsc, eck3301, jw3276",30s ribosomal subunit protein s3,19622,0.31
b3315,"rplv, eck3302, eryb, jw3277",50s ribosomal subunit protein l22,21282,0.31
b3316,"rpss, eck3303, jw3278",30s ribosomal subunit protein s19,15136,0.31
b3317,"rplb, eck3304, jw3279",50s ribosomal subunit protein l2,15920,0.31
b3318,"rplw, eck3305, jw3280",50s ribosomal subunit protein l23,8642,0.31
b3319,"rpld, eck3306, erya, jw3281",50s ribosomal subunit protein l4,14276,0.31
b3320,"rplc, eck3307, jw3282",50s ribosomal subunit protein l3,15671,0.31
b3321,"rpsj, eck3308, jw3283, nuse",30s ribosomal subunit protein s10,20149,0.31
b3322,"gspb, eck3309, jw3284, pino, pioo",part of gsp divergon involved in type ii protein secretion,,0.31
b3323,"gspa, eck3310, jw3285, yhed","general secretory pathway component, cryptic",,0.31
b3324,"gspc, eck3311, jw3286, yhee","general secretory pathway component, cryptic",,0.31
b3325,"gspd, eck3312, jw5707, yhef","general secretory pathway component, cryptic",,0.31
b3326,"gspe, eck3313, jw3288, yheg","general secretory pathway component, cryptic",,0.31
b3327,"gspf, eck3314, hoff, hopf, jw3289","general secretory pathway component, cryptic",,0.31
b3328,"gspg, eck3315, hofg, hopg, jw3290","pseudopilin, cryptic, general secretion pathway",,0.31
b3329,"gsph, eck3316, hofh, hoph, jw3291","predicted general secretory pathway component, cryptic",,0.31
b3330,"gspi, eck3317, jw5706, yheh","general secretory pathway component, cryptic",,0.31
b3331,"gspj, eck3318, jw3293, yhei","predicted general secretory pathway component, cryptic",,0.31
b3332,"gspk, eck3319, jw3294, yhej","general secretory pathway component, cryptic",,0.31
b3333,"gspl, eck3320, jw5705, yhek","general secretory pathway component, cryptic",,0.31
b3334,"gspm, eck3321, hopz, jw5704, pshm","general secretory pathway component, cryptic",,0.31
b3335,"gspo, eck3322, hofd, hopd, hopo, jw3297, yhec","bifunctional prepilin leader peptidase/methylase (ec:3,4,23,43",,0.31
b3336,"bfr, eck3323, jw3298","bacterioferritin, iron storage and detoxification protein",5840,0.31
b3337,"bfd, eck3324, jw3299, yhea",bacterioferritin-associated ferredoxin,,0.31
b3338,"chia, eck3325, jw3300, yheb","periplasmic endochitinase (ec:3,2,1,14 3,2,1,17)",,0.31
b3339,"tufa, eck3326, jw3301, kirt, pult",protein chain elongation factor ef-tu (duplicate of tufb),71351,0.31
b3340,"fusa, eck3327, far, fus, jw3302","protein chain elongation factor ef-g, gtp-binding",15264,0.31
b3341,"rpsg, eck3328, jw3303",30s ribosomal subunit protein s7,19484,0.31
b3342,,,5504,0.31
b3343,"yhel, eck3330, jw3305, tusb",predicted intracellular sulfur oxidation protein,,0.31
b3344,"yhem, eck3331, jw3306, tusc",predicted intraceullular sulfur oxidation protein,,0.31
b3345,"yhen, eck3332, jw3307, tusd",predicted intracellular sulfur oxidation protein,,0.31
b3346,"yheo, eck3333, jw5703",predicted dna-binding transcriptional regulator,365,0.31
b3347,"fkpa, eck3334, jw3309, yzzs",fkbp-type peptidyl-prolyl cis-trans isomerase (rotamase),2415,0.31
b3348,"slyx, eck3335, jw3310",conserved protein,414,0.31
b3349,"slyd, eck3336, jw3311",fkbp-type peptidyl prolyl cis-trans isomerase (rotamase),4295,0.31
b3350,"kefb, eck3338, jw3313, trkb",potassium:proton antiporter,,0.31
b3351,"kefg, eck3339, jw3314, yher",component of potassium effux complex with kefb,,0.31
b3352,"yhes, eck3340, jw3315",fused predicted transporter subunits of abc superfamily: atp-binding,,0.31
b3353,"yhet, eck3341, jw3316",predicted hydrolase,,0.31
b3354,"yheu, eck3342, jw3317",conserved protein,,0.31
b3355,"prkb, eck3343, jw3318, yhff",predicted phosphoribulokinase,,0.31
b3356,"yhfa, eck3344, jw3319",conserved protein,285,0.31
b3357,"crp, cap, csm, eck3345, jw5702",dna-binding transcriptional dual regulator,4450,0.31
b3358,"yhfk, eck3346, jw5701",conserved inner membrane protein,,0.31
b3359,"argd, arg1, argg, dapc, dtu, eck3347, jw3322",bifunctional acetylornithine,1944,0.31
b3360,"paba, eck3348, jw3323","aminodeoxychorismate synthase, subunit ii (ec:2,6,1,85)",,0.31
b3361,"fic, eck3349, jw3324","stationary-phase protein, cell division",143,0.31
b3362,"yhfg, eck3350, jw3325",predicted protein,,0.31
b3363,"ppia, eck3351, jw3326, rot","peptidyl-prolyl cis-trans isomerase a (rotamase a) (ec:5,2,1,8)",2127,0.31
b3364,"tsga, eck3352, guts, jw3327, yhfc, yhfh",predicted transporter,,0.31
b3365,"nirb, eck3353, jw3328","nitrite reductase, large subunit, nad(p)h-binding (ec:1,7,1,4)",,0.31
b3366,"nird, eck3354, jw3329","nitrite reductase, nad(p)h-binding, small subunit (ec:1,7,1,4)",,0.31
b3367,"nirc, eck3355, jw3330",nitrite transporter,,0.31
b3368,"cysg, eck3356, jw3331","fused siroheme synthase 1,3-dimethyluroporphyriongen iii",,0.31
b3369,"yhfl, eck3357, jw3332",conserved secreted peptide,,0.31
b3370,"frla, eck3358, jw3333, yhfm",predicted fructoselysine transporter,,0.31
b3371,"frlb, eck3359, jw5700, yhfn",fructoselysine-6-p-deglycase,,0.31
b3374,"frld, eck3361, jw3337, yhfq","fructoselysine 6-kinase (ec:2,7,1,-)",,0.31
b3375,"frlr, eck3362, jw5698, yhfr",predicted dna-binding transcriptional regulator,,0.31
b3376,"yhfs, eck3363, jw3339",conserved protein,,0.31
b3377,"yhft, eck3364, jw3340",predicted inner membrane protein,,0.31
b3378,"yhfu, eck3365, jw5697",predicted protein,,0.31
b3379,"php, eck3366, jw3342, yhfv",predicted hydrolase,,0.31
b3380,"yhfw, eck3367, jw3343",predicted mutase,,0.31
b3381,"yhfx, eck3368, jw3344",predicted amino acid racemase,,0.31
b3382,"yhfy, eck3369, jw5696",conserved protein,,0.31
b3383,"yhfz, eck3370, jw5948",conserved protein,,0.31
b3384,"trps, eck3371, jw3347","tryptophanyl-trna synthetase (ec:6,1,1,2)",1652,0.31
b3385,"gph, eck3372, jw3348, yhfe","phosphoglycolate phosphatase (ec:3,1,3,18)",,0.31
b3386,"rpe, dod, eck3373, jw3349, yhfd","d-ribulose-5-phosphate 3-epimerase (ec:5,1,3,1)",2259,0.31
b3387,"dam, eck3374, jw3350","dna adenine methylase (ec:2,1,1,72)",,0.31
b3388,"damx, eck3375, jw3351, yhfb",predicted protein,290,0.31
b3389,"arob, eck3376, jw3352","3-dehydroquinate synthase (ec:4,2,3,4)",557,0.31
b3390,"arok, eck3377, jw5947","shikimate kinase i (ec:2,7,1,71)",723,0.31
b3391,"hofq, eck3378, hopq, jw3354",predicted fimbrial transporter,,0.31
b3392,"hofp, eck3379, jw5694, yrfa",predicted protein,,0.31
b3393,"hofo, eck3380, jw3356, yrfb",conserved membrane protein,,0.31
b3394,"hofn, eck3381, jw3357, yrfc",predicted fimbrial assembly protein,,0.31
b3395,"hofm, eck3382, jw5693, yrfd",predicted pilus assembly protein,,0.31
b3396,"mrca, eck3383, jw3359, pona",fused penicillin-binding protein 1a: murein transglycosylase/murein,,0.31
b3397,"nude, eck3384, jw3360, yrfe","adp-ribose diphosphatase (ec:3,6,1,-)",,0.31
b3398,"yrff, eck3385, igaa, jw3361, mucm, umob",predicted inner membrane protein,,0.31
b3399,"yrfg, eck3386, jw5865",predicted hydrolase,,0.31
b3400,"hslr, eck3387, jw3363, yrfh",ribosome-associated heat shock protein hsp15,,0.31
b3401,"hslo, eck3388, jw5692, yrfi",heat shock protein hsp33,823,0.31
b3402,"yhge, eck3389, jw3365",predicted inner membrane protein,,0.31
b3403,"pck, eck3390, jw3366, pcka","phosphoenolpyruvate carboxykinase (ec:4,1,1,49)",6480,0.31
b3404,"envz, eck3391, jw3367, ompb, pera, tpo",sensory histidine kinase in two-component regulatory system with,,0.31
b3405,"ompr, eck3392, jw3368, kmt, ompb",dna-binding response regulator in two-component regulatory system,1354,0.31
b3406,"greb, eck3393, jw3369",transcription elongation factor,,0.31
b3407,"yhgf, eck3394, jw3370",predicted transcriptional accessory protein,155,0.31
b3408,"feoa, eck3395, jw3371","ferrous iron transporter, protein a",,0.31
b3409,"feob, eck3396, jw3372","fused ferrous iron transporter, protein b: gtp-binding",,0.31
b3410,"feoc, eck3397, jw3373, yhgg",predicted dna-binding transcriptional regulator,,0.31
b3411,"yhga, eck3398, jw3374",predicted transposase,,0.31
b3412,"bioh, biob, eck3399, jw3375",carboxylesterase of pimeloyl-coa synthesis,,0.31
b3413,"gntx, eck3400, jw5691, yhgh",gluconate periplasmic binding protein with phosphoribosyltransferase,,0.31
b3414,"nfua, eck3401, gnty, jw3377, yhgi",predicted gluconate transport associated protein,3805,0.31
b3415,"gntt, eck3402, gntm, gnttalpha, jw5690, usga, yhgc","gluconate transporter, high-affinity gnt i system",,0.31
b3416,"malq, eck3403, jw3379, mala","4-alpha-glucanotransferase (amylomaltase) (ec:2,4,1,25)",,0.31
b3417,"malp, blu, eck3404, jw5689, mala","maltodextrin phosphorylase (ec:2,4,1,1)",962,0.31
b3418,"malt, eck3405, jw3381, mala",fused conserved protein: dna-binding transcriptional,321,0.31
b3421,"rtcb, eck3407, jw3384, yhgl",conserved protein,,0.31
b3422,"rtcr, eck3408, jw3385, yhgb",sigma 54-dependent transcriptional regulator of rtcba expression,,0.31
b3423,"glpr, eck3409, jw3386",dna-binding transcriptional repressor,275,0.31
b3424,"glpg, eck3410, jw5687",predicted intramembrane serine protease,,0.31
b3425,"glpe, eck3411, jw3388","thiosulfate:cyanide sulfurtransferase (rhodanese) (ec:2,8,1,1)",,0.31
b3426,"glpd, eck3412, glyd, jw3389","sn-glycerol-3-phosphate dehydrogenase, aerobic, fad/nad(p)-binding",,0.31
b3427,"yzgl, eck3413, jw3390",pseudogene,,0.31
b3428,"glgp, eck3414, glgy, jw3391","glycogen phosphorylase (ec:2,4,1,1)",565,0.31
b3429,"glga, eck3415, jw3392","glycogen synthase (ec:2,4,1,21)",908,0.31
b3430,"glgc, eck3416, jw3393","glucose-1-phosphate adenylyltransferase (ec:2,7,7,27)",1155,0.31
b3431,"glgx, eck3417, jw3394","glycogen debranching enzyme (ec:3,2,1,-)",,0.31
b3432,"glgb, eck3418, jw3395","1,4-alpha-glucan branching enzyme (ec:2,4,1,18)",307,0.31
b3433,"asd, dap, eck3419, hom, jw3396","aspartate-semialdehyde dehydrogenase, nad(p)-binding (ec:1,2,1,11)",9950,0.31
b3434,"yhgn, eck3420, jw3397",predicted antibiotic transporter,,0.31
b3437,"gntk, eck3422, jw3400","gluconate kinase 2 (ec:2,7,1,12)",,0.31
b3438,"gntr, eck3423, jw5946",dna-binding transcriptional repressor,298,0.31
b3439,"yhhw, eck3424, jw3402",predicted protein,548,0.31
b3440,"yhhx, eck3425, jw3403",predicted oxidoreductase with nad(p)-binding rossmann-fold domain,374,0.31
b3441,"yhhy, eck3427, jw3405",predicted acetyltransferase,,0.31
b3442,"yhhz, eck3428, jw3406",conserved protein,,0.31
b3443,"yrha, eck3429, jw5864",pseudogene,,0.31
b3446,"yrhb, eck3430, jw3411",predicted protein,,0.31
b3447,"ggt, eck3431, jw3412","gamma-glutamyltranspeptidase (ec:2,3,2,2)",402,0.31
b3448,"yhha, eck3432, jw3413",conserved protein,,0.31
b3449,"ugpq, eck3433, jw3414","glycerophosphodiester phosphodiesterase, cytosolic (ec:3,1,4,46)",191,0.31
b3450,"ugpc, eck3434, jw3415",glycerol-3-phosphate transporter subunit,134,0.31
b3451,"ugpe, eck3435, jw3416",glycerol-3-phosphate transporter subunit,,0.31
b3452,"ugpa, eck3436, jw3417, psib, psic",glycerol-3-phosphate transporter subunit,,0.31
b3453,"ugpb, eck3437, jw3418, psib, psic",glycerol-3-phosphate transporter subunit,874,0.31
b3454,"livf, eck3438, jw3419",leucine/isoleucine/valine transporter subunit,536,0.31
b3455,"livg, eck3439, hrbb, hrbc, hrbd, jw3420",leucine/isoleucine/valine transporter subunit,354,0.31
b3456,"livm, eck3440, jw3421",leucine/isoleucine/valine transporter subunit,,0.31
b3457,"livh, eck3441, hrbb, hrbc, hrbd, jw3422",leucine/isoleucine/valine transporter subunit,,0.31
b3458,"livk, eck3442, hrbb, hrbc, hrbd, jw3423",leucine transporter subunit,2874,0.31
b3459,"yhhk, eck3443, jw3424, livl",conserved protein,,0.31
b3460,"livj, eck3444, hrbb, hrbc, hrbd, jw3425",leucine/isoleucine/valine transporter subunit,28860,0.31
b3461,"rpoh, eck3445, fam, hin, htpr, jw3426","rna polymerase, sigma 32 (sigma h) factor",,0.31
b3462,"ftsx, eck3446, ftss, jw3427",predicted transporter subunit: membrane component of abc superfamily,,0.31
b3463,"ftse, eck3447, jw3428",predicted transporter subunit: atp-binding component of abc,312,0.31
b3464,"ftsy, eck3448, jw3429",fused signal recognition particle (srp) receptor: membrane binding,806,0.31
b3465,"rsmd, eck3449, jw3430, yhhf","16s rrna m(2)g966 methyltransferase, sam-dependent",,0.31
b3466,"yhhl, eck3450, jw5683",conserved inner membrane protein,,0.31
b3467,"yhhm, eck3451, jw3432",conserved protein,,0.31
b3468,"yhhn, eck3452, jw3433",conserved inner membrane protein,,0.31
