cog,gene_name,gene_product
Energy production and conversion,paoC,aldehyde dehydrogenase: molybdenum cofactor-binding subunit
"Post-translational modification, protein turnover, and chaperones",paoD,molybdenum cofactor insertion chaperone PaoD
"Replication, recombination, and repair",parC,DNA topoisomerase IV subunit A
"Replication, recombination, and repair",parE,DNA topoisomerase IV subunit B
Aminio acid transport and metabolism,patA,putrescine aminotransferase
Cell wall/membrane/envelope biogenesis,pbpC,peptidoglycan glycosyltransferase PbpC
Cell wall/membrane/envelope biogenesis,pbpG,peptidoglycan DD-endopeptidase PbpG
Energy production and conversion,pckA,PEPCARBOXYKIN-MONOMER
"Post-translational modification, protein turnover, and chaperones",pcm,L-isoaspartate protein carboxylmethyltransferase type II
"Translation, ribosomal structure, and biogenesis",pcnB,poly(A) polymerase I
Transcription,pdhR,DNA-binding transcriptional dual regulator PdhR
Coenzyme transport and metabolism,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase
General function prediction only,pdxB,erythronate-4-phosphate dehydrogenase
Coenzyme transport and metabolism,pdxH,pyridoxine/pyridoxamine 5'-phosphate oxidase
Coenzyme transport and metabolism,pdxJ,pyridoxine 5'-phosphate synthase
Coenzyme transport and metabolism,pdxK,pyridoxal kinase I
Coenzyme transport and metabolism,pdxY,pyridoxal kinase 2
Aminio acid transport and metabolism,pepA,aminopeptidase A/I
Aminio acid transport and metabolism,pepB,aminopeptidase B
Aminio acid transport and metabolism,pepD,peptidase D
Aminio acid transport and metabolism,pepE,peptidase E
Aminio acid transport and metabolism,pepN,aminopeptidase N
Aminio acid transport and metabolism,pepP,Xaa-Pro aminopeptidase
Aminio acid transport and metabolism,pepQ,Xaa-Pro dipeptidase
Aminio acid transport and metabolism,pepT,peptidase T
Transcription,perR,putative transcriptional regulator PerR
Carbohydrate transport and metabolism,pfkA,6-phosphofructokinase 1
Carbohydrate transport and metabolism,pfkB,6-phosphofructokinase 2
"Post-translational modification, protein turnover, and chaperones",pflA,pyruvate formate-lyase activating enzyme
Energy production and conversion,pflB,pyruvate formate-lyase
Energy production and conversion,pflD,putative formate acetyltransferase 2
Carbohydrate transport and metabolism,pgaB,"poly-β-1,6-N-acetyl-D-glucosamine N-deacetylase and β-1,6 glycoside hydrolase"
No Specific COG Annotation,pgaD,poly-N-acetyl-D-glucosamine synthase subunit PgaD
Carbohydrate transport and metabolism,pgi,glucose-6-phosphate isomerase
Carbohydrate transport and metabolism,pgk,PGK
Carbohydrate transport and metabolism,pgl,6PGLUCONOLACT-MONOMER
Carbohydrate transport and metabolism,pgm,PHOSPHOGLUCMUT-MONOMER
Lipid transport and metabolism,pgpA,phosphatidylglycerophosphatase A
Lipid transport and metabolism,pgpB,phosphatidylglycerophosphatase B
Lipid transport and metabolism,pgsA,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase
Aminio acid transport and metabolism,pheA,fused chorismate mutase/prephenate dehydratase
No Specific COG Annotation,pheL,phe operon leader peptide
No Specific COG Annotation,pheM,pheST-ihfA operon leader peptide
Aminio acid transport and metabolism,pheP,PHEP-MONOMER
"Translation, ribosomal structure, and biogenesis",pheS,phenylalanine-tRNA ligase subunit α
"Translation, ribosomal structure, and biogenesis",pheT,phenylalanine-tRNA ligase subunit β
Transcription,phnA,zinc ribbon domain-containing protein YjdM
General function prediction only,phnB,PF06983 family protein YjdN
Inorganic ion transport and metabolism,phnD,phosphonate/phosphate ABC transporter periplasmic binding protein
No Specific COG Annotation,phnO,aminoalkylphosphonate N-acetyltransferase
Inorganic ion transport and metabolism,phnP,"5-phospho-α-D-ribosyl 1,2-cyclic phosphate phosphodiesterase"
Inorganic ion transport and metabolism,phoA,alkaline phosphatase
Transcription,phoB,"Phosphorylated DNA-binding transcriptional dual regulator PhoB // ""DNA-binding transcriptional dual regulator PhoB"""
Cell wall/membrane/envelope biogenesis,phoE,outer membrane porin PhoE
Signal transduction mechanisms,phoH,ATP-binding protein PhoH
Transcription,phoP,"Phosphorylated DNA-binding transcriptional dual regulator PhoP // ""DNA-binding transcriptional dual regulator PhoP"""
Signal transduction mechanisms,phoQ,sensor histidine kinase PhoQ
Signal transduction mechanisms,phoR,sensor histidine kinase PhoR
Inorganic ion transport and metabolism,phoU,negative regulator of the pho regulon
"Replication, recombination, and repair",phr,deoxyribodipyrimidine photolyase
"Replication, recombination, and repair",pinQ,Qin prophage; putative site-specific recombinase
"Replication, recombination, and repair",pinR,Rac prophage; putative site-specific recombinase
No Specific COG Annotation,pitA,metal phosphate:H+ symporter PitA
No Specific COG Annotation,pitB,metal phosphate:H+ symporter PitB
Cell wall/membrane/envelope biogenesis,pldA,outer membrane phospholipase A
Lipid transport and metabolism,pldB,lysophospholipase L2
No Specific COG Annotation,pliG,inhibitor of g-type lysozyme
Lipid transport and metabolism,plsB,glycerol-3-phosphate 1-O-acyltransferase
Lipid transport and metabolism,plsC,1-acylglycerol-3-phosphate O-acyltransferase
Lipid transport and metabolism,plsX,putative phosphate acyltransferase
Lipid transport and metabolism,plsY,putative glycerol-3-phosphate acyltransferase
General function prediction only,pmbA,metalloprotease PmbA
No Specific COG Annotation,pmrD,signal transduction protein PmrD
General function prediction only,pncA,nicotinamidase
Coenzyme transport and metabolism,pncB,NICOTINATEPRIBOSYLTRANS-MONOMER
Coenzyme transport and metabolism,pncC,NMN aminohydrolase
"Translation, ribosomal structure, and biogenesis",pnp,polynucleotide phosphorylase
Energy production and conversion,pntA,pyridine nucleotide transhydrogenase subunit α
Energy production and conversion,pntB,pyridine nucleotide transhydrogenase subunit β
Coenzyme transport and metabolism,pnuC,PNUC-MONOMER
"Replication, recombination, and repair",polA,DNA polymerase I
"Replication, recombination, and repair",polB,DNA polymerase II
Aminio acid transport and metabolism,potA,spermidine preferential ABC transporter ATP binding subunit
Aminio acid transport and metabolism,potB,spermidine preferential ABC transporter membrane subunit PotB
Aminio acid transport and metabolism,potC,spermidine preferential ABC transporter membrane subunit PotC
Aminio acid transport and metabolism,potD,spermidine preferential ABC transporter periplasmic binding protein
Aminio acid transport and metabolism,potE,putrescine transporter PotE
Aminio acid transport and metabolism,potF,putrescine ABC transporter periplasmic binding protein
Aminio acid transport and metabolism,potG,putrescine ABC transporter ATP binding subunit
Aminio acid transport and metabolism,potH,putrescine ABC transporter membrane subunit PotH
Aminio acid transport and metabolism,potI,putrescine ABC transporter membrane subunit PotI
Aminio acid transport and metabolism,poxB,pyruvate oxidase
Inorganic ion transport and metabolism,ppa,inorganic pyrophosphatase
Energy production and conversion,ppc,phosphoenolpyruvate carboxylase
No Specific COG Annotation,pphA,phosphoprotein phosphatase 1
"Post-translational modification, protein turnover, and chaperones",ppiA,peptidyl-prolyl cis-trans isomerase A
"Post-translational modification, protein turnover, and chaperones",ppiB,peptidyl-prolyl cis-trans isomerase B
No Specific COG Annotation,ppiC,peptidyl-prolyl cis-trans isomerase C
"Post-translational modification, protein turnover, and chaperones",ppiD,periplasmic folding chaperone
Inorganic ion transport and metabolism,ppk,polyphosphate kinase
"Intracellular trafficking, secretion, and vesicular transport",pppA,prepilin peptidase
Carbohydrate transport and metabolism,ppsA,phosphoenolpyruvate synthetase
Signal transduction mechanisms,ppsR,posphoenolpyruvate synthetase regulatory protein
"Secondary metabolites, biosynthesis, transport, and catabolism",pptA,putative 4-oxalocrotonate tautomerase (4-OT)
Inorganic ion transport and metabolism,ppx,exopolyphosphatase
Function unknown,pqiA,intermembrane transport protein PqiA
Function unknown,pqiB,intermembrane transport protein PqiB
General function prediction only,pqqL,putative zinc peptidase
"Post-translational modification, protein turnover, and chaperones",prc,tail-specific protease
Aminio acid transport and metabolism,preT,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
"Translation, ribosomal structure, and biogenesis",prfA,peptide chain release factor RF1
"Translation, ribosomal structure, and biogenesis",prfB,peptide chain release factor RF2
"Translation, ribosomal structure, and biogenesis",prfC,peptide chain release factor RF3
"Replication, recombination, and repair",priA,primosome factor N'
"Replication, recombination, and repair",priB,primosomal replication protein N
"Replication, recombination, and repair",priC,primosomal replication protein N''
Carbohydrate transport and metabolism,prkB,putative phosphoribulokinase
Aminio acid transport and metabolism,prlC,oligopeptidase A
Transcription,prlF,antitoxin PrlF
"Translation, ribosomal structure, and biogenesis",prmA,methyltransferase for 50S ribosomal subunit protein L11
"Translation, ribosomal structure, and biogenesis",prmB,50S ribosomal subunit protein L3 N5-glutamine methyltransferase
"Translation, ribosomal structure, and biogenesis",prmC,EG12424-MONOMER
Aminio acid transport and metabolism,proA,glutamate-5-semialdehyde dehydrogenase
Aminio acid transport and metabolism,proB,glutamate 5-kinase
Aminio acid transport and metabolism,proC,pyrroline-5-carboxylate reductase
Carbohydrate transport and metabolism,proP,osmolyte:H+ symporter ProP
Signal transduction mechanisms,proQ,RNA chaperone ProQ
"Translation, ribosomal structure, and biogenesis",proS,proline-tRNA ligase
Aminio acid transport and metabolism,proV,glycine betaine ABC transporter ATP binding subunit ProV
Aminio acid transport and metabolism,proW,glycine betaine ABC transporter membrane subunit ProW
Aminio acid transport and metabolism,proX,glycine betaine ABC transporter periplasmic binding protein ProX
Aminio acid transport and metabolism,proY,putative transporter ProY
No Specific COG Annotation,prpB,phosphoprotein phosphatase 2
Energy production and conversion,prpC,2-methylcitrate synthase
Carbohydrate transport and metabolism,prpD,G6199-MONOMER
No Specific COG Annotation,prpR,DNA-binding transcriptional dual regulator PrpR
Energy production and conversion,prr,γ-aminobutyraldehyde dehydrogenase
Aminio acid transport and metabolism,prs,ribose-phosphate diphosphokinase
Lipid transport and metabolism,psd,"phosphatidylserine decarboxylase proenzyme // ""phosphatidylserine decarboxylase, β subunit"" // ""phosphatidylserine decarboxylase, α subunit"""
General function prediction only,psiE,putative phosphate starvation-inducible protein PsiE
No Specific COG Annotation,psiF,PsiF family protein
Transcription,pspA,phage shock protein A
No Specific COG Annotation,pspB,phage shock protein B
Transcription,pspC,phage shock protein C
No Specific COG Annotation,pspD,phage shock protein D
Inorganic ion transport and metabolism,pspE,thiosulfate sulfurtransferase PspE
Transcription,pspF,DNA-binding transcriptional dual regulator PspF
No Specific COG Annotation,pspG,phage shock protein G
Lipid transport and metabolism,pssA,phosphatidylserine synthase
Inorganic ion transport and metabolism,pstA,phosphate ABC transporter membrane subunit PstA
Inorganic ion transport and metabolism,pstB,phosphate ABC transporter ATP binding subunit
Inorganic ion transport and metabolism,pstC,phosphate ABC transporter membrane subunit PstC
Inorganic ion transport and metabolism,pstS,phosphate ABC transporter periplasmic binding protein
Nucleotide transport and metabolism,psuG,pseudouridine-5'-phosphate glycosidase
Energy production and conversion,pta,phosphate acetyltransferase
"Translation, ribosomal structure, and biogenesis",pth,peptidyl-tRNA hydrolase
"Post-translational modification, protein turnover, and chaperones",ptrA,protease 3
Aminio acid transport and metabolism,ptrB,oligopeptidase B
Carbohydrate transport and metabolism,ptsG,"EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component"""
Signal transduction mechanisms,ptsH,"HPr - phosphorylated // ""phosphocarrier protein HPr"""
Carbohydrate transport and metabolism,ptsI,PTS enzyme I
Carbohydrate transport and metabolism,ptsa,putative PTS multiphosphoryl transfer protein PtsA
Nucleotide transport and metabolism,purA,adenylosuccinate synthetase
Nucleotide transport and metabolism,purB,adenylosuccinate lyase
Nucleotide transport and metabolism,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase
Nucleotide transport and metabolism,purD,GLYCRIBONUCSYN-MONOMER
Nucleotide transport and metabolism,purE,N5-carboxyaminoimidazole ribonucleotide mutase
Nucleotide transport and metabolism,purF,amidophosphoribosyltransferase
Nucleotide transport and metabolism,purH,bifunctional AICAR transformylase/IMP cyclohydrolase
Nucleotide transport and metabolism,purK,5-(carboxyamino)imidazole ribonucleotide synthase
Nucleotide transport and metabolism,purL,FGAMSYN-MONOMER
Nucleotide transport and metabolism,purM,phosphoribosylformylglycinamide cyclo-ligase
Nucleotide transport and metabolism,purN,phosphoribosylglycinamide formyltransferase 1
Transcription,purR,DNA-binding transcriptional repressor PurR
Nucleotide transport and metabolism,purT,phosphoribosylglycinamide formyltransferase 2
Nucleotide transport and metabolism,purU,formyltetrahydrofolate deformylase
Aminio acid transport and metabolism,putA,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA
Aminio acid transport and metabolism,putP,proline:Na+ symporter
Aminio acid transport and metabolism,puuA,glutamate-putrescine ligase
Aminio acid transport and metabolism,puuB,γ-glutamylputrescine oxidase
Energy production and conversion,puuC,γ-glutamyl-γ-aminobutyraldehyde dehydrogenase
Aminio acid transport and metabolism,puuD,γ-glutamyl-γ-aminobutyrate hydrolase
Aminio acid transport and metabolism,puuE,4-aminobutyrate aminotransferase PuuE
Aminio acid transport and metabolism,puuP,B1296-MONOMER
Transcription,puuR,DNA-binding transcriptional repressor PuuR
Carbohydrate transport and metabolism,pykA,pyruvate kinase II
Carbohydrate transport and metabolism,pykF,pyruvate kinase I
Nucleotide transport and metabolism,pyrB,aspartate carbamoyltransferase catalytic subunit
Nucleotide transport and metabolism,pyrC,dihydroorotase
Nucleotide transport and metabolism,pyrD,"dihydroorotate dehydrogenase, type 2"
Nucleotide transport and metabolism,pyrE,orotate phosphoribosyltransferase
Nucleotide transport and metabolism,pyrF,orotidine-5'-phosphate decarboxylase
Nucleotide transport and metabolism,pyrG,CTP synthetase
Nucleotide transport and metabolism,pyrH,UMP kinase
Nucleotide transport and metabolism,pyrI,"aspartate carbamoyltransferase, PyrI subunit"
No Specific COG Annotation,pyrL,pyrBI operon leader peptide
"Post-translational modification, protein turnover, and chaperones",qmcA,PHB domain-containing protein QmcA
Energy production and conversion,qorA,putative quinone oxidoreductase 1
General function prediction only,qorB,NAD(P)H:quinone oxidoreductase
Transcription,qseB,"Phosphorylated DNA-binding transcriptional activator QseB // ""DNA-binding transcriptional activator QseB"""
Signal transduction mechanisms,qseC,"sensory histidine kinase QseC - phosphorylated // ""sensory histidine kinase QseC"""
Transcription,qseD,DNA-binding transcriptional dual regulator HypT
"Translation, ribosomal structure, and biogenesis",queA,EG10812-MONOMER
"Translation, ribosomal structure, and biogenesis",queC,7-cyano-7-deazaguanine synthase
Coenzyme transport and metabolism,queD,"6-carboxy-5,6,7,8-tetrahydropterin synthase"
General function prediction only,queE,putative 7-carboxy-7-deazaguanine synthase QueE
"Translation, ribosomal structure, and biogenesis",queF,7-cyano-7-deazaguanine reductase
No Specific COG Annotation,quuQ,Qin prophage; putative antitermination protein Q
No Specific COG Annotation,racR,Rac prophage; DNA-binding transcriptional repressor RacR
"Post-translational modification, protein turnover, and chaperones",radA,DNA recombination protein
"Translation, ribosomal structure, and biogenesis",raiA,stationary phase translation inhibitor and ribosome stability factor
Transcription,rapA,RNA polymerase-binding ATPase and RNAP recycling factor
"Replication, recombination, and repair",rarA,recombination factor
Function unknown,rarD,putative transporter RarD
Defense Mechanisms,ratB,putative component of the Rsx system
General function prediction only,ravA,regulatory ATPase RavA
Defense Mechanisms,rbbA,ribosome-associated ATPase
"Translation, ribosomal structure, and biogenesis",rbfA,30S ribosome binding factor
"Translation, ribosomal structure, and biogenesis",rbn,ribonuclease BN
Carbohydrate transport and metabolism,rbsA,ribose ABC transporter ATP binding subunit
Carbohydrate transport and metabolism,rbsB,ribose ABC transporter periplasmic binding protein
Carbohydrate transport and metabolism,rbsC,ribose ABC transporter membrane subunit
Carbohydrate transport and metabolism,rbsD,D-ribose pyranase
Carbohydrate transport and metabolism,rbsK,ribokinase
Transcription,rbsR,DNA-binding transcriptional dual regulator RbsR
Energy production and conversion,rclA,putative pyridine nucleotide-disulfide oxidoreductase RclA
Inorganic ion transport and metabolism,rcnA,Ni2+/Co2+ exporter
Inorganic ion transport and metabolism,rcnB,periplasmic protein involved in nickel/cobalt export
Transcription,rcnR,DNA-binding transcriptional repressor RcnR
Transcription,rcsA,DNA-binding transcriptional activator RcsA
Transcription,rcsB,"Pasp56 RcsB // ""DNA-binding transcriptional activator RcsB"""
Signal transduction mechanisms,rcsC,"RcsC-phospho-L-aspartate // ""RcsC-N-phospho-L-histidine"" // ""histidine kinase RcsC"""
Signal transduction mechanisms,rcsD,"RcsD-N-phospho-L-histidine // ""RcsD phosphotransferase"""
No Specific COG Annotation,rcsF,sensor lipoprotein RcsF
Nucleotide transport and metabolism,rdgB,dITP/XTP pyrophosphatase
"Replication, recombination, and repair",rdgC,nucleoid-associated protein RdgC
"Replication, recombination, and repair",recA,DNA recombination/repair protein RecA
"Replication, recombination, and repair",recB,exodeoxyribonuclease V subunit RecB
"Replication, recombination, and repair",recC,exodeoxyribonuclease V subunit RecC
"Replication, recombination, and repair",recD,exodeoxyribonuclease V subunit RecD
No Specific COG Annotation,recE,"Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific"
"Replication, recombination, and repair",recF,DNA repair protein RecF
"Replication, recombination, and repair",recG,ATP-dependent DNA helicase RecG
"Replication, recombination, and repair",recJ,ssDNA-specific exonuclease RecJ
"Replication, recombination, and repair",recN,DNA repair protein RecN
"Replication, recombination, and repair",recO,DNA repair protein RecO
"Replication, recombination, and repair",recQ,ATP-dependent DNA helicase RecQ
"Replication, recombination, and repair",recR,DNA repair protein RecR
"Replication, recombination, and repair",recT,Rac prophage; recombinase RecT
"Post-translational modification, protein turnover, and chaperones",recX,RecA inhibitor RecX
Transcription,relA,GDP/GTP pyrophosphokinase
Defense Mechanisms,relB,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB
Defense Mechanisms,relE,Qin prophage; mRNA interferase toxin RelE
"Replication, recombination, and repair",rep,ATP-dependent DNA helicase Rep
Cell wall/membrane/envelope biogenesis,rfaB,"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"
Cell wall/membrane/envelope biogenesis,rfaC,ADP-heptose:LPS heptosyltransferase 1
Cell wall/membrane/envelope biogenesis,rfaF,ADP-heptose-LPS heptosyltransferase 2
Cell wall/membrane/envelope biogenesis,rfaG,lipopolysaccharide glucosyltransferase I
Transcription,rfaH,transcription antiterminator RfaH
Cell wall/membrane/envelope biogenesis,rfaI,"UDP-D-glucose:(glucosyl)LPS α-1,3-glucosyltransferase"
Cell wall/membrane/envelope biogenesis,rfaJ,"UDP-glucose:(glucosyl)LPS α-1,2-glucosyltransferase"
Cell wall/membrane/envelope biogenesis,rfaL,O-antigen ligase
No Specific COG Annotation,rfaP,lipopolysaccharide core heptose (I) kinase
Cell wall/membrane/envelope biogenesis,rfaQ,lipopolysaccharide core heptosyltransferase 3
No Specific COG Annotation,rfaS,lipopolysaccharide core biosynthesis protein WaaS
No Specific COG Annotation,rfaY,lipopolysaccharide core heptose (II) kinase
No Specific COG Annotation,rfaZ,lipopolysaccharide core biosynthesis protein WaaZ
Cell wall/membrane/envelope biogenesis,rfbB,"dTDP-glucose 4,6-dehydratase 1"
Cell wall/membrane/envelope biogenesis,rfbC,DTDPDEHYDRHAMEPIM-MONOMER
Cell wall/membrane/envelope biogenesis,rfbX,polyisoprenol-linked O-antigen repeat unit flippase
No Specific COG Annotation,rfc,putative O-antigen polymerase
Cell wall/membrane/envelope biogenesis,rffA,dTDP-4-dehydro-6-deoxy-D-glucose transaminase
No Specific COG Annotation,rffC,TDPFUCACTRANS-MONOMER
Cell wall/membrane/envelope biogenesis,rffG,"dTDP-glucose 4,6-dehydratase 2"
Cell wall/membrane/envelope biogenesis,rffH,dTDP-glucose pyrophosphorylase 2
Cell wall/membrane/envelope biogenesis,rffM,UDPMANACATRANS-MONOMER
Carbohydrate transport and metabolism,rhaA,L-rhamnose isomerase
Carbohydrate transport and metabolism,rhaD,rhamnulose-1-phosphate aldolase
No Specific COG Annotation,rhaS,DNA-binding transcriptional activator RhaS
"Replication, recombination, and repair",rhlB,ATP-dependent RNA helicase RhlB
"Replication, recombination, and repair",rhlE,ATP-dependent RNA helicase RhlE
Transcription,rho,transcription termination factor Rho
General function prediction only,rhsD,protein RhsD
Aminio acid transport and metabolism,rhtA,L-threonine/L-homoserine exporter
Aminio acid transport and metabolism,rhtB,L-homoserine/L-homoserine lactone/L-threonine exporter
Aminio acid transport and metabolism,rhtC,L-threonine exporter
Coenzyme transport and metabolism,ribA,GTP cyclohydrolase 2
Coenzyme transport and metabolism,ribB,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
Coenzyme transport and metabolism,ribC,riboflavin synthase
Coenzyme transport and metabolism,ribD,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase
Coenzyme transport and metabolism,ribF,bifunctional riboflavin kinase / FMN adenylyltransferase
Defense Mechanisms,ridA,"enamine/imine deaminase, redox-regulated chaperone"
Nucleotide transport and metabolism,rihA,pyrimidine-specific ribonucleoside hydrolase RihA
Nucleotide transport and metabolism,rihC,ribonucleoside hydrolase RihC
"Translation, ribosomal structure, and biogenesis",rimI,protein N-acetyltransferase RimI
"Translation, ribosomal structure, and biogenesis",rimJ,EG10851-MONOMER
"Translation, ribosomal structure, and biogenesis",rimK,ribosomal protein S6 modification protein
"Translation, ribosomal structure, and biogenesis",rimL,ribosomal-protein-L12-serine N-acetyltransferase
"Translation, ribosomal structure, and biogenesis",rimM,ribosome maturation factor RimM
"Translation, ribosomal structure, and biogenesis",rimO,ribosomal protein S12 methylthiotransferase RimO
"Translation, ribosomal structure, and biogenesis",rimP,ribosome maturation factor RimP
No Specific COG Annotation,rlmA,23S rRNA m1G745 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmB,23S rRNA 2'-O-ribose G2251 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmD,23S rRNA m5U1939 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmE,23S rRNA 2'-O-ribose U2552 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmF,23S rRNA m6A1618 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmG,23S rRNA m2G1835 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmH,23S rRNA m3Ψ1915 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmI,23S rRNA m5C1962 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmJ,23S rRNA m6A2030 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmL,fused 23S rRNA m2G2445 methyltransferase and 23S rRNA m7G2069 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmM,23S rRNA 2'-O-ribose C2498 methyltransferase
"Translation, ribosomal structure, and biogenesis",rlmN,23S rRNA m2A2503 methyltransferase/tRNA m2A37 methyltransferase
Cell wall/membrane/envelope biogenesis,rlpA,rare lipoprotein RlpA
"Translation, ribosomal structure, and biogenesis",rluA,23S rRNA pseudouridine746 and tRNA pseudouridine32 synthase
"Translation, ribosomal structure, and biogenesis",rluB,23S rRNA pseudouridine2605 synthase
"Translation, ribosomal structure, and biogenesis",rluC,23S rRNA pseudouridine955/2504/2580 synthase
"Translation, ribosomal structure, and biogenesis",rluD,23S rRNA pseudouridine1911/1915/1917 synthase
"Translation, ribosomal structure, and biogenesis",rluE,23S rRNA pseudouridine2457 synthase
"Translation, ribosomal structure, and biogenesis",rluF,23S rRNA pseudouridine2604 and tRNATyr pseudouridine35 synthase
"Translation, ribosomal structure, and biogenesis",rmf,ribosome modulation factor
Cell wall/membrane/envelope biogenesis,rmlA,dTDP-glucose pyrophosphorylase
"Replication, recombination, and repair",rmuC,putative recombination limiting protein RmuC
"Translation, ribosomal structure, and biogenesis",rna,RNase I
Transcription,rnb,RNase II
Transcription,rnc,RNase III
"Translation, ribosomal structure, and biogenesis",rnd,RNase D
"Translation, ribosomal structure, and biogenesis",rne,ribonuclease E
"Translation, ribosomal structure, and biogenesis",rng,RNase G
"Replication, recombination, and repair",rnhA,ribonuclease HI
"Replication, recombination, and repair",rnhB,RNase HII
Transcription,rnk,nucleoside diphosphate kinase regulator
No Specific COG Annotation,rnlA,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system"
"Translation, ribosomal structure, and biogenesis",rnpA,RNase P protein component
Transcription,rnr,RNase R
"Replication, recombination, and repair",rnt,RNase T
Transcription,rob,DNA-binding transcriptional dual regulator Rob
"Cell cycle control, cell division, chromosome partitioning",rodZ,transmembrane component of cytoskeleton
Transcription,rof,modulator of Rho-dependent transcription termination
Carbohydrate transport and metabolism,rpe,RIBULP3EPIM-MONOMER
"Translation, ribosomal structure, and biogenesis",rph,truncated RNase PH
Carbohydrate transport and metabolism,rpiA,ribose-5-phosphate isomerase A
Carbohydrate transport and metabolism,rpiB,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B
Transcription,rpiR,DNA-binding transcriptional repressor AlsR
"Translation, ribosomal structure, and biogenesis",rplA,50S ribosomal subunit protein L1
"Translation, ribosomal structure, and biogenesis",rplB,50S ribosomal subunit protein L2
"Translation, ribosomal structure, and biogenesis",rplC,50S ribosomal subunit protein L3
"Translation, ribosomal structure, and biogenesis",rplD,50S ribosomal subunit protein L4
"Translation, ribosomal structure, and biogenesis",rplE,50S ribosomal subunit protein L5
"Translation, ribosomal structure, and biogenesis",rplF,50S ribosomal subunit protein L6
"Translation, ribosomal structure, and biogenesis",rplI,50S ribosomal subunit protein L9
"Translation, ribosomal structure, and biogenesis",rplJ,50S ribosomal subunit protein L10
"Translation, ribosomal structure, and biogenesis",rplK,50S ribosomal subunit protein L11
"Translation, ribosomal structure, and biogenesis",rplL,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12"""
"Translation, ribosomal structure, and biogenesis",rplM,50S ribosomal subunit protein L13
"Translation, ribosomal structure, and biogenesis",rplN,50S ribosomal subunit protein L14
"Translation, ribosomal structure, and biogenesis",rplO,50S ribosomal subunit protein L15
"Translation, ribosomal structure, and biogenesis",rplP,50S ribosomal subunit protein L16
"Translation, ribosomal structure, and biogenesis",rplQ,50S ribosomal subunit protein L17
"Translation, ribosomal structure, and biogenesis",rplR,50S ribosomal subunit protein L18
"Translation, ribosomal structure, and biogenesis",rplS,50S ribosomal subunit protein L19
"Translation, ribosomal structure, and biogenesis",rplT,50S ribosomal subunit protein L20
"Translation, ribosomal structure, and biogenesis",rplU,50S ribosomal subunit protein L21
"Translation, ribosomal structure, and biogenesis",rplV,50S ribosomal subunit protein L22
"Translation, ribosomal structure, and biogenesis",rplW,50S ribosomal subunit protein L23
"Translation, ribosomal structure, and biogenesis",rplX,50S ribosomal subunit protein L24
"Translation, ribosomal structure, and biogenesis",rplY,50S ribosomal subunit protein L25
"Translation, ribosomal structure, and biogenesis",rpmA,50S ribosomal subunit protein L27
"Translation, ribosomal structure, and biogenesis",rpmB,50S ribosomal subunit protein L28
"Translation, ribosomal structure, and biogenesis",rpmC,50S ribosomal subunit protein L29
"Translation, ribosomal structure, and biogenesis",rpmD,50S ribosomal subunit protein L30
"Translation, ribosomal structure, and biogenesis",rpmE,50S ribosomal subunit protein L31
"Translation, ribosomal structure, and biogenesis",rpmF,50S ribosomal subunit protein L32
"Translation, ribosomal structure, and biogenesis",rpmG,50S ribosomal subunit protein L33
"Translation, ribosomal structure, and biogenesis",rpmH,50S ribosomal subunit protein L34
"Translation, ribosomal structure, and biogenesis",rpmI,50S ribosomal subunit protein L35
"Translation, ribosomal structure, and biogenesis",rpmJ,50S ribosomal subunit protein L36
Transcription,rpoA,RNA polymerase subunit α
Transcription,rpoB,RNA polymerase subunit β
Transcription,rpoC,RNA polymerase subunit β'
Transcription,rpoD,"RNA polymerase, sigma 70 (sigma D) factor"
Transcription,rpoE,RNA polymerase sigma E factor
Transcription,rpoH,"RNA polymerase, sigma 32 (sigma H) factor"
Transcription,rpoN,"RNA polymerase, sigma 54 (sigma N) factor"
Transcription,rpoS,"RNA polymerase, sigma S (sigma 38) factor"
