cog,complex,complex_annotation,func,gene_name
Lipid transport and metabolism,CFA-CPLX,cyclopropane fatty acyl phospholipid synthase,cyclopropane fatty acyl phospholipid synthase,cfa
Aminio acid transport and metabolism,CYSTATHIONINE-BETA-LYASE-CPLX,cystathionine β-lyase / L-cysteine desulfhydrase / alanine racemase,cystathionine β-lyase / L-cysteine desulfhydrase / alanine racemase,metC
Aminio acid transport and metabolism,CPLX0-248,cysteine desulfurase,cysteine desulfurase,iscS
Aminio acid transport and metabolism,CPLX0-7838,cysteine sulfinate desulfinase,cysteine sulfinate desulfinase,csdA
Aminio acid transport and metabolism,ACSERLYA-CPLX,O-acetylserine sulfhydrylase A,O-acetylserine sulfhydrylase A,cysK
Aminio acid transport and metabolism,ACSERLYB-CPLX,cysteine synthase B,cysteine synthase B,cysM
Aminio acid transport and metabolism,CYSSYNMULTI-CPLX,serine acetyltransferase,serine acetyltransferase,cysE
Aminio acid transport and metabolism,CYSSYNMULTI-CPLX,O-acetylserine sulfhydrylase A,O-acetylserine sulfhydrylase A,cysK
Aminio acid transport and metabolism,CPLX0-8152,cystine ABC transporter ATP binding subunit,cystine ABC transporter ATP binding subunit,yecC
Aminio acid transport and metabolism,CPLX0-8152,cystine ABC transporter membrane subunit,cystine ABC transporter membrane subunit,yecS
Signal transduction mechanisms,CPLX0-8152,cystine ABC transporter periplasmic binding protein,cystine ABC transporter periplasmic binding protein,fliY
Nucleotide transport and metabolism,CYTIDEAM-CPLX,cytidine/deoxycytidine deaminase,cytidine/deoxycytidine deaminase,cdd
Energy production and conversion,CYT-D-UBIOX-CPLX,cytochrome bd-I ubiquinol oxidase subunit I,cytochrome bd-I ubiquinol oxidase subunit I,cydA
Energy production and conversion,CYT-D-UBIOX-CPLX,cytochrome bd-I ubiquinol oxidase subunit II,cytochrome bd-I ubiquinol oxidase subunit II,cydB
Function unknown,CYT-D-UBIOX-CPLX,cytochrome bd-I ubiquinol oxidase subunit CydX,cytochrome bd-I ubiquinol oxidase subunit CydX,ybgT
Energy production and conversion,APP-UBIOX-CPLX,cytochrome bd-II ubiquinol oxidase subunit II,cytochrome bd-II ubiquinol oxidase subunit II,appB
Energy production and conversion,APP-UBIOX-CPLX,cytochrome bd-II ubiquinol oxidase subunit I,cytochrome bd-II ubiquinol oxidase subunit I,appC
Energy production and conversion,CYT-O-UBIOX-CPLX,cytochrome bo3 ubiquinol oxidase subunit 2,cytochrome bo3 ubiquinol oxidase subunit 2,cyoA
Energy production and conversion,CYT-O-UBIOX-CPLX,cytochrome bo3 ubiquinol oxidase subunit 1,cytochrome bo3 ubiquinol oxidase subunit 1,cyoB
Energy production and conversion,CYT-O-UBIOX-CPLX,cytochrome bo3 ubiquinol oxidase subunit 3,cytochrome bo3 ubiquinol oxidase subunit 3,cyoC
Energy production and conversion,CYT-O-UBIOX-CPLX,cytochrome bo3 ubiquinol oxidase subunit 4,cytochrome bo3 ubiquinol oxidase subunit 4,cyoD
General function prediction only,CPLX0-7932,cytosine/isoguanine deaminase,cytosine/isoguanine deaminase,codA
General function prediction only,CPLX0-7625,dCMP phosphohydrolase,dCMP phosphohydrolase,yfbR
Nucleotide transport and metabolism,DCTP-DEAM-CPLX,dCTP deaminase,dCTP deaminase,dcd
Nucleotide transport and metabolism,DGTPTRIPHYDRO-CPLX,dGTP triphosphohydrolase,dGTP triphosphohydrolase,dgt
Nucleotide transport and metabolism,CPLX0-7826,dITP/XTP pyrophosphatase,dITP/XTP pyrophosphatase,rdgB
No Specific COG Annotation,CPLX0-7990,TDPFUCACTRANS-MONOMER,TDPFUCACTRANS-MONOMER,rffC
Cell wall/membrane/envelope biogenesis,DTDPGLUCDEHYDRAT-CPLX,"dTDP-glucose 4,6-dehydratase 1","dTDP-glucose 4,6-dehydratase 1",rfbB
Cell wall/membrane/envelope biogenesis,CPLX0-8012,dTDP-glucose pyrophosphorylase 2,dTDP-glucose pyrophosphorylase 2,rffH
Cell wall/membrane/envelope biogenesis,CPLX0-8034,dTDP-glucose pyrophosphorylase,dTDP-glucose pyrophosphorylase,rmlA
Nucleotide transport and metabolism,CPLX0-8260,DTMPKI-MONOMER,DTMPKI-MONOMER,tmk
Nucleotide transport and metabolism,DUTP-PYROP-CPLX,dUTP diphosphatase,dUTP diphosphatase,dut
Carbohydrate transport and metabolism,CPLX0-2381,enolase,enolase,eno
"Translation, ribosomal structure, and biogenesis",CPLX0-2381,polynucleotide phosphorylase,polynucleotide phosphorylase,pnp
"Translation, ribosomal structure, and biogenesis",CPLX0-2381,ribonuclease E,ribonuclease E,rne
"Replication, recombination, and repair",CPLX0-2381,ATP-dependent DNA helicase Rep,ATP-dependent DNA helicase Rep,rep
Inorganic ion transport and metabolism,CPLX0-2381,polyphosphate kinase,polyphosphate kinase,ppk
Coenzyme transport and metabolism,DETHIOBIOTIN-SYN-CPLX,dethiobiotin synthetase,dethiobiotin synthetase,bioD
Lipid transport and metabolism,DIACYLGLYKIN-CPLX,diacylglycerol kinase,diacylglycerol kinase,dgkA
Aminio acid transport and metabolism,DIAMINOPIMDECARB-CPLX,diaminopimelate decarboxylase,diaminopimelate decarboxylase,lysA
Aminio acid transport and metabolism,CPLX0-7997,diaminopimelate epimerase,diaminopimelate epimerase,dapF
Signal transduction mechanisms,CPLX0-8090,diguanylate cyclase DgcM,diguanylate cyclase DgcM,ydaM
Signal transduction mechanisms,CPLX0-7802,diguanylate cyclase DgcZ,diguanylate cyclase DgcZ,ydeH
Signal transduction mechanisms,CPLX0-8218,diguanylate cyclase DosC,diguanylate cyclase DosC,dosC
Energy production and conversion,E2O,"SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""","SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""",sucB
Coenzyme transport and metabolism,CPLX0-3936,dihydroneopterin aldolase,dihydroneopterin aldolase,folB
Coenzyme transport and metabolism,FOLXTET-CPLX,dihydroneopterin triphosphate 2'-epimerase,dihydroneopterin triphosphate 2'-epimerase,folX
Nucleotide transport and metabolism,DIHYDROOROT-CPLX,dihydroorotase,dihydroorotase,pyrC
Coenzyme transport and metabolism,H2PTEROATESYNTH-CPLX,dihydropteroate synthase,dihydropteroate synthase,folP
Aminio acid transport and metabolism,DIHYDROXYACIDDEHYDRAT-CPLX,dihydroxy-acid dehydratase,dihydroxy-acid dehydratase,ilvD
Carbohydrate transport and metabolism,CPLX0-2081,dihydroxyacetone kinase subunit K,dihydroxyacetone kinase subunit K,dhaK
No Specific COG Annotation,CPLX0-2081,dihydroxyacetone kinase subunit L,dihydroxyacetone kinase subunit L,dhaL
No Specific COG Annotation,CPLX0-2081,dihydroxyacetone kinase subunit M,dihydroxyacetone kinase subunit M,dhaM
No Specific COG Annotation,CPLX0-8206,dihydroxyacetone kinase subunit M,dihydroxyacetone kinase subunit M,dhaM
"Replication, recombination, and repair",CPLX0-2423,DNA topoisomerase IV subunit A,DNA topoisomerase IV subunit A,parC
Energy production and conversion,DIMESULFREDUCT-CPLX,dimethyl sulfoxide reductase subunit A,dimethyl sulfoxide reductase subunit A,dmsA
Energy production and conversion,DIMESULFREDUCT-CPLX,dimethyl sulfoxide reductase subunit B,dimethyl sulfoxide reductase subunit B,dmsB
Energy production and conversion,DIMESULFREDUCT-CPLX,dimethyl sulfoxide reductase subunit C,dimethyl sulfoxide reductase subunit C,dmsC
Aminio acid transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter periplasmic binding protein,dipeptide ABC transporter periplasmic binding protein,dppA
Aminio acid transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter ATP binding subunit DppF,dipeptide ABC transporter ATP binding subunit DppF,dppF
Inorganic ion transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter membrane subunit DppB,dipeptide ABC transporter membrane subunit DppB,dppB
Inorganic ion transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter membrane subunit DppC,dipeptide ABC transporter membrane subunit DppC,dppC
Inorganic ion transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter ATP binding subunit DppD,dipeptide ABC transporter ATP binding subunit DppD,dppD
"Post-translational modification, protein turnover, and chaperones",CPLX0-7806,disulfide reductase,disulfide reductase,yfcG
"Post-translational modification, protein turnover, and chaperones",CPLX0-7917,disulfide reductase / organic hydroperoxide reductase,disulfide reductase / organic hydroperoxide reductase,yghU
"Cell cycle control, cell division, chromosome partitioning",ABC-54-CPLX,cell division protein FtsE,cell division protein FtsE,ftsE
"Cell cycle control, cell division, chromosome partitioning",ABC-54-CPLX,cell division protein FtsX,cell division protein FtsX,ftsX
Defense Mechanisms,CPLX0-1881,"enamine/imine deaminase, redox-regulated chaperone","enamine/imine deaminase, redox-regulated chaperone",ridA
Cell wall/membrane/envelope biogenesis,CPLX0-1923,Ton complex subunit TonB,Ton complex subunit TonB,tonB
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1923,Ton complex subunit ExbB,Ton complex subunit ExbB,exbB
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1923,Ton complex subunit ExbD,Ton complex subunit ExbD,exbD
Carbohydrate transport and metabolism,ENOLASE-CPLX,enolase,enolase,eno
Lipid transport and metabolism,CPLX0-8006,enoyl-[acyl-carrier-protein] reductase,enoyl-[acyl-carrier-protein] reductase,fabI
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTMULTI-CPLX,"2,3-dihydroxybenzoate-AMP ligase","2,3-dihydroxybenzoate-AMP ligase",entE
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTMULTI-CPLX,"seryl-[EntF peptidyl-carrier protein] // ""holo [EntF peptidyl-carrier protein]"" // ""apo-serine activating enzyme""","seryl-[EntF peptidyl-carrier protein] // ""holo [EntF peptidyl-carrier protein]"" // ""apo-serine activating enzyme""",entF
General function prediction only,CPLX0-8212,erythronate-4-phosphate dehydrogenase,erythronate-4-phosphate dehydrogenase,pdxB
Carbohydrate transport and metabolism,CPLX0-8015,ethanol dehydrogenase / alcohol dehydrogenase,ethanol dehydrogenase / alcohol dehydrogenase,adhP
Aminio acid transport and metabolism,ETHAMLY-CPLX,ethanolamine ammonia-lyase subunit α,ethanolamine ammonia-lyase subunit α,eutB
Aminio acid transport and metabolism,ETHAMLY-CPLX,ethanolamine ammonia-lyase subunit β,ethanolamine ammonia-lyase subunit β,eutC
"Replication, recombination, and repair",UVRABC-CPLX,excision nuclease subunit A,excision nuclease subunit A,uvrA
"Replication, recombination, and repair",UVRABC-CPLX,excision nuclease subunit B,excision nuclease subunit B,uvrB
"Replication, recombination, and repair",UVRABC-CPLX,excision nuclease subunit C,excision nuclease subunit C,uvrC
"Replication, recombination, and repair",RECBCD,exodeoxyribonuclease V subunit RecB,exodeoxyribonuclease V subunit RecB,recB
"Replication, recombination, and repair",RECBCD,exodeoxyribonuclease V subunit RecC,exodeoxyribonuclease V subunit RecC,recC
"Replication, recombination, and repair",RECBCD,exodeoxyribonuclease V subunit RecD,exodeoxyribonuclease V subunit RecD,recD
"Replication, recombination, and repair",CPLX-3946,exodeoxyribonuclease VII subunit XseA,exodeoxyribonuclease VII subunit XseA,xseA
"Replication, recombination, and repair",CPLX-3946,exodeoxyribonuclease VII subunit XseB,exodeoxyribonuclease VII subunit XseB,xseB
Inorganic ion transport and metabolism,PPX-CPLX,exopolyphosphatase,exopolyphosphatase,ppx
Lipid transport and metabolism,FADB-CPLX,"dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase","dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",fadB
Lipid transport and metabolism,FADA-CPLX,3-ketoacyl-CoA thiolase,3-ketoacyl-CoA thiolase,fadA
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter periplasmic binding protein,ferric citrate ABC transporter periplasmic binding protein,fecB
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter membrane subunit FecC,ferric citrate ABC transporter membrane subunit FecC,fecC
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter membrane subunit FecD,ferric citrate ABC transporter membrane subunit FecD,fecD
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter ATP binding subunit,ferric citrate ABC transporter ATP binding subunit,fecE
Cell wall/membrane/envelope biogenesis,CPLX0-1943,Ton complex subunit TonB,Ton complex subunit TonB,tonB
Inorganic ion transport and metabolism,CPLX0-1943,ferric citrate outer membrane transporter,ferric citrate outer membrane transporter,fecA
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1943,Ton complex subunit ExbB,Ton complex subunit ExbB,exbB
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1943,Ton complex subunit ExbD,Ton complex subunit ExbD,exbD
Cell wall/membrane/envelope biogenesis,CPLX0-7952,Ton complex subunit TonB,Ton complex subunit TonB,tonB
Inorganic ion transport and metabolism,CPLX0-7952,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,fhuE
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7952,Ton complex subunit ExbB,Ton complex subunit ExbB,exbB
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7952,Ton complex subunit ExbD,Ton complex subunit ExbD,exbD
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter periplasmic binding protein,ferric enterobactin ABC transporter periplasmic binding protein,fepB
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter ATP binding subunit,ferric enterobactin ABC transporter ATP binding subunit,fepC
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter membrane subunit FebD,ferric enterobactin ABC transporter membrane subunit FebD,fepD
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter membrane subunit FepG,ferric enterobactin ABC transporter membrane subunit FepG,fepG
Cell wall/membrane/envelope biogenesis,CPLX0-1941,Ton complex subunit TonB,Ton complex subunit TonB,tonB
Inorganic ion transport and metabolism,CPLX0-1941,ferric enterobactin outer membrane transporter,ferric enterobactin outer membrane transporter,fepA
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1941,Ton complex subunit ExbB,Ton complex subunit ExbB,exbB
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1941,Ton complex subunit ExbD,Ton complex subunit ExbD,exbD
Cell wall/membrane/envelope biogenesis,CPLX0-1942,Ton complex subunit TonB,Ton complex subunit TonB,tonB
Inorganic ion transport and metabolism,CPLX0-1942,ferrichrome outer membrane transporter/phage receptor,ferrichrome outer membrane transporter/phage receptor,fhuA
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1942,Ton complex subunit ExbB,Ton complex subunit ExbB,exbB
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1942,Ton complex subunit ExbD,Ton complex subunit ExbD,exbD
Inorganic ion transport and metabolism,CPLX0-3969,ferritin iron storage protein,ferritin iron storage protein,ftnA
Cell motility,CPLX0-3401,type 1 fimbriae major subunit,type 1 fimbriae major subunit,fimA
Cell motility,CPLX0-3401,type 1 fimbriae minor subunit FimF,type 1 fimbriae minor subunit FimF,fimF
Cell motility,CPLX0-3401,type 1 fimbriae minor subunit FimG,type 1 fimbriae minor subunit FimG,fimG
No Specific COG Annotation,CPLX0-3401,type 1 fimbriae D-mannose specific adhesin,type 1 fimbriae D-mannose specific adhesin,fimH
Cell motility,CPLX0-7451,flagellar biosynthesis protein FlhA,flagellar biosynthesis protein FlhA,flhA
Cell motility,CPLX0-7451,flagellar basal-body protein FliE,flagellar basal-body protein FliE,fliE
Cell motility,CPLX0-7451,flagellar biosynthesis protein FliJ,flagellar biosynthesis protein FliJ,fliJ
Cell motility,CPLX0-7451,flagellar motor switch protein FliM,flagellar motor switch protein FliM,fliM
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7451,flagellar biosynthesis protein FliH,flagellar biosynthesis protein FliH,flih
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar basal-body rod protein FlgB,flagellar basal-body rod protein FlgB,flgB
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar basal-body rod protein FlgC,flagellar basal-body rod protein FlgC,flgC
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar basal-body rod protein FlgF,flagellar basal-body rod protein FlgF,flgF
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar basal-body rod protein FlgG,flagellar basal-body rod protein FlgG,flgG
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar L-ring protein,flagellar L-ring protein,flgH
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar P-ring protein,flagellar P-ring protein,flgI
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar basal-body protein FliE,flagellar basal-body protein FliE,fliE
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor switch protein FliG,flagellar motor switch protein FliG,fliG
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar protein FliL,flagellar protein FliL,fliL
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor switch protein FliM,flagellar motor switch protein FliM,fliM
Cell motility,FLAGELLAR-MOTOR-COMPLEX,motility protein A,motility protein A,mota
"Intracellular trafficking, secretion, and vesicular transport",FLAGELLAR-MOTOR-COMPLEX,flagellar basal-body MS-ring and collar protein,flagellar basal-body MS-ring and collar protein,fliF
"Intracellular trafficking, secretion, and vesicular transport",FLAGELLAR-MOTOR-COMPLEX,flagellar motor switch protein FliN,flagellar motor switch protein FliN,fliN
Cell motility,CPLX0-7450,flagellar motor switch protein FliG,flagellar motor switch protein FliG,fliG
Cell motility,CPLX0-7450,flagellar motor switch protein FliM,flagellar motor switch protein FliM,fliM
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7450,flagellar motor switch protein FliN,flagellar motor switch protein FliN,fliN
Cell motility,CPLX0-7452,flagellar basal-body rod protein FlgB,flagellar basal-body rod protein FlgB,flgB
Cell motility,CPLX0-7452,flagellar basal-body rod protein FlgC,flagellar basal-body rod protein FlgC,flgC
Cell motility,CPLX0-7452,flagellar hook protein FlgE,flagellar hook protein FlgE,flgE
Cell motility,CPLX0-7452,flagellar basal-body rod protein FlgF,flagellar basal-body rod protein FlgF,flgF
Cell motility,CPLX0-7452,flagellar basal-body rod protein FlgG,flagellar basal-body rod protein FlgG,flgG
Cell motility,CPLX0-7452,flagellar L-ring protein,flagellar L-ring protein,flgH
Cell motility,CPLX0-7452,flagellar P-ring protein,flagellar P-ring protein,flgI
Cell motility,CPLX0-7452,flagellar hook-filament junction protein 1,flagellar hook-filament junction protein 1,flgK
Cell motility,CPLX0-7452,flagellar hook-filament junction protein 2,flagellar hook-filament junction protein 2,flgL
Cell motility,CPLX0-7452,flagellar biosynthesis protein FlhA,flagellar biosynthesis protein FlhA,flhA
Cell motility,CPLX0-7452,flagellar filament structural protein,flagellar filament structural protein,fliC
Cell motility,CPLX0-7452,flagellar filament capping protein,flagellar filament capping protein,fliD
Cell motility,CPLX0-7452,flagellar basal-body protein FliE,flagellar basal-body protein FliE,fliE
Cell motility,CPLX0-7452,flagellar motor switch protein FliG,flagellar motor switch protein FliG,fliG
Cell motility,CPLX0-7452,flagellar biosynthesis protein FliJ,flagellar biosynthesis protein FliJ,fliJ
Cell motility,CPLX0-7452,flagellar protein FliL,flagellar protein FliL,fliL
Cell motility,CPLX0-7452,flagellar motor switch protein FliM,flagellar motor switch protein FliM,fliM
Cell motility,CPLX0-7452,motility protein A,motility protein A,mota
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7452,flagellar basal-body MS-ring and collar protein,flagellar basal-body MS-ring and collar protein,fliF
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7452,flagellar motor switch protein FliN,flagellar motor switch protein FliN,fliN
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7452,flagellar biosynthesis protein FliH,flagellar biosynthesis protein FliH,flih
Inorganic ion transport and metabolism,CPLX0-7843,formate channel FocA,formate channel FocA,focA
Energy production and conversion,FORMATEDEHYDROGN-CPLX,formate dehydrogenase N subunit α,formate dehydrogenase N subunit α,fdnG
Energy production and conversion,ALPHA-SUBUNIT-CPLX,formate dehydrogenase N subunit α,formate dehydrogenase N subunit α,fdnG
Energy production and conversion,FORMATEDEHYDROGO-CPLX,formate dehydrogenase O subunit α,formate dehydrogenase O subunit α,fdoG
Energy production and conversion,FORMATEDEHYDROGO-CPLX,formate dehydrogenase O subunit β,formate dehydrogenase O subunit β,fdoH
Energy production and conversion,FORMATEDEHYDROGO-CPLX,formate dehydrogenase O subunit γ,formate dehydrogenase O subunit γ,fdoI
"Post-translational modification, protein turnover, and chaperones",CPLX0-7724,formate dehydrogenase formation protein,formate dehydrogenase formation protein,fdhE
Energy production and conversion,FHLMULTI-CPLX,formate hydrogenlyase subunit HycE,formate hydrogenlyase subunit HycE,hycE
Energy production and conversion,FHLMULTI-CPLX,formate hydrogenlyase subunit HycG,formate hydrogenlyase subunit HycG,hycG
No Specific COG Annotation,FHLMULTI-CPLX,formate dehydrogenase H,formate dehydrogenase H,fdhF
Lipid transport and metabolism,CPLX0-1142,formyl-CoA transferase,formyl-CoA transferase,frc
Nucleotide transport and metabolism,FORMYLTHFDEFORMYL-CPLX,formyltetrahydrofolate deformylase,formyltetrahydrofolate deformylase,purU
Signal transduction mechanisms,CPLX0-8217,free methionine-(R)-sulfoxide reductase,free methionine-(R)-sulfoxide reductase,msrC
Carbohydrate transport and metabolism,F16B-CPLX,"fructose-1,6-bisphosphatase 1","fructose-1,6-bisphosphatase 1",fbp
Carbohydrate transport and metabolism,CPLX0-303,"fructose-1,6-bisphosphatase 2","fructose-1,6-bisphosphatase 2",glpX
Carbohydrate transport and metabolism,CPLX0-201,fructose-6-phosphate aldolase 1,fructose-6-phosphate aldolase 1,fsaA
Carbohydrate transport and metabolism,FRUCBISALD-CLASSI,fructose-bisphosphate aldolase class I,fructose-bisphosphate aldolase class I,fbaB
Carbohydrate transport and metabolism,FRUCBISALD-CLASSII,fructose-bisphosphate aldolase class II,fructose-bisphosphate aldolase class II,fbaA
Carbohydrate transport and metabolism,CPLX-158,fructose-specific PTS multiphosphoryl transfer protein FruA,fructose-specific PTS multiphosphoryl transfer protein FruA,fruA
Signal transduction mechanisms,CPLX-158,"FruB - his299 phosphorylated // ""fructose-specific PTS multiphosphoryl transfer protein FruB""","FruB - his299 phosphorylated // ""fructose-specific PTS multiphosphoryl transfer protein FruB""",fruB
Carbohydrate transport and metabolism,CPLX0-3861,fructoselysine 3-epimerase,fructoselysine 3-epimerase,frlC
Cell wall/membrane/envelope biogenesis,CPLX0-821,fructoselysine 6-phosphate deglycase,fructoselysine 6-phosphate deglycase,frlB
Energy production and conversion,FUMARASE-A,fumarase A,fumarase A,fumA
Energy production and conversion,FUMARASE-B,fumarase B,fumarase B,fumB
Energy production and conversion,FUMARASE-C,fumarase C,fumarase C,fumC
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase flavoprotein subunit,fumarate reductase flavoprotein subunit,frdA
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase iron-sulfur protein,fumarate reductase iron-sulfur protein,frdB
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase membrane protein FrdC,fumarate reductase membrane protein FrdC,frdC
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase membrane protein FrdD,fumarate reductase membrane protein FrdD,frdD
Coenzyme transport and metabolism,CPLX0-341,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,coaBC
Aminio acid transport and metabolism,PUTA-CPLX,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,putA
Cell wall/membrane/envelope biogenesis,NAG1P-URIDYLTRANS-CPLX,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,glmU
Aminio acid transport and metabolism,ASPKINIHOMOSERDEHYDROGI-CPLX,fused aspartate kinase/homoserine dehydrogenase 1,fused aspartate kinase/homoserine dehydrogenase 1,thrA
Aminio acid transport and metabolism,ASPKINIIHOMOSERDEHYDROGII-CPLX,fused aspartate kinase/homoserine dehydrogenase 2,fused aspartate kinase/homoserine dehydrogenase 2,metL
Aminio acid transport and metabolism,CHORISMUTPREPHENDEHYDRAT-CPLX,fused chorismate mutase/prephenate dehydratase,fused chorismate mutase/prephenate dehydratase,pheA
Aminio acid transport and metabolism,CHORISMUTPREPHENDEHYDROG-CPLX,fused chorismate mutase/prephenate dehydrogenase,fused chorismate mutase/prephenate dehydrogenase,tyrA
Coenzyme transport and metabolism,CPLX0-7659,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,ribD
Aminio acid transport and metabolism,GSP-CPLX,fused glutathionylspermidine amidase / glutathionylspermidine synthetase,fused glutathionylspermidine amidase / glutathionylspermidine synthetase,gss
Cell wall/membrane/envelope biogenesis,CPLX0-3661,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,hldE
Aminio acid transport and metabolism,CPLX0-8186,galactitol-1-phosphate 5-dehydrogenase,galactitol-1-phosphate 5-dehydrogenase,gatD
Carbohydrate transport and metabolism,CPLX0-231,galactitol-specific PTS enzyme IIB component,galactitol-specific PTS enzyme IIB component,gatB
Signal transduction mechanisms,CPLX0-231,galactitol-specific PTS enzyme IIA component,galactitol-specific PTS enzyme IIA component,gatA
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter putative membrane subunit YjtF,galactofuranose ABC transporter putative membrane subunit YjtF,yjfF
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter periplasmic binding protein,galactofuranose ABC transporter periplasmic binding protein,ytfQ
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter putative ATP binding subunit,galactofuranose ABC transporter putative ATP binding subunit,ytfR
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter putative membrane subunit YtfT,galactofuranose ABC transporter putative membrane subunit YtfT,ytfT
Carbohydrate transport and metabolism,GALACTURIDYLYLTRANS-CPLX,galactose-1-phosphate uridylyltransferase,galactose-1-phosphate uridylyltransferase,galT
General function prediction only,GALACTOACETYLTRAN-CPLX,galactoside O-acetyltransferase,galactoside O-acetyltransferase,lacA
Carbohydrate transport and metabolism,GLUCOSAMINE-6-P-DEAMIN-CPLX,glucosamine-6-phosphate deaminase,glucosamine-6-phosphate deaminase,nagB
No Specific COG Annotation,GLUCOSE-1-PHOSPHAT-CPLX,glucose-1-phosphatase,glucose-1-phosphatase,agp
Carbohydrate transport and metabolism,GLUC1PADENYLTRANS-CPLX,glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,glgC
Carbohydrate transport and metabolism,CPLX0-7877,glucose-6-phosphate isomerase,glucose-6-phosphate isomerase,pgi
Carbohydrate transport and metabolism,CPLX-157,Enzyme IIAGlc,Enzyme IIAGlc,crr
