cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Poorly Characterized,Function unknown,Function unknown,UPF0135 protein ybgI ,ybgI,response to ionizing radiation,GO:0010212,P0AFP6
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Dihydrofolate reductase folM ,folM,one-carbon metabolic process,GO:0006730,P0AFS3
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Inner membrane amino-acid ABC transporter permease protein yecS ,yecS,L-cystine transport,GO:0015811,P0AFT2
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Inner membrane amino-acid ABC transporter permease protein yecS ,yecS,sulfur utilization,GO:0006791,P0AFT2
Information Storage and Processing,Transcription,Transcription,Uncharacterized response regulatory protein yehT ,yehT,phosphorelay signal transduction system,GO:0000160,P0AFT5
Information Storage and Processing,Transcription,Transcription,Uncharacterized response regulatory protein yehT ,yehT,"regulation of transcription, DNA-templated",GO:0006355,P0AFT5
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Riboflavin synthase alpha chain ,ribC,riboflavin biosynthetic process,GO:0009231,P0AFU8
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein spr ,mepS,capsule polysaccharide biosynthetic process,GO:0045227,P0AFV4
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein spr ,mepS,cell wall organization,GO:0071555,P0AFV4
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein spr ,mepS,peptidoglycan metabolic process,GO:0000270,P0AFV4
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein spr ,mepS,peptidoglycan turnover,GO:0009254,P0AFV4
Information Storage and Processing,Transcription,Transcription,Transcriptional activator rfaH ,rfaH,positive regulation of translation,GO:0045727,P0AFW0
Information Storage and Processing,Transcription,Transcription,Transcriptional activator rfaH ,rfaH,transcription antitermination,GO:0031564,P0AFW0
Information Storage and Processing,Transcription,Transcription,Transcriptional activator rfaH ,rfaH,transcription elongation from bacterial-type RNA polymerase promoter,GO:0001124,P0AFW0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome modulation factor ,rmf,negative regulation of translation in response to stress,GO:0032055,P0AFW2
Information Storage and Processing,Transcription,Transcription,Regulator of nucleoside diphosphate kinase ,rnk,"DNA-templated transcription, elongation",GO:0006354,P0AFW4
Information Storage and Processing,Transcription,Transcription,Regulator of nucleoside diphosphate kinase ,rnk,"regulation of DNA-templated transcription, elongation",GO:0032784,P0AFW4
Information Storage and Processing,Transcription,Transcription,Protein rof ,rof,"regulation of DNA-templated transcription, termination",GO:0031554,P0AFW8
Information Storage and Processing,Transcription,Transcription,Protein rof ,rof,transcription antitermination,GO:0031564,P0AFW8
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Probable sigma(54) modulation protein ,hpf,negative regulation of translation,GO:0017148,P0AFX0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Probable sigma(54) modulation protein ,hpf,negative regulation of translational elongation,GO:0045900,P0AFX0
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Probable sigma(54) modulation protein ,hpf,primary metabolic process,GO:0044238,P0AFX0
Information Storage and Processing,Transcription,Transcription,Regulator of sigma D ,rsd,"regulation of transcription, DNA-templated",GO:0006355,P0AFX4
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sigma-E factor regulatory protein rseB ,rseB,regulation of polysaccharide biosynthetic process,GO:0032885,P0AFX9
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Protein sbmA ,sbmA,microcin B17 transport,GO:0042885,P0AFY6
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Protein sbmA ,sbmA,microcin transport,GO:0042884,P0AFY6
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Protein sbmA ,sbmA,peptide transport,GO:0015833,P0AFY6
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Protein sbmA ,sbmA,protein transport,GO:0015031,P0AFY6
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Protein sbmA ,sbmA,response to antibiotic,GO:0046677,P0AFY6
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Protein sbmA ,sbmA,toxin transport,GO:1901998,P0AFY6
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein seqA ,seqA,negative regulation of DNA-dependent DNA replication initiation,GO:0032297,P0AFY8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein seqA ,seqA,nucleoid organization,GO:0090143,P0AFY8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein seqA ,seqA,protein homotetramerization,GO:0051289,P0AFY8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein seqA ,seqA,"regulation of transcription, DNA-templated",GO:0006355,P0AFY8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein seqA ,seqA,response to radiation,GO:0009314,P0AFY8
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein seqA ,seqA,sister chromatid cohesion,GO:0007062,P0AFY8
Poorly Characterized,General function prediction only,General function prediction only,Stringent starvation protein B ,sspB,positive regulation of ATPase activity,GO:0032781,P0AFZ3
Poorly Characterized,General function prediction only,General function prediction only,Stringent starvation protein B ,sspB,positive regulation of protein catabolic process,GO:0045732,P0AFZ3
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipopolysaccharide biosynthesis protein wzzE ,wzzE,enterobacterial common antigen biosynthetic process,GO:0009246,P0AG00
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipopolysaccharide biosynthesis protein wzzE ,wzzE,lipopolysaccharide biosynthetic process,GO:0009103,P0AG00
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,3-octaprenyl-4-hydroxybenzoate carboxy-lyase ,ubiX,coenzyme biosynthetic process,GO:0009108,P0AG03
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,3-octaprenyl-4-hydroxybenzoate carboxy-lyase ,ubiX,ubiquinone biosynthetic process,GO:0006744,P0AG03
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable protease sohB ,sohB,proteolysis,GO:0006508,P0AG14
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Amidophosphoribosyltransferase ,purF,'de novo' IMP biosynthetic process,GO:0006189,P0AG16
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Amidophosphoribosyltransferase ,purF,glutamine metabolic process,GO:0006541,P0AG16
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Amidophosphoribosyltransferase ,purF,nucleoside metabolic process,GO:0009116,P0AG16
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Amidophosphoribosyltransferase ,purF,purine nucleobase biosynthetic process,GO:0009113,P0AG16
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Amidophosphoribosyltransferase ,purF,purine nucleotide biosynthetic process,GO:0006164,P0AG16
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,N5-carboxyaminoimidazole ribonucleotide mutase ,purE,'de novo' IMP biosynthetic process,GO:0006189,P0AG18
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,GTP pyrophosphokinase ,relA,guanosine tetraphosphate biosynthetic process,GO:0015970,P0AG20
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,GTP pyrophosphokinase ,relA,guanosine tetraphosphate metabolic process,GO:0015969,P0AG20
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,GTP pyrophosphokinase ,relA,nucleobase-containing small molecule interconversion,GO:0015949,P0AG20
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,GTP pyrophosphokinase ,relA,response to starvation,GO:0042594,P0AG20
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Bifunctional (p)ppGpp synthase/hydrolase SpoT ,spoT,guanosine tetraphosphate biosynthetic process,GO:0015970,P0AG24
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Bifunctional (p)ppGpp synthase/hydrolase SpoT ,spoT,guanosine tetraphosphate metabolic process,GO:0015969,P0AG24
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Bifunctional (p)ppGpp synthase/hydrolase SpoT ,spoT,nucleobase-containing small molecule interconversion,GO:0015949,P0AG24
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Bifunctional (p)ppGpp synthase/hydrolase SpoT ,spoT,response to starvation,GO:0042594,P0AG24
Information Storage and Processing,Transcription,Transcription,Transcription termination factor Rho ,rho,"DNA-templated transcription, termination",GO:0006353,P0AG30
Information Storage and Processing,Transcription,Transcription,Transcription termination factor Rho ,rho,"transcription, DNA-templated",GO:0006351,P0AG30
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Riboflavin biosynthesis protein ribF ,ribF,FAD biosynthetic process,GO:0006747,P0AG40
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Riboflavin biosynthesis protein ribF ,ribF,FMN biosynthetic process,GO:0009398,P0AG40
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Riboflavin biosynthesis protein ribF ,ribF,riboflavin biosynthetic process,GO:0009231,P0AG40
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L17 ,rplQ,ribosomal large subunit assembly,GO:0000027,P0AG44
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L17 ,rplQ,translation,GO:0006412,P0AG44
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L21 ,rplU,translation,GO:0006412,P0AG48
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L30 ,rpmD,ribosomal large subunit assembly,GO:0000027,P0AG51
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L30 ,rpmD,translation,GO:0006412,P0AG51
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L6 ,rplF,cytoplasmic translation,GO:0002181,P0AG55
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L6 ,rplF,response to antibiotic,GO:0046677,P0AG55
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L6 ,rplF,ribosomal large subunit assembly,GO:0000027,P0AG55
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S14 ,rpsN,ribosomal small subunit assembly,GO:0000028,P0AG59
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S14 ,rpsN,translation,GO:0006412,P0AG59
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S17 ,rpsQ,response to antibiotic,GO:0046677,P0AG63
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S17 ,rpsQ,ribosomal small subunit assembly,GO:0000028,P0AG63
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S17 ,rpsQ,translation,GO:0006412,P0AG63
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S1 ,rpsA,negative regulation of cytoplasmic translation,GO:2000766,P0AG67
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S1 ,rpsA,ribosomal small subunit assembly,GO:0000028,P0AG67
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S1 ,rpsA,translation,GO:0006412,P0AG67
Poorly Characterized,Function unknown,Function unknown,DNA recombination protein rmuC ,rmuC,DNA recombination,GO:0006310,P0AG71
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Nuclease sbcCD subunit D ,sbcD,DNA recombination,GO:0006310,P0AG76
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Nuclease sbcCD subunit D ,sbcD,DNA repair,GO:0006281,P0AG76
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Nuclease sbcCD subunit D ,sbcD,DNA replication,GO:0006260,P0AG76
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Sulfate-binding protein ,sbp,sulfate transport,GO:0008272,P0AG78
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Sulfate-binding protein ,sbp,sulfur compound metabolic process,GO:0006790,P0AG78
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,sn-glycerol-3-phosphate-binding periplasmic protein ugpB ,ugpB,glycerol-3-phosphate transmembrane transport,GO:0015794,P0AG80
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,sn-glycerol-3-phosphate-binding periplasmic protein ugpB ,ugpB,glycerophosphodiester transmembrane transport,GO:0001407,P0AG80
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate-binding protein pstS ,pstS,cellular response to DNA damage stimulus,GO:0006974,P0AG82
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate-binding protein pstS ,pstS,phosphate ion transmembrane transport,GO:0035435,P0AG82
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate-binding protein pstS ,pstS,phosphate ion transport,GO:0006817,P0AG82
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate-binding protein pstS ,pstS,regulation of phosphatase activity,GO:0010921,P0AG82
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate-binding protein pstS ,pstS,response to radiation,GO:0009314,P0AG82
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Uncharacterized oxidoreductase yghA ,yghA,oxidation-reduction process,GO:0055114,P0AG84
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,chaperone-mediated protein transport,GO:0072321,P0AG86
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,protein folding,GO:0006457,P0AG86
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,protein localization,GO:0008104,P0AG86
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,protein targeting,GO:0006605,P0AG86
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,protein tetramerization,GO:0051262,P0AG86
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,protein transport,GO:0015031,P0AG86
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,protein transport by the Sec complex,GO:0043952,P0AG86
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secD ,secD,intracellular protein transmembrane transport,GO:0065002,P0AG90
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secD ,secD,protein targeting,GO:0006605,P0AG90
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secD ,secD,protein transport,GO:0015031,P0AG90
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secD ,secD,protein transport by the Sec complex,GO:0043952,P0AG90
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secF ,secF,intracellular protein transmembrane transport,GO:0065002,P0AG93
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secF ,secF,protein targeting,GO:0006605,P0AG93
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secF ,secF,protein transport,GO:0015031,P0AG93
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secF ,secF,protein transport by the Sec complex,GO:0043952,P0AG93
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecE ,secE,intracellular protein transmembrane transport,GO:0065002,P0AG96
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecE ,secE,intracellular protein transport,GO:0006886,P0AG96
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecE ,secE,protein insertion into membrane from inner side,GO:0032978,P0AG96
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecE ,secE,protein secretion,GO:0009306,P0AG96
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecE ,secE,protein transport by the Sec complex,GO:0043952,P0AG96
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecE ,secE,"SRP-dependent cotranslational protein targeting to membrane, translocation",GO:0006616,P0AG96
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein SecG ,secG,intracellular protein transmembrane transport,GO:0065002,P0AG99
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein SecG ,secG,intracellular protein transport,GO:0006886,P0AG99
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein SecG ,secG,protein insertion into membrane from inner side,GO:0032978,P0AG99
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein SecG ,secG,protein secretion,GO:0009306,P0AG99
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein SecG ,secG,protein transport by the Sec complex,GO:0043952,P0AG99
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein SecG ,secG,"SRP-dependent cotranslational protein targeting to membrane, translocation",GO:0006616,P0AG99
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecY ,secY,intracellular protein transmembrane transport,GO:0065002,P0AGA2
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecY ,secY,intracellular protein transport,GO:0006886,P0AGA2
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecY ,secY,protein insertion into membrane from inner side,GO:0032978,P0AGA2
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecY ,secY,protein transport by the Sec complex,GO:0043952,P0AGA2
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecY ,secY,"SRP-dependent cotranslational protein targeting to membrane, translocation",GO:0006616,P0AGA2
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Transcriptional regulatory protein uhpA ,uhpA,phosphorelay signal transduction system,GO:0000160,P0AGA6
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Transcriptional regulatory protein uhpA ,uhpA,"regulation of transcription, DNA-templated",GO:0006355,P0AGA6
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Phosphoserine phosphatase ,serB,cellular amino acid biosynthetic process,GO:0008652,P0AGB0
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Phosphoserine phosphatase ,serB,dephosphorylation,GO:0016311,P0AGB0
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Phosphoserine phosphatase ,serB,L-serine biosynthetic process,GO:0006564,P0AGB0
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma-E factor ,rpoE,"DNA-templated transcription, initiation",GO:0006352,P0AGB6
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma-E factor ,rpoE,"regulation of transcription, DNA-templated",GO:0006355,P0AGB6
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma-E factor ,rpoE,response to osmotic stress,GO:0006970,P0AGB6
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma-E factor ,rpoE,response to temperature stimulus,GO:0009266,P0AGB6
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Hexose phosphate transport protein ,uhpT,carbohydrate transport,GO:0008643,P0AGC0
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Hexose phosphate transport protein ,uhpT,glucose-6-phosphate transport,GO:0015760,P0AGC0
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Hexose phosphate transport protein ,uhpT,hexose phosphate transport,GO:0015712,P0AGC0
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Soluble lytic murein transglycosylase ,slt,cell wall organization,GO:0071555,P0AGC3
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Soluble lytic murein transglycosylase ,slt,peptidoglycan catabolic process,GO:0009253,P0AGC3
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Cu-Zn] ,sodC,removal of superoxide radicals,GO:0019430,P0AGD1
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Cu-Zn] ,sodC,superoxide metabolic process,GO:0006801,P0AGD1
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Fe] ,sodB,oxidation-reduction process,GO:0055114,P0AGD3
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Fe] ,sodB,removal of superoxide radicals,GO:0019430,P0AGD3
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Fe] ,sodB,response to superoxide,GO:0000303,P0AGD3
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Fe] ,sodB,superoxide metabolic process,GO:0006801,P0AGD3
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Signal recognition particle protein ,ffh,protein targeting to membrane,GO:0006612,P0AGD7
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Signal recognition particle protein ,ffh,SRP-dependent cotranslational protein targeting to membrane,GO:0006614,P0AGD7
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Single-stranded DNA-binding protein ,ssb,DNA replication,GO:0006260,P0AGE0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Single-stranded DNA-binding protein ,ssb,mismatch repair,GO:0006298,P0AGE0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Single-stranded DNA-binding protein ,ssb,positive regulation of catalytic activity,GO:0043085,P0AGE0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Single-stranded DNA-binding protein ,ssb,positive regulation of helicase activity,GO:0051096,P0AGE0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Single-stranded DNA-binding protein ,ssb,recombinational repair,GO:0000725,P0AGE0
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Single-stranded DNA-binding protein ,ssb,SOS response,GO:0009432,P0AGE0
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine/threonine transporter sstT ,sstT,amino acid transport,GO:0006865,P0AGE4
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine/threonine transporter sstT ,sstT,serine transport,GO:0032329,P0AGE4
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine/threonine transporter sstT ,sstT,threonine transport,GO:0015826,P0AGE4
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein yieF ,yieF,xenobiotic metabolic process,GO:0006805,P0AGE6
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit alpha ,sucD,nucleoside triphosphate biosynthetic process,GO:0009142,P0AGE9
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit alpha ,sucD,protein autophosphorylation,GO:0046777,P0AGE9
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit alpha ,sucD,succinate metabolic process,GO:0006105,P0AGE9
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit alpha ,sucD,succinyl-CoA metabolic process,GO:0006104,P0AGE9
Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit alpha ,sucD,tricarboxylic acid cycle,GO:0006099,P0AGE9
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized sufE-like protein ygdK ,csdE,cyclic threonylcarbamoyladenosine biosynthetic process,GO:0061504,P0AGF2
Not Assigned,Not Assigned,Not Assigned,D-xylose-proton symporter ,xylE,D-xylose transmembrane transport,GO:0015753,P0AGF4
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Thiamine-monophosphate kinase ,thiL,thiamine biosynthetic process,GO:0009228,P0AGG0
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Thiamine-monophosphate kinase ,thiL,thiamine diphosphate biosynthetic process,GO:0009229,P0AGG0
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Acyl-CoA thioesterase 2 ,tesB,acyl-CoA metabolic process,GO:0006637,P0AGG2
