annotation,cog_id,cog_letter,gene_name
D-alanine-D-alanine ligase and related ATP-grasp enzymes,COG1181,M,ddlA
D-alanine-D-alanine ligase and related ATP-grasp enzymes,COG1181,M,ddlB
Acyl carrier protein phosphodiesterase,COG1182,I,acpD
Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase),COG1185,J,pnp
Protein chain release factor B,COG1186,J,prfB
Protein chain release factor B,COG1186,J,prfH
Protein chain release factor B,COG1186,J,yaeJ
16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases,COG1187,J,rsuA
16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases,COG1187,J,yciL
16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases,COG1187,J,yjbC
16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases,COG1187,J,ymfC
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog),COG1188,J,yrfH
Lysyl-tRNA synthetase (class II),COG1190,J,lysS
Lysyl-tRNA synthetase (class II),COG1190,J,lysU
DNA-directed RNA polymerase specialized sigma subunit,COG1191,K,fliA
ATPases involved in chromosome partitioning,COG1192,D,yhjQ
A/G-specific DNA glycosylase,COG1194,L,mutY
Recombinational DNA repair ATPase (RecF pathway),COG1195,L,recF
Transcription-repair coupling factor (superfamily II helicase),COG1197,L,mfd
Transcription-repair coupling factor (superfamily II helicase),COG1197,K,mfd
Primosomal protein N' (replication factor Y) - superfamily II helicase,COG1198,L,priA
Rad3-related DNA helicases,COG1199,K,dinG
Rad3-related DNA helicases,COG1199,K,yoaA
Rad3-related DNA helicases,COG1199,L,dinG
Rad3-related DNA helicases,COG1199,L,yoaA
RecG-like helicase,COG1200,L,recG
RecG-like helicase,COG1200,K,recG
Lhr-like helicases,COG1201,R,lhr
Predicted helicases,COG1203,R,ygcB
Superfamily II helicase,COG1204,R,yfjK
N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains),COG1207,M,glmU
dTDP-glucose pyrophosphorylase,COG1209,M,rfbA
dTDP-glucose pyrophosphorylase,COG1209,M,rffH
UDP-glucose pyrophosphorylase,COG1210,M,galF
UDP-glucose pyrophosphorylase,COG1210,M,galU
4-diphosphocytidyl-2-methyl-D-erithritol synthase,COG1211,I,ispD
CMP-2-keto-3-deoxyoctulosonic acid synthetase,COG1212,M,kdsB
"Inactive homolog of metal-dependent proteases, putative molecular chaperone",COG1214,O,yeaZ
"Glycosyltransferases, probably involved in cell wall biogenesis",COG1215,M,yaiP
"Glycosyltransferases, probably involved in cell wall biogenesis",COG1215,M,ycdQ
"Glycosyltransferases, probably involved in cell wall biogenesis",COG1215,M,yhjO
Predicted glycosyltransferases,COG1216,R,yefJm
Predicted membrane GTPase involved in stress response,COG1217,T,typA
3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase,COG1218,P,cysQ
"ATP-dependent protease Clp, ATPase subunit",COG1219,O,clpX
"ATP-dependent protease HslVU (ClpYQ), ATPase subunit",COG1220,O,hslU
Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain,COG1221,K,prpR
Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain,COG1221,K,pspF
Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain,COG1221,T,prpR
Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain,COG1221,T,pspF
Peroxiredoxin,COG1225,O,bcp
"Kef-type K+ transport systems, predicted NAD-binding component",COG1226,P,kch
"Kef-type K+ transport systems, predicted NAD-binding component",COG1226,P,kefB_2
"Kef-type K+ transport systems, predicted NAD-binding component",COG1226,P,kefC_2
"Kef-type K+ transport systems, predicted NAD-binding component",COG1226,P,ybaL_2
Co/Zn/Cd efflux system component,COG1230,P,ybgR
Metal-dependent hydrolases of the beta-lactamase superfamily III,COG1234,R,elaC
Metal-dependent hydrolases of the beta-lactamase superfamily I,COG1235,R,phnP
Predicted membrane protein,COG1238,S,yqaA
Predicted Fe-S oxidoreductase,COG1242,R,yhcC
N-acetylglutamate synthase and related acetyltransferases,COG1246,E,argA_2
Sortase and related acyltransferases,COG1247,M,yncA
"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",COG1249,C,gor
"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",COG1249,C,lpd
"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",COG1249,C,udhA
"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",COG1249,C,ykgC
3-hydroxyacyl-CoA dehydrogenase,COG1250,I,fadB_2
3-hydroxyacyl-CoA dehydrogenase,COG1250,I,ydbU
3-hydroxyacyl-CoA dehydrogenase,COG1250,I,yfcX_2
NAD(P)H-nitrite reductase,COG1251,C,nirB
"NADH dehydrogenase, FAD-containing subunit",COG1252,C,ndh
Hemolysins and related proteins containing CBS domains,COG1253,R,yegH_2
Hemolysins and related proteins containing CBS domains,COG1253,R,yoaE_2
Hemolysins and related proteins containing CBS domains,COG1253,R,ytfL
Acylphosphatases,COG1254,C,yccX
Flagellar hook-associated protein,COG1256,N,flgK
Flagellar basal body P-ring biosynthesis protein,COG1261,N,flgA
Flagellar basal body P-ring biosynthesis protein,COG1261,O,flgA
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",COG1263,G,ascF_2
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",COG1263,G,bglF_2
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",COG1263,G,glvCm_1
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",COG1263,G,malX_1
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",COG1263,G,nagE_1
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",COG1263,G,ptsG_1
"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",COG1263,G,treB_2
Phosphotransferase system IIB components,COG1264,G,ascF_1
Phosphotransferase system IIB components,COG1264,G,bglF_1
Phosphotransferase system IIB components,COG1264,G,glvCm_2
Phosphotransferase system IIB components,COG1264,G,malX_2
Phosphotransferase system IIB components,COG1264,G,nagE_2
Phosphotransferase system IIB components,COG1264,G,ptsG_2
Phosphotransferase system IIB components,COG1264,G,treB_1
Phosphatidylglycerophosphatase A and related proteins,COG1267,I,pgpA
"Cytochrome bd-type quinol oxidase, subunit 1",COG1271,C,appC
"Cytochrome bd-type quinol oxidase, subunit 1",COG1271,C,cydA
"Predicted membrane protein, hemolysin III homolog",COG1272,R,yqfA
Tellurite resistance protein and related permeases,COG1275,P,tehA
Putative copper export protein,COG1276,P,yebZ
Cold shock proteins,COG1278,K,cspA
Cold shock proteins,COG1278,K,cspB
Cold shock proteins,COG1278,K,cspC
Cold shock proteins,COG1278,K,cspD
Cold shock proteins,COG1278,K,cspE
Cold shock proteins,COG1278,K,cspF
Cold shock proteins,COG1278,K,cspG
Lysine efflux permease,COG1279,R,yggA
Putative threonine efflux protein,COG1280,E,rhtB
Putative threonine efflux protein,COG1280,E,rhtC
Putative threonine efflux protein,COG1280,E,yahN
Putative threonine efflux protein,COG1280,E,yeaS
Putative threonine efflux protein,COG1280,E,yfiK
Disulfide bond chaperones of the HSP33 family,COG1281,O,yrfI
NAD/NADP transhydrogenase beta subunit,COG1282,C,pntB
Na+/phosphate symporter,COG1283,P,yjbB
Uncharacterized membrane protein,COG1285,S,yhiD
"Uncharacterized membrane protein, required for colicin V production",COG1286,R,cvpA
Predicted membrane protein,COG1288,S,yfcC
Predicted membrane protein,COG1289,S,yccS
Predicted membrane protein,COG1289,S,ydhK
Predicted membrane protein,COG1289,S,yeeA
Predicted membrane protein,COG1289,S,yhcP
Predicted membrane protein,COG1289,S,yhfK
Predicted membrane protein,COG1289,S,yjcQ
Flagellar motor component,COG1291,N,motA
Choline-glycine betaine transporter,COG1292,M,betT
Choline-glycine betaine transporter,COG1292,M,caiT
Choline-glycine betaine transporter,COG1292,M,yeaV
"Cytochrome bd-type quinol oxidase, subunit 2",COG1294,C,appB
"Cytochrome bd-type quinol oxidase, subunit 2",COG1294,C,cydB
Predicted membrane protein,COG1295,S,rbn
Predicted membrane protein,COG1295,S,yhjD
Predicted branched-chain amino acid permease (azaleucine resistance),COG1296,E,ygaZ
"Flagellar biosynthesis pathway, component FlhA",COG1298,N,fhiA
"Flagellar biosynthesis pathway, component FlhA",COG1298,N,flhA
"Flagellar biosynthesis pathway, component FlhA",COG1298,U,fhiA
"Flagellar biosynthesis pathway, component FlhA",COG1298,U,flhA
"Phosphotransferase system, fructose-specific IIC component",COG1299,G,fruA_3
"Phosphotransferase system, fructose-specific IIC component",COG1299,G,frvB_2
"Phosphotransferase system, fructose-specific IIC component",COG1299,G,frwC
"Phosphotransferase system, fructose-specific IIC component",COG1299,G,hrsA_3
"Phosphotransferase system, fructose-specific IIC component",COG1299,G,ypdG
Na+/H+-dicarboxylate symporters,COG1301,C,dctA
Na+/H+-dicarboxylate symporters,COG1301,C,gltP
L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases,COG1304,C,lldD
Transcriptional regulator,COG1309,K,acrR
Transcriptional regulator,COG1309,K,betI
Transcriptional regulator,COG1309,K,envR
Transcriptional regulator,COG1309,K,ttk
Transcriptional regulator,COG1309,K,uidR
Transcriptional regulator,COG1309,K,ybiH
Transcriptional regulator,COG1309,K,ycdC
D-mannonate dehydratase,COG1312,G,uxuA
Preprotein translocase subunit SecG,COG1314,U,secG
Flagellar biosynthesis/type III secretory pathway protein,COG1317,N,fliH
Flagellar biosynthesis/type III secretory pathway protein,COG1317,U,fliH
"Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs",COG1319,C,yagS
"Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs",COG1319,C,ygeT
"Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs",COG1319,C,ygfM
Mn-dependent transcriptional regulator,COG1321,K,ybiQ
Uncharacterized protein conserved in bacteria,COG1322,S,yigN
Uncharacterized protein involved in tolerance to divalent cations,COG1324,P,cutA
"Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains",COG1327,K,ybaD
Oxygen-sensitive ribonucleoside-triphosphate reductase,COG1328,F,nrdD
Exonuclease V gamma subunit,COG1330,L,recC
Amidases related to nicotinamidase,COG1335,Q,pncA
Amidases related to nicotinamidase,COG1335,Q,ycaC
Amidases related to nicotinamidase,COG1335,Q,ycdL
Amidases related to nicotinamidase,COG1335,Q,yecD
"Flagellar biosynthesis pathway, component FliP",COG1338,N,fliP
"Flagellar biosynthesis pathway, component FliP",COG1338,U,fliP
Flagellin and related hook-associated proteins,COG1344,N,flgL
Flagellin and related hook-associated proteins,COG1344,N,fliC
Flagellar capping protein,COG1345,N,fliD
Putative effector of murein hydrolase,COG1346,M,yohK
Transcriptional regulators of sugar metabolism,COG1349,K,agaR
Transcriptional regulators of sugar metabolism,COG1349,K,deoR
Transcriptional regulators of sugar metabolism,COG1349,K,fucR
Transcriptional regulators of sugar metabolism,COG1349,K,gatR
Transcriptional regulators of sugar metabolism,COG1349,K,glpR
Transcriptional regulators of sugar metabolism,COG1349,K,sgcR
Transcriptional regulators of sugar metabolism,COG1349,K,srlR
Transcriptional regulators of sugar metabolism,COG1349,G,agaR
Transcriptional regulators of sugar metabolism,COG1349,G,deoR
Transcriptional regulators of sugar metabolism,COG1349,G,fucR
Transcriptional regulators of sugar metabolism,COG1349,G,gatR
Transcriptional regulators of sugar metabolism,COG1349,G,glpR
Transcriptional regulators of sugar metabolism,COG1349,G,sgcR
Transcriptional regulators of sugar metabolism,COG1349,G,srlR
Methylase of chemotaxis methyl-accepting proteins,COG1352,N,cheR
Methylase of chemotaxis methyl-accepting proteins,COG1352,T,cheR
Uncharacterized low-complexity proteins,COG1357,S,yjbI_1
Uncharacterized low-complexity proteins,COG1357,S,yjcF
Uncharacterized conserved protein,COG1359,S,ygiN
Uncharacterized conserved protein,COG1359,S,yneC
Flagellar motor protein,COG1360,N,mbhA
Flagellar motor protein,COG1360,N,motB
Cellulase M and related proteins,COG1363,G,frvX
Cellulase M and related proteins,COG1363,G,sgcX
Cellulase M and related proteins,COG1363,G,ypdE
"Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily",COG1368,M,mdoB
Uncharacterized protein conserved in bacteria,COG1376,S,erfK
Uncharacterized protein conserved in bacteria,COG1376,S,ybiS
Uncharacterized protein conserved in bacteria,COG1376,S,ycfS
Uncharacterized protein conserved in bacteria,COG1376,S,ynhG
"Flagellar biosynthesis pathway, component FlhB",COG1377,N,flhB
"Flagellar biosynthesis pathway, component FlhB",COG1377,U,flhB
Putative effector of murein hydrolase LrgA,COG1380,R,yohJ
Recombinational DNA repair protein (RecF pathway),COG1381,L,recO
Uncharacterized protein conserved in bacteria,COG1385,S,yggJ
Histidinol phosphatase and related hydrolases of the PHP family,COG1387,E,ycdX
Histidinol phosphatase and related hydrolases of the PHP family,COG1387,R,ycdX
Glutamine synthetase adenylyltransferase,COG1391,O,glnE
Glutamine synthetase adenylyltransferase,COG1391,T,glnE
"Arsenate reductase and related proteins, glutaredoxin family",COG1393,P,arsC
"Arsenate reductase and related proteins, glutaredoxin family",COG1393,P,yffB
"Arsenate reductase and related proteins, glutaredoxin family",COG1393,P,yfgD
"Arsenate reductase and related proteins, glutaredoxin family",COG1393,P,yfjU
Predicted transcriptional regulators,COG1396,K,dicA
Predicted transcriptional regulators,COG1396,K,hipB
Predicted transcriptional regulators,COG1396,K,nadR_1
Predicted transcriptional regulators,COG1396,K,ycjC
Predicted transcriptional regulators,COG1396,K,ydcN
Predicted transcriptional regulators,COG1396,K,ygiT
ADP-ribosylglycohydrolase,COG1397,O,yegU
"Predicted metal-binding, possibly nucleic acid-binding protein",COG1399,R,yceD
GTPase subunit of restriction endonuclease,COG1401,V,mcrB
Restriction endonuclease,COG1403,V,mcrA
Predicted phosphohydrolases,COG1408,R,yaeI
Predicted phosphohydrolases,COG1409,R,icc
"Methionine synthase I, cobalamin-binding domain",COG1410,E,metH_2
FOG: HEAT repeat,COG1413,C,yibA
Transcriptional regulator,COG1414,K,iclR
Transcriptional regulator,COG1414,K,kdgR
Transcriptional regulator,COG1414,K,mhpR
Transcriptional regulator,COG1414,K,yagI
Transcriptional regulator,COG1414,K,ybbU
Transcriptional regulator,COG1414,K,yfaX
Transcriptional regulator,COG1414,K,yiaJ
Predicted HD superfamily hydrolase,COG1418,R,yedJ
Uncharacterized protein conserved in bacteria,COG1426,S,yfgA
Uncharacterized conserved protein,COG1434,S,ycbC
Uncharacterized conserved protein,COG1434,S,ydcF
Thymidine kinase,COG1435,F,tdk
Arginine repressor,COG1438,K,argR
Phosphotransferase system cellobiose-specific component IIB,COG1440,G,celA
O-succinylbenzoate synthase,COG1441,H,menC
"Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases",COG1442,M,rfaI
"Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases",COG1442,M,rfaJ
Isopentenyldiphosphate isomerase,COG1443,I,idi
Predicted P-loop ATPase fused to an acetyltransferase,COG1444,R,ypfI
Phosphotransferase system fructose-specific component IIB,COG1445,G,fruA_2
Phosphotransferase system fructose-specific component IIB,COG1445,G,frvB_1
Phosphotransferase system fructose-specific component IIB,COG1445,G,frwB
Phosphotransferase system fructose-specific component IIB,COG1445,G,frwD
Phosphotransferase system fructose-specific component IIB,COG1445,G,hrsA_2
Phosphotransferase system fructose-specific component IIB,COG1445,G,ypdH
Asparaginase,COG1446,E,ybiK
Phosphotransferase system cellobiose-specific component IIA,COG1447,G,celC
Aspartate/tyrosine/aromatic aminotransferase,COG1448,E,aspC
Aspartate/tyrosine/aromatic aminotransferase,COG1448,E,tyrB
"Type II secretory pathway, component PulD",COG1450,N,gspD
"Type II secretory pathway, component PulD",COG1450,U,gspD
Predicted metal-dependent hydrolase,COG1451,R,ygjP
Organic solvent tolerance protein OstA,COG1452,M,imp
"Alcohol dehydrogenase, class IV",COG1454,C,adhE_2
"Alcohol dehydrogenase, class IV",COG1454,C,eutG
"Alcohol dehydrogenase, class IV",COG1454,C,fucO
"Alcohol dehydrogenase, class IV",COG1454,C,yiaY
Phosphotransferase system cellobiose-specific component IIC,COG1455,G,celB
Purine-cytosine permease and related proteins,COG1457,F,codB
"Type II secretory pathway, component PulF",COG1459,N,hofC
"Type II secretory pathway, component PulF",COG1459,N,hofF
"Type II secretory pathway, component PulF",COG1459,U,hofC
"Type II secretory pathway, component PulF",COG1459,U,hofF
Uncharacterized protein involved in formation of curli polymers,COG1462,M,csgG
"ABC-type transport system involved in resistance to organic solvents, periplasmic component",COG1463,Q,yrbD
"ABC-type metal ion transport system, periplasmic component/surface antigen",COG1464,P,nlpA
"ABC-type metal ion transport system, periplasmic component/surface antigen",COG1464,P,yaeC
"DNA polymerase III, delta subunit",COG1466,L,holA
Beta-glucosidase-related glycosidases,COG1472,G,bglX
Beta-glucosidase-related glycosidases,COG1472,G,ycfO
Metal-dependent amidase/aminoacylase/carboxypeptidase,COG1473,R,abgB
Metal-dependent amidase/aminoacylase/carboxypeptidase,COG1473,R,ydaJ
Predicted transcriptional regulators,COG1475,K,ybdM
Predicted transcriptional regulators,COG1475,K,ynaK
Membrane-associated lipoprotein involved in thiamine biosynthesis,COG1477,H,apbE
Phosphomannose isomerase,COG1482,G,manA
DNA replication protein,COG1484,L,dnaC
DNA replication protein,COG1484,L,ydaV
Predicted ATPase,COG1485,R,yhcM
"Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases",COG1486,G,celF
"Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases",COG1486,G,glvG
"Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases",COG1486,G,melA
Nicotinic acid phosphoribosyltransferase,COG1488,H,pncB
"DNA-binding protein, stimulates sugar fermentation",COG1489,R,sfsA
D-Tyr-tRNAtyr deacylase,COG1490,J,dtd
"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase and related proteins",COG1494,G,glpX
"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase and related proteins",COG1494,G,yggF
Disulfide bond formation protein DsbB,COG1495,O,dsbB
Uncharacterized conserved protein,COG1496,S,yfiH
"Alpha-glucosidases, family 31 of glycosyl hydrolases",COG1501,G,yicI
"Alpha-glucosidases, family 31 of glycosyl hydrolases",COG1501,G,yihQ
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes,COG1502,I,cls
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes,COG1502,I,pssA
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes,COG1502,I,ybhO
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes,COG1502,I,ymdC
"DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog",COG1508,K,rpoN
"Lysine 2,3-aminomutase",COG1509,E,yjeK
Beta-propeller domains of methanol dehydrogenase type,COG1512,R,ygcG
Cyanate lyase,COG1513,P,cynS
2'-5' RNA ligase,COG1514,J,ligT
Deoxyinosine 3'endonuclease (endonuclease V),COG1515,L,nfi
Flagellin-specific chaperone FliS,COG1516,N,fliS
Flagellin-specific chaperone FliS,COG1516,U,fliS
Flagellin-specific chaperone FliS,COG1516,O,fliS
Uncharacterized protein predicted to be involved in DNA repair,COG1518,L,ygbT
3-deoxy-D-manno-octulosonic-acid transferase,COG1519,M,kdtA
FOG: WD40-like repeat,COG1520,S,yfgL
Transcriptional regulators,COG1522,K,asnC
Transcriptional regulators,COG1522,K,lrp
Transcriptional regulators,COG1522,K,ybaO
"Type II secretory pathway, pullulanase PulA and related glycosidases",COG1523,G,glgX
Uncharacterized protein required for formate dehydrogenase activity,COG1526,C,fdhD
Ferritin-like protein,COG1528,P,ftn
Ferritin-like protein,COG1528,P,ftnB
"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",COG1529,C,yagR
"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",COG1529,C,ygeS
"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",COG1529,C,ygfN_2
Ribonucleases G and E,COG1530,J,cafA
Ribonucleases G and E,COG1530,J,rne
"Predicted RNA-binding protein containing KH domain, possibly ribosomal protein",COG1534,J,yhbY
Isochorismate hydrolase,COG1535,Q,entB_1
Flagellar motor switch protein,COG1536,N,fliG
Outer membrane protein,COG1538,M,tolC
Outer membrane protein,COG1538,M,yjcP
Outer membrane protein,COG1538,M,ylcB
Outer membrane protein,COG1538,M,yohG
Outer membrane protein,COG1538,M,yohH
Outer membrane protein,COG1538,U,tolC
Outer membrane protein,COG1538,U,yjcP
Outer membrane protein,COG1538,U,ylcB
Outer membrane protein,COG1538,U,yohG
Outer membrane protein,COG1538,U,yohH
Dihydroneopterin aldolase,COG1539,H,folB
Dihydroneopterin aldolase,COG1539,H,folX
"Uncharacterized proteins, homologs of lactam utilization protein B",COG1540,R,ybgL
Coenzyme F390 synthetase,COG1541,H,paaK
Ribosome-associated protein Y (PSrp-1),COG1544,J,yfiA
Ribosome-associated protein Y (PSrp-1),COG1544,J,yhbH
Uncharacterized protein (competence- and mitomycin-induced),COG1546,R,ydeJ
Uncharacterized protein (competence- and mitomycin-induced),COG1546,R,ygaD
Carbon storage regulator (could also regulate swarming and quorum sensing),COG1551,T,csrA
Uncharacterized conserved protein involved in intracellular sulfur reduction,COG1553,P,ychN
Uncharacterized conserved protein involved in intracellular sulfur reduction,COG1553,P,yheN
Trehalose and maltose hydrolases (possible phosphorylases),COG1554,G,ycjT
DNA uptake protein and related DNA-binding proteins,COG1555,L,ybaV
Uncharacterized conserved protein,COG1556,S,ykgG
Flagellar basal body rod protein,COG1558,N,flgC
Predicted periplasmic solute-binding protein,COG1559,R,yceG
Lauroyl/myristoyl acyltransferase,COG1560,M,ddg
Lauroyl/myristoyl acyltransferase,COG1560,M,htrB
Lauroyl/myristoyl acyltransferase,COG1560,M,msbB
Uncharacterized stress-induced protein,COG1561,S,yicC
Multidrug resistance efflux pump,COG1566,V,emrA
Multidrug resistance efflux pump,COG1566,V,emrK
Multidrug resistance efflux pump,COG1566,V,ydhJ
Multidrug resistance efflux pump,COG1566,V,yhcQ
Multidrug resistance efflux pump,COG1566,V,yiaV
Multidrug resistance efflux pump,COG1566,V,yibH
Multidrug resistance efflux pump,COG1566,V,yjcR
"Exonuclease VII, large subunit",COG1570,L,xseA
"1,4-dihydroxy-2-naphthoate octaprenyltransferase",COG1575,H,menA
Uncharacterized conserved protein,COG1576,S,ybeA
Flagellar basal body-associated protein,COG1580,N,fliL
Predicted membrane protein,COG1584,S,yaaH
Membrane protein implicated in regulation of membrane protease activity,COG1585,O,ybbJ
Membrane protein implicated in regulation of membrane protease activity,COG1585,U,ybbJ
S-adenosylmethionine decarboxylase,COG1586,E,speD
Uroporphyrinogen-III synthase,COG1587,H,hemD
Cell division septal protein,COG1589,M,ftsQ
"TRAP-type C4-dicarboxylate transport system, large permease component",COG1593,G,yiaN
"DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",COG1595,K,fecI
"DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",COG1595,K,rpoE
Periplasmic protein involved in polysaccharide export,COG1596,M,wza
Periplasmic protein involved in polysaccharide export,COG1596,M,yccZ
Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase,COG1597,I,yegS
Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase,COG1597,R,yegS
Uncharacterized conserved protein,COG1598,S,ydcQ
Uncharacterized Fe-S protein,COG1600,C,yjeS
Chorismate mutase,COG1605,E,pheA_1
Chorismate mutase,COG1605,E,tyrA_1
Acyl-CoA hydrolase,COG1607,I,yciA
Transcriptional regulators,COG1609,K,ascG
Transcriptional regulators,COG1609,K,cytR
Transcriptional regulators,COG1609,K,ebgR
Transcriptional regulators,COG1609,K,fruR
Transcriptional regulators,COG1609,K,galR
Transcriptional regulators,COG1609,K,galS
Transcriptional regulators,COG1609,K,gntR
Predicted Rossmann fold nucleotide-binding protein,COG1611,R,ygdH
"ABC-type sulfate transport system, periplasmic component",COG1613,P,sbp
"Uncharacterized proteins, homologs of microcin C7 resistance protein MccF",COG1619,V,ldcA
L-lactate permease,COG1620,C,lldP
L-lactate permease,COG1620,C,yghK
"Heme/copper-type cytochrome/quinol oxidases, subunit 2",COG1622,C,cyoA
Neutral trehalase,COG1626,G,treA
Neutral trehalase,COG1626,G,treF
"Outer membrane receptor proteins, mostly Fe transport",COG1629,P,b1995_1
"Outer membrane receptor proteins, mostly Fe transport",COG1629,P,b1998
"Outer membrane receptor proteins, mostly Fe transport",COG1629,P,fhuA
"Outer membrane receptor proteins, mostly Fe transport",COG1629,P,yncD
"TRAP-type C4-dicarboxylate transport system, periplasmic component",COG1638,G,yiaO
4-alpha-glucanotransferase,COG1640,G,malQ
HrpA-like helicases,COG1643,L,hrpA
HrpA-like helicases,COG1643,L,hrpB
Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain),COG1648,H,cysG_1
Uncharacterized protein conserved in bacteria,COG1649,S,yddW
Protein-disulfide isomerase,COG1651,O,dsbC
Protein-disulfide isomerase,COG1651,O,dsbG
Uncharacterized protein containing LysM domain,COG1652,S,ygaU
"ABC-type sugar transport system, periplasmic component",COG1653,G,ugpB
"ABC-type sugar transport system, periplasmic component",COG1653,G,ycjN
Biotin operon repressor,COG1654,K,birA_1
Predicted P-loop-containing kinase,COG1660,R,yhbJ
"Transposase and inactivated derivatives, IS1 family",COG1662,L,insB_g1
"Transposase and inactivated derivatives, IS1 family",COG1662,L,insB_g2
"Transposase and inactivated derivatives, IS1 family",COG1662,L,insB_g4
"Transposase and inactivated derivatives, IS1 family",COG1662,L,insB_g3
"Transposase and inactivated derivatives, IS1 family",COG1662,L,insB_g5
"Transposase and inactivated derivatives, IS1 family",COG1662,L,insB_g6
Tetraacyldisaccharide-1-P 4'-kinase,COG1663,M,lpxK
Uncharacterized protein conserved in bacteria,COG1666,S,yajQ
"Acetyltransferases, including N-acetylases of ribosomal proteins",COG1670,J,rimJ
"Acetyltransferases, including N-acetylases of ribosomal proteins",COG1670,J,rimL
"Acetyltransferases, including N-acetylases of ribosomal proteins",COG1670,J,speG
Uncharacterized protein conserved in bacteria,COG1671,S,yaiI
DNA segregation ATPase FtsK/SpoIIIE and related proteins,COG1674,D,ftsK
Flagellar hook-basal body protein,COG1677,N,fliE
Flagellar hook-basal body protein,COG1677,U,fliE
Putative transcriptional regulator,COG1678,K,yqgE
Beta-lactamase class C and other penicillin binding proteins,COG1680,V,ampC
Beta-lactamase class C and other penicillin binding proteins,COG1680,V,ampH
Beta-lactamase class C and other penicillin binding proteins,COG1680,V,yfeW
"Flagellar biosynthesis pathway, component FliR",COG1684,N,fliR
"Flagellar biosynthesis pathway, component FliR",COG1684,U,fliR
D-alanyl-D-alanine carboxypeptidase,COG1686,M,dacA
D-alanyl-D-alanine carboxypeptidase,COG1686,M,dacC
D-alanyl-D-alanine carboxypeptidase,COG1686,M,dacD
D-alanyl-D-alanine carboxypeptidase,COG1686,M,pbpG
Uncharacterized conserved protein,COG1690,S,rtcB
Uncharacterized conserved protein,COG1690,S,ykfJ
Predicted pyrophosphatase,COG1694,R,mazG
Predicted transcriptional regulators,COG1695,K,yqjI
