"Complexes_Proteins"	"Genes"	"Object_ID"
"iron-sulfur cluster insertion protein ErpA"	"erpA"	"CPLX0-7617"
"AtoS-<i>N</i>-phospho-L-histidine"	"atoS"	"PHOSPHO-ATOS"
"tRNA adenosine<sup>34</sup> deaminase"	"tadA"	"CPLX0-901"
"cryptic phosphonate/phosphate ABC transporter"	"phnC" // "phnE" // "phnD"	"ABC-23-CPLX"
"sensor histidine kinase DcuS"	"dcuS"	"CPLX0-8307"
"outer membrane porin C"	"ompC"	"CPLX0-7533"
"heme chaperone HemW"	"hemW"	"CPLX0-8291"
"Tsr<SUP>glu</SUP>"	"cheW" // "cheA" // "tsr"	"TSR-GLU"
"6-phosphogluconate dehydrogenase, decarboxylating"	"gnd"	"6PGLUCONDEHYDROG-CPLX"
"HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor"	"hipB" // "hipA"	"CPLX0-7425"
"nucleotide 5'-monophosphate nucleosidase"	"ppnN"	"CPLX0-8262"
"ferritin iron-storage complex"	"ftnA"	"CPLX0-3969"
"putative menaquinol-cytochrome <i>c</i> reductase NrfCD"	"nrfD" // "nrfC"	"CPLX0-8238"
"copper binding protein CutA"	"cutA"	"CPLX0-3938"
"erythronate-4-phosphate dehydrogenase"	"pdxB"	"CPLX0-8212"
"xanthosine phosphorylase"	"xapA"	"XANTHOSINEPHOSPHORY-CPLX"
"GDP-L-fucose synthase"	"fcl"	"CPLX0-3881"
"tRNA U34 carboxymethyltransferase"	"cmoB"	"CPLX0-8190"
"transaldolase B"	"talB"	"TRANSALDOLB-CPLX"
"&gamma;-aminobutyraldehyde dehydrogenase"	"patD"	"CPLX0-3641"
"bifunctional sensor histidine kinase PhoQ"	"phoQ"	"CPLX0-8168"
"twin arginine protein translocation system"	"tatB" // "tatC" // "tatE" // "tatA"	"TATABCE-CPLX"
"DNA replication inhibitor"	"cspD"	"CPLX0-3301"
"cellulose synthase"	"bcsB" // "bcsA"	"CPLX0-8125"
"&alpha; cleavage product of SpeD" // "&beta; cleavage product of SpeD"	"speD"	"SAMDECARB-CPLX"
"fructose-1,6-bisphosphatase 2"	"glpX"	"CPLX0-303"
"methyl-accepting chemotaxis protein - serine-sensing"	"tsr"	"CPLX0-8103"
"pyruvate dehydrogenase" // "pyruvate dehydrogenase, E2 subunit" // "lipoamide dehydrogenase"	"aceE" // "aceF" // "lpd"	"PYRUVATEDEH-CPLX"
"protein HokC"	"hokC"	"CPLX0-2621"
"acetyl-CoA:oxalate CoA-transferase"	"yfdE"	"CPLX0-8032"
"nitrogen regulatory protein PII-1"	"glnB"	"PIIPROTEIN-CPLX"
"inorganic pyrophosphatase"	"ppa"	"CPLX0-243"
"diaminopimelate epimerase"	"dapF"	"CPLX0-7997"
"phenylalanine&mdash;tRNA ligase"	"pheS" // "pheT"	"PHES-CPLX"
"isocitrate dehydrogenase kinase/phosphatase"	"aceK"	"CPLX0-230"
"translocation and assembly module"	"tamB" // "tamA"	"CPLX0-7976"
"DNA-binding transcriptional dual regulator ArgR"	"argR"	"PC00005"
"ferric enterobactin outer membrane transport complex"	"exbD" // "exbB" // "tonB" // "fepA"	"CPLX0-1941"
"2-hydroxypentadienoate hydratase"	"mhpD"	"CPLX0-7951"
"ribonucleoside-diphosphate reductase 2, &beta; subunit dimer"	"nrdF"	"NRDF-CPLX"
"RNA-binding protein Hfq"	"hfq"	"CPLX0-1461"
"Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB"	"relB"	"CPLX0-7928"
"23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase"	"rlmB"	"CPLX0-1121"
"glutamate&mdash;pyruvate aminotransferase AlaA"	"alaA"	"CPLX0-7888"
"lysine decarboxylase 1"	"cadA"	"LYSDECARBOX-CPLX"
"galactosamine-specific PTS enzyme II (cryptic)"	"agaB" // "agaC" // "agaD"	"CPLX-170"
"sulfite reductase, flavoprotein subunit complex"	"cysJ"	"CPLX0-7841"
"hydrogenase 3"	"hycD" // "hycC" // "hycF" // "hycG" // "hycB" // "hycE"	"HYDROG3-CPLX"
"citrate lyase, citrate-acyl carrier protein transferase component"	"citF"	"CITTRANS-CPLX"
"protoporphyrinogen oxidase"	"hemG"	"CPLX0-7811"
"GMP synthetase"	"guaA"	"GMP-SYN-CPLX"
"ribonucleoside-diphosphate reductase 1, &beta; subunit dimer"	"nrdB"	"B2-CPLX"
"fructose 1,6-bisphosphatase YggF"	"yggF"	"CPLX0-7776"
"glutathione reductase (NADPH)"	"gor"	"GLUTATHIONE-REDUCT-NADPH-CPLX"
"aspartate carbamoyltransferase catalytic subunit"	"pyrB"	"ASPCARBCAT-TRIMER"
"DNA-binding transcriptional dual regulator AsnC"	"asnC"	"CPLX0-7733"
"galactoside <i>O</i>-acetyltransferase"	"lacA"	"GALACTOACETYLTRAN-CPLX"
"cytochrome <i>bd</i>-II ubiquinol oxidase"	"appC" // "appB"	"APP-UBIOX-CPLX"
"GDP-mannose mannosyl hydrolase"	"gmm"	"CPLX0-7712"
"flagellar motor complex"	"fliN" // "fliM" // "fliG" // "flgH" // "motA" // "motB" // "flgB" // "flgC" // "flgF" // "flgG" // "flgI" // "fliF" // "fliE" // "fliL"	"FLAGELLAR-MOTOR-COMPLEX"
"agmatinase"	"speB"	"AGMATIN-CPLX"
"succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD"	"gabD"	"CPLX0-7688"
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"	"entA"	"ENTA-CPLX"
"acetyl-CoA carboxyltransferase subunit &alpha;" // "acetyl-CoA carboxyltransferase subunit &beta;"	"accA" // "accD"	"ACETYL-COA-CARBOXYLTRANSFER-CPLX"
"&beta;-glucuronidase"	"uidA"	"CPLX0-7662"
"dihydroxy-acid dehydratase"	"ilvD"	"DIHYDROXYACIDDEHYDRAT-CPLX"
"putative D,D-dipeptide ABC transporter"	"ddpB" // "ddpC" // "ddpA" // "ddpD" // "ddpF"	"ABC-59-CPLX"
"Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter"	"fieF"	"CPLX0-7641"
"D-alanine&mdash;D-alanine ligase B"	"ddlB"	"DALADALALIGB-CPLX"
"L-arginine ABC transporter"	"artJ" // "artQ" // "artM" // "artP"	"ABC-4-CPLX"
"ATP phosphoribosyltransferase"	"hisG"	"CPLX0-7614"
"MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor"	"mazE"	"CPLX0-841"
"Ni(2+) ABC transporter"	"nikD" // "nikE" // "nikB" // "nikC" // "nikA"	"ABC-20-CPLX"
"polysaccharide export complex"	"wza" // "wzc"	"CPLX0-7529"
"OmpR dimer"	"ompR"	"CPLX0-8285"
"&beta;-ketoacyl-[acyl carrier protein] synthase II"	"fabF"	"3-OXOACYL-ACP-SYNTHII-CPLX"
"tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase"	"trmL"	"CPLX0-7421"
"2-amino-6-<i>N</i>-hydroxylaminopurine resistance protein"	"yiiM"	"CPLX0-8259"
"<I>Eco</I>KI restriction-modification system"	"hsdM" // "hsdR" // "hsdS"	"CPLX0-3958"
"pseudouridine-5'-phosphate glycosidase"	"psuG"	"CPLX0-8233"
"GroEL-GroES chaperonin complex"	"groL" // "groS"	"CPLX0-3934"
"S6:S18 ribosomal subunit complex"	"rpsR" // "rpsF"	"CPLX0-8208"
"uracil phosphoribosyltransferase"	"upp"	"URACIL-PRIBOSYLTRANS-CPLX"
"HypA-HypB heterodimer"	"hypA" // "hypB"	"CPLX0-3821"
"periplasmic serine endoprotease"	"degQ"	"CPLX0-8187"
"multidrug efflux pump MdtABC-TolC"	"tolC" // "mdtC" // "mdtB" // "mdtA"	"TRANS-CPLX-202"
"ribonuclease BN"	"rbn"	"CPLX0-3601"
"molybdopterin-synthase adenylyltransferase"	"moeB"	"CPLX0-8164"
"DnaA initiator-associating factor for replication initiation"	"diaA"	"CPLX0-3221"
"aminopeptidase B"	"pepB"	"CPLX0-8122"
"peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase"	"mepA"	"CPLX0-3201"
"putative PTS enzyme II FryBCA"	"fryC" // "fryB" // "fryA"	"CPLX0-8119"
"resolvasome"	"ruvC" // "ruvB" // "ruvA"	"RUVABC-CPLX"
"peptidase D"	"pepD"	"CPLX0-3001"
"peptide antibiotic/peptide nucleic acid transporter"	"sbmA"	"CPLX0-8097"
"fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA"	"putA"	"PUTA-CPLX"
"DNA-binding transcriptional dual regulator ModE"	"modE"	"CPLX0-2541"
"ethanol dehydrogenase / alcohol dehydrogenase"	"adhP"	"CPLX0-8015"
"dimer of DNA topoisomerase IV subunit A"	"parC"	"CPLX0-2423"
"lipopolysaccharide transport system"	"lptE" // "lptD" // "lptG" // "lptC" // "lptA" // "lptB" // "lptF"	"CPLX0-7992"
"phosphoenolpyruvate synthetase"	"ppsA"	"PEPSYNTH-CPLX"
"FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase"	"ssuD"	"CPLX0-225"
"cell division factor ZapD"	"zapD"	"CPLX0-7973"
"phosphoadenosine phosphosulfate reductase"	"cysH"	"PAPSSULFOTRANS-CPLX"
"enamine/imine deaminase, redox-regulated chaperone"	"ridA"	"CPLX0-1881"
"ribosomal protein S6 modification protein"	"rimK"	"CPLX0-7946"
"NADH dehydrogenase (quinone)"	""	"NQOR-CPLX"
"2,3-diaminopropionate ammonia-lyase"	"ygeX"	"CPLX0-1401"
"nucleoid occlusion factor SlmA"	"slmA"	"CPLX0-7922"
"5,10-methylenetetrahydrofolate reductase"	"metF"	"METHYLENETHFREDUCT-CPLX"
"primosomal protein DnaT"	"dnaT"	"CPLX0-0"
"1,4-dihydroxy-2-naphthoyl-CoA synthase"	"menB"	"CPLX0-7882"
"low-specificity L-threonine aldolase"	"ltaE"	"LTAA-CPLX"
"N-acetylglucosamine-specific PTS enzyme II"	"nagE"	"CPLX-167"
"phosphoenolpyruvate synthetase regulatory protein"	"ppsR"	"CPLX0-7837"
"holo-[acyl-carrier-protein] synthase"	"acpS"	"HOLO-ACP-SYNTH-CPLX"
"fused chorismate mutase/prephenate dehydrogenase"	"tyrA"	"CHORISMUTPREPHENDEHYDROG-CPLX"
"putative multidrug efflux pump MdtNOP"	"mdtP" // "mdtO" // "mdtN"	"CPLX0-7807"
"glyoxalase I"	"gloA"	"GLYOXI-CPLX"
"ATP synthase F<sub>0</sub> complex - subunit b"	"atpF"	"ATPF-CPLX"
"DNA-binding transcriptional dual regulator MetR"	"metR"	"CPLX0-7759"
"glutamate synthase"	"gltD" // "gltB"	"GLUTAMATESYN-DIMER"
"aspartate-semialdehyde dehydrogenase"	"asd"	"ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX"
"tRNA pseudouridine<sup>38-40</sup> synthase"	"truA"	"CPLX0-7728"
"fumarase C"	"fumC"	"FUMARASE-C"
"anthranilate synthase subunit TrpE" // "anthranilate synthase subunit TrpD"	"trpE" // "trpD"	"ANTHRANSYN-CPLX"
"glutamate-putrescine ligase"	"puuA"	"CPLX0-7709"
"fatty acid oxidation complex, &alpha; component"	"fadB"	"FADB-CPLX"
"<i>S</i>-(hydroxymethyl)glutathione dehydrogenase"	"frmA"	"ADHC-CPLX"
"hypoxanthine phosphoribosyltransferase"	"hpt"	"CPLX0-7685"
"L-ascorbate specific PTS enzyme II"	"ulaC" // "ulaB" // "ulaA"	"EIISGA"
"acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene)" // "acetolactate synthase II subunit IlvM"	"ilvG" // "ilvM"	"ACETOLACTSYNII-CPLX"
"<i>N</i>-acetylneuraminate mutarotase"	"nanM"	"CPLX0-7658"
"dihydroorotase"	"pyrC"	"DIHYDROOROT-CPLX"
"aliphatic sulfonate ABC transporter"	"ssuA" // "ssuC" // "ssuB"	"ABC-56-CPLX"
"L-fucose isomerase"	"fucI"	"CPLX0-7631"
"cytochrome <i>bd</i>-I ubiquinol oxidase"	"cydA" // "cydB" // "cydX"	"CYT-D-UBIOX-CPLX"
"xylose ABC transporter"	"xylG" // "xylH" // "xylF"	"ABC-33-CPLX"
"putative xanthine dehydrogenase"	"xdhA" // "xdhB" // "xdhC"	"CPLX0-761"
"ubiquinone biosynthesis complex UbiUV"	"ubiV" // "ubiU"	"CPLX0-8308"
"D-galactose / methyl-&beta;-D-galactoside ABC transporter"	"mglA" // "mglC" // "mglB"	"ABC-18-CPLX"
"xylulokinase"	"xylB"	"CPLX0-7466"
"murein lipoprotein"	"lpp"	"CPLX0-8279"
"3-isopropylmalate dehydrogenase"	"leuB"	"3-ISOPROPYLMALDEHYDROG-CPLX"
"IS2 insertion element repressor InsA"	"insC-1"	"CPLX0-7417"
"D-alanyl-D-alanine carboxypeptidase DacC"	"dacC"	"CPLX0-8254"
"50S ribosomal subunit protein L7/L12 dimer"	"rplL"	"CPLX0-3955"
"HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor"	"higB" // "higA"	"CPLX0-8230"
"ATP-dependent DNA helicase Rep"	"rep"	"CPLX0-3931"
"UTP&mdash;glucose-1-phosphate uridylyltransferase"	"galU"	"CPLX0-8205"
"acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase"	"lpxA"	"UDPNACETYLGLUCOSAMACYLTRANS-CPLX"
"DNA polymerase III, preinitiation complex"	"dnaX" // "holB" // "holA"	"CPLX0-3801"
"nonspecific DNA-binding protein YbiB"	"ybiB"	"CPLX0-8184"
"triose-phosphate isomerase"	"tpiA"	"TPI"
"ATP-dependent RNA helicase RhlB"	"rhlB"	"CPLX0-3541"
"putrescine aminotransferase"	"patA"	"CPLX0-8159"
"assimilatory sulfite reductase (NADPH)"	"cysJ" // "cysI"	"SULFITE-REDUCT-CPLX"
"putative quinol monooxygenase YgiN"	"ygiN"	"CPLX0-3141"
"phosphate signaling protein PhoU"	"phoU"	"CPLX0-8113"
"ribonucleoside-diphosphate reductase 2"	"nrdE" // "nrdF"	"RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"
"protease IV, a signal peptide peptidase"	"sppA"	"CPLX0-2941"
"negative regulator of MalT activity/cystathionine &beta;-lyase"	"malY"	"CPLX0-8092"
"phosphoserine/phosphohydroxythreonine aminotransferase"	"serC"	"PSERTRANSAM-CPLX"
"protein MoaB"	"moaB"	"CPLX0-2521"
"dTDP-glucose pyrophosphorylase 2"	"rffH"	"CPLX0-8012"
"tryptophan synthase, &beta; subunit dimer"	"trpB"	"CPLX0-2401"
"PaaF-PaaG hydratase-isomerase complex"	"paaG" // "paaF"	"CPLX0-7988"
"pyridoxine/pyridoxamine 5'-phosphate oxidase"	"pdxH"	"PDXH-CPLX"
"tripartite efflux pump EmrKY-TolC"	"tolC" // "emrK" // "emrY"	"CPLX0-2161"
"multidrug efflux pump EmrE / betaine:H<sup>+</sup> antiporter / choline:H<sup>+</sup> antiporter"	"emrE"	"CPLX0-7963"
"aminodeoxychorismate synthase subunit 1" // "aminodeoxychorismate synthase subunit 2"	"pabB" // "pabA"	"PABASYN-CPLX"
"oligoribonuclease"	"orn"	"CPLX0-1821"
"Grx4-BolA complex"	"bolA" // "grxD"	"CPLX0-7942"
"nitrate reductase A"	"narG" // "narH" // "narI"	"NITRATREDUCTA-CPLX"
"D-arabinose 5-phosphate isomerase KdsD"	"kdsD"	"CPLX0-1262"
"RcsB-BglJ DNA-binding transcriptional activator"	"bglJ" // "rcsB"	"CPLX0-7916"
"isochorismate synthase MenF"	"menF"	"MENF-CPLX"
"cyclic pyranopterin monophosphate synthase"	"moaC"	"CPLX-8331"
"glucose-6-phosphate isomerase"	"pgi"	"CPLX0-7877"
"L-glutamine&mdash;D-fructose-6-phosphate aminotransferase"	"glmS"	"L-GLN-FRUCT-6-P-AMINOTRANS-CPLX"
"putative PTS enzyme II FrwCBDPtsA"	"frwC" // "frwB" // "frwD" // "ptsA"	"CPLX-160"
"carboxylate-amine ligase"	"ybdK"	"CPLX0-7827"
"histidinal/histidinol dehydrogenase"	"hisD"	"HISTDEHYD-CPLX"
"cyclopropane fatty acyl phospholipid synthase"	"cfa"	"CFA-CPLX"
"diguanylate cyclase DgcZ"	"dgcZ"	"CPLX0-7802"
"glycerophosphoryl diester phosphodiesterase, periplasmic"	"glpQ"	"GLYCPDIESTER-PERI-CPLX"
"K<sup>+</sup> transporting P-type ATPase"	"kdpF" // "kdpA" // "kdpB" // "kdpC"	"ATPASE-1-CPLX"
"DNA-binding transcriptional repressor NsrR"	"nsrR"	"CPLX0-7756"
"glucosamine-6-phosphate deaminase"	"nagB"	"GLUCOSAMINE-6-P-DEAMIN-CPLX"
"asparagine&mdash;tRNA ligase"	"asnS"	"ASNS-CPLX"
"CRISPR-associated complex for antiviral defense"	"casA" // "casB" // "casC" // "casD" // "casE"	"CPLX0-7725"
"fructose-bisphosphate aldolase class II"	"fbaA"	"FRUCBISALD-CLASSII"
"anaerobic glycerol-3-phosphate dehydrogenase"	"glpA" // "glpB" // "glpC"	"ANGLYC3PDEHYDROG-CPLX"
"DNA-binding transcriptional dual regulator Fis"	"fis"	"CPLX0-7705"
"&beta;-ketoacyl-[acyl carrier protein] synthase I"	"fabB"	"FABB-CPLX"
"adenine phosphoribosyltransferase"	"apt"	"ADENPRIBOSYLTRAN-CPLX"
"iron-sulfur cluster carrier protein NfuA"	"nfuA"	"CPLX0-7682"
"pyruvate dehydrogenase"	"aceE"	"E1P-CPLX"
"ferric citrate ABC transporter"	"fecE" // "fecC" // "fecD" // "fecB"	"ABC-9-CPLX"
"glycerol facilitator"	"glpF"	"CPLX0-7654"
"diacylglycerol kinase"	"dgkA"	"DIACYLGLYKIN-CPLX"
"putative transport complex, ABC superfamily"	"yhdZ" // "yhdY" // "yhdX" // "yhdW"	"ABC-52-CPLX"
"lipopolysaccharide transport system - outer membrane assembly complex"	"lptD" // "lptE"	"CPLX0-7628"
"cyanase"	"cynS"	"CYANLY-CPLX"
"lysine / arginine / ornithine ABC transporter"	"hisQ" // "hisP" // "hisM" // "argT"	"ABC-3-CPLX"
"5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG"	"mnmG"	"CPLX0-7597"
"DcuS-DcuB sensor complex"	"dcuB" // "dcuS"	"CPLX0-8304"
"histidine ABC transporter"	"hisP" // "hisM" // "hisQ" // "hisJ"	"ABC-14-CPLX"
"glycolate dehydrogenase"	"glcD" // "glcE" // "glcF"	"CPLX0-7458"
"F<sup>-</sup> channel"	"crcB"	"CPLX0-8271"
"N-acetylmuramic acid-specific PTS enzyme II"	"murP" // "crr"	"CPLX0-7"
"5-oxoprolinase"	"pxpC" // "pxpB" // "pxpA"	"CPLX0-8249"
"peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB"	"mrcB"	"CPLX0-3951"
"FicT-FicA complex"	"fic" // "yhfG"	"CPLX0-8227"
"regulatory ATPase RavA"	"ravA"	"CPLX0-3927"
"glutarate hydroxylase GlaH"	"glaH"	"CPLX0-8201"
"tyrosine&mdash;tRNA ligase"	"tyrS"	"TYRS-CPLX"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit"	"tsaB" // "tsaD"	"CPLX0-8181"
"thymidylate synthase"	"thyA"	"THYMIDYLATESYN-CPLX"
"aldehyde dehydrogenase B"	"aldB"	"CPLX0-3482"
"Xaa-Pro dipeptidase"	"pepQ"	"CPLX0-8156"
"succinyl-CoA synthetase subunit &alpha;" // "succinyl-CoA synthetase subunit &beta;"	"sucD" // "sucC"	"SUCCCOASYN"
"ClpXP"	"clpP" // "clpX"	"CPLX0-3107"
"molybdenum cofactor insertion chaperone PaoD"	"paoD"	"CPLX0-8110"
"ribose-5-phosphate isomerase A"	"rpiA"	"RIB5PISOMA-CPLX"
"Lon protease"	"lon"	"CPLX0-2881"
"proline&mdash;tRNA ligase"	"proS"	"PROS-CPLX"
"molybdopterin synthase"	"moaD" // "moaE"	"CPLX0-2502"
"periplasmic acid stress chaperone HdeA"	"hdeA"	"CPLX0-801"
"argininosuccinate synthetase"	"argG"	"CPLX0-238"
"miniconductance mechanosensitive channel MscM"	"mscM"	"CPLX0-7985"
"RcsAB DNA-binding transcriptional dual regulator"	"rcsB" // "rcsA"	"PC00084"
"dihydroxyacetone kinase"	"dhaK" // "dhaL" // "dhaM"	"CPLX0-2081"
"protein/nucleic acid deglycase 3"	"yajL"	"CPLX0-7960"
"ornithine decarboxylase, degradative"	"speF"	"ORNDECARBOXDEG-CPLX"
"adenine deaminase"	"adeD"	"CPLX0-1683"
"PTS enzyme I"	"ptsI"	"CPLX0-7938"
"periplasmic nitrate reductase"	"napB" // "napA"	"NAP-CPLX"
"MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity"	"mazF"	"CPLX0-1241"
"phosphate acetyltransferase EutD"	"eutD"	"CPLX0-7912"
"NADP<sup>+</sup>-dependent malate dehydrogenase"	"maeB"	"MALIC-NADP-CPLX"
"arsenite/antimonite:H<sup>+</sup> antiporter"	"arsB"	"CPLX-7"
"Der GTPase-activating protein YihI"	"yihI"	"CPLX0-7853"
"3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase"	"kdsA"	"KDO-8PSYNTH-CPLX"
"glucose-specific PTS enzyme II"	"ptsG" // "crr"	"CPLX-157"
"DosC-DosP complex"	"dosP" // "dosC"	"CPLX0-7823"
"dihydropteroate synthase"	"folP"	"H2PTEROATESYNTH-CPLX"
"carbonic anhydrase 1"	"cynT"	"CARBODEHYDRAT-CPLX"
"MetJ-S-adenosylmethionine DNA-binding transcriptional repressor"	"metJ"	"CPLX0-7796"
"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase"	"gldA"	"GLYCDEH-CPLX"
"&beta; complex"	"atoA"	"ATOA-CPLX"
"CpxR-P<sup>asp</sup> DNA-binding transcriptional dual regulator"	"cpxR"	"CPLX0-7748"
"sensory histidine kinase NtrB"	"glnL"	"GLNL-CPLX"
"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive"	"aroF"	"AROF-CPLX"
"L-rhamnonate dehydratase"	"rhmD"	"CPLX0-7722"
"hydrogenase 1"	"hyaA" // "hyaB" // "hyaC"	"FORMHYDROGI-CPLX"
"&alpha;-galactosidase"	"melA"	"ALPHAGALACTOSID-CPLX"
"MukEF complex"	"mukE" // "mukF"	"CPLX0-7697"
"ATP synthase F<sub>0</sub> complex"	"atpE" // "atpF" // "atpB"	"F-O-CPLX"
"cysteine synthase B"	"cysM"	"ACSERLYB-CPLX"
"2Fe-2S cluster-containing protein YeaW"	"yeaW"	"CPLX0-7675"
"dUTP diphosphatase"	"dut"	"DUTP-PYROP-CPLX"
"thiosulfate/sulfate ABC transporter"	"cysA" // "cysW" // "cysU" // "cysP"	"ABC-7-CPLX"
"L-rhamnose mutarotase"	"rhaM"	"CPLX0-7649"
"dethiobiotin synthetase"	"bioD"	"DETHIOBIOTIN-SYN-CPLX"
"glutathione ABC transporter"	"gsiA" // "gsiB" // "gsiD" // "gsiC"	"ABC-49-CPLX"
"dCMP phosphohydrolase"	"yfbR"	"CPLX0-7625"
"NMN aminohydrolase"	"pncC"	"CPLXECOLI-7943"
"phosphate ABC transporter"	"pstB" // "pstA" // "pstC" // "pstS"	"ABC-27-CPLX"
"cell division protein ZapA"	"zapA"	"CPLX0-7538"
"Ubi complex"	"ubiK" // "ubiJ" // "ubiI" // "ubiH" // "ubiG" // "ubiF" // "ubiE"	"CPLX0-8301"
"iron(III) hydroxamate ABC transporter"	"fhuC" // "fhuB" // "fhuD"	"ABC-11-CPLX"
"flagellar motor switch complex"	"fliG" // "fliM" // "fliN"	"CPLX0-7450"
"aromatic carboxylic acid efflux pump"	"aaeA" // "aaeB"	"CPLX0-4"
"regulator of CsrB and CsrC decay"	"csrD"	"CPLX0-8245"
"ITPase/XTPase"	"yjjX"	"CPLX0-3948"
"diguanylate cyclase DosC"	"dosC"	"CPLX0-8218"
"putative monooxygenase YdhR"	"ydhR"	"CPLX0-3923"
"lipoprotein NlpI"	"nlpI"	"CPLX0-8198"
"tryptophan synthase subunit &alpha;" // "tryptophan synthase, &beta; subunit dimer"	"trpA" // "trpB"	"TRYPSYN"
"glutamyl-tRNA reductase"	"hemA"	"CPLX0-3741"
"tRNA threonylcarbamoyladenosine dehydratase"	"tcdA"	"CPLX0-8176"
"threonine deaminase"	"ilvA"	"THREDEHYDSYN-CPLX"
"fimbrial complex"	"fimA" // "fimF" // "fimG" // "fimH"	"CPLX0-3401"
"cystine ABC transporter"	"tcyN" // "tcyL" // "tcyJ"	"CPLX0-8152"
"spermidine <i>N</i>-acetyltransferase"	"speG"	"SPERMACTRAN-CPLX"
"ClpP serine protease"	"clpP"	"CPLX0-3101"
"small heat shock protein IbpB homodimer"	"ibpB"	"CPLX0-8107"
"exodeoxyribonuclease V"	"recD" // "recC" // "recB"	"RECBCD"
"ClpXP protease specificity-enhancing factor"	"sspB"	"CPLX0-2681"
"molybdopterin-guanine dinucleotide biosynthesis adaptor protein"	"mobB"	"CPLX0-8044"
"polyphosphate kinase"	"ppk"	"PPK-CPLX"
"L-cysteine desulfurase"	"sufS"	"CPLX0-246"
"enoyl-[acyl-carrier-protein] reductase"	"fabI"	"CPLX0-8006"
"phosphatidylserine decarboxylase"	"psd"	"PHOSPHASERDECARB-DIMER"
"arylamine <i>N</i>-acetyltransferase"	"nhoA"	"CPLX0-236"
"small conductance mechanosensitive channel YnaI"	"ynaI"	"CPLX0-7982"
"DNA-binding transcriptional repressor PurR"	"purR"	"PC00033"
"fructose-6-phosphate aldolase 1"	"fsaA"	"CPLX0-201"
"selenide, water dikinase"	"selD"	"CPLX0-7957"
"ornithine carbamoyltransferase"	"argF"	"ORNCARBAMTRANSFERF-CPLX"
"RNase G"	"rng"	"CPLX0-1621"
"FtsLBQ cell division complex"	"ftsQ" // "ftsB" // "ftsL"	"CPLX0-7934"
"NADH:quinone oxidoreductase I"	"nuoA" // "nuoH" // "nuoJ" // "nuoK" // "nuoL" // "nuoM" // "nuoN" // "nuoI" // "nuoG" // "nuoF" // "nuoE" // "nuoC" // "nuoB"	"NADH-DHI-CPLX"
"HslV hexamer"	"hslV"	"CPLX0-1162"
"iron-sulfur cluster insertion protein IscA"	"iscA"	"CPLX0-7908"
"malate dehydrogenase"	"mdh"	"MALATE-DEHASE"
"curli transport specificity factor" // "curli secretion channel"	"csgE" // "csgG"	"CPLX-3945"
"L-ascorbate-6-phosphate lactonase"	"ulaG"	"CPLX0-7848"
"inosine 5'-monophosphate dehydrogenase"	"guaB"	"IMP-DEHYDROG-CPLX"
"&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase"	"bglF"	"CPLX-154"
"lipoyl synthase"	"lipA"	"CPLX0-782"
"glutathione <i>S</i>-transferase GstA"	"gstA"	"GST-CPLX"
"biotin carboxylase"	"accC"	"BIOTIN-CARBOXYL-CPLX"
"RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor"	"relB" // "relE"	"CPLX0-7791"
"glutamate 5-kinase"	"proB"	"GLUTKIN-CPLX"
"fused aspartate kinase/homoserine dehydrogenase 2"	"metL"	"ASPKINIIHOMOSERDEHYDROGII-CPLX"
"3-keto-L-gulonate-6-phosphate decarboxylase UlaD"	"ulaD"	"CPLX0-7744"
"glycine decarboxylase"	"gcvP"	"GCVP-CPLX"
"arginine decarboxylase, degradative"	"adiA"	"ARGDECARBOXDEG-CPLX"
"quinolinate synthase"	"nadA"	"CPLX0-7719"
"formate dehydrogenase N, subcomplex"	"fdnG" // "fdnH" // "fdnI"	"FORMATEDEHYDROGN-CPLX"
