uniprot,desc,gene,cog_class_letter,cog_desc,cog_class
P0AFA7,Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain K12) GN=nhaB PE=1 SV=1,nhaB,P,Inorganic ion transport and metabolism,Metabolism
P33590,Nickel-binding periplasmic protein OS=Escherichia coli (strain K12) GN=nikA PE=1 SV=1,nikA,E,Amino acid transport and metabolism,Metabolism
P0AFA9,Nickel transport system permease protein nikC OS=Escherichia coli (strain K12) GN=nikC PE=1 SV=1,nikC,EP,Amino acid transport and metabolism,Metabolism
P0A6Z6,Nickel-responsive regulator OS=Escherichia coli (strain K12) GN=nikR PE=1 SV=1,nikR,K,Transcription,Information Storage and Processing
P08201,Nitrite reductase [NAD(P)H] large subunit OS=Escherichia coli (strain K12) GN=nirB PE=3 SV=4,nirB,C,Energy production and conversion,Metabolism
P0A9I8,Nitrite reductase [NAD(P)H] small subunit OS=Escherichia coli (strain K12) GN=nirD PE=1 SV=1,nirD,PR,Inorganic ion transport and metabolism,Metabolism
P04846,Lipoprotein 28 OS=Escherichia coli (strain K12) GN=nlpA PE=1 SV=1,nlpA,P,Inorganic ion transport and metabolism,Metabolism
P0ADA3,Lipoprotein nlpD OS=Escherichia coli (strain K12) GN=nlpD PE=1 SV=1,nlpD,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P40710,Lipoprotein NlpE OS=Escherichia coli (strain K12) GN=nlpE PE=1 SV=1,nlpE,MP,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0AFB1,Lipoprotein nlpI OS=Escherichia coli (strain K12) GN=nlpI PE=1 SV=1,nlpI,R,General function prediction only,Poorly Characterized
P31806,Uncharacterized protein yjeF OS=Escherichia coli (strain K12) GN=yjeF PE=1 SV=2,nnr,G,Carbohydrate transport and metabolism,Metabolism
P00452,Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2,nrdA,F,Nucleotide transport and metabolism,Metabolism
P69924,Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2,nrdB,F,Nucleotide transport and metabolism,Metabolism
P28903,Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2,nrdD,F,Nucleotide transport and metabolism,Metabolism
P39452,Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3,nrdE,F,Nucleotide transport and metabolism,Metabolism
P37146,Ribonucleoside-diphosphate reductase 2 subunit beta OS=Escherichia coli (strain K12) GN=nrdF PE=1 SV=2,nrdF,F,Nucleotide transport and metabolism,Metabolism
P0A8D0,Transcriptional repressor NrdR OS=Escherichia coli (strain K12) GN=nrdR PE=1 SV=1,nrdR,K,Transcription,Information Storage and Processing
P0ABK9,Cytochrome c-552 OS=Escherichia coli (strain K12) GN=nrfA PE=1 SV=1,nrfA,P,Inorganic ion transport and metabolism,Metabolism
P0AB83,Endonuclease III OS=Escherichia coli (strain K12) GN=nth PE=1 SV=1,nth,L,"Replication, recombination and repair",Information Storage and Processing
P32664,NADH pyrophosphatase OS=Escherichia coli (strain K12) GN=nudC PE=1 SV=2,nudC,L,"Replication, recombination and repair",Information Storage and Processing
P45799,ADP compounds hydrolase nudE OS=Escherichia coli (strain K12) GN=nudE PE=1 SV=1,nudE,LR,"Replication, recombination and repair",Information Storage and Processing
Q93K97,ADP-ribose pyrophosphatase OS=Escherichia coli (strain K12) GN=nudF PE=1 SV=2,nudF,L,"Replication, recombination and repair",Information Storage and Processing
P0AEI6,Phosphatase nudJ OS=Escherichia coli (strain K12) GN=nudJ PE=1 SV=1,nudJ,F,Nucleotide transport and metabolism,Metabolism
P37128,GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2,nudK,LR,"Replication, recombination and repair",Information Storage and Processing
P43337,Uncharacterized Nudix hydrolase nudL OS=Escherichia coli (strain K12) GN=nudL PE=3 SV=1,nudL,Not Assigned,Not Assigned,Not Assigned
P0AFC3,NADH-quinone oxidoreductase subunit A OS=Escherichia coli (strain K12) GN=nuoA PE=3 SV=1,nuoA,C,Energy production and conversion,Metabolism
P0AFC7,NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1,nuoB,C,Energy production and conversion,Metabolism
P33599,NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3,nuoC,C,Energy production and conversion,Metabolism
P0AFD1,NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1,nuoE,C,Energy production and conversion,Metabolism
P31979,NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3,nuoF,C,Energy production and conversion,Metabolism
P33602,NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4,nuoG,C,Energy production and conversion,Metabolism
P0AFD4,NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain K12) GN=nuoH PE=1 SV=1,nuoH,C,Energy production and conversion,Metabolism
P0AFD6,NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain K12) GN=nuoI PE=1 SV=1,nuoI,C,Energy production and conversion,Metabolism
P0AFE4,NADH-quinone oxidoreductase subunit K OS=Escherichia coli (strain K12) GN=nuoK PE=1 SV=1,nuoK,C,Energy production and conversion,Metabolism
P33607,NADH-quinone oxidoreductase subunit L OS=Escherichia coli (strain K12) GN=nuoL PE=1 SV=2,nuoL,CP,Energy production and conversion,Metabolism
P0AFE8,NADH-quinone oxidoreductase subunit M OS=Escherichia coli (strain K12) GN=nuoM PE=1 SV=1,nuoM,C,Energy production and conversion,Metabolism
P0AFF0,NADH-quinone oxidoreductase subunit N OS=Escherichia coli (strain K12) GN=nuoN PE=1 SV=2,nuoN,C,Energy production and conversion,Metabolism
P0AFF2,Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1,nupC,F,Nucleotide transport and metabolism,Metabolism
P0AFF6,Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1,nusA,K,Transcription,Information Storage and Processing
P0A780,N utilization substance protein B OS=Escherichia coli (strain K12) GN=nusB PE=1 SV=1,nusB,K,Transcription,Information Storage and Processing
P0AFG0,Transcription antitermination protein nusG OS=Escherichia coli (strain K12) GN=nusG PE=1 SV=2,nusG,K,Transcription,Information Storage and Processing
P42641,GTPase ObgE/CgtA OS=Escherichia coli (strain K12) GN=obgE PE=1 SV=1,obgE,R,General function prediction only,Poorly Characterized
P0A910,Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,ompA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P06996,Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1,ompC,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P02931,Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1,ompF,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0AA16,Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1,ompR,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P09169,Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1,ompT,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0A915,Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1,ompW,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0A917,Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1,ompX,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P23843,Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2,oppA,E,Amino acid transport and metabolism,Metabolism
P0AFH2,Oligopeptide transport system permease protein oppB OS=Escherichia coli (strain K12) GN=oppB PE=1 SV=1,oppB,EP,Amino acid transport and metabolism,Metabolism
P0AFH6,Oligopeptide transport system permease protein oppC OS=Escherichia coli (strain K12) GN=oppC PE=1 SV=1,oppC,EP,Amino acid transport and metabolism,Metabolism
P76027,Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2,oppD,EP,Amino acid transport and metabolism,Metabolism
P77737,Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1,oppF,E,Amino acid transport and metabolism,Metabolism
P0A784,Oligoribonuclease OS=Escherichia coli (strain K12) GN=orn PE=1 SV=2,orn,A,RNA processing and modification,Information Storage and Processing
P0ADA7,Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1,osmB,Not Assigned,Not Assigned,Not Assigned
P0C0L2,Peroxiredoxin osmC OS=Escherichia coli (strain K12) GN=osmC PE=1 SV=2,osmC,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0ADB1,Osmotically-inducible lipoprotein E OS=Escherichia coli (strain K12) GN=osmE PE=2 SV=1,osmE,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P33362,Putative osmoprotectant uptake system substrate-binding protein osmF OS=Escherichia coli (strain K12) GN=osmF PE=2 SV=1,osmF,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0AFH8,Osmotically-inducible protein Y OS=Escherichia coli (strain K12) GN=osmY PE=1 SV=1,osmY,R,General function prediction only,Poorly Characterized
P31677,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3",otsA,G,Carbohydrate transport and metabolism,Metabolism
P31678,Trehalose-phosphate phosphatase OS=Escherichia coli (strain K12) GN=otsB PE=1 SV=2,otsB,G,Carbohydrate transport and metabolism,Metabolism
P0ACQ4,Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1,oxyR,K,Transcription,Information Storage and Processing
P76078,Phenylacetic acid degradation protein paaB OS=Escherichia coli (strain K12) GN=paaB PE=2 SV=1,paaB,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P76079,Phenylacetic acid degradation protein paaC OS=Escherichia coli (strain K12) GN=paaC PE=1 SV=1,paaC,S,Function unknown,Poorly Characterized
P76081,Probable phenylacetic acid degradation NADH oxidoreductase paaE OS=Escherichia coli (strain K12) GN=paaE PE=2 SV=1,paaE,C,Energy production and conversion,Metabolism
P0C7L2,Beta-ketoadipyl-CoA thiolase OS=Escherichia coli (strain K12) GN=paaJ PE=1 SV=1,paaJ,I,Lipid transport and metabolism,Metabolism
P76085,Phenylacetate-coenzyme A ligase OS=Escherichia coli (strain K12) GN=paaK PE=1 SV=1,paaK,H,Coenzyme transport and metabolism,Metabolism
P76086,Phenylacetic acid degradation operon negative regulatory protein paaX OS=Escherichia coli (strain K12) GN=paaX PE=1 SV=1,paaX,K,Transcription,Information Storage and Processing
P77181,Phenylacetic acid degradation protein paaY OS=Escherichia coli (strain K12) GN=paaY PE=3 SV=1,paaY,R,General function prediction only,Poorly Characterized
P05041,Para-aminobenzoate synthase component 1 OS=Escherichia coli (strain K12) GN=pabB PE=1 SV=1,pabB,EH,Amino acid transport and metabolism,Metabolism
P0A912,Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1,pal,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P31057,3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1,panB,H,Coenzyme transport and metabolism,Metabolism
P31663,Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1,panC,H,Coenzyme transport and metabolism,Metabolism
P0A790,Aspartate 1-decarboxylase OS=Escherichia coli (strain K12) GN=panD PE=1 SV=1,panD,H,Coenzyme transport and metabolism,Metabolism
P0AFI2,DNA topoisomerase 4 subunit A OS=Escherichia coli (strain K12) GN=parC PE=1 SV=1,parC,L,"Replication, recombination and repair",Information Storage and Processing
P20083,DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3,parE,L,"Replication, recombination and repair",Information Storage and Processing
P42588,Putrescine aminotransferase OS=Escherichia coli (strain K12) GN=patA PE=1 SV=2,patA,E,Amino acid transport and metabolism,Metabolism
P0AFI5,D-alanyl-D-alanine endopeptidase OS=Escherichia coli (strain K12) GN=pbpG PE=1 SV=2,pbpG,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P22259,Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2,pckA,Not Assigned,Not Assigned,Not Assigned
P0A7A5,Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2,pcm,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0ABF1,Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2,pcnB,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0ACL9,Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1,pdhR,K,Transcription,Information Storage and Processing
P19624,4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1,pdxA,H,Coenzyme transport and metabolism,Metabolism
P05459,Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2,pdxB,HE,Coenzyme transport and metabolism,Metabolism
P0AFI7,Pyridoxine/pyridoxamine 5'-phosphate oxidase OS=Escherichia coli (strain K12) GN=pdxH PE=1 SV=2,pdxH,H,Coenzyme transport and metabolism,Metabolism
P0A794,Pyridoxine 5'-phosphate synthase OS=Escherichia coli (strain K12) GN=pdxJ PE=1 SV=2,pdxJ,H,Coenzyme transport and metabolism,Metabolism
P40191,Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2,pdxK,H,Coenzyme transport and metabolism,Metabolism
P77150,Pyridoxamine kinase OS=Escherichia coli (strain K12) GN=pdxY PE=1 SV=3,pdxY,H,Coenzyme transport and metabolism,Metabolism
P68767,Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1,pepA,E,Amino acid transport and metabolism,Metabolism
P37095,Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2,pepB,E,Amino acid transport and metabolism,Metabolism
P15288,Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3,pepD,E,Amino acid transport and metabolism,Metabolism
P0A7C6,Peptidase E OS=Escherichia coli (strain K12) GN=pepE PE=1 SV=1,pepE,E,Amino acid transport and metabolism,Metabolism
P04825,Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2,pepN,E,Amino acid transport and metabolism,Metabolism
P15034,Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) GN=pepP PE=1 SV=2,pepP,E,Amino acid transport and metabolism,Metabolism
P21165,Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2,pepQ,E,Amino acid transport and metabolism,Metabolism
P29745,Peptidase T OS=Escherichia coli (strain K12) GN=pepT PE=1 SV=2,pepT,E,Amino acid transport and metabolism,Metabolism
P0A796,6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1,pfkA,G,Carbohydrate transport and metabolism,Metabolism
P06999,6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) GN=pfkB PE=1 SV=2,pfkB,G,Carbohydrate transport and metabolism,Metabolism
P0A9N4,Pyruvate formate-lyase 1-activating enzyme OS=Escherichia coli (strain K12) GN=pflA PE=1 SV=2,pflA,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P09373,Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,pflB,C,Energy production and conversion,Metabolism
P75906,"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase OS=Escherichia coli (strain K12) GN=pgaB PE=1 SV=1",pgaB,G,Carbohydrate transport and metabolism,Metabolism
P0A6T1,Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1,pgi,G,Carbohydrate transport and metabolism,Metabolism
P0A799,Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,pgk,G,Carbohydrate transport and metabolism,Metabolism
P52697,6-phosphogluconolactonase OS=Escherichia coli (strain K12) GN=pgl PE=1 SV=2,pgl,G,Carbohydrate transport and metabolism,Metabolism
P36938,Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1,pgm,G,Carbohydrate transport and metabolism,Metabolism
P0A9J8,P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1,pheA,E,Amino acid transport and metabolism,Metabolism
P24207,Phenylalanine-specific permease OS=Escherichia coli (strain K12) GN=pheP PE=1 SV=1,pheP,E,Amino acid transport and metabolism,Metabolism
P08312,Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2,pheS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P07395,Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2,pheT,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AFJ1,Protein phnA OS=Escherichia coli (strain K12) GN=phnA PE=4 SV=1,phnA,P,Inorganic ion transport and metabolism,Metabolism
P16681,Protein phnB OS=Escherichia coli (strain K12) GN=phnB PE=1 SV=1,phnB,S,Function unknown,Poorly Characterized
P0AFJ5,Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1,phoB,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P23836,Transcriptional regulatory protein phoP OS=Escherichia coli (strain K12) GN=phoP PE=1 SV=1,phoP,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P23837,Sensor protein phoQ OS=Escherichia coli (strain K12) GN=phoQ PE=1 SV=1,phoQ,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0A9K7,Phosphate transport system protein phoU OS=Escherichia coli (strain K12) GN=phoU PE=1 SV=1,phoU,P,Inorganic ion transport and metabolism,Metabolism
P0AFJ7,Low-affinity inorganic phosphate transporter 1 OS=Escherichia coli (strain K12) GN=pitA PE=1 SV=1,pitA,P,Inorganic ion transport and metabolism,Metabolism
P0A921,Phospholipase A1 OS=Escherichia coli (strain K12) GN=pldA PE=1 SV=1,pldA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P76002,Uncharacterized protein ycgK OS=Escherichia coli (strain K12) GN=ycgK PE=1 SV=1,pliG,Not Assigned,Not Assigned,Not Assigned
P0A7A7,Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2,plsB,I,Lipid transport and metabolism,Metabolism
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsC PE=1 SV=1,plsC,I,Lipid transport and metabolism,Metabolism
P27247,Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2,plsX,I,Lipid transport and metabolism,Metabolism
P60782,Probable glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsY PE=1 SV=1,plsY,S,Function unknown,Poorly Characterized
P0AFK0,Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1,pmbA,R,General function prediction only,Poorly Characterized
P37590,Signal transduction protein pmrD OS=Escherichia coli (strain K12) GN=pmrD PE=1 SV=2,pmrD,Not Assigned,Not Assigned,Not Assigned
P21369,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,pncA,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P18133,Nicotinate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pncB PE=1 SV=3,pncB,H,Coenzyme transport and metabolism,Metabolism
P0A6G3,Protein YgaD OS=Escherichia coli (strain K12) GN=ygaD PE=1 SV=1,pncC,R,General function prediction only,Poorly Characterized
P05055,Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3,pnp,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P07001,NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) GN=pntA PE=1 SV=2,pntA,C,Energy production and conversion,Metabolism
P0AB67,NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) GN=pntB PE=1 SV=1,pntB,C,Energy production and conversion,Metabolism
P0AFK2,Nicotinamide riboside transporter pnuC OS=Escherichia coli (strain K12) GN=pnuC PE=1 SV=1,pnuC,H,Coenzyme transport and metabolism,Metabolism
P00582,DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,polA,L,"Replication, recombination and repair",Information Storage and Processing
P69874,Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1,potA,E,Amino acid transport and metabolism,Metabolism
P0AFK6,Spermidine/putrescine transport system permease protein potC OS=Escherichia coli (strain K12) GN=potC PE=3 SV=1,potC,E,Amino acid transport and metabolism,Metabolism
P0AFK9,Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1,potD,E,Amino acid transport and metabolism,Metabolism
P31133,Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potF PE=1 SV=3,potF,E,Amino acid transport and metabolism,Metabolism
P31134,Putrescine transport ATP-binding protein PotG OS=Escherichia coli (strain K12) GN=potG PE=3 SV=2,potG,E,Amino acid transport and metabolism,Metabolism
P07003,Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) GN=poxB PE=1 SV=1,poxB,EH,Amino acid transport and metabolism,Metabolism
P0A7A9,Inorganic pyrophosphatase OS=Escherichia coli (strain K12) GN=ppa PE=1 SV=2,ppa,C,Energy production and conversion,Metabolism
P00864,Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ppc,C,Energy production and conversion,Metabolism
P0AFL3,Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1,ppiA,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P23869,Peptidyl-prolyl cis-trans isomerase B OS=Escherichia coli (strain K12) GN=ppiB PE=1 SV=2,ppiB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A9L5,Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2,ppiC,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0ADY1,Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1,ppiD,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A7B1,Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2,ppk,P,Inorganic ion transport and metabolism,Metabolism
P23538,Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5,ppsA,G,Carbohydrate transport and metabolism,Metabolism
P0A8A4,Putative phosphotransferase ydiA OS=Escherichia coli (strain K12) GN=ydiA PE=1 SV=1,ppsR,S,Function unknown,Poorly Characterized
P0AFL6,Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2,ppx,FP,Nucleotide transport and metabolism,Metabolism
P31828,Probable zinc protease pqqL OS=Escherichia coli (strain K12) GN=pqqL PE=3 SV=2,pqqL,R,General function prediction only,Poorly Characterized
P23865,Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2,prc,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P76440,Uncharacterized oxidoreductase yeiT OS=Escherichia coli (strain K12) GN=yeiT PE=4 SV=1,preT,ER,Amino acid transport and metabolism,Metabolism
P0A7I0,Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1,prfA,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P07012,Peptide chain release factor 2 OS=Escherichia coli (strain K12) GN=prfB PE=1 SV=3,prfB,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0A7I4,Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2,prfC,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P07013,Primosomal replication protein n OS=Escherichia coli (strain K12) GN=priB PE=1 SV=3,priB,L,"Replication, recombination and repair",Information Storage and Processing
P23862,Primosomal replication protein N'' OS=Escherichia coli (strain K12) GN=priC PE=1 SV=3,priC,L,"Replication, recombination and repair",Information Storage and Processing
P0AEX5,Probable phosphoribulokinase OS=Escherichia coli (strain K12) GN=prkB PE=3 SV=1,prkB,C,Energy production and conversion,Metabolism
P27298,Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3,prlC,E,Amino acid transport and metabolism,Metabolism
P15373,Antitoxin PrlF OS=Escherichia coli (strain K12) GN=sohA PE=1 SV=1,prlF,K,Transcription,Information Storage and Processing
P0A8T1,Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1,prmA,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P39199,Uncharacterized adenine-specific methylase yfcB OS=Escherichia coli (strain K12) GN=yfcB PE=3 SV=3,prmB,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P07004,Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2,proA,E,Amino acid transport and metabolism,Metabolism
P0A7B5,Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1,proB,E,Amino acid transport and metabolism,Metabolism
P0A9L8,Pyrroline-5-carboxylate reductase OS=Escherichia coli (strain K12) GN=proC PE=1 SV=1,proC,E,Amino acid transport and metabolism,Metabolism
P0C0L7,Proline/betaine transporter OS=Escherichia coli (strain K12) GN=proP PE=1 SV=1,proP,G,Carbohydrate transport and metabolism,Metabolism
P45577,ProP effector OS=Escherichia coli (strain K12) GN=proQ PE=1 SV=2,proQ,T,Signal transduction mechanisms,Cellular Processes and Signaling
P16659,Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4,proS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P14175,Glycine betaine/L-proline transport ATP-binding protein ProV OS=Escherichia coli (strain K12) GN=proV PE=1 SV=1,proV,E,Amino acid transport and metabolism,Metabolism
P14176,Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1,proW,E,Amino acid transport and metabolism,Metabolism
P0AFM2,Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1,proX,E,Amino acid transport and metabolism,Metabolism
P77541,Methylisocitrate lyase OS=Escherichia coli (strain K12) GN=prpB PE=1 SV=3,prpB,G,Carbohydrate transport and metabolism,Metabolism
P31660,2-methylcitrate synthase OS=Escherichia coli (strain K12) GN=prpC PE=1 SV=2,prpC,C,Energy production and conversion,Metabolism
P77243,2-methylcitrate dehydratase OS=Escherichia coli (strain K12) GN=prpD PE=1 SV=3,prpD,R,General function prediction only,Poorly Characterized
