Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	searches
P0AEE3	reviewed	Serine endoprotease DegS (EC 3.4.21.107) (Site-1 protease DegS) (S1P protease DegS) (Site-1-type intramembrane protease)	degS hhoB htrH b3235 JW3204		DEGS_ECOLI	GO:0004252; GO:0006508; GO:0008233; GO:0008236; GO:0030288; GO:0042802; GO:0071218; GO:0071575	integral component of external side of plasma membrane [GO:0071575]; outer membrane-bounded periplasmic space [GO:0030288]; identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; cellular response to misfolded protein [GO:0071218]; proteolysis [GO:0006508]	cellular response to misfolded protein [GO:0071218]; proteolysis [GO:0006508]	37,581		KW-0002; KW-0378; KW-0472; KW-0645; KW-0720; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	P0AEE3
P04994	reviewed	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA b2509 JW2493		EX7L_ECOLI	GO:0003676; GO:0005737; GO:0006308; GO:0008855; GO:0009318	cytoplasm [GO:0005737]; exodeoxyribonuclease VII complex [GO:0009318]; exodeoxyribonuclease VII activity [GO:0008855]; nucleic acid binding [GO:0003676]; DNA catabolic process [GO:0006308]	DNA catabolic process [GO:0006308]	51,832		KW-0269; KW-0378; KW-0540; KW-0903; KW-0963; KW-1185	P04994
P0AD27	reviewed	Inner membrane protein YejM	yejM yejN b2188 JW2176		YEJM_ECOLI	GO:0005886; GO:0008484; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sulfuric ester hydrolase activity [GO:0008484]		67,296		KW-0002; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	P0AD27
P37643	reviewed	Inner membrane metabolite transport protein YhjE	yhjE b3523 JW3491		YHJE_ECOLI	GO:0005886; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]		47,208		KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	P37643
P0A9L5	reviewed	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Par10) (Parvulin) (Rotamase C)	ppiC parVA b3775 JW3748		PPIC_ECOLI	GO:0003755; GO:0005737	cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		10,232		KW-0002; KW-0413; KW-0697; KW-0903; KW-0963; KW-1185	P0A9L5
P75830	reviewed	Macrolide export protein MacA	macA ybjY b0878 JW0862		MACA_ECOLI	GO:0005886; GO:0015562; GO:0019898; GO:0042802; GO:0046618; GO:0046677; GO:1990196; GO:1990281; GO:1990961	efflux pump complex [GO:1990281]; extrinsic component of membrane [GO:0019898]; MacAB-TolC complex [GO:1990196]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; identical protein binding [GO:0042802]; drug export [GO:0046618]; response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	drug export [GO:0046618]; response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	40,624		KW-0002; KW-0046; KW-0175; KW-0472; KW-0812; KW-0813; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185	P75830
P0A830	reviewed	Aerobic C4-dicarboxylate transport protein	dctA b3528 JW3496		DCTA_ECOLI	GO:0005886; GO:0005887; GO:0006974; GO:0015138; GO:0015141; GO:0015183; GO:0015366; GO:0015741; GO:0016021; GO:0022857; GO:0070778	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; fumarate transmembrane transporter activity [GO:0015138]; L-aspartate transmembrane transporter activity [GO:0015183]; malate:proton symporter activity [GO:0015366]; succinate transmembrane transporter activity [GO:0015141]; transmembrane transporter activity [GO:0022857]; cellular response to DNA damage stimulus [GO:0006974]; fumarate transport [GO:0015741]; L-aspartate transmembrane transport [GO:0070778]	cellular response to DNA damage stimulus [GO:0006974]; fumarate transport [GO:0015741]; L-aspartate transmembrane transport [GO:0070778]	45,436		KW-0472; KW-0769; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	P0A830
P0AFX4	reviewed	Regulator of sigma D	rsd b3995 JW3959		RSD_ECOLI	GO:0005737; GO:0006355; GO:0016989	cytoplasm [GO:0005737]; sigma factor antagonist activity [GO:0016989]; regulation of transcription, DNA-templated [GO:0006355]	regulation of transcription, DNA-templated [GO:0006355]	18,243		KW-0002; KW-0804; KW-0805; KW-0963; KW-1185	P0AFX4
P32131	reviewed	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	hemN yihJ b3867 JW3838	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:12114526, ECO:0000269|PubMed:14633981};  Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000269|PubMed:12114526, ECO:0000269|PubMed:14633981};	HEMN_ECOLI	GO:0004109; GO:0005737; GO:0006782; GO:0046872; GO:0051539; GO:0051989	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; coproporphyrinogen dehydrogenase activity [GO:0051989]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]; protoporphyrinogen IX biosynthetic process [GO:0006782]	protoporphyrinogen IX biosynthetic process [GO:0006782]	52,729	METAL 62;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000244|PDB:1OLT, ECO:0000269|PubMed:14633981"; METAL 66;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000244|PDB:1OLT, ECO:0000269|PubMed:14633981"; METAL 69;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000244|PDB:1OLT, ECO:0000269|PubMed:14633981"	KW-0002; KW-0004; KW-0408; KW-0411; KW-0479; KW-0560; KW-0627; KW-0903; KW-0949; KW-0963; KW-1185	P32131
P45800	reviewed	Putative membrane protein IgaA homolog	yrfF b3398 JW3361		IGAA_ECOLI	GO:0005886; GO:0009276; GO:0016021	Gram-negative-bacterium-type cell wall [GO:0009276]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		79,490		KW-0002; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	P45800
P0CB39	reviewed	Phosphoethanolamine transferase EptC (EC 2.7.-.-)	eptC cptA yijP b3955 JW3927		EPTC_ECOLI	GO:0005886; GO:0008484; GO:0009244; GO:0016021; GO:0016776	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphotransferase activity, phosphate group as acceptor [GO:0016776]; sulfuric ester hydrolase activity [GO:0008484]; lipopolysaccharide core region biosynthetic process [GO:0009244]	lipopolysaccharide core region biosynthetic process [GO:0009244]	66,610		KW-0002; KW-0443; KW-0444; KW-0448; KW-0472; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	P0CB39
P0AD10	reviewed	Uncharacterized protein YecJ	yecJ b4537 JW1891		YECJ_ECOLI				9,123		KW-1185	P0AD10
P0ACB4	reviewed	Protoporphyrinogen IX dehydrogenase [menaquinone] (EC 1.3.5.3)	hemG yihB b3850 JW3827		HEMG_ECOLI	GO:0004729; GO:0005829; GO:0006779; GO:0006782; GO:0006783; GO:0009055; GO:0010181; GO:0070819	cytosol [GO:0005829]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; menaquinone-dependent protoporphyrinogen oxidase activity [GO:0070819]; oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]; heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]	heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]	21,226		KW-0560; KW-0627; KW-0903; KW-1185	P0ACB4
P37751	reviewed	Putative glycosyltransferase WbbK	wbbK yefI b2032 JW2017		WBBK_ECOLI	GO:0005886; GO:0009103; GO:0016757	plasma membrane [GO:0005886]; transferase activity, transferring glycosyl groups [GO:0016757]; lipopolysaccharide biosynthetic process [GO:0009103]	lipopolysaccharide biosynthetic process [GO:0009103]	43,188		KW-0448; KW-0472; KW-0808; KW-0997; KW-1003; KW-1185	P37751
P64554	reviewed	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE ygcF b2777 JW2748	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_00917};  Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000255|HAMAP-Rule:MF_00917}; COFACTOR: Name=S-adenosyl-L-methionine; Xref=ChEBI:CHEBI:59789; Evidence={ECO:0000255|HAMAP-Rule:MF_00917};  Note=Binds 1 S-adenosyl-L-methionine per subunit. {ECO:0000255|HAMAP-Rule:MF_00917}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00917}; 	QUEE_ECOLI	GO:0000287; GO:0005829; GO:0008616; GO:0016840; GO:0032153; GO:0032466; GO:0051539; GO:1904047	cell division site [GO:0032153]; cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-nitrogen lyase activity [GO:0016840]; magnesium ion binding [GO:0000287]; S-adenosyl-L-methionine binding [GO:1904047]; negative regulation of cytokinesis [GO:0032466]; queuosine biosynthetic process [GO:0008616]	negative regulation of cytokinesis [GO:0032466]; queuosine biosynthetic process [GO:0008616]	25,030	METAL 31;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00917"; METAL 35;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00917"; METAL 38;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000255|HAMAP-Rule:MF_00917"; METAL 40;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00917"	KW-0004; KW-0408; KW-0411; KW-0456; KW-0460; KW-0479; KW-0671; KW-0949; KW-1185	P64554
P0AE22	reviewed	Class B acid phosphatase (CBAP) (EC 3.1.3.2)	aphA napA yjbP b4055 JW4015	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:14687572, ECO:0000269|PubMed:16330049, ECO:0000269|PubMed:18845157};  Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000269|PubMed:14687572, ECO:0000269|PubMed:16330049, ECO:0000269|PubMed:18845157};	APHA_ECOLI	GO:0000287; GO:0003993; GO:0004647; GO:0030288; GO:0042802	outer membrane-bounded periplasmic space [GO:0030288]; acid phosphatase activity [GO:0003993]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphoserine phosphatase activity [GO:0004647]		26,104	METAL 69;  /note="Magnesium"; METAL 71;  /note="Magnesium; via carbonyl oxygen"; METAL 192;  /note="Magnesium"	KW-0002; KW-0378; KW-0460; KW-0479; KW-0574; KW-0732; KW-0903; KW-1185	P0AE22
P20083	reviewed	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE nfxD b3030 JW2998	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00938, ECO:0000269|PubMed:21300644}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_00938, ECO:0000269|PubMed:21300644}; Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000255|HAMAP-Rule:MF_00938, ECO:0000269|PubMed:21300644};  Note=Binds two Mg(2+) per subunit. The magnesium ions form salt bridges with both the protein and the DNA. Can also accept other divalent metal cations, such as Mn(2+) or Ca(2+). {ECO:0000255|HAMAP-Rule:MF_00938, ECO:0000269|PubMed:21300644};	PARE_ECOLI	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005829; GO:0006265; GO:0007062; GO:0030541; GO:0046677; GO:0046872; GO:0051276	chromosome [GO:0005694]; cytosol [GO:0005829]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; chromosome organization [GO:0051276]; DNA topological change [GO:0006265]; plasmid partitioning [GO:0030541]; response to antibiotic [GO:0046677]; sister chromatid cohesion [GO:0007062]	chromosome organization [GO:0051276]; DNA topological change [GO:0006265]; plasmid partitioning [GO:0030541]; response to antibiotic [GO:0046677]; sister chromatid cohesion [GO:0007062]	70,244	METAL 418;  /note="Magnesium 1; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_00938"; METAL 490;  /note="Magnesium 1; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_00938"; METAL 490;  /note="Magnesium 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_00938"; METAL 492;  /note="Magnesium 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_00938"	KW-0002; KW-0046; KW-0067; KW-0238; KW-0413; KW-0460; KW-0479; KW-0547; KW-0799; KW-1185	P20083
P32680	reviewed	Uncharacterized protein YjaG	yjaG b3999 JW3963		YJAG_ECOLI	GO:0005829	cytosol [GO:0005829]		22,613		KW-1185	P32680
P28249	reviewed	Protein AsmA	asmA yegA b2064 JW2049		ASMA_ECOLI	GO:0005886; GO:0042597; GO:0090313	periplasmic space [GO:0042597]; plasma membrane [GO:0005886]; regulation of protein targeting to membrane [GO:0090313]	regulation of protein targeting to membrane [GO:0090313]	68,963		KW-0574; KW-0732; KW-1185	P28249
P10902	reviewed	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B)	nadB nicB b2574 JW2558	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; 	NADB_ECOLI	GO:0005829; GO:0008734; GO:0034628; GO:0044318; GO:0050660	cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; L-aspartate oxidase activity [GO:0008734]; L-aspartate:fumarate oxidoreductase activity [GO:0044318]; 'de novo' NAD biosynthetic process from aspartate [GO:0034628]	'de novo' NAD biosynthetic process from aspartate [GO:0034628]	60,337		KW-0002; KW-0274; KW-0285; KW-0560; KW-0662; KW-0903; KW-0963; KW-1015; KW-1185	P10902
P31802	reviewed	Nitrate/nitrite response regulator protein NarP	narP b2193 JW2181		NARP_ECOLI	GO:0000160; GO:0003677; GO:0005524; GO:0006355; GO:0042128	ATP binding [GO:0005524]; DNA binding [GO:0003677]; nitrate assimilation [GO:0042128]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	nitrate assimilation [GO:0042128]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	23,575		KW-0010; KW-0067; KW-0238; KW-0534; KW-0547; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-1185	P31802
A0A0G3HVX2	unreviewed	4-aminobutyrate aminotransferase PuuE (Gamma-aminobutyrate aminotransferase)	puuE FAZ87_08005		A0A0G3HVX2_ECOLI	GO:0003867; GO:0009448; GO:0030170	4-aminobutyrate transaminase activity [GO:0003867]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid metabolic process [GO:0009448]	gamma-aminobutyric acid metabolic process [GO:0009448]	44,729		KW-0032; KW-0663; KW-0808	Q5H772
P39452	reviewed	Ribonucleoside-diphosphate reductase 2 subunit alpha (EC 1.17.4.1) (R1E protein) (Ribonucleotide reductase 2)	nrdE b2675 JW2650		RIR3_ECOLI	GO:0004748; GO:0005524; GO:0005737; GO:0005971; GO:0006260; GO:0009263; GO:0015949	cytoplasm [GO:0005737]; ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]; nucleobase-containing small molecule interconversion [GO:0015949]	deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]; nucleobase-containing small molecule interconversion [GO:0015949]	80,479		KW-0021; KW-0067; KW-0235; KW-0547; KW-0560; KW-1015; KW-1185	P39452
P05637	reviewed	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH b0049 JW0048		APAH_ECOLI	GO:0008796; GO:0008803; GO:0010165; GO:0015949	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity [GO:0008803]; bis(5'-nucleosyl)-tetraphosphatase activity [GO:0008796]; nucleobase-containing small molecule interconversion [GO:0015949]; response to X-ray [GO:0010165]	nucleobase-containing small molecule interconversion [GO:0015949]; response to X-ray [GO:0010165]	31,297		KW-0378; KW-1185	P05637
P12295	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung b2580 JW2564		UNG_ECOLI	GO:0004844; GO:0005634; GO:0005739; GO:0006284; GO:0097510	mitochondrion [GO:0005739]; nucleus [GO:0005634]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair [GO:0006284]; base-excision repair, AP site formation via deaminated base removal [GO:0097510]	base-excision repair [GO:0006284]; base-excision repair, AP site formation via deaminated base removal [GO:0097510]	25,693		KW-0002; KW-0227; KW-0234; KW-0378; KW-0903; KW-0963; KW-1185	P12295
P76272	reviewed	Intermembrane transport protein YebT	yebT b1834 JW1823		YEBT_ECOLI	GO:0005887; GO:0030288; GO:0042802; GO:0120009	integral component of plasma membrane [GO:0005887]; outer membrane-bounded periplasmic space [GO:0030288]; identical protein binding [GO:0042802]; intermembrane lipid transfer [GO:0120009]	intermembrane lipid transfer [GO:0120009]	94,970		KW-0472; KW-0677; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	P76272
P76535	reviewed	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ yfeU b2428 JW2421		MURQ_ECOLI	GO:0005975; GO:0009254; GO:0016803; GO:0016835; GO:0046348; GO:0097173; GO:0097175; GO:0097367	carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; ether hydrolase activity [GO:0016803]; 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar catabolic process [GO:0046348]; carbohydrate metabolic process [GO:0005975]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]	1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar catabolic process [GO:0046348]; carbohydrate metabolic process [GO:0005975]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]	31,220		KW-0119; KW-0456; KW-1185	P76535
P27303	reviewed	Multidrug export protein EmrA	emrA b2685 JW2660		EMRA_ECOLI	GO:0005887; GO:0009636; GO:0030288; GO:0031226; GO:0042802; GO:0042910; GO:0046677; GO:1990961	integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; outer membrane-bounded periplasmic space [GO:0030288]; identical protein binding [GO:0042802]; xenobiotic transmembrane transporter activity [GO:0042910]; response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	42,736		KW-0046; KW-0175; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	P27303
P28903	reviewed	Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase)	nrdD b4238 JW4197		NRDD_ECOLI	GO:0005524; GO:0006260; GO:0008270; GO:0008998; GO:0009265; GO:0015949; GO:0031250; GO:0032556; GO:0032564; GO:0032567; GO:0051065	anaerobic ribonucleoside-triphosphate reductase complex [GO:0031250]; ATP binding [GO:0005524]; CTP reductase activity [GO:0051065]; dATP binding [GO:0032564]; dGTP binding [GO:0032567]; pyrimidine deoxyribonucleotide binding [GO:0032556]; ribonucleoside-triphosphate reductase activity [GO:0008998]; zinc ion binding [GO:0008270]; 2'-deoxyribonucleotide biosynthetic process [GO:0009265]; DNA replication [GO:0006260]; nucleobase-containing small molecule interconversion [GO:0015949]	2'-deoxyribonucleotide biosynthetic process [GO:0009265]; DNA replication [GO:0006260]; nucleobase-containing small molecule interconversion [GO:0015949]	80,023	METAL 644;  /note="Zinc";  /evidence="ECO:0000305|PubMed:12655046, ECO:0000305|PubMed:19381696"; METAL 647;  /note="Zinc";  /evidence="ECO:0000305|PubMed:12655046, ECO:0000305|PubMed:19381696"; METAL 662;  /note="Zinc";  /evidence="ECO:0000305|PubMed:12655046, ECO:0000305|PubMed:19381696"; METAL 665;  /note="Zinc";  /evidence="ECO:0000305|PubMed:12655046, ECO:0000305|PubMed:19381696"	KW-0067; KW-0479; KW-0547; KW-0556; KW-0560; KW-0862; KW-0903; KW-1185	P28903
P27830	reviewed	dTDP-glucose 4,6-dehydratase 2 (EC 4.2.1.46)	rffG b3788 JW5598	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000269|Ref.8};  Note=Binds 1 NAD(+) per subunit. {ECO:0000269|Ref.8};	RMLB2_ECOLI	GO:0008460; GO:0009103; GO:0009225; GO:0009246; GO:0045226	dTDP-glucose 4,6-dehydratase activity [GO:0008460]; enterobacterial common antigen biosynthetic process [GO:0009246]; extracellular polysaccharide biosynthetic process [GO:0045226]; lipopolysaccharide biosynthetic process [GO:0009103]; nucleotide-sugar metabolic process [GO:0009225]	enterobacterial common antigen biosynthetic process [GO:0009246]; extracellular polysaccharide biosynthetic process [GO:0045226]; lipopolysaccharide biosynthetic process [GO:0009103]; nucleotide-sugar metabolic process [GO:0009225]	39,754		KW-0002; KW-0456; KW-0520; KW-1185	P27830
P22524	reviewed	Chromosome partition protein MukE (Protein KicA)	mukE kicA ycbA b0923 JW0906		MUKE_ECOLI	GO:0005737; GO:0006260; GO:0007049; GO:0007059; GO:0009295; GO:0030261; GO:0051301	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	26,974		KW-0002; KW-0131; KW-0132; KW-0159; KW-0226; KW-0903; KW-0963; KW-1185	P22524
P10441	reviewed	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB pgsB b0182 JW0177		LPXB_ECOLI	GO:0005543; GO:0005737; GO:0005829; GO:0008915; GO:0009245; GO:0019897; GO:0042802	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of plasma membrane [GO:0019897]; identical protein binding [GO:0042802]; lipid-A-disaccharide synthase activity [GO:0008915]; phospholipid binding [GO:0005543]; lipid A biosynthetic process [GO:0009245]	lipid A biosynthetic process [GO:0009245]	42,382		KW-0002; KW-0328; KW-0441; KW-0443; KW-0444; KW-0808; KW-1185	P10441
P20099	reviewed	Biotin sulfoxide reductase (BDS reductase) (BSO reductase) (EC 1.-.-.-) (L-methionine-(S)-sulfoxide reductase) (Met-S-SO reductase) (EC 1.8.4.13)	bisC b3551 JW5940	COFACTOR: Name=Mo-bis(molybdopterin guanine dinucleotide); Xref=ChEBI:CHEBI:60539; Evidence={ECO:0000305|PubMed:15601707, ECO:0000305|PubMed:6460021};  Note=Binds 1 molybdenum-bis(molybdopterin guanine dinucleotide) (Mo-bis-MGD) cofactor per subunit. {ECO:0000305|PubMed:15601707, ECO:0000305|PubMed:6460021};	BISC_ECOLI	GO:0009055; GO:0009061; GO:0030151; GO:0030288; GO:0033744; GO:0043546	outer membrane-bounded periplasmic space [GO:0030288]; electron transfer activity [GO:0009055]; L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; anaerobic respiration [GO:0009061]	anaerobic respiration [GO:0009061]	85,851	METAL 148;  /note="Molybdenum";  /evidence="ECO:0000250"	KW-0479; KW-0500; KW-0560; KW-1185	P20099
P45395	reviewed	Arabinose 5-phosphate isomerase KdsD (API) (L-API) (EC 5.3.1.13)	kdsD yrbH b3197 JW3164		KDSD_ECOLI	GO:0019146; GO:0019294; GO:0046872; GO:0097367	arabinose-5-phosphate isomerase activity [GO:0019146]; carbohydrate derivative binding [GO:0097367]; metal ion binding [GO:0046872]; keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]	35,196	METAL 82;  /note="Zinc";  /evidence="ECO:0000250"	KW-0002; KW-0119; KW-0129; KW-0413; KW-0448; KW-0479; KW-0677; KW-0862; KW-1185	P45395
P75791	reviewed	Uncharacterized protein YbiU	ybiU b0821 JW0805		YBIU_ECOLI				47,329		KW-0002; KW-1185	P75791
P33030	reviewed	Zinc-binding GTPase YeiR (EC 3.6.-.-)	yeiR b2173 JW2161		YEIR_ECOLI	GO:0003924; GO:0005525; GO:0008270	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; zinc ion binding [GO:0008270]		36,113		KW-0342; KW-0378; KW-0479; KW-0547; KW-0862; KW-1185	P33030
P77569	reviewed	DNA-binding transcriptional activator MhpR (mhp operon transcriptional activator)	mhpR b0346 JW0337		MHPR_ECOLI	GO:0003677; GO:0003700; GO:0019439; GO:0045892	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; aromatic compound catabolic process [GO:0019439]; negative regulation of transcription, DNA-templated [GO:0045892]	aromatic compound catabolic process [GO:0019439]; negative regulation of transcription, DNA-templated [GO:0045892]	31,322		KW-0010; KW-0058; KW-0238; KW-0804; KW-0805; KW-1185	P77569
P0AE85	reviewed	Periplasmic protein CpxP (ORF_o167) (Periplasmic accessory protein CpxP)	cpxP yiiO b4484 JW5558		CPXP_ECOLI	GO:0030288; GO:0042802; GO:0045892; GO:0051082; GO:1990507	outer membrane-bounded periplasmic space [GO:0030288]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]; ATP-independent chaperone mediated protein folding [GO:1990507]; negative regulation of transcription, DNA-templated [GO:0045892]	ATP-independent chaperone mediated protein folding [GO:1990507]; negative regulation of transcription, DNA-templated [GO:0045892]	18,965		KW-0002; KW-0346; KW-0574; KW-0732; KW-1185	P0AE85
P24188	reviewed	UPF0176 protein YceA (ORF39.9)	yceA b1055 JW1042		YCEA_ECOLI				39,781		KW-1185	P24188
