cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
Na(+),"Binds one Na(+) per subunit, with 4 ligands provided by wat",Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA gyrase subunit B ,gyrB,P0AES6
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Chaperone-like protein hdeA ,hdeA,P0AES9
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Protein hdeB ,hdeB,P0AET2
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein hdeD ,hdeD,P0AET5
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,7-alpha-hydroxysteroid dehydrogenase ,hdhA,P0AET8
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Histidine-binding periplasmic protein ,hisJ,P0AEU0
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Chaperone protein skp ,skp,P0AEU7
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Protein hnr ,rssB,P0AEV1
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Formate hydrogenlyase regulatory protein hycA ,hycA,P0AEV4
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Hydrogenase 3 maturation protease ,hycI,P0AEV9
a metal cation,Binds 2 metal cations per subunit,Poorly Characterized,General function prediction only,General function prediction only,Protein icc ,cpdA,P0AEW4
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Inosine-guanosine kinase ,gsk,P0AEW6
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,1-phosphofructokinase ,fruK,P0AEW9
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Alpha-ketoglutarate permease ,kgtP,P0AEX3
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Probable phosphoribulokinase ,prkB,P0AEX5
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltose-binding periplasmic protein ,malE,P0AEX9
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Septum site-determining protein minD ,minD,P0AEZ3
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Molybdenum cofactor biosynthesis protein B ,moaB,P0AEZ9
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Molybdopterin adenylyltransferase ,mog,P0AF03
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Protein mrp ,mrp,P0AF08
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase ,mtnN,P0AF12
Zn(2+),"Binds 1 divalent metal cation per subunit. The highest efficient metals are Zn(2+) and Co(2+), followed by Mn(2+), Cd(2+), Fe(2+) and Ni(2+)",Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,N-acetylglucosamine-6-phosphate deacetylase ,nagA,P0AF18
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,N-acetylglucosamine repressor ,nagC,P0AF20
Mg(2+),"Magnesium. Can also use other divalent metal cations as manganese, cobalt or zinc",Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Protein nagD ,nagD,P0AF24
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Nitrate reductase molybdenum cofactor assembly chaperone NarJ ,narJ,P0AF26
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Nitrate/nitrite response regulator protein narL ,narL,P0AF28
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Cell division protein ZapB ,zapB,P0AF36
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yjbB ,yjbB,P0AF43
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yjbR ,yjbR,P0AF50
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Putative permease yjcD ,ghxP,P0AF52
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,UPF0079 ATP-binding protein yjeE ,tsaE,P0AF67
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yjeI ,yjeI,P0AF70
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Regulator of ribonuclease activity B ,rraB,P0AF90
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",RutC family protein yjgF ,ridA,P0AF93
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Uncharacterized protein yjgK ,tabA,P0AF96
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Lipopolysaccharide export system permease protein lptF ,lptF,P0AF98
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Na(+)/H(+) antiporter nhaB ,nhaB,P0AFA7
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Nickel transport system permease protein nikC ,nikC,P0AFA9
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Lipoprotein nlpI ,nlpI,P0AFB1
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Nitrogen regulation protein NR(II) ,glnL,P0AFB5
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Nitrogen regulation protein NR(I) ,glnG,P0AFB8
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit A ,nuoA,P0AFC3
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit B ,nuoB,P0AFC7
[2Fe-2S] cluster,Binds 1 [2Fe-2S] cluster,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit E ,nuoE,P0AFD1
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit H ,nuoH,P0AFD4
[4Fe-4S] cluster,Binds 2 [4Fe-4S] clusters per subunit,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit I ,nuoI,P0AFD6
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit K ,nuoK,P0AFE4
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit M ,nuoM,P0AFE8
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,NADH-quinone oxidoreductase subunit N ,nuoN,P0AFF0
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Nucleoside permease nupC ,nupC,P0AFF2
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcription elongation protein nusA ,nusA,P0AFF6
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcription antitermination protein nusG ,nusG,P0AFG0
(R)-lipoate,Binds 1 lipoyl cofactor covalentl,Metabolism,Energy production and conversion,Energy production and conversion,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex ,sucB,P0AFG6
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Oligopeptide transport system permease protein oppB ,oppB,P0AFH2
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Oligopeptide transport system permease protein oppC ,oppC,P0AFH6
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Osmotically-inducible protein Y ,osmY,P0AFH8
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA topoisomerase 4 subunit A ,parC,P0AFI2
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,D-alanyl-D-alanine endopeptidase ,pbpG,P0AFI5
FMN,Binds 1 FMN per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Pyridoxine/pyridoxamine 5'-phosphate oxidase ,pdxH,P0AFI7
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Protein phnA ,phnA,P0AFJ1
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Phosphate regulon transcriptional regulatory protein phoB ,phoB,P0AFJ5
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Low-affinity inorganic phosphate transporter 1 ,pitA,P0AFJ7
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Protein pmbA ,pmbA,P0AFK0
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Nicotinamide riboside transporter pnuC ,pnuC,P0AFK2
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Spermidine/putrescine transport system permease protein potC ,potC,P0AFK6
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Spermidine/putrescine-binding periplasmic protein ,potD,P0AFK9
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Peptidyl-prolyl cis-trans isomerase A ,ppiA,P0AFL3
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glycine betaine-binding periplasmic protein ,proX,P0AFM2
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Phosphate starvation-inducible protein psiF ,psiF,P0AFM4
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Phage shock protein A ,pspA,P0AFM6
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Phage shock protein B ,pspB,P0AFM9
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized oxidoreductase ybbO ,ybbO,P0AFP4
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0135 protein ybgI ,ybgI,P0AFP6
Co(2+),Binds 2 divalent metal cations per subunit,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Uncharacterized deoxyribonuclease ycfH ,ycfH,P0AFQ7
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Uncharacterized protein yciO ,yciO,P0AFR4
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Dihydrofolate reductase folM ,folM,P0AFS3
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Inner membrane amino-acid ABC transporter permease protein yecS ,yecS,P0AFT2
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized response regulatory protein yehT ,yehT,P0AFT5
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Riboflavin synthase alpha chain ,ribC,P0AFU8
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein spr ,mepS,P0AFV4
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcriptional activator rfaH ,rfaH,P0AFW0
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosome modulation factor ,rmf,P0AFW2
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Regulator of nucleoside diphosphate kinase ,rnk,P0AFW4
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Protein rof ,rof,P0AFW8
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Probable sigma(54) modulation protein ,hpf,P0AFX0
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Regulator of sigma D ,rsd,P0AFX4
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sigma-E factor negative regulatory protein ,rseA,P0AFX7
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sigma-E factor regulatory protein rseB ,rseB,P0AFX9
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Protein sbmA ,sbmA,P0AFY6
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Protein seqA ,seqA,P0AFY8
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Protein sseB ,sseB,P0AFZ1
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Stringent starvation protein B ,sspB,P0AFZ3
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipopolysaccharide biosynthesis protein wzzE ,wzzE,P0AG00
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,3-octaprenyl-4-hydroxybenzoate carboxy-lyase ,ubiX,P0AG03
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable protease sohB ,sohB,P0AG14
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Amidophosphoribosyltransferase ,purF,P0AG16
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,N5-carboxyaminoimidazole ribonucleotide mutase ,purE,P0AG18
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,GTP pyrophosphokinase ,relA,P0AG20
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yibN ,yibN,P0AG27
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcription termination factor Rho ,rho,P0AG30
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Riboflavin biosynthesis protein ribF ,ribF,P0AG40
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L17 ,rplQ,P0AG44
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L21 ,rplU,P0AG48
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L30 ,rpmD,P0AG51
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L6 ,rplF,P0AG55
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S14 ,rpsN,P0AG59
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S17 ,rpsQ,P0AG63
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S1 ,rpsA,P0AG67
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,DNA recombination protein rmuC ,rmuC,P0AG71
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Nuclease sbcCD subunit D ,sbcD,P0AG76
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Sulfate-binding protein ,sbp,P0AG78
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,sn-glycerol-3-phosphate-binding periplasmic protein ugpB ,ugpB,P0AG80
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate-binding protein pstS ,pstS,P0AG82
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Uncharacterized oxidoreductase yghA ,yghA,P0AG84
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export protein SecB ,secB,P0AG86
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secD ,secD,P0AG90
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein secF ,secF,P0AG93
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecE ,secE,P0AG96
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein-export membrane protein SecG ,secG,P0AG99
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Preprotein translocase subunit SecY ,secY,P0AGA2
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Transcriptional regulatory protein uhpA ,uhpA,P0AGA6
Mg(2+),"Binds 1 Mg(2+) ion per subunit. Can also use other divalent metal cations as Mn(2+), Co(2+) and Zn(2+)",Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Phosphoserine phosphatase ,serB,P0AGB0
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma-E factor ,rpoE,P0AGB6
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Hexose phosphate transport protein ,uhpT,P0AGC0
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Soluble lytic murein transglycosylase ,slt,P0AGC3
Cu cation,Binds 1 copper ion per subuni,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Cu-Zn] ,sodC,P0AGD1
Zn(2+),Binds 1 zinc ion per subuni,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Cu-Zn] ,sodC,P0AGD1
Fe cation,Binds 1 Fe cation per subunit,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Fe] ,sodB,P0AGD3
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Signal recognition particle protein ,ffh,P0AGD7
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Single-stranded DNA-binding protein ,ssb,P0AGE0
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine/threonine transporter sstT ,sstT,P0AGE4
FMN,Binds 1 FMN per subunit,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein yieF ,yieF,P0AGE6
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Succinyl-CoA ligase [ADP-forming] subunit alpha ,sucD,P0AGE9
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized sufE-like protein ygdK ,csdE,P0AGF2
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,D-xylose-proton symporter ,xylE,P0AGF4
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Thiamine-monophosphate kinase ,thiL,P0AGG0
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Acyl-CoA thioesterase 2 ,tesB,P0AGG2
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thioredoxin-2 ,trxC,P0AGG4
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Protein tldD ,tldD,P0AGG8
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribose transport system permease protein rbsC ,rbsC,P0AGI1
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylose transport system permease protein xylH ,xylH,P0AGI4
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Trk system potassium uptake protein trkA ,trkA,P0AGI8
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA guanosine-2'-O-methyltransferase ,trmH,P0AGJ2
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Uncharacterized tRNA/rRNA methyltransferase YfiF ,yfiF,P0AGJ5
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL ,trmL,P0AGJ7
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Tyrosyl-tRNA synthetase ,tyrS,P0AGJ9
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",RNA-binding protein YhbY ,yhbY,P0AGK4
[2Fe-2S] cluster,Binds 1 [2Fe-2S] clust,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator iscR ,iscR,P0AGK8
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Ribosomal RNA small subunit methyltransferase E ,rsmE,P0AGL7
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L18 ,rplR,P0C018
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0345 protein yaiE ,yaiE,P0C037
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Small heat shock protein ibpA ,ibpA,P0C054
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Small heat shock protein ibpB ,ibpB,P0C058
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase C ,mltC,P0C066
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Antitoxin RelB ,relB,P0C079
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type protein slmA ,slmA,P0C093
Mg(2+),May bind 2 Mg(2+) ions,Poorly Characterized,General function prediction only,General function prediction only,Protein rdoA ,rdoA,P0C0K3
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Peroxiredoxin osmC ,osmC,P0C0L2
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Proline/betaine transporter ,proP,P0C0L7
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Small-conductance mechanosensitive channel ,mscS,P0C0S1
Zn(2+),Binds 2 Zn(2+) ions per subunit. Zn(2+) ion 1 is bound in the active site. Zn(2+) ion 2 is bound at the dimer interface by residues from both subunits,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-insensitive murein endopeptidase ,mepA,P0C0T5
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,P0C0V0
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Beta-ketoadipyl-CoA thiolase ,paaJ,P0C7L2
Zn(2+),Binds 1 zinc ion per subunit,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"D-tagatose-1,6-bisphosphate aldolase subunit GatY ",gatY,P0C8J6
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"D-tagatose-1,6-bisphosphate aldolase subunit gatZ ",gatZ,P0C8J8
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Endo-type membrane-bound lytic murein transglycosylase A ,emtA,P0C960
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Phosphoethanolamine transferase CptA ,eptC,P0CB39
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Elongation factor Tu 1 ,tufA,P0CE47
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Transposase insH for insertion sequence element IS5-13 ,JW58,P0CE60
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Inactive ribonuclease PH ,rph,P0CG19
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Rare lipoprotein A ,rlpA,P10100
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Cell division protein ftsY ,ftsY,P10121
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutamine transport ATP-binding protein GlnQ ,glnQ,P10346
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase ,hisA,P10371
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Enterobactin synthase component E ,entE,P10378
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Long-chain fatty acid transport protein ,fadL,P10384
Zn(2+),Binds 1 zinc ion per subunit. Zinc is required for binding of the SecB chaperone to the extreme C-terminus of SecA,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Protein translocase subunit secA ,secA,P10408
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipid-A-disaccharide synthase ,lpxB,P10441
Mn(2+),Manganese or magnesium. Binds 1 divalent metal ion per monomer in the absence of substrate. May bind a second metal ion after substrate binding,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Ribonuclease HII ,rnhB,P10442
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit alpha ,dnaE,P10443
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,sn-glycerol-3-phosphate import ATP-binding protein UgpC ,ugpC,P10907
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Isocitrate dehydrogenase kinase/phosphatase ,aceK,P11071
