cog_class,cog_desc,cog_letter,desc,gene,go_number,pathway,uniprot
,,-,Uncharacterized protein yfhA,yfhA,160.0,phosphorelay signal transduction system,P0AFU4
,,-,Uncharacterized protein yfhA,yfhA,45893.0,"positive regulation of transcription, DNA-templated",P0AFU4
,,-,Uncharacterized protein yfhA,yfhA,6351.0,"transcription, DNA-templated",P0AFU4
Coenzyme transport and metabolism,METABOLISM,H,Riboflavin synthase alpha chain,ribC,9231.0,riboflavin biosynthetic process,P0AFU8
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Lipoprotein spr,mepS,45227.0,capsule polysaccharide biosynthetic process,P0AFV4
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Lipoprotein spr,mepS,71555.0,cell wall organization,P0AFV4
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Lipoprotein spr,mepS,270.0,peptidoglycan metabolic process,P0AFV4
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Lipoprotein spr,mepS,9254.0,peptidoglycan turnover,P0AFV4
Transcription,INFORMATION STORAGE AND PROCESSING,K,Transcriptional activator rfaH,rfaH,45727.0,positive regulation of translation,P0AFW0
Transcription,INFORMATION STORAGE AND PROCESSING,K,Transcriptional activator rfaH,rfaH,31564.0,transcription antitermination,P0AFW0
Transcription,INFORMATION STORAGE AND PROCESSING,K,Transcriptional activator rfaH,rfaH,1124.0,transcription elongation from bacterial-type RNA polymerase promoter,P0AFW0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Ribosome modulation factor,rmf,32055.0,negative regulation of translation in response to stress,P0AFW2
Transcription,INFORMATION STORAGE AND PROCESSING,K,Regulator of nucleoside diphosphate kinase,rnk,6354.0,"DNA-templated transcription, elongation",P0AFW4
Transcription,INFORMATION STORAGE AND PROCESSING,K,Regulator of nucleoside diphosphate kinase,rnk,32784.0,"regulation of DNA-templated transcription, elongation",P0AFW4
Transcription,INFORMATION STORAGE AND PROCESSING,K,Protein rof,rof,31554.0,"regulation of DNA-templated transcription, termination",P0AFW8
Transcription,INFORMATION STORAGE AND PROCESSING,K,Protein rof,rof,31564.0,transcription antitermination,P0AFW8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Probable sigma(54) modulation protein,hpf,17148.0,negative regulation of translation,P0AFX0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Probable sigma(54) modulation protein,hpf,45900.0,negative regulation of translational elongation,P0AFX0
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Probable sigma(54) modulation protein,hpf,44238.0,primary metabolic process,P0AFX0
Transcription,INFORMATION STORAGE AND PROCESSING,K,Regulator of sigma D,rsd,6355.0,"regulation of transcription, DNA-templated",P0AFX4
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,T,Sigma-E factor negative regulatory protein,rseA,,no associated pathway,P0AFX7
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,T,Sigma-E factor regulatory protein rseB,rseB,32885.0,regulation of polysaccharide biosynthetic process,P0AFX9
Lipid transport and metabolism,METABOLISM,I,Protein sbmA,sbmA,42885.0,microcin B17 transport,P0AFY6
Lipid transport and metabolism,METABOLISM,I,Protein sbmA,sbmA,42884.0,microcin transport,P0AFY6
Lipid transport and metabolism,METABOLISM,I,Protein sbmA,sbmA,15833.0,peptide transport,P0AFY6
Lipid transport and metabolism,METABOLISM,I,Protein sbmA,sbmA,15031.0,protein transport,P0AFY6
Lipid transport and metabolism,METABOLISM,I,Protein sbmA,sbmA,46677.0,response to antibiotic,P0AFY6
Lipid transport and metabolism,METABOLISM,I,Protein sbmA,sbmA,1901998.0,toxin transport,P0AFY6
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein seqA,seqA,32297.0,negative regulation of DNA-dependent DNA replication initiation,P0AFY8
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein seqA,seqA,90143.0,nucleoid organization,P0AFY8
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein seqA,seqA,51289.0,protein homotetramerization,P0AFY8
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein seqA,seqA,6355.0,"regulation of transcription, DNA-templated",P0AFY8
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein seqA,seqA,9314.0,response to radiation,P0AFY8
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Protein seqA,seqA,7062.0,sister chromatid cohesion,P0AFY8
,,-,Protein sseB,sseB,,no associated pathway,P0AFZ1
General function prediction only,POORLY CHARACTERIZED,R,Stringent starvation protein B,sspB,32781.0,positive regulation of ATPase activity,P0AFZ3
General function prediction only,POORLY CHARACTERIZED,R,Stringent starvation protein B,sspB,45732.0,positive regulation of protein catabolic process,P0AFZ3
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Lipopolysaccharide biosynthesis protein wzzE,wzzE,9246.0,enterobacterial common antigen biosynthetic process,P0AG00
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Lipopolysaccharide biosynthesis protein wzzE,wzzE,9103.0,lipopolysaccharide biosynthetic process,P0AG00
Coenzyme transport and metabolism,METABOLISM,H,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,ubiX,9108.0,coenzyme biosynthetic process,P0AG03
Coenzyme transport and metabolism,METABOLISM,H,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,ubiX,6744.0,ubiquinone biosynthetic process,P0AG03
Carbohydrate transport and metabolism,METABOLISM,G,Ribulose-phosphate 3-epimerase,rpe,44262.0,cellular carbohydrate metabolic process,P0AG07
Carbohydrate transport and metabolism,METABOLISM,G,Ribulose-phosphate 3-epimerase,rpe,19323.0,pentose catabolic process,P0AG07
Carbohydrate transport and metabolism,METABOLISM,G,Ribulose-phosphate 3-epimerase,rpe,9052.0,"pentose-phosphate shunt, non-oxidative branch",P0AG07
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,OU,Probable protease sohB,sohB,6508.0,proteolysis,P0AG14
Nucleotide transport and metabolism,METABOLISM,F,Amidophosphoribosyltransferase,purF,6189.0,'de novo' IMP biosynthetic process,P0AG16
Nucleotide transport and metabolism,METABOLISM,F,Amidophosphoribosyltransferase,purF,6541.0,glutamine metabolic process,P0AG16
Nucleotide transport and metabolism,METABOLISM,F,Amidophosphoribosyltransferase,purF,9116.0,nucleoside metabolic process,P0AG16
Nucleotide transport and metabolism,METABOLISM,F,Amidophosphoribosyltransferase,purF,9113.0,purine nucleobase biosynthetic process,P0AG16
Nucleotide transport and metabolism,METABOLISM,F,Amidophosphoribosyltransferase,purF,6164.0,purine nucleotide biosynthetic process,P0AG16
Nucleotide transport and metabolism,METABOLISM,F,N5-carboxyaminoimidazole ribonucleotide mutase,purE,6189.0,'de novo' IMP biosynthetic process,P0AG18
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,GTP pyrophosphokinase,relA,15970.0,guanosine tetraphosphate biosynthetic process,P0AG20
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,GTP pyrophosphokinase,relA,15969.0,guanosine tetraphosphate metabolic process,P0AG20
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,GTP pyrophosphokinase,relA,15949.0,nucleobase-containing small molecule interconversion,P0AG20
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,GTP pyrophosphokinase,relA,42594.0,response to starvation,P0AG20
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,Bifunctional (p)ppGpp synthase/hydrolase SpoT,spoT,15970.0,guanosine tetraphosphate biosynthetic process,P0AG24
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,Bifunctional (p)ppGpp synthase/hydrolase SpoT,spoT,15969.0,guanosine tetraphosphate metabolic process,P0AG24
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,Bifunctional (p)ppGpp synthase/hydrolase SpoT,spoT,15949.0,nucleobase-containing small molecule interconversion,P0AG24
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,Bifunctional (p)ppGpp synthase/hydrolase SpoT,spoT,42594.0,response to starvation,P0AG24
Inorganic ion transport and metabolism,METABOLISM,P,Uncharacterized protein yibN,yibN,,no associated pathway,P0AG27
Transcription,INFORMATION STORAGE AND PROCESSING,K,Transcription termination factor Rho,rho,6353.0,"DNA-templated transcription, termination",P0AG30
Transcription,INFORMATION STORAGE AND PROCESSING,K,Transcription termination factor Rho,rho,6351.0,"transcription, DNA-templated",P0AG30
Coenzyme transport and metabolism,METABOLISM,H,Riboflavin biosynthesis protein ribF,ribF,6747.0,FAD biosynthetic process,P0AG40
Coenzyme transport and metabolism,METABOLISM,H,Riboflavin biosynthesis protein ribF,ribF,9398.0,FMN biosynthetic process,P0AG40
Coenzyme transport and metabolism,METABOLISM,H,Riboflavin biosynthesis protein ribF,ribF,9231.0,riboflavin biosynthetic process,P0AG40
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L17,rplQ,27.0,ribosomal large subunit assembly,P0AG44
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L17,rplQ,6412.0,translation,P0AG44
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L21,rplU,6412.0,translation,P0AG48
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L30,rpmD,27.0,ribosomal large subunit assembly,P0AG51
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L30,rpmD,6412.0,translation,P0AG51
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L6,rplF,2181.0,cytoplasmic translation,P0AG55
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L6,rplF,46677.0,response to antibiotic,P0AG55
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,50S ribosomal protein L6,rplF,27.0,ribosomal large subunit assembly,P0AG55
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S14,rpsN,28.0,ribosomal small subunit assembly,P0AG59
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S14,rpsN,6412.0,translation,P0AG59
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S17,rpsQ,46677.0,response to antibiotic,P0AG63
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S17,rpsQ,28.0,ribosomal small subunit assembly,P0AG63
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S17,rpsQ,6412.0,translation,P0AG63
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S1,rpsA,2000766.0,negative regulation of cytoplasmic translation,P0AG67
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S1,rpsA,28.0,ribosomal small subunit assembly,P0AG67
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,30S ribosomal protein S1,rpsA,6412.0,translation,P0AG67
Function unknown,POORLY CHARACTERIZED,S,DNA recombination protein rmuC,rmuC,6310.0,DNA recombination,P0AG71
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Nuclease sbcCD subunit D,sbcD,6310.0,DNA recombination,P0AG76
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Nuclease sbcCD subunit D,sbcD,6281.0,DNA repair,P0AG76
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Nuclease sbcCD subunit D,sbcD,6260.0,DNA replication,P0AG76
Inorganic ion transport and metabolism,METABOLISM,P,Sulfate-binding protein,sbp,8272.0,sulfate transport,P0AG78
Inorganic ion transport and metabolism,METABOLISM,P,Sulfate-binding protein,sbp,6790.0,sulfur compound metabolic process,P0AG78
Carbohydrate transport and metabolism,METABOLISM,G,sn-glycerol-3-phosphate-binding periplasmic protein ugpB,ugpB,15794.0,glycerol-3-phosphate transmembrane transport,P0AG80
Carbohydrate transport and metabolism,METABOLISM,G,sn-glycerol-3-phosphate-binding periplasmic protein ugpB,ugpB,1407.0,glycerophosphodiester transmembrane transport,P0AG80
Inorganic ion transport and metabolism,METABOLISM,P,Phosphate-binding protein pstS,pstS,6974.0,cellular response to DNA damage stimulus,P0AG82
Inorganic ion transport and metabolism,METABOLISM,P,Phosphate-binding protein pstS,pstS,35435.0,phosphate ion transmembrane transport,P0AG82
Inorganic ion transport and metabolism,METABOLISM,P,Phosphate-binding protein pstS,pstS,6817.0,phosphate ion transport,P0AG82
Inorganic ion transport and metabolism,METABOLISM,P,Phosphate-binding protein pstS,pstS,10921.0,regulation of phosphatase activity,P0AG82
Inorganic ion transport and metabolism,METABOLISM,P,Phosphate-binding protein pstS,pstS,9314.0,response to radiation,P0AG82
Lipid transport and metabolism,METABOLISM,IQR,Uncharacterized oxidoreductase yghA,yghA,55114.0,oxidation-reduction process,P0AG84
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export protein SecB,secB,72321.0,chaperone-mediated protein transport,P0AG86
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export protein SecB,secB,6457.0,protein folding,P0AG86
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export protein SecB,secB,8104.0,protein localization,P0AG86
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export protein SecB,secB,6605.0,protein targeting,P0AG86
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export protein SecB,secB,51262.0,protein tetramerization,P0AG86
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export protein SecB,secB,15031.0,protein transport,P0AG86
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export protein SecB,secB,43952.0,protein transport by the Sec complex,P0AG86
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secD,secD,65002.0,intracellular protein transmembrane transport,P0AG90
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secD,secD,6605.0,protein targeting,P0AG90
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secD,secD,15031.0,protein transport,P0AG90
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secD,secD,43952.0,protein transport by the Sec complex,P0AG90
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secF,secF,65002.0,intracellular protein transmembrane transport,P0AG93
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secF,secF,6605.0,protein targeting,P0AG93
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secF,secF,15031.0,protein transport,P0AG93
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein secF,secF,43952.0,protein transport by the Sec complex,P0AG93
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecE,secE,65002.0,intracellular protein transmembrane transport,P0AG96
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecE,secE,6886.0,intracellular protein transport,P0AG96
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecE,secE,32978.0,protein insertion into membrane from inner side,P0AG96
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecE,secE,9306.0,protein secretion,P0AG96
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecE,secE,43952.0,protein transport by the Sec complex,P0AG96
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecE,secE,6616.0,"SRP-dependent cotranslational protein targeting to membrane, translocation",P0AG96
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein SecG,secG,65002.0,intracellular protein transmembrane transport,P0AG99
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein SecG,secG,6886.0,intracellular protein transport,P0AG99
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein SecG,secG,32978.0,protein insertion into membrane from inner side,P0AG99
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein SecG,secG,9306.0,protein secretion,P0AG99
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein SecG,secG,43952.0,protein transport by the Sec complex,P0AG99
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Protein-export membrane protein SecG,secG,6616.0,"SRP-dependent cotranslational protein targeting to membrane, translocation",P0AG99
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecY,secY,65002.0,intracellular protein transmembrane transport,P0AGA2
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecY,secY,6886.0,intracellular protein transport,P0AGA2
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecY,secY,32978.0,protein insertion into membrane from inner side,P0AGA2
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecY,secY,43952.0,protein transport by the Sec complex,P0AGA2
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Preprotein translocase subunit SecY,secY,6616.0,"SRP-dependent cotranslational protein targeting to membrane, translocation",P0AGA2
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,Transcriptional regulatory protein uhpA,uhpA,160.0,phosphorelay signal transduction system,P0AGA6
Signal transduction mechanisms,CELLULAR PROCESSES AND SIGNALING,TK,Transcriptional regulatory protein uhpA,uhpA,6355.0,"regulation of transcription, DNA-templated",P0AGA6
Amino acid transport and metabolism,METABOLISM,E,Phosphoserine phosphatase,serB,8652.0,cellular amino acid biosynthetic process,P0AGB0
Amino acid transport and metabolism,METABOLISM,E,Phosphoserine phosphatase,serB,16311.0,dephosphorylation,P0AGB0
Amino acid transport and metabolism,METABOLISM,E,Phosphoserine phosphatase,serB,6564.0,L-serine biosynthetic process,P0AGB0
Transcription,INFORMATION STORAGE AND PROCESSING,K,RNA polymerase sigma-E factor,rpoE,6352.0,"DNA-templated transcription, initiation",P0AGB6
Transcription,INFORMATION STORAGE AND PROCESSING,K,RNA polymerase sigma-E factor,rpoE,6355.0,"regulation of transcription, DNA-templated",P0AGB6
Transcription,INFORMATION STORAGE AND PROCESSING,K,RNA polymerase sigma-E factor,rpoE,6970.0,response to osmotic stress,P0AGB6
Transcription,INFORMATION STORAGE AND PROCESSING,K,RNA polymerase sigma-E factor,rpoE,9266.0,response to temperature stimulus,P0AGB6
Carbohydrate transport and metabolism,METABOLISM,G,Hexose phosphate transport protein,uhpT,8643.0,carbohydrate transport,P0AGC0
Carbohydrate transport and metabolism,METABOLISM,G,Hexose phosphate transport protein,uhpT,15760.0,glucose-6-phosphate transport,P0AGC0
Carbohydrate transport and metabolism,METABOLISM,G,Hexose phosphate transport protein,uhpT,15712.0,hexose phosphate transport,P0AGC0
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Soluble lytic murein transglycosylase,slt,71555.0,cell wall organization,P0AGC3
Cell wall/membrane/envelope biogenesis,CELLULAR PROCESSES AND SIGNALING,M,Soluble lytic murein transglycosylase,slt,9253.0,peptidoglycan catabolic process,P0AGC3
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Cu-Zn],sodC,19430.0,removal of superoxide radicals,P0AGD1
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Cu-Zn],sodC,6801.0,superoxide metabolic process,P0AGD1
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Fe],sodB,55114.0,oxidation-reduction process,P0AGD3
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Fe],sodB,19430.0,removal of superoxide radicals,P0AGD3
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Fe],sodB,303.0,response to superoxide,P0AGD3
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Fe],sodB,6801.0,superoxide metabolic process,P0AGD3
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Signal recognition particle protein,ffh,6612.0,protein targeting to membrane,P0AGD7
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Signal recognition particle protein,ffh,6614.0,SRP-dependent cotranslational protein targeting to membrane,P0AGD7
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Single-stranded DNA-binding protein,ssb,6260.0,DNA replication,P0AGE0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Single-stranded DNA-binding protein,ssb,6298.0,mismatch repair,P0AGE0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Single-stranded DNA-binding protein,ssb,43085.0,positive regulation of catalytic activity,P0AGE0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Single-stranded DNA-binding protein,ssb,51096.0,positive regulation of helicase activity,P0AGE0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Single-stranded DNA-binding protein,ssb,725.0,recombinational repair,P0AGE0
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Single-stranded DNA-binding protein,ssb,9432.0,SOS response,P0AGE0
Amino acid transport and metabolism,METABOLISM,E,Serine/threonine transporter sstT,sstT,6865.0,amino acid transport,P0AGE4
Amino acid transport and metabolism,METABOLISM,E,Serine/threonine transporter sstT,sstT,32329.0,serine transport,P0AGE4
Amino acid transport and metabolism,METABOLISM,E,Serine/threonine transporter sstT,sstT,15826.0,threonine transport,P0AGE4
General function prediction only,POORLY CHARACTERIZED,R,Uncharacterized protein yieF,yieF,6805.0,xenobiotic metabolic process,P0AGE6
Energy production and conversion,METABOLISM,C,Succinyl-CoA ligase [ADP-forming] subunit alpha,sucD,9142.0,nucleoside triphosphate biosynthetic process,P0AGE9
Energy production and conversion,METABOLISM,C,Succinyl-CoA ligase [ADP-forming] subunit alpha,sucD,46777.0,protein autophosphorylation,P0AGE9
Energy production and conversion,METABOLISM,C,Succinyl-CoA ligase [ADP-forming] subunit alpha,sucD,6105.0,succinate metabolic process,P0AGE9
Energy production and conversion,METABOLISM,C,Succinyl-CoA ligase [ADP-forming] subunit alpha,sucD,6104.0,succinyl-CoA metabolic process,P0AGE9
Energy production and conversion,METABOLISM,C,Succinyl-CoA ligase [ADP-forming] subunit alpha,sucD,6099.0,tricarboxylic acid cycle,P0AGE9
General function prediction only,POORLY CHARACTERIZED,R,Uncharacterized sufE-like protein ygdK,csdE,61504.0,cyclic threonylcarbamoyladenosine biosynthetic process,P0AGF2
,,-,D-xylose-proton symporter,xylE,15753.0,D-xylose transmembrane transport,P0AGF4
Coenzyme transport and metabolism,METABOLISM,H,Thiamine-monophosphate kinase,thiL,9228.0,thiamine biosynthetic process,P0AGG0
Coenzyme transport and metabolism,METABOLISM,H,Thiamine-monophosphate kinase,thiL,9229.0,thiamine diphosphate biosynthetic process,P0AGG0
Lipid transport and metabolism,METABOLISM,I,Acyl-CoA thioesterase 2,tesB,6637.0,acyl-CoA metabolic process,P0AGG2
Lipid transport and metabolism,METABOLISM,I,Acyl-CoA thioesterase 2,tesB,9062.0,fatty acid catabolic process,P0AGG2
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Thioredoxin-2,trxC,45454.0,cell redox homeostasis,P0AGG4
"Posttranslational modification, protein turnover, chaperones",CELLULAR PROCESSES AND SIGNALING,O,Thioredoxin-2,trxC,6662.0,glycerol ether metabolic process,P0AGG4
General function prediction only,POORLY CHARACTERIZED,R,Protein tldD,tldD,6508.0,proteolysis,P0AGG8
Carbohydrate transport and metabolism,METABOLISM,G,Ribose transport system permease protein rbsC,rbsC,15752.0,D-ribose transmembrane transport,P0AGI1
Carbohydrate transport and metabolism,METABOLISM,G,Xylose transport system permease protein xylH,xylH,8643.0,carbohydrate transport,P0AGI4
Carbohydrate transport and metabolism,METABOLISM,G,Xylose transport system permease protein xylH,xylH,42732.0,D-xylose metabolic process,P0AGI4
Inorganic ion transport and metabolism,METABOLISM,P,Trk system potassium uptake protein trkA,trkA,71805.0,potassium ion transmembrane transport,P0AGI8
Inorganic ion transport and metabolism,METABOLISM,P,Trk system potassium uptake protein trkA,trkA,6813.0,potassium ion transport,P0AGI8
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,tRNA guanosine-2'-O-methyltransferase,trmH,2938.0,tRNA guanine ribose methylation,P0AGJ2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,tRNA guanosine-2'-O-methyltransferase,trmH,30488.0,tRNA methylation,P0AGJ2
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Uncharacterized tRNA/rRNA methyltransferase YfiF,yfiF,453.0,enzyme-directed rRNA 2'-O-methylation,P0AGJ5
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL,trmL,2131.0,wobble position cytosine ribose methylation,P0AGJ7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL,trmL,2132.0,wobble position uridine ribose methylation,P0AGJ7
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Tyrosyl-tRNA synthetase,tyrS,43039.0,tRNA aminoacylation,P0AGJ9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,Tyrosyl-tRNA synthetase,tyrS,6437.0,tyrosyl-tRNA aminoacylation,P0AGJ9
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,RNA-binding protein YhbY,yhbY,27.0,ribosomal large subunit assembly,P0AGK4
"Translation, ribosomal structure and biogenesis",INFORMATION STORAGE AND PROCESSING,J,RNA-binding protein YhbY,yhbY,28.0,ribosomal small subunit assembly,P0AGK4
