annotation,cog_category,cog_class,cog_id,cog_letter,gene_name,uniprot,go_ids,refseq_id,uniprot_kw_ids,mass_da
"Predicted RNA-binding protein containing KH domain, possibly ribosomal protein",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG1534,J,yhbY,P0AGK4,GO:0005515; GO:0000967; GO:0000028; GO:0000027; GO:1990275; GO:0005829; GO:0005737; GO:0003723,YP_003046230.1,KW-0002; KW-0694; KW-0963; KW-1185,10784.0
Isochorismate hydrolase,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism",COG1535,Q,entB,P0ADI4,GO:0016765; GO:0046872; GO:0016874; GO:0005737; GO:0047527; GO:0031177; GO:0000287; GO:0042802; GO:0003824; GO:0005515; GO:0008152; GO:0009239; GO:0005886; GO:0005829; GO:0016787; GO:0008908,YP_003043784.1,KW-0002; KW-0259; KW-0378; KW-0436; KW-0460; KW-0479; KW-0511; KW-0596; KW-0597; KW-0903; KW-0963; KW-1185,32554.0
Flagellar motor switch protein,Cellular Processes and Signaling,Cell motility,COG1536,N,fliG,P0ABZ1,GO:0071973; GO:0044780; GO:0005515; GO:0097588; GO:0042802; GO:0003774; GO:0005886; GO:0009425; GO:0016020; GO:0009288; GO:0006935,,KW-0145; KW-0283; KW-0472; KW-0975; KW-0997; KW-1003; KW-1185,36776.0
Outer membrane protein,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,COG1538,M,tolC,P02930,GO:0042930; GO:0014070; GO:0009279; GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0042910; GO:1990961; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0016021,YP_003046092.1,KW-0002; KW-0046; KW-0472; KW-0677; KW-0732; KW-0812; KW-0813; KW-0903; KW-0998; KW-1134; KW-1185,53741.0
Outer membrane protein,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport",COG1538,U,tolC,P02930,GO:0042930; GO:0014070; GO:0009279; GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0042910; GO:1990961; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0016021,YP_003046092.1,KW-0002; KW-0046; KW-0472; KW-0677; KW-0732; KW-0812; KW-0813; KW-0903; KW-0998; KW-1134; KW-1185,53741.0
Dihydroneopterin aldolase,Metabolism,Coenzyme transport and metabolism,COG1539,H,folB,P0AC16,GO:0016853; GO:0042802; GO:0016829; GO:0006760; GO:0046654; GO:0004150; GO:0046656; GO:0005737,YP_003046113.1,KW-0002; KW-0289; KW-0413; KW-0456; KW-1185,13620.0
Dihydroneopterin aldolase,Metabolism,Coenzyme transport and metabolism,COG1539,H,folX,P0AC19,GO:0008719; GO:0005829; GO:0016853; GO:0004150; GO:0006760; GO:0005737,YP_003045420.1,KW-0002; KW-0413; KW-0903; KW-1185,14082.0
Coenzyme F390 synthetase,Metabolism,Coenzyme transport and metabolism,COG1541,H,paaK,P76085,GO:0047475; GO:0016405; GO:0016874; GO:0003824; GO:0010124; GO:0005524; GO:0000166,,KW-0067; KW-0436; KW-0547; KW-0903; KW-1185,48953.0
Carbon storage regulator (could also regulate swarming and quorum sensing),Cellular Processes and Signaling,Signal transduction mechanisms,COG1551,T,csrA,P69913,GO:0045948; GO:0006417; GO:0005737; GO:0005829; GO:0006109; GO:0003723; GO:0006402; GO:0045719; GO:0048027; GO:0045947,YP_003045735.1,KW-0002; KW-0010; KW-0678; KW-0694; KW-0810; KW-0963; KW-1185,6856.0
Uncharacterized conserved protein involved in intracellular sulfur reduction,Metabolism,Inorganic ion transport and metabolism,COG1553,P,ychN,P0AB52,GO:0042802; GO:0034214; GO:0005515; GO:0005829,YP_003044412.1,KW-0002; KW-1185,12693.0
Trehalose and maltose hydrolases (possible phosphorylases),Metabolism,Carbohydrate transport and metabolism,COG1554,G,ycjT,P77154,GO:0016740; GO:0033831; GO:0030246; GO:0005975; GO:0003824; GO:0016798; GO:0016787; GO:0008152; GO:0004553,YP_003044504.1,KW-0326; KW-0378; KW-0808; KW-1185,84867.0
DNA uptake protein and related DNA-binding proteins,Information Storage and Processing,"Replication, recombination and repair",COG1555,L,ybaV,P0AAR8,GO:0006281; GO:0030288; GO:0003677,YP_003043620.1,KW-0677; KW-0732; KW-1185,12704.0
Uncharacterized conserved protein,Poorly Characterized,Function unknown,COG1556,S,ykgG,P77433,GO:0004459; GO:0005829,YP_003043491.1,KW-1185,25213.0
Flagellar basal body rod protein,Cellular Processes and Signaling,Cell motility,COG1558,N,flgC,P0ABX2,GO:0071973; GO:0030694; GO:0009425; GO:0009288; GO:0071978; GO:0009424,YP_003044288.1,KW-0975; KW-1185,13968.0
Uncharacterized stress-induced protein,Poorly Characterized,Function unknown,COG1561,S,yicC,P23839,GO:0005829,YP_003046680.1,KW-1185,33175.0
Multidrug resistance efflux pump,Cellular Processes and Signaling,Defense mechanisms,COG1566,V,emrA,P27303,GO:0031226; GO:0030288; GO:0005887; GO:0048545; GO:0005515; GO:0015721; GO:0015125; GO:0009636; GO:1990961; GO:0042802; GO:0005215; GO:0016020; GO:0005886; GO:0055085; GO:0042910; GO:0006855; GO:0046677; GO:0016021,YP_003045729.1,KW-0046; KW-0175; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,42736.0
Multidrug resistance efflux pump,Cellular Processes and Signaling,Defense mechanisms,COG1566,V,emrK,P52599,GO:0015721; GO:1990961; GO:0005215; GO:0055085; GO:0042910; GO:0006855; GO:0046677; GO:0006974; GO:0005886; GO:0016021; GO:0016020,YP_003045469.1,KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,42585.0
Multidrug resistance efflux pump,Cellular Processes and Signaling,Defense mechanisms,COG1566,V,ydhJ,P76185,GO:0005215; GO:0005887; GO:0055085; GO:0016021; GO:0016020,YP_003044814.1,KW-0472; KW-0812; KW-1133; KW-1185,31496.0
Multidrug resistance efflux pump,Cellular Processes and Signaling,Defense mechanisms,COG1566,V,yiaV,P37683,GO:0005215; GO:0005887; GO:0055085; GO:0005886; GO:0016021; GO:0016020,YP_003046621.1,KW-0472; KW-0732; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,41771.0
Multidrug resistance efflux pump,Cellular Processes and Signaling,Defense mechanisms,COG1566,V,yibH,P0AFV0,GO:0006974; GO:0005215; GO:0016020; GO:0055085; GO:0005886; GO:0016021,YP_003046632.1,KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,41988.0
"Exonuclease VII, large subunit",Information Storage and Processing,"Replication, recombination and repair",COG1570,L,xseA,P04994,GO:0090305; GO:0005515; GO:0009318; GO:0006308; GO:0003676; GO:0016787; GO:0005737; GO:0004527; GO:0004518; GO:0008855,YP_003045591.1,KW-0269; KW-0378; KW-0540; KW-0903; KW-0963; KW-1185,51832.0
"1,4-dihydroxy-2-naphthoate octaprenyltransferase",Metabolism,Coenzyme transport and metabolism,COG1575,H,menA,P32166,GO:0005887; GO:0016765; GO:0000287; GO:0016740; GO:0004659; GO:0005886; GO:0016021; GO:0016020; GO:0009234; GO:0046428; GO:0032194; GO:0042371,YP_003046988.1,KW-0472; KW-0474; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,33594.0
Flagellar basal body-associated protein,Cellular Processes and Signaling,Cell motility,COG1580,N,fliL,P0ABX8,GO:0005887; GO:0071978; GO:0071973; GO:0097588; GO:0009425; GO:0016021; GO:0005886; GO:0016020; GO:0006935,,KW-0145; KW-0283; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,17221.0
Membrane protein implicated in regulation of membrane protease activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG1585,O,ybbJ,P0AAS3,GO:0005886; GO:0016021; GO:0016020,YP_003043665.1,KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,16939.0
Membrane protein implicated in regulation of membrane protease activity,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport",COG1585,U,ybbJ,P0AAS3,GO:0005886; GO:0016021; GO:0016020,YP_003043665.1,KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,16939.0
S-adenosylmethionine decarboxylase,Metabolism,Amino acid transport and metabolism,COG1586,E,speD,P0A7F6,GO:0005829; GO:0016831; GO:0016829; GO:0008152; GO:0006596; GO:0003824; GO:0006557; GO:0008295; GO:0004014,YP_003043348.1,KW-0021; KW-0068; KW-0210; KW-0456; KW-0460; KW-0620; KW-0670; KW-0704; KW-0745; KW-0865; KW-0903; KW-0949; KW-1185,30385.0
Uroporphyrinogen-III synthase,Metabolism,Coenzyme transport and metabolism,COG1587,H,hemD,P09126,GO:0033014; GO:0006782; GO:0016829; GO:0004852; GO:0006779,YP_003046853.1,KW-0456; KW-0627; KW-1185,27798.0
Cell division septal protein,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,COG1589,M,ftsQ,P06136,GO:0051301; GO:0000917; GO:0005886; GO:0016021; GO:0032153; GO:0090529; GO:0016020; GO:0042802; GO:0005515; GO:0005887; GO:0043093,YP_003043323.1,KW-0002; KW-0131; KW-0132; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,31434.0
"TRAP-type C4-dicarboxylate transport system, large permease component",Metabolism,Carbohydrate transport and metabolism,COG1593,G,yiaN,P37675,GO:0015144; GO:0034219; GO:0005886; GO:0016021; GO:0016020; GO:0022857,YP_003046610.1,KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,45368.0
"DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",Information Storage and Processing,Transcription,COG1595,K,fecI,P23484,GO:2000142; GO:0006352; GO:0003700; GO:0055072; GO:0006811; GO:0006355; GO:0003677; GO:0016987,YP_003047324.1,KW-0238; KW-0406; KW-0408; KW-0410; KW-0731; KW-0804; KW-0805; KW-0813; KW-0903; KW-1185,19480.0
"DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",Information Storage and Processing,Transcription,COG1595,K,rpoE,P0AGB6,GO:2000142; GO:0005515; GO:0006352; GO:0003700; GO:0005737; GO:0006970; GO:0006355; GO:0003677; GO:0009266; GO:0016987,YP_003045656.1,KW-0002; KW-0238; KW-0346; KW-0731; KW-0804; KW-0805; KW-0903; KW-0963; KW-1185,21696.0
Periplasmic protein involved in polysaccharide export,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,COG1596,M,wza,P0A930,GO:0046377; GO:0055085; GO:0000271; GO:0015159; GO:0015288; GO:0046930; GO:0009279; GO:0016021; GO:0016020; GO:0015774; GO:0008643; GO:0006811,YP_003045162.1,KW-0270; KW-0406; KW-0449; KW-0472; KW-0564; KW-0625; KW-0626; KW-0732; KW-0762; KW-0812; KW-0813; KW-0998; KW-1134; KW-1185,41910.0
Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase,Metabolism,Lipid transport and metabolism,COG1597,I,yegS,P76407,GO:0000287; GO:0003951; GO:0046834; GO:0005515; GO:0016740; GO:0016310; GO:0016301; GO:0006629; GO:0008654; GO:0005524; GO:0000166; GO:0046872; GO:0005737; GO:0001727,YP_003045209.1,KW-0002; KW-0067; KW-0418; KW-0443; KW-0444; KW-0460; KW-0479; KW-0547; KW-0594; KW-0808; KW-0963; KW-1185; KW-1208,32039.0
Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase,Poorly Characterized,General function prediction only,COG1597,R,yegS,P76407,GO:0000287; GO:0003951; GO:0046834; GO:0005515; GO:0016740; GO:0016310; GO:0016301; GO:0006629; GO:0008654; GO:0005524; GO:0000166; GO:0046872; GO:0005737; GO:0001727,YP_003045209.1,KW-0002; KW-0067; KW-0418; KW-0443; KW-0444; KW-0460; KW-0479; KW-0547; KW-0594; KW-0808; KW-0963; KW-1185; KW-1208,32039.0
Chorismate mutase,Metabolism,Amino acid transport and metabolism,COG1605,E,pheA,P0A9J8,GO:0016853; GO:0016829; GO:0009073; GO:0008652; GO:0008152; GO:0003824; GO:0046417; GO:0004664; GO:0004106; GO:0006571; GO:0009094; GO:0005737,YP_003045677.1,KW-0002; KW-0028; KW-0057; KW-0413; KW-0456; KW-0511; KW-0584; KW-0963; KW-1185,43111.0
Chorismate mutase,Metabolism,Amino acid transport and metabolism,COG1605,E,tyrA,P07023,GO:0016853; GO:0016491; GO:0009073; GO:0008652; GO:0008152; GO:0003824; GO:0046417; GO:0004665; GO:0055114; GO:0008977; GO:0004106; GO:0006571; GO:0009094; GO:0005737; GO:0070403,YP_003045678.1,KW-0028; KW-0057; KW-0413; KW-0511; KW-0520; KW-0560; KW-0827; KW-0963; KW-1185,42043.0
Acyl-CoA hydrolase,Metabolism,Lipid transport and metabolism,COG1607,I,yciA,P0A8Z0,GO:0016790; GO:0016787; GO:0047617; GO:0036042; GO:0006637; GO:0005829; GO:0000062; GO:0006631,YP_003044440.1,KW-0002; KW-0378; KW-1185,14231.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG1609,K,ascG,P24242,GO:0006355; GO:0003677; GO:0043565; GO:0045892; GO:0003700; GO:0006351; GO:0000976,YP_003045753.1,KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,36813.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG1609,K,cytR,P0ACN7,GO:0006355; GO:0003677; GO:0005829; GO:0000976; GO:0045892; GO:0005515; GO:0003700,YP_003046992.1,KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,37820.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG1609,K,ebgR,P06846,GO:0006355; GO:0045892; GO:0003677; GO:0000976; GO:0003700,YP_003046129.1,KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,36210.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG1609,K,galR,P03024,GO:0042802; GO:0005515; GO:0006012; GO:0006355; GO:0005975; GO:0003677; GO:0006351; GO:0003700; GO:0000976,YP_003045873.1,KW-0119; KW-0238; KW-0299; KW-0678; KW-0804; KW-0805; KW-1185,37094.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG1609,K,galS,P25748,GO:0005515; GO:0006355; GO:0003677; GO:0000976; GO:0003700,YP_003045273.1,KW-0238; KW-0678; KW-0804; KW-0805; KW-0903; KW-1185,37357.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG1609,K,gntR,P0ACP5,GO:0006974; GO:0006355; GO:0046177; GO:0005829; GO:0045893; GO:0045892; GO:0003677; GO:0003700; GO:0000976,YP_003046472.1,KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,36422.0
"ABC-type sulfate transport system, periplasmic component",Metabolism,Inorganic ion transport and metabolism,COG1613,P,sbp,P0AG78,GO:1901681; GO:0098656; GO:1902358; GO:0042597; GO:0043199; GO:0030288; GO:0008272; GO:0015419; GO:0006790,YP_003046975.1,KW-0574; KW-0732; KW-0764; KW-0813; KW-0903; KW-1185,36659.0
"Uncharacterized proteins, homologs of microcin C7 resistance protein MccF",Cellular Processes and Signaling,Defense mechanisms,COG1619,V,ldcA,P76008,GO:0071555; GO:0016787; GO:0008233; GO:0006508; GO:0005829; GO:0008236; GO:0009252; GO:0008360; GO:0009254; GO:0004180; GO:0009050; GO:0005737,YP_003044382.1,KW-0002; KW-0121; KW-0133; KW-0378; KW-0573; KW-0645; KW-0720; KW-0961; KW-0963; KW-1185,33567.0
L-lactate permease,Metabolism,Energy production and conversion,COG1620,C,lldP,P33231,GO:0005887; GO:0006974; GO:1902600; GO:0015727; GO:0016021; GO:0016020; GO:0005886; GO:0015295; GO:0043879; GO:0035873; GO:0015129,YP_003046641.1,KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,59168.0
"Heme/copper-type cytochrome/quinol oxidases, subunit 2",Metabolism,Energy production and conversion,COG1622,C,cyoA,P0ABJ1,GO:0005887; GO:0008827; GO:0005507; GO:0004129; GO:0071575; GO:0009060; GO:0015990; GO:0055114; GO:0022900; GO:0016491; GO:0016021; GO:0016020; GO:0005886; GO:0016682; GO:0009319; GO:0019646; GO:0070469; GO:0015078; GO:0009486; GO:0009055; GO:0015453; GO:0042773,YP_003043609.1,KW-0002; KW-0249; KW-0449; KW-0472; KW-0560; KW-0564; KW-0679; KW-0732; KW-0812; KW-0813; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185,34911.0
Neutral trehalase,Metabolism,Carbohydrate transport and metabolism,COG1626,G,treA,P13482,GO:0006974; GO:0042597; GO:0016798; GO:0016787; GO:0008152; GO:0005991; GO:0003824; GO:0005993; GO:0071474; GO:0030288; GO:0004555,YP_003044387.1,KW-0002; KW-0326; KW-0378; KW-0574; KW-0732; KW-0903; KW-1185,63637.0
Neutral trehalase,Metabolism,Carbohydrate transport and metabolism,COG1626,G,treF,P62601,GO:0016798; GO:0016787; GO:0008152; GO:0005991; GO:0003824; GO:0005993; GO:0071474; GO:0004555; GO:0005737,YP_003046549.1,KW-0326; KW-0378; KW-0903; KW-0963; KW-1185,63697.0
"Outer membrane receptor proteins, mostly Fe transport",Metabolism,Inorganic ion transport and metabolism,COG1629,P,fhuA,P06971,GO:0046790; GO:0015643; GO:0005506; GO:0048037; GO:0044718; GO:0038023; GO:0005515; GO:0019904; GO:0015891; GO:0016020; GO:0055072; GO:0016021; GO:0006811; GO:0009279; GO:0015344,YP_003043378.1,KW-0002; KW-0406; KW-0408; KW-0410; KW-0472; KW-0675; KW-0732; KW-0798; KW-0812; KW-0813; KW-0903; KW-0998; KW-1015; KW-1134; KW-1185,82182.0
"Outer membrane receptor proteins, mostly Fe transport",Metabolism,Inorganic ion transport and metabolism,COG1629,P,yncD,P76115,GO:0038023; GO:0015891; GO:0005506; GO:0016021; GO:0016020; GO:0009279; GO:0015344; GO:0044718; GO:0031230,YP_003044617.1,KW-0472; KW-0675; KW-0732; KW-0798; KW-0812; KW-0998; KW-1134; KW-1185,77261.0
"TRAP-type C4-dicarboxylate transport system, periplasmic component",Metabolism,Carbohydrate transport and metabolism,COG1638,G,yiaO,P37676,GO:0006974; GO:0055085; GO:0008643; GO:0030246; GO:0042597; GO:0030288,YP_003046611.1,KW-0574; KW-0732; KW-0813; KW-1185,35970.0
4-alpha-glucanotransferase,Metabolism,Carbohydrate transport and metabolism,COG1640,G,malQ,P15977,GO:0102500; GO:0005977; GO:0016757; GO:0016740; GO:0005975; GO:0005829; GO:0005737; GO:0004134; GO:0000025,YP_003046452.1,KW-0002; KW-0119; KW-0328; KW-0808; KW-0963; KW-1185,78503.0
HrpA-like helicases,Information Storage and Processing,"Replication, recombination and repair",COG1643,L,hrpA,P43329,GO:0004386; GO:0009451; GO:0016787; GO:0003676; GO:0005524; GO:0000166; GO:0003724; GO:0006397; GO:0005622,YP_003044578.1,KW-0067; KW-0347; KW-0378; KW-0547; KW-1185,149028.0
HrpA-like helicases,Information Storage and Processing,"Replication, recombination and repair",COG1643,L,hrpB,P37024,GO:0004386; GO:0003676; GO:0016787; GO:0005524; GO:0000166,YP_003043376.1,KW-0002; KW-0067; KW-0347; KW-0378; KW-0547; KW-1185,89148.0
Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain),Metabolism,Coenzyme transport and metabolism,COG1648,H,cysG,P0AEA8,GO:0004325; GO:0006970; GO:0051287; GO:0019354; GO:0032259; GO:0055114; GO:0016829; GO:0016740; GO:0016491; GO:0009236; GO:0008168; GO:0008152; GO:0003824; GO:0043115; GO:0004851; GO:0051266; GO:0006779,YP_003046404.1,KW-0169; KW-0456; KW-0489; KW-0511; KW-0520; KW-0560; KW-0597; KW-0627; KW-0808; KW-0903; KW-0949; KW-1185,49951.0
Uncharacterized protein conserved in bacteria,Poorly Characterized,Function unknown,COG1649,S,yddW,P64426,GO:0003824; GO:0005886; GO:0016020,YP_003044657.1,KW-0449; KW-0472; KW-0564; KW-0732; KW-1003; KW-1185,49574.0
Protein-disulfide isomerase,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG1651,O,dsbC,P0AEG6,GO:0030288; GO:0003756; GO:0042597; GO:0015035; GO:0046688; GO:0061077; GO:0055114; GO:0045454,YP_003045913.1,KW-0002; KW-0574; KW-0676; KW-0732; KW-0903; KW-1015; KW-1185,25622.0
Protein-disulfide isomerase,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG1651,O,dsbG,P77202,GO:0003756; GO:0061077; GO:0055114; GO:0042597; GO:0030288,YP_003043794.1,KW-0002; KW-0143; KW-0574; KW-0676; KW-0732; KW-0903; KW-1015; KW-1185,27495.0
"ABC-type sugar transport system, periplasmic component",Metabolism,Carbohydrate transport and metabolism,COG1653,G,ugpB,P0AG80,GO:0055085; GO:0001407; GO:0030288; GO:0015794; GO:0042597,YP_003046485.1,KW-0002; KW-0574; KW-0732; KW-0813; KW-1185,48449.0
"ABC-type sugar transport system, periplasmic component",Metabolism,Carbohydrate transport and metabolism,COG1653,G,ycjN,P76042,GO:0042597,YP_003044498.1,KW-0574; KW-0732; KW-0813; KW-1185,46808.0
Biotin operon repressor,Information Storage and Processing,Transcription,COG1654,K,birA,P06709,GO:0009102; GO:0003677; GO:0004077; GO:0005515; GO:0017053; GO:0009374; GO:0006768; GO:0000984; GO:0009305; GO:0016874; GO:0006464; GO:0006355; GO:0005524; GO:0000166,YP_003047027.1,KW-0002; KW-0067; KW-0092; KW-0238; KW-0436; KW-0547; KW-0678; KW-0804; KW-0805; KW-1185,35312.0
Tetraacyldisaccharide-1-P 4'-kinase,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,COG1663,M,lpxK,P27300,GO:0016020; GO:0009029; GO:0009245; GO:0016740; GO:0006629; GO:0005886; GO:0016310; GO:0016301; GO:0005524; GO:0000166; GO:0009244,YP_003044137.1,KW-0067; KW-0418; KW-0441; KW-0443; KW-0444; KW-0547; KW-0808; KW-1185,35589.0
Uncharacterized protein conserved in bacteria,Poorly Characterized,Function unknown,COG1666,S,yajQ,P0A8E7,GO:0005524; GO:0000049; GO:0005829; GO:0006974; GO:0005525; GO:0000166; GO:0005515,YP_003043600.1,KW-0547; KW-1185,18344.0
"Acetyltransferases, including N-acetylases of ribosomal proteins",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG1670,J,rimJ,P0A948,GO:0006474; GO:0008080; GO:0008999; GO:0006464; GO:0005737; GO:1990189; GO:0030490; GO:0017189; GO:0042254; GO:0017198; GO:0016746; GO:0016740; GO:0005829,YP_003044280.1,KW-0012; KW-0808; KW-0963; KW-1185,22688.0
"Acetyltransferases, including N-acetylases of ribosomal proteins",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG1670,J,rimL,P13857,GO:0006464; GO:0008080; GO:0006474; GO:0008999; GO:0005737; GO:1990189; GO:0016746; GO:0016740; GO:0004596; GO:0017198,YP_003044594.1,KW-0012; KW-0808; KW-0963; KW-1185,20681.0
"Acetyltransferases, including N-acetylases of ribosomal proteins",Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG1670,J,speG,P0A951,GO:0051289; GO:0042802; GO:0046872; GO:0006598; GO:0000287; GO:0016740; GO:0016746; GO:0005737; GO:0004145,YP_003044753.1,KW-0002; KW-0012; KW-0460; KW-0479; KW-0808; KW-0903; KW-0963; KW-1185,21887.0
Uncharacterized protein conserved in bacteria,Poorly Characterized,Function unknown,COG1671,S,yaiI,P0A8D3,GO:0005515,YP_003043561.1,KW-1185,16969.0
DNA segregation ATPase FtsK/SpoIIIE and related proteins,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning",COG1674,D,ftsK,P46889,GO:0051301; GO:0007059; GO:0005886; GO:0006970; GO:0003677; GO:0016887; GO:0016020; GO:0071236; GO:0015616; GO:0045893; GO:0009651; GO:0000920; GO:0036121; GO:0042802; GO:0016021; GO:0043085; GO:0043565; GO:0005887; GO:0005524; GO:0005515; GO:0000166,YP_003044112.1,KW-0002; KW-0067; KW-0131; KW-0132; KW-0159; KW-0238; KW-0472; KW-0547; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,146663.0
Flagellar hook-basal body protein,Cellular Processes and Signaling,Cell motility,COG1677,N,fliE,P0A8T5,GO:0097588; GO:0071973; GO:0005198; GO:0003774; GO:0009425; GO:0009288,,KW-0975; KW-1185,11127.0
Flagellar hook-basal body protein,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport",COG1677,U,fliE,P0A8T5,GO:0097588; GO:0071973; GO:0005198; GO:0003774; GO:0009425; GO:0009288,,KW-0975; KW-1185,11127.0
Putative transcriptional regulator,Information Storage and Processing,Transcription,COG1678,K,yqgE,P0A8W5,GO:0005829,YP_003045966.1,KW-1185,20686.0
Beta-lactamase class C and other penicillin binding proteins,Cellular Processes and Signaling,Defense mechanisms,COG1680,V,ampC,P00811,GO:0008800; GO:0016787; GO:0030288; GO:0017001; GO:0046677; GO:0042597,YP_003047192.1,KW-0002; KW-0046; KW-0378; KW-0574; KW-0732; KW-0903; KW-1185,41556.0
Beta-lactamase class C and other penicillin binding proteins,Cellular Processes and Signaling,Defense mechanisms,COG1680,V,ampH,P0AD70,GO:0071555; GO:0016787; GO:0008233; GO:0016020; GO:0009253; GO:0008360; GO:0006508; GO:0005886; GO:0004180; GO:0004175; GO:0008658,YP_003043550.1,KW-0121; KW-0133; KW-0378; KW-0472; KW-0645; KW-0732; KW-0903; KW-0961; KW-0997; KW-1003; KW-1185,41849.0
Beta-lactamase class C and other penicillin binding proteins,Cellular Processes and Signaling,Defense mechanisms,COG1680,V,yfeW,P77619,GO:0006508; GO:0009002; GO:0008658; GO:0031226,YP_003045521.1,KW-0121; KW-0378; KW-0472; KW-0645; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,47752.0
"Flagellar biosynthesis pathway, component FliR",Cellular Processes and Signaling,Cell motility,COG1684,N,fliR,P33135,GO:0044780; GO:0006605; GO:0009288; GO:0005886; GO:0009425; GO:0016021; GO:0016020,,KW-0472; KW-0812; KW-0975; KW-0997; KW-1003; KW-1133; KW-1185,28543.0
"Flagellar biosynthesis pathway, component FliR",Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport",COG1684,U,fliR,P33135,GO:0044780; GO:0006605; GO:0009288; GO:0005886; GO:0009425; GO:0016021; GO:0016020,,KW-0472; KW-0812; KW-0975; KW-0997; KW-1003; KW-1133; KW-1185,28543.0
D-alanyl-D-alanine carboxypeptidase,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,COG1686,M,dacA,P0AEB2,GO:0009002; GO:0005887; GO:0030288; GO:1990914; GO:0071555; GO:0016787; GO:0016020; GO:0008233; GO:0005886; GO:0008800; GO:0000270; GO:0051301; GO:0008658; GO:0009252; GO:0008360; GO:0006508; GO:0004180; GO:0004175,YP_003043822.1,KW-0002; KW-0121; KW-0133; KW-0378; KW-0472; KW-0573; KW-0645; KW-0732; KW-0903; KW-0961; KW-0997; KW-1003; KW-1185,44444.0
D-alanyl-D-alanine carboxypeptidase,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,COG1686,M,dacC,P08506,GO:0005887; GO:0030288; GO:0071555; GO:0016787; GO:0016020; GO:0008233; GO:0005886; GO:0008658; GO:0009252; GO:0009002; GO:0008360; GO:0006508; GO:0004180; GO:0042493; GO:0004175,YP_003044024.1,KW-0002; KW-0121; KW-0133; KW-0378; KW-0472; KW-0573; KW-0645; KW-0732; KW-0903; KW-0961; KW-0997; KW-1003; KW-1185,43609.0
