gene_name,b_number,gene_product,mw_fg,go_terms,cog_class,cog_letter,cog_category,cog_desc
hydn,b2713,putative electron transport protein HydN,3.158316e-05,GO:0005515; GO:0042802; GO:0022900; GO:0005829; GO:0055114; GO:0009055; GO:0051539; GO:0051536; GO:0046872,metabolism,C,energy production and conversion,"formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit"
hyfa,b2481,hydrogenase 4 component A,3.677564e-05,GO:0050661; GO:0017113; GO:0006212; GO:0006210; GO:0002058; GO:0044569; GO:0055114; GO:0051539; GO:0051536; GO:0046872; GO:0016491,metabolism,C,energy production and conversion,"hydrogenase 4, 4Fe-4S subunit"
yffe,b2481,hydrogenase 4 component A,3.677564e-05,GO:0050661; GO:0017113; GO:0006212; GO:0006210; GO:0002058; GO:0044569; GO:0055114; GO:0051539; GO:0051536; GO:0046872; GO:0016491,metabolism,C,energy production and conversion,"hydrogenase 4, 4Fe-4S subunit"
hyfb,b2482,hydrogenase 4 component B,0.00012048778,GO:0042773; GO:0008137; GO:0044569; GO:0005887; GO:0005515; GO:0055114; GO:0005886; GO:0016491; GO:0016021; GO:0016020,metabolism,P,inorganic ion transport and metabolism,"hydrogenase 4, membrane subunit"
yfff,b2482,hydrogenase 4 component B,0.00012048778,GO:0042773; GO:0008137; GO:0044569; GO:0005887; GO:0005515; GO:0055114; GO:0005886; GO:0016491; GO:0016021; GO:0016020,metabolism,P,inorganic ion transport and metabolism,"hydrogenase 4, membrane subunit"
hyfc,b2483,hydrogenase 4 component C,5.703594e-05,GO:0005887; GO:0044569; GO:0006974; GO:0055114; GO:0005886; GO:0016491; GO:0016021; GO:0016020,metabolism,C,energy production and conversion,"hydrogenase 4, membrane subunit"
hyfd,b2484,hydrogenase 4 component D,8.591330000000001e-05,GO:0044569; GO:0005887; GO:0055114; GO:0005886; GO:0016491; GO:0016021; GO:0016020,metabolism,P,inorganic ion transport and metabolism,"hydrogenase 4, membrane subunit"
hyfe,b2485,hydrogenase 4 component E,3.877926e-05,GO:0044569; GO:0005887; GO:0055114; GO:0005886; GO:0016491; GO:0016021; GO:0016020,metabolism,C,energy production and conversion,"hydrogenase 4, membrane subunit"
hyff,b2486,hydrogenase 4 component F,9.423322e-05,GO:0044569; GO:0005887; GO:0006974; GO:0055114; GO:0005886; GO:0016491; GO:0016021; GO:0016020,metabolism,P,inorganic ion transport and metabolism,"hydrogenase 4, membrane subunit"
hyfg,b2487,hydrogenase 4 catalytic subunit HyfG,0.00010521578,GO:0051539; GO:0051536; GO:0051287; GO:0048038; GO:0016651; GO:0008137; GO:0044569; GO:0051540; GO:0016151; GO:0055114; GO:0046872; GO:0016491; GO:0005515,metabolism,C,energy production and conversion,"hydrogenase 4, subunit"
"hydrogenase 4, large subunit",b2487,hydrogenase 4 catalytic subunit HyfG,0.00010521578,GO:0051539; GO:0051536; GO:0051287; GO:0048038; GO:0016651; GO:0008137; GO:0044569; GO:0051540; GO:0016151; GO:0055114; GO:0046872; GO:0016491; GO:0005515,metabolism,C,energy production and conversion,"hydrogenase 4, subunit"
hyfh,b2488,hydrogenase 4 component H,3.346394e-05,GO:0045272; GO:0016651; GO:0016020; GO:0009060; GO:0044569; GO:0030288; GO:0055114; GO:0051539; GO:0051536; GO:0046872,metabolism,C,energy production and conversion,"hydrogenase 4, Fe-S subunit"
hyfi,b2489,hydrogenase 4 catalytic subunit HyfI,4.664766e-05,GO:0048038; GO:0008137; GO:0055114; GO:0051539; GO:0051536; GO:0046872; GO:0016491,metabolism,C,energy production and conversion,"hydrogenase 4, Fe-S subunit"
"hydrogenase 4, small subunit",b2489,hydrogenase 4 catalytic subunit HyfI,4.664766e-05,GO:0048038; GO:0008137; GO:0055114; GO:0051539; GO:0051536; GO:0046872; GO:0016491,metabolism,C,energy production and conversion,"hydrogenase 4, Fe-S subunit"
hyfj,b2490,putative hydrogenase 4 assembly protein,2.585782e-05,GO:0005829; GO:0055114; GO:0016491,Not Assigned,Not Assigned,Not Assigned,Not Assigned
hyfr,b2491,DNA-binding transcriptional activator HyfR,0.0001250063,GO:0006355; GO:0008134; GO:0006352; GO:0005829; GO:2000142; GO:0005524; GO:0003677; GO:0000166; GO:0000160,information storage and processing,K,transcription,"DNA-binding transcriptional activator, formate sensing"
hyi,b0508,hydroxypyruvate isomerase,4.8765819999999995e-05,GO:0016853; GO:0046487; GO:0042803; GO:0005829; GO:0008903,metabolism,G,carbohydrate transport and metabolism,hydroxypyruvate isomerase
ybbg,b0508,hydroxypyruvate isomerase,4.8765819999999995e-05,GO:0016853; GO:0046487; GO:0042803; GO:0005829; GO:0008903,metabolism,G,carbohydrate transport and metabolism,hydroxypyruvate isomerase
glyoxylate-induced protein,b0508,hydroxypyruvate isomerase,4.8765819999999995e-05,GO:0016853; GO:0046487; GO:0042803; GO:0005829; GO:0008903,metabolism,G,carbohydrate transport and metabolism,hydroxypyruvate isomerase
gip,b0508,hydroxypyruvate isomerase,4.8765819999999995e-05,GO:0016853; GO:0046487; GO:0042803; GO:0005829; GO:0008903,metabolism,G,carbohydrate transport and metabolism,hydroxypyruvate isomerase
hypa,b2726,hydrogenase 3 nickel incorporation protein HypA,2.1858879999999997e-05,GO:0016020; GO:0006464; GO:0005886; GO:0005829; GO:0046872; GO:0005515; GO:0031234; GO:0008270; GO:0051604; GO:0016151,poorly characterized,R,general function prediction only,Hydrogenase-3 nickel incorporation protein HypA
accessory protein for nickel incorporation into hydrogenase 3,b2726,hydrogenase 3 nickel incorporation protein HypA,2.1858879999999997e-05,GO:0016020; GO:0006464; GO:0005886; GO:0005829; GO:0046872; GO:0005515; GO:0031234; GO:0008270; GO:0051604; GO:0016151,poorly characterized,R,general function prediction only,Hydrogenase-3 nickel incorporation protein HypA
hypb,b2727,hydrogenase isoenzymes nickel incorporation protein HypB,5.23979e-05,GO:0005829; GO:0046872; GO:0016787; GO:0042803; GO:0051188; GO:0008270; GO:0005525; GO:0005515; GO:0000166; GO:0016151; GO:0003924; GO:0051604,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase nickel incorporation protein HypB
hydb,b2727,hydrogenase isoenzymes nickel incorporation protein HypB,5.23979e-05,GO:0005829; GO:0046872; GO:0016787; GO:0042803; GO:0051188; GO:0008270; GO:0005525; GO:0005515; GO:0000166; GO:0016151; GO:0003924; GO:0051604,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase nickel incorporation protein HypB
accessory protein for nickel incorporation into hydrogenase isoenzymes,b2727,hydrogenase isoenzymes nickel incorporation protein HypB,5.23979e-05,GO:0005829; GO:0046872; GO:0016787; GO:0042803; GO:0051188; GO:0008270; GO:0005525; GO:0005515; GO:0000166; GO:0016151; GO:0003924; GO:0051604,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase nickel incorporation protein HypB
hypc,b2728,hydrogenase 3 maturation protein HypC,1.615512e-05,GO:0005829; GO:0042802; GO:0005506; GO:1902670; GO:0005515; GO:0051604,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase maturation protein HypC
"hypc, protein involved in hydrogenase 3 maturation",b2728,hydrogenase 3 maturation protein HypC,1.615512e-05,GO:0005829; GO:0042802; GO:0005506; GO:1902670; GO:0005515; GO:0051604,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase maturation protein HypC
hypd,b2729,Fe-(CN)2CO cofactor assembly scaffold protein HypD,6.866258e-05,GO:0051536; GO:0005829; GO:0070025; GO:0005506; GO:0005515; GO:0051539; GO:0051604; GO:0046872; GO:0006464,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase maturation protein HypD
hydf,b2729,Fe-(CN)2CO cofactor assembly scaffold protein HypD,6.866258e-05,GO:0051536; GO:0005829; GO:0070025; GO:0005506; GO:0005515; GO:0051539; GO:0051604; GO:0046872; GO:0006464,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase maturation protein HypD
"hypd, scaffold protein for assembly of the fe-(cn)2co cofactor",b2729,Fe-(CN)2CO cofactor assembly scaffold protein HypD,6.866258e-05,GO:0051536; GO:0005829; GO:0070025; GO:0005506; GO:0005515; GO:0051539; GO:0051604; GO:0046872; GO:0006464,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",Hydrogenase maturation protein HypD
hype,b2730,"HypE-S-carboxamide // ""hydrogenase maturation protein, carbamoyl dehydratase""",5.825272e-05,GO:0016829; GO:0005515; GO:0005829; GO:0046892; GO:0051604,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","Hydrogenase maturation protein, carbamoyl dehydratase HypE"
hydb,b2730,"HypE-S-carboxamide // ""hydrogenase maturation protein, carbamoyl dehydratase""",5.825272e-05,GO:0016829; GO:0005515; GO:0005829; GO:0046892; GO:0051604,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","Hydrogenase maturation protein, carbamoyl dehydratase HypE"
hypf,b2712,carbamoyl--[HypE] ligase,0.00013622956,GO:0016874; GO:0005515; GO:0003725; GO:0005829; GO:0051604; GO:0016743; GO:0046944; GO:0046872; GO:0008270,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","Hydrogenase maturation protein, carbamoyltransferase HypF"
hyda,b2712,carbamoyl--[HypE] ligase,0.00013622956,GO:0016874; GO:0005515; GO:0003725; GO:0005829; GO:0051604; GO:0016743; GO:0046944; GO:0046872; GO:0008270,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","Hydrogenase maturation protein, carbamoyltransferase HypF"
hydrogenase maturation protein,b2712,carbamoyl--[HypE] ligase,0.00013622956,GO:0016874; GO:0005515; GO:0003725; GO:0005829; GO:0051604; GO:0016743; GO:0046944; GO:0046872; GO:0008270,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","Hydrogenase maturation protein, carbamoyltransferase HypF"
carbamoyltransferase hypf,b2712,carbamoyl--[HypE] ligase,0.00013622956,GO:0016874; GO:0005515; GO:0003725; GO:0005829; GO:0051604; GO:0016743; GO:0046944; GO:0046872; GO:0008270,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones","Hydrogenase maturation protein, carbamoyltransferase HypF"
hypt,b4327,DNA-binding transcriptional dual regulator HypT,5.762026e-05,GO:0005829; GO:0001017; GO:0000976; GO:0042802; GO:0003700; GO:0006355; GO:0003677; GO:0006351,information storage and processing,K,transcription,predicted DNA-binding transcriptional regulator
qsed,b4327,DNA-binding transcriptional dual regulator HypT,5.762026e-05,GO:0005829; GO:0001017; GO:0000976; GO:0042802; GO:0003700; GO:0006355; GO:0003677; GO:0006351,information storage and processing,K,transcription,predicted DNA-binding transcriptional regulator
yjie,b4327,DNA-binding transcriptional dual regulator HypT,5.762026e-05,GO:0005829; GO:0001017; GO:0000976; GO:0042802; GO:0003700; GO:0006355; GO:0003677; GO:0006351,information storage and processing,K,transcription,predicted DNA-binding transcriptional regulator
hyua,b2873,phenylhydantoinase,8.47015e-05,GO:0005829; GO:0042802; GO:0016810; GO:0016787; GO:0006208; GO:0005737; GO:0016812; GO:0046872,metabolism,F,nucleotide transport and metabolism,dihydropyrimidinase (EC 3.5.2.2)
ygez,b2873,phenylhydantoinase,8.47015e-05,GO:0005829; GO:0042802; GO:0016810; GO:0016787; GO:0006208; GO:0005737; GO:0016812; GO:0046872,metabolism,F,nucleotide transport and metabolism,dihydropyrimidinase (EC 3.5.2.2)
iaaa,b0828,"&beta; cleavage product of IaaA // ""&alpha; cleavage product of IaaA"" // ""isoaspartyl dipeptidase proenzyme""",5.5434039999999994e-05,GO:0005737; GO:0030288; GO:0016787; GO:0008233; GO:0006508; GO:0016540; GO:0008798; GO:0004067,metabolism,E,amino acid transport and metabolism,asparaginase (EC 3.5.1.1)
spt,b0828,"&beta; cleavage product of IaaA // ""&alpha; cleavage product of IaaA"" // ""isoaspartyl dipeptidase proenzyme""",5.5434039999999994e-05,GO:0005737; GO:0030288; GO:0016787; GO:0008233; GO:0006508; GO:0016540; GO:0008798; GO:0004067,metabolism,E,amino acid transport and metabolism,asparaginase (EC 3.5.1.1)
ybik,b0828,"&beta; cleavage product of IaaA // ""&alpha; cleavage product of IaaA"" // ""isoaspartyl dipeptidase proenzyme""",5.5434039999999994e-05,GO:0005737; GO:0030288; GO:0016787; GO:0008233; GO:0006508; GO:0016540; GO:0008798; GO:0004067,metabolism,E,amino acid transport and metabolism,asparaginase (EC 3.5.1.1)
iada,b4328,isoaspartyl dipeptidase,6.819944e-05,GO:0016812; GO:0042802; GO:0005829; GO:0016787; GO:0046872; GO:0016810; GO:0006508; GO:0008270; GO:0008798; GO:0008237; GO:0008233; GO:0005737,metabolism,F,nucleotide transport and metabolism,isoaspartyl dipeptidase. Metallo peptidase. MEROPS family M38
yjif,b4328,isoaspartyl dipeptidase,6.819944e-05,GO:0016812; GO:0042802; GO:0005829; GO:0016787; GO:0046872; GO:0016810; GO:0006508; GO:0008270; GO:0008798; GO:0008237; GO:0008233; GO:0005737,metabolism,F,nucleotide transport and metabolism,isoaspartyl dipeptidase. Metallo peptidase. MEROPS family M38
iap,b2753,alkaline phosphatase isozyme conversion protein,6.29472e-05,GO:0046872; GO:0043687; GO:0030288; GO:0016787; GO:0008233; GO:0006508; GO:0004177,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",IAP aminopeptidase. Metallo peptidase. MEROPS family M28C
ibag,b3190,acid stress protein IbaG,1.569032e-05,GO:0005515; GO:0051537; GO:0005829; GO:0001101,cellular processes and signaling,T,signal transduction mechanisms,"predicted DNA-binding transcriptional regulator, BolA family"
yrba,b3190,acid stress protein IbaG,1.569032e-05,GO:0005515; GO:0051537; GO:0005829; GO:0001101,cellular processes and signaling,T,signal transduction mechanisms,"predicted DNA-binding transcriptional regulator, BolA family"
putative dna-binding transcriptional regulator ibag,b3190,acid stress protein IbaG,1.569032e-05,GO:0005515; GO:0051537; GO:0005829; GO:0001101,cellular processes and signaling,T,signal transduction mechanisms,"predicted DNA-binding transcriptional regulator, BolA family"
ibpa,b3687,small heat shock protein IbpA,2.618484e-05,GO:0050821; GO:0042803; GO:0005829; GO:0042802; GO:0009408; GO:0005737; GO:0005515,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",heat shock chaperone
htpn,b3687,small heat shock protein IbpA,2.618484e-05,GO:0050821; GO:0042803; GO:0005829; GO:0042802; GO:0009408; GO:0005737; GO:0005515,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",heat shock chaperone
hslt,b3687,small heat shock protein IbpA,2.618484e-05,GO:0050821; GO:0042803; GO:0005829; GO:0042802; GO:0009408; GO:0005737; GO:0005515,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",heat shock chaperone
ibpb,b3686,small heat shock protein IbpB,2.6714379999999998e-05,GO:0050821; GO:1990169; GO:0042802; GO:0009408; GO:0005737; GO:0005515,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",heat shock chaperone
hsls,b3686,small heat shock protein IbpB,2.6714379999999998e-05,GO:0050821; GO:1990169; GO:0042802; GO:0009408; GO:0005737; GO:0005515,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",heat shock chaperone
htpe,b3686,small heat shock protein IbpB,2.6714379999999998e-05,GO:0050821; GO:1990169; GO:0042802; GO:0009408; GO:0005737; GO:0005515,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",heat shock chaperone
ibsa,b4667,toxic peptide IbsA,3.7051200000000005e-06,GO:0005887; GO:0012501,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ibsb,b4668,putative toxic peptide IbsB,3.42624e-06,GO:0005887; GO:0012501,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ibsc,b4665,toxic peptide IbsC,3.6669400000000002e-06,GO:0005887; GO:0012501,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ibsd,b4664,putative toxic peptide IbsD,3.5706599999999997e-06,GO:0005887; GO:0016021; GO:0016020; GO:0012501,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ibse,b4666,toxic peptide IbsE,3.6636199999999997e-06,GO:0005887; GO:0012501,Not Assigned,Not Assigned,Not Assigned,Not Assigned
icd,b1136,isocitrate dehydrogenase,7.595661999999999e-05,GO:0005515; GO:0005829; GO:0006979; GO:0055114; GO:0016616; GO:0016491; GO:0051287; GO:0000287; GO:0005737; GO:0022900; GO:0046872; GO:0006097; GO:0004450; GO:0006099,metabolism,C,energy production and conversion,isocitrate dehydrogenase (NADP) (EC 1.1.1.42)
icde,b1136,isocitrate dehydrogenase,7.595661999999999e-05,GO:0005515; GO:0005829; GO:0006979; GO:0055114; GO:0016616; GO:0016491; GO:0051287; GO:0000287; GO:0005737; GO:0022900; GO:0046872; GO:0006097; GO:0004450; GO:0006099,metabolism,C,energy production and conversion,isocitrate dehydrogenase (NADP) (EC 1.1.1.42)
icda,b1136,isocitrate dehydrogenase,7.595661999999999e-05,GO:0005515; GO:0005829; GO:0006979; GO:0055114; GO:0016616; GO:0016491; GO:0051287; GO:0000287; GO:0005737; GO:0022900; GO:0046872; GO:0006097; GO:0004450; GO:0006099,metabolism,C,energy production and conversion,isocitrate dehydrogenase (NADP) (EC 1.1.1.42)
icdc,b4519,protein IcdC,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
iclr,b4018,DNA-binding transcriptional repressor IclR,4.936674e-05,GO:0005515; GO:0045892; GO:0003700; GO:0005829; GO:0006355; GO:0003677; GO:0006097,information storage and processing,K,transcription,"transcriptional regulator, IclR family"
idi,b2889,isopentenyl-diphosphate &Delta;-isomerase,3.404328e-05,GO:0000287; GO:0008270; GO:0009240; GO:0005829; GO:0016853; GO:0016787; GO:0050992; GO:0006974; GO:0046872; GO:0008299; GO:0005737; GO:0004452,metabolism,I,lipid transport and metabolism,isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)
ygfv,b2889,isopentenyl-diphosphate &Delta;-isomerase,3.404328e-05,GO:0000287; GO:0008270; GO:0009240; GO:0005829; GO:0016853; GO:0016787; GO:0050992; GO:0006974; GO:0046872; GO:0008299; GO:0005737; GO:0004452,metabolism,I,lipid transport and metabolism,isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)
idlp,b4722,iraD leader peptide,5.00656e-06,GO:0006417,Not Assigned,Not Assigned,Not Assigned,Not Assigned
idnd,b4267,IDONDEHYD-MONOMER,6.166402e-05,GO:0005515; GO:0005829; GO:0016491; GO:0055114; GO:0046872; GO:0019521; GO:0050572; GO:0046183,metabolism,E,amino acid transport and metabolism,L-idonate 5-dehydrogenase (EC 1.1.1.264)
yjgv,b4267,IDONDEHYD-MONOMER,6.166402e-05,GO:0005515; GO:0005829; GO:0016491; GO:0055114; GO:0046872; GO:0019521; GO:0050572; GO:0046183,metabolism,E,amino acid transport and metabolism,L-idonate 5-dehydrogenase (EC 1.1.1.264)
idnk,b4268,"D-gluconate kinase, thermosensitive",3.486664e-05,GO:0005829; GO:0016740; GO:0016301; GO:0005975; GO:0016310; GO:0046183; GO:0046177; GO:0019521; GO:0005524; GO:0000166; GO:0046316,metabolism,G,carbohydrate transport and metabolism,"gluconate kinase, SKI family (EC 2.7.1.12)"
gntv,b4268,"D-gluconate kinase, thermosensitive",3.486664e-05,GO:0005829; GO:0016740; GO:0016301; GO:0005975; GO:0016310; GO:0046183; GO:0046177; GO:0019521; GO:0005524; GO:0000166; GO:0046316,metabolism,G,carbohydrate transport and metabolism,"gluconate kinase, SKI family (EC 2.7.1.12)"
gluconokinase ii,b4268,"D-gluconate kinase, thermosensitive",3.486664e-05,GO:0005829; GO:0016740; GO:0016301; GO:0005975; GO:0016310; GO:0046183; GO:0046177; GO:0019521; GO:0005524; GO:0000166; GO:0046316,metabolism,G,carbohydrate transport and metabolism,"gluconate kinase, SKI family (EC 2.7.1.12)"
idno,b4266,5-keto-D-gluconate 5-reductase,4.5754579999999996e-05,GO:0042803; GO:0005975; GO:0016491; GO:0005829; GO:0046183; GO:0055114; GO:0008874,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",5-keto-D-gluconate 5-reductase (EC 1.1.1.69)
yjgu,b4266,5-keto-D-gluconate 5-reductase,4.5754579999999996e-05,GO:0042803; GO:0005975; GO:0016491; GO:0005829; GO:0046183; GO:0055114; GO:0008874,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",5-keto-D-gluconate 5-reductase (EC 1.1.1.69)
idnr,b4264,DNA-binding transcriptional dual regulator IdnR,6.236122e-05,GO:0006355; GO:0005829; GO:0019521; GO:0003677,information storage and processing,K,transcription,"transcriptional regulator, LacI family"
gnth,b4264,DNA-binding transcriptional dual regulator IdnR,6.236122e-05,GO:0006355; GO:0005829; GO:0019521; GO:0003677,information storage and processing,K,transcription,"transcriptional regulator, LacI family"
yjgs,b4264,DNA-binding transcriptional dual regulator IdnR,6.236122e-05,GO:0006355; GO:0005829; GO:0019521; GO:0003677,information storage and processing,K,transcription,"transcriptional regulator, LacI family"
idnt,b4265,L-idonate/5-ketogluconate/gluconate transporter,7.642806e-05,GO:0005887; GO:0035429; GO:0046183; GO:0015726; GO:0015568; GO:0005886; GO:0019521; GO:0016021; GO:0016020; GO:0015128; GO:0008643,poorly characterized,R,general function prediction only,L-idonate permease (TC 2.A.8.1.2)
yjgt,b4265,L-idonate/5-ketogluconate/gluconate transporter,7.642806e-05,GO:0005887; GO:0035429; GO:0046183; GO:0015726; GO:0015568; GO:0005886; GO:0019521; GO:0016021; GO:0016020; GO:0015128; GO:0008643,poorly characterized,R,general function prediction only,L-idonate permease (TC 2.A.8.1.2)
gntw,b4265,L-idonate/5-ketogluconate/gluconate transporter,7.642806e-05,GO:0005887; GO:0035429; GO:0046183; GO:0015726; GO:0015568; GO:0005886; GO:0019521; GO:0016021; GO:0016020; GO:0015128; GO:0008643,poorly characterized,R,general function prediction only,L-idonate permease (TC 2.A.8.1.2)
igaa,b3398,inner membrane protein IgaA,0.0001319534,GO:0005515; GO:0005887; GO:0009276; GO:0005886; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
yrff,b3398,inner membrane protein IgaA,0.0001319534,GO:0005515; GO:0005887; GO:0009276; GO:0005886; GO:0016021; GO:0016020,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ihfa,b1712,integration host factor subunit &alpha;,1.884764e-05,GO:0045893; GO:0032993; GO:0001216; GO:0000976; GO:0009295; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, alpha subunit"
hima,b1712,integration host factor subunit &alpha;,1.884764e-05,GO:0045893; GO:0032993; GO:0001216; GO:0000976; GO:0009295; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, alpha subunit"
"integration host factor (ihf), &alpha; subunit; site specific recombination",b1712,integration host factor subunit &alpha;,1.884764e-05,GO:0045893; GO:0032993; GO:0001216; GO:0000976; GO:0009295; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, alpha subunit"
hid,b1712,integration host factor subunit &alpha;,1.884764e-05,GO:0045893; GO:0032993; GO:0001216; GO:0000976; GO:0009295; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, alpha subunit"
ihfb,b0912,integration host factor subunit &beta;,1.768066e-05,GO:0005694; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, beta subunit"
hip,b0912,integration host factor subunit &beta;,1.768066e-05,GO:0005694; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, beta subunit"
himd,b0912,integration host factor subunit &beta;,1.768066e-05,GO:0005694; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, beta subunit"
"integration host factor (ihf), &beta; subunit; site-specific recombination",b0912,integration host factor subunit &beta;,1.768066e-05,GO:0005694; GO:0006355; GO:0005829; GO:0000746; GO:0006417; GO:0003677; GO:0006351; GO:0006310; GO:0005737,information storage and processing,L,"Replication, recombination, and repair","integration host factor (IHF), DNA-binding protein, beta subunit"
iles,b0026,isoleucine&mdash;tRNA ligase,0.00017313301999999999,GO:0106074; GO:0005515; GO:0000049; GO:0005829; GO:0008270; GO:0006428; GO:0006418; GO:0002161; GO:0046872; GO:0046677; GO:0016874; GO:0006412; GO:0005524; GO:0004812; GO:0000166; GO:0004822; GO:0005737,information storage and processing,J,"translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase (EC 6.1.1.5)
ilvs,b0026,isoleucine&mdash;tRNA ligase,0.00017313301999999999,GO:0106074; GO:0005515; GO:0000049; GO:0005829; GO:0008270; GO:0006428; GO:0006418; GO:0002161; GO:0046872; GO:0046677; GO:0016874; GO:0006412; GO:0005524; GO:0004812; GO:0000166; GO:0004822; GO:0005737,information storage and processing,J,"translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase (EC 6.1.1.5)
ilers,b0026,isoleucine&mdash;tRNA ligase,0.00017313301999999999,GO:0106074; GO:0005515; GO:0000049; GO:0005829; GO:0008270; GO:0006428; GO:0006418; GO:0002161; GO:0046872; GO:0046677; GO:0016874; GO:0006412; GO:0005524; GO:0004812; GO:0000166; GO:0004822; GO:0005737,information storage and processing,J,"translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase (EC 6.1.1.5)
ilet,b3852,tRNA-Ile(GAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
trnailet,b3852,tRNA-Ile(GAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ileu,b3277,tRNA-Ile(GAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
trnaileu,b3277,tRNA-Ile(GAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ilev,b0202,tRNA-Ile(GAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
trnailev,b0202,tRNA-Ile(GAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ilex,b3069,tRNA-Ile(CAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
trna(2ile),b3069,tRNA-Ile(CAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
trna(minorile),b3069,tRNA-Ile(CAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
trnailex,b3069,tRNA-Ile(CAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
iley,b2652,tRNA-Ile(CAU),,GO:0005829; GO:0030533; GO:0005737,Not Assigned,Not Assigned,Not Assigned,Not Assigned
