cog,complex,complex_annotation,func,protein,subunits
Inorganic ion transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter,dipeptide ABC transporter membrane subunit DppB,DppB,1.0
Inorganic ion transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter,dipeptide ABC transporter membrane subunit DppC,DppC,1.0
Inorganic ion transport and metabolism,ABC-8-CPLX,dipeptide ABC transporter,dipeptide ABC transporter ATP binding subunit DppD,DppD,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7806,disulfide reductase,disulfide reductase,YfcG,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7917,disulfide reductase / organic hydroperoxide reductase,disulfide reductase / organic hydroperoxide reductase,YghU,2.0
"Cell cycle control, cell division, chromosome partitioning",ABC-54-CPLX,divisome protein complex FtsEX,cell division protein FtsE,FtsE,2.0
"Cell cycle control, cell division, chromosome partitioning",ABC-54-CPLX,divisome protein complex FtsEX,cell division protein FtsX,FtsX,1.0
Defense Mechanisms,CPLX0-1881,"enamine/imine deaminase, redox-regulated chaperone","enamine/imine deaminase, redox-regulated chaperone",RidA,3.0
Cell wall/membrane/envelope biogenesis,CPLX0-1923,energy transducing Ton complex,Ton complex subunit TonB,TonB,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1923,energy transducing Ton complex,Ton complex subunit ExbB,ExbB,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1923,energy transducing Ton complex,Ton complex subunit ExbD,ExbD,1.0
Carbohydrate transport and metabolism,ENOLASE-CPLX,enolase,enolase,Eno,2.0
Lipid transport and metabolism,CPLX0-8006,enoyl-[acyl-carrier-protein] reductase,enoyl-[acyl-carrier-protein] reductase,FabI,4.0
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTMULTI-CPLX,enterobactin synthase,"2,3-dihydroxybenzoate-AMP ligase",EntE,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTMULTI-CPLX,enterobactin synthase,"seryl-[EntF peptidyl-carrier protein] // ""holo [EntF peptidyl-carrier protein]"" // ""apo-serine activating enzyme""",EntF,1.0
General function prediction only,CPLX0-8212,erythronate-4-phosphate dehydrogenase,erythronate-4-phosphate dehydrogenase,PdxB,2.0
Carbohydrate transport and metabolism,CPLX0-8015,ethanol dehydrogenase / alcohol dehydrogenase,ethanol dehydrogenase / alcohol dehydrogenase,AdhP,4.0
Aminio acid transport and metabolism,ETHAMLY-CPLX,ethanolamine ammonia-lyase,ethanolamine ammonia-lyase subunit α,EutB,6.0
Aminio acid transport and metabolism,ETHAMLY-CPLX,ethanolamine ammonia-lyase,ethanolamine ammonia-lyase subunit β,EutC,6.0
"Replication, recombination, and repair",UVRABC-CPLX,excision nuclease UvrABC,excision nuclease subunit A,UvrA,1.0
"Replication, recombination, and repair",UVRABC-CPLX,excision nuclease UvrABC,excision nuclease subunit B,UvrB,1.0
"Replication, recombination, and repair",UVRABC-CPLX,excision nuclease UvrABC,excision nuclease subunit C,UvrC,1.0
"Replication, recombination, and repair",RECBCD,exodeoxyribonuclease V,exodeoxyribonuclease V subunit RecB,RecB,1.0
"Replication, recombination, and repair",RECBCD,exodeoxyribonuclease V,exodeoxyribonuclease V subunit RecC,RecC,1.0
"Replication, recombination, and repair",RECBCD,exodeoxyribonuclease V,exodeoxyribonuclease V subunit RecD,RecD,1.0
"Replication, recombination, and repair",CPLX-3946,exodeoxyribonuclease VII,exodeoxyribonuclease VII subunit XseA,XseA,1.0
"Replication, recombination, and repair",CPLX-3946,exodeoxyribonuclease VII,exodeoxyribonuclease VII subunit XseB,XseB,4.0
Inorganic ion transport and metabolism,PPX-CPLX,exopolyphosphatase,exopolyphosphatase,Ppx,2.0
Lipid transport and metabolism,FADB-CPLX,"fatty acid oxidation complex, α component","dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",FadB,2.0
Lipid transport and metabolism,FADA-CPLX,"fatty acid oxidation complex, β component",3-ketoacyl-CoA thiolase,FadA,2.0
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter,ferric citrate ABC transporter periplasmic binding protein,FecB,1.0
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter,ferric citrate ABC transporter membrane subunit FecC,FecC,1.0
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter,ferric citrate ABC transporter membrane subunit FecD,FecD,1.0
Inorganic ion transport and metabolism,ABC-9-CPLX,ferric citrate ABC transporter,ferric citrate ABC transporter ATP binding subunit,FecE,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-1943,ferric citrate outer membrane transport complex,Ton complex subunit TonB,TonB,1.0
Inorganic ion transport and metabolism,CPLX0-1943,ferric citrate outer membrane transport complex,ferric citrate outer membrane transporter,FecA,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1943,ferric citrate outer membrane transport complex,Ton complex subunit ExbB,ExbB,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1943,ferric citrate outer membrane transport complex,Ton complex subunit ExbD,ExbD,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-7952,ferric coprogen outer membrane transport complex,Ton complex subunit TonB,TonB,1.0
Inorganic ion transport and metabolism,CPLX0-7952,ferric coprogen outer membrane transport complex,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,FhuE,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7952,ferric coprogen outer membrane transport complex,Ton complex subunit ExbB,ExbB,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7952,ferric coprogen outer membrane transport complex,Ton complex subunit ExbD,ExbD,1.0
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter,ferric enterobactin ABC transporter periplasmic binding protein,FepB,1.0
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter,ferric enterobactin ABC transporter ATP binding subunit,FepC,2.0
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter,ferric enterobactin ABC transporter membrane subunit FebD,FepD,1.0
Inorganic ion transport and metabolism,ABC-10-CPLX,ferric enterobactin ABC transporter,ferric enterobactin ABC transporter membrane subunit FepG,FepG,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-1941,ferric enterobactin outer membrane transport complex,Ton complex subunit TonB,TonB,1.0
Inorganic ion transport and metabolism,CPLX0-1941,ferric enterobactin outer membrane transport complex,ferric enterobactin outer membrane transporter,FepA,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1941,ferric enterobactin outer membrane transport complex,Ton complex subunit ExbB,ExbB,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1941,ferric enterobactin outer membrane transport complex,Ton complex subunit ExbD,ExbD,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-1942,ferrichrome outer membrane transport complex,Ton complex subunit TonB,TonB,1.0
Inorganic ion transport and metabolism,CPLX0-1942,ferrichrome outer membrane transport complex,ferrichrome outer membrane transporter/phage receptor,FhuA,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1942,ferrichrome outer membrane transport complex,Ton complex subunit ExbB,ExbB,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-1942,ferrichrome outer membrane transport complex,Ton complex subunit ExbD,ExbD,1.0
Inorganic ion transport and metabolism,CPLX0-3969,ferritin iron-storage complex,ferritin iron storage protein,FtnA,24.0
Cell motility,CPLX0-3401,fimbrial complex,type 1 fimbriae major subunit,FimA,1.0
Cell motility,CPLX0-3401,fimbrial complex,type 1 fimbriae minor subunit FimF,FimF,1.0
Cell motility,CPLX0-3401,fimbrial complex,type 1 fimbriae minor subunit FimG,FimG,1.0
Function unknown,CPLX0-3401,fimbrial complex,type 1 fimbriae D-mannose specific adhesin,FimH,1.0
Cell motility,CPLX0-7451,flagellar export apparatus,flagellar biosynthesis protein FlhA,FlhA,1.0
Cell motility,CPLX0-7451,flagellar export apparatus,flagellar basal-body protein FliE,FliE,6.0
Cell motility,CPLX0-7451,flagellar export apparatus,flagellar biosynthesis protein FliJ,FliJ,1.0
Cell motility,CPLX0-7451,flagellar export apparatus,flagellar motor switch protein FliM,FliM,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7451,flagellar export apparatus,flagellar biosynthesis protein FliH,Flih,12.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar basal-body rod protein FlgB,FlgB,1.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar basal-body rod protein FlgC,FlgC,1.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar basal-body rod protein FlgF,FlgF,1.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar basal-body rod protein FlgG,FlgG,1.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar L-ring protein,FlgH,1.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar P-ring protein,FlgI,1.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar basal-body protein FliE,FliE,1.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar motor switch protein FliG,FliG,26.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar protein FliL,FliL,2.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar motor switch protein FliM,FliM,34.0
Cell motility,FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,motility protein A,Mota,1.0
"Intracellular trafficking, secretion, and vesicular transport",FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar basal-body MS-ring and collar protein,FliF,1.0
"Intracellular trafficking, secretion, and vesicular transport",FLAGELLAR-MOTOR-COMPLEX,flagellar motor complex,flagellar motor switch protein FliN,FliN,1.0
Cell motility,CPLX0-7450,flagellar motor switch complex,flagellar motor switch protein FliG,FliG,26.0
Cell motility,CPLX0-7450,flagellar motor switch complex,flagellar motor switch protein FliM,FliM,34.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7450,flagellar motor switch complex,flagellar motor switch protein FliN,FliN,1.0
Cell motility,CPLX0-7452,flagellum,flagellar basal-body rod protein FlgB,FlgB,1.0
Cell motility,CPLX0-7452,flagellum,flagellar basal-body rod protein FlgC,FlgC,1.0
Cell motility,CPLX0-7452,flagellum,flagellar hook protein FlgE,FlgE,120.0
Cell motility,CPLX0-7452,flagellum,flagellar basal-body rod protein FlgF,FlgF,1.0
Cell motility,CPLX0-7452,flagellum,flagellar basal-body rod protein FlgG,FlgG,1.0
Cell motility,CPLX0-7452,flagellum,flagellar L-ring protein,FlgH,1.0
Cell motility,CPLX0-7452,flagellum,flagellar P-ring protein,FlgI,1.0
Cell motility,CPLX0-7452,flagellum,flagellar hook-filament junction protein 1,FlgK,1.0
Cell motility,CPLX0-7452,flagellum,flagellar hook-filament junction protein 2,FlgL,1.0
Cell motility,CPLX0-7452,flagellum,flagellar biosynthesis protein FlhA,FlhA,1.0
Cell motility,CPLX0-7452,flagellum,flagellar filament structural protein,FliC,1.0
Cell motility,CPLX0-7452,flagellum,flagellar filament capping protein,FliD,5.0
Cell motility,CPLX0-7452,flagellum,flagellar basal-body protein FliE,FliE,1.0
Cell motility,CPLX0-7452,flagellum,flagellar motor switch protein FliG,FliG,26.0
Cell motility,CPLX0-7452,flagellum,flagellar biosynthesis protein FliJ,FliJ,1.0
Cell motility,CPLX0-7452,flagellum,flagellar protein FliL,FliL,2.0
Cell motility,CPLX0-7452,flagellum,flagellar motor switch protein FliM,FliM,34.0
Cell motility,CPLX0-7452,flagellum,motility protein A,Mota,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7452,flagellum,flagellar basal-body MS-ring and collar protein,FliF,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7452,flagellum,flagellar motor switch protein FliN,FliN,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-7452,flagellum,flagellar biosynthesis protein FliH,Flih,12.0
Inorganic ion transport and metabolism,CPLX0-7843,formate channel FocA,formate channel FocA,FocA,5.0
Energy production and conversion,FORMATEDEHYDROGN-CPLX,formate dehydrogenase N,formate dehydrogenase N subunit α,FdnG,3.0
Energy production and conversion,ALPHA-SUBUNIT-CPLX,"formate dehydrogenase N, subcomplex",formate dehydrogenase N subunit α,FdnG,1.0
Energy production and conversion,FORMATEDEHYDROGO-CPLX,formate dehydrogenase O,formate dehydrogenase O subunit α,FdoG,1.0
Energy production and conversion,FORMATEDEHYDROGO-CPLX,formate dehydrogenase O,formate dehydrogenase O subunit β,FdoH,1.0
Energy production and conversion,FORMATEDEHYDROGO-CPLX,formate dehydrogenase O,formate dehydrogenase O subunit γ,FdoI,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7724,formate dehydrogenase formation protein,formate dehydrogenase formation protein,FdhE,2.0
Energy production and conversion,FHLMULTI-CPLX,formate hydrogenlyase complex,formate hydrogenlyase subunit HycE,HycE,1.0
Energy production and conversion,FHLMULTI-CPLX,formate hydrogenlyase complex,formate hydrogenlyase subunit HycG,HycG,1.0
Function unknown,FHLMULTI-CPLX,formate hydrogenlyase complex,formate dehydrogenase H,FdhF,1.0
Lipid transport and metabolism,CPLX0-1142,formyl-CoA transferase,formyl-CoA transferase,Frc,2.0
Nucleotide transport and metabolism,FORMYLTHFDEFORMYL-CPLX,formyltetrahydrofolate deformylase,formyltetrahydrofolate deformylase,PurU,6.0
Signal transduction mechanisms,CPLX0-8217,free methionine-(R)-sulfoxide reductase,free methionine-(R)-sulfoxide reductase,MsrC,2.0
Carbohydrate transport and metabolism,F16B-CPLX,"fructose-1,6-bisphosphatase 1","fructose-1,6-bisphosphatase 1",Fbp,4.0
Carbohydrate transport and metabolism,CPLX0-303,"fructose-1,6-bisphosphatase 2","fructose-1,6-bisphosphatase 2",GlpX,2.0
Carbohydrate transport and metabolism,CPLX0-201,fructose-6-phosphate aldolase 1,fructose-6-phosphate aldolase 1,FsaA,10.0
Carbohydrate transport and metabolism,FRUCBISALD-CLASSI,fructose-bisphosphate aldolase class I,fructose-bisphosphate aldolase class I,FbaB,10.0
Carbohydrate transport and metabolism,FRUCBISALD-CLASSII,fructose-bisphosphate aldolase class II,fructose-bisphosphate aldolase class II,FbaA,2.0
Carbohydrate transport and metabolism,CPLX-158,fructose-specific PTS enzyme II,fructose-specific PTS multiphosphoryl transfer protein FruA,FruA,2.0
Signal transduction mechanisms,CPLX-158,fructose-specific PTS enzyme II,"FruB - his299 phosphorylated // ""fructose-specific PTS multiphosphoryl transfer protein FruB""",FruB,1.0
Carbohydrate transport and metabolism,CPLX0-3861,fructoselysine 3-epimerase,fructoselysine 3-epimerase,FrlC,8.0
Cell wall/membrane/envelope biogenesis,CPLX0-821,fructoselysine 6-phosphate deglycase,fructoselysine 6-phosphate deglycase,FrlB,12.0
Energy production and conversion,FUMARASE-A,fumarase A,fumarase A,FumA,2.0
Energy production and conversion,FUMARASE-B,fumarase B,fumarase B,FumB,2.0
Energy production and conversion,FUMARASE-C,fumarase C,fumarase C,FumC,4.0
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase,fumarate reductase flavoprotein subunit,FrdA,1.0
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase,fumarate reductase iron-sulfur protein,FrdB,1.0
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase,fumarate reductase membrane protein FrdC,FrdC,1.0
Energy production and conversion,FUMARATE-REDUCTASE,fumarate reductase,fumarate reductase membrane protein FrdD,FrdD,1.0
Coenzyme transport and metabolism,CPLX0-341,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,CoaBC,12.0
Aminio acid transport and metabolism,PUTA-CPLX,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,PutA,2.0
Cell wall/membrane/envelope biogenesis,NAG1P-URIDYLTRANS-CPLX,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,GlmU,3.0
Aminio acid transport and metabolism,ASPKINIHOMOSERDEHYDROGI-CPLX,fused aspartate kinase/homoserine dehydrogenase 1,fused aspartate kinase/homoserine dehydrogenase 1,ThrA,4.0
Aminio acid transport and metabolism,ASPKINIIHOMOSERDEHYDROGII-CPLX,fused aspartate kinase/homoserine dehydrogenase 2,fused aspartate kinase/homoserine dehydrogenase 2,MetL,2.0
Aminio acid transport and metabolism,CHORISMUTPREPHENDEHYDRAT-CPLX,fused chorismate mutase/prephenate dehydratase,fused chorismate mutase/prephenate dehydratase,PheA,2.0
Aminio acid transport and metabolism,CHORISMUTPREPHENDEHYDROG-CPLX,fused chorismate mutase/prephenate dehydrogenase,fused chorismate mutase/prephenate dehydrogenase,TyrA,2.0
Coenzyme transport and metabolism,CPLX0-7659,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,RibD,2.0
Aminio acid transport and metabolism,GSP-CPLX,fused glutathionylspermidine amidase / glutathionylspermidine synthetase,fused glutathionylspermidine amidase / glutathionylspermidine synthetase,Gss,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-3661,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,HldE,2.0
Aminio acid transport and metabolism,CPLX0-8186,galactitol-1-phosphate 5-dehydrogenase,galactitol-1-phosphate 5-dehydrogenase,GatD,2.0
Carbohydrate transport and metabolism,CPLX0-231,galactitol-specific PTS enzyme II,galactitol-specific PTS enzyme IIB component,GatB,1.0
Signal transduction mechanisms,CPLX0-231,galactitol-specific PTS enzyme II,galactitol-specific PTS enzyme IIA component,GatA,1.0
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter,galactofuranose ABC transporter putative membrane subunit YjtF,YjfF,1.0
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter,galactofuranose ABC transporter periplasmic binding protein,YtfQ,1.0
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter,galactofuranose ABC transporter putative ATP binding subunit,YtfR,1.0
Carbohydrate transport and metabolism,ABC-46-CPLX,galactofuranose ABC transporter,galactofuranose ABC transporter putative membrane subunit YtfT,YtfT,1.0
Carbohydrate transport and metabolism,GALACTURIDYLYLTRANS-CPLX,galactose-1-phosphate uridylyltransferase,galactose-1-phosphate uridylyltransferase,GalT,2.0
General function prediction only,GALACTOACETYLTRAN-CPLX,galactoside O-acetyltransferase,galactoside O-acetyltransferase,LacA,3.0
Carbohydrate transport and metabolism,GLUCOSAMINE-6-P-DEAMIN-CPLX,glucosamine-6-phosphate deaminase,glucosamine-6-phosphate deaminase,NagB,6.0
Function unknown,GLUCOSE-1-PHOSPHAT-CPLX,glucose-1-phosphatase,glucose-1-phosphatase,Agp,2.0
Carbohydrate transport and metabolism,GLUC1PADENYLTRANS-CPLX,glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,GlgC,4.0
Carbohydrate transport and metabolism,CPLX0-7877,glucose-6-phosphate isomerase,glucose-6-phosphate isomerase,Pgi,2.0
Carbohydrate transport and metabolism,CPLX-157,glucose-specific PTS enzyme II,Enzyme IIAGlc,Crr,1.0
Carbohydrate transport and metabolism,CPLX-157,glucose-specific PTS enzyme II,"EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""",PtsG,2.0
Aminio acid transport and metabolism,ABC-13-CPLX,glutamate / aspartate ABC transporter,glutamate/aspartate ABC transporter membrane subunit GltJ,GltJ,1.0
Aminio acid transport and metabolism,ABC-13-CPLX,glutamate / aspartate ABC transporter,glutamate/aspartate ABC transporter membrane subunit GltK,GltK,1.0
Aminio acid transport and metabolism,ABC-13-CPLX,glutamate / aspartate ABC transporter,glutamate/aspartate ABC transporter ATP binding subunit,GltL,2.0
Signal transduction mechanisms,ABC-13-CPLX,glutamate / aspartate ABC transporter,glutamate/aspartate ABC transporter periplasmic binding protein,GltI,1.0
Aminio acid transport and metabolism,GLUTKIN-CPLX,glutamate 5-kinase,glutamate 5-kinase,ProB,4.0
Aminio acid transport and metabolism,GLUTDECARBOXA-CPLX,glutamate decarboxylase A,glutamate decarboxylase A,GadA,6.0
Aminio acid transport and metabolism,GLUTDECARBOXB-CPLX,glutamate decarboxylase B,glutamate decarboxylase B,GadB,6.0
Aminio acid transport and metabolism,GDHA-CPLX,glutamate dehydrogenase,glutamate dehydrogenase,GdhA,6.0
Aminio acid transport and metabolism,GLUTAMATESYN-CPLX,glutamate synthase,glutamate synthase subunit GltB,GltB,4.0
Aminio acid transport and metabolism,GLUTAMATESYN-DIMER,glutamate synthase,glutamate synthase subunit GltB,GltB,1.0
Aminio acid transport and metabolism,CPLX0-7888,glutamate-pyruvate aminotransferase AlaA,glutamate-pyruvate aminotransferase AlaA,AlaA,2.0
Aminio acid transport and metabolism,CPLX0-7887,glutamate-pyruvate aminotransferase AlaC,glutamate-pyruvate aminotransferase AlaC,AlaC,2.0
Coenzyme transport and metabolism,GSAAMINOTRANS-CPLX,glutamate-1-semialdehyde aminotransferase,glutamate-1-semialdehyde aminotransferase,HemL,2.0
Aminio acid transport and metabolism,GLUTSEMIALDEHYDROG-CPLX,glutamate-5-semialdehyde dehydrogenase,glutamate-5-semialdehyde dehydrogenase,ProA,4.0
Aminio acid transport and metabolism,CPLX0-7709,glutamate-putrescine ligase,glutamate-putrescine ligase,PuuA,12.0
Aminio acid transport and metabolism,CPLX0-7694,glutaminase 1,glutaminase 1,GlsA,4.0
Aminio acid transport and metabolism,CPLX0-7695,glutaminase 2,glutaminase 2,YneH,2.0
Aminio acid transport and metabolism,GLUTAMINESYN-OLIGOMER,glutamine synthetase,"adenylyl-[glutamine synthetase] // ""glutamine synthetase""",GlnA,12.0
Coenzyme transport and metabolism,CPLX0-3741,glutamyl-tRNA reductase,glutamyl-tRNA reductase,HemA,2.0
Function unknown,CPLX0-8201,glutarate hydroxylase GlaH,glutarate hydroxylase GlaH,CsiD,4.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7817,glutaredoxin 4,glutaredoxin 4,GrxD,2.0
"Post-translational modification, protein turnover, and chaperones",ABC-6-CPLX,glutathione / L-cysteine ABC exporter CydDC,glutathione/L-cysteine ABC exporter subunit CydC,CydC,1.0
"Post-translational modification, protein turnover, and chaperones",ABC-6-CPLX,glutathione / L-cysteine ABC exporter CydDC,glutathione/L-cysteine ABC exporter subunit CydD,CydD,1.0
"Post-translational modification, protein turnover, and chaperones",GST-CPLX,glutathione S-transferase GstA,glutathione S-transferase GstA,GstA,2.0
Aminio acid transport and metabolism,ABC-49-CPLX,glutathione ABC transporter,glutathione ABC transporter periplasmic binding protein,GsiB,1.0
"Post-translational modification, protein turnover, and chaperones",ABC-49-CPLX,glutathione ABC transporter,glutathione ABC transporter ATP binding subunit GsiA,GsiA,1.0
Inorganic ion transport and metabolism,ABC-49-CPLX,glutathione ABC transporter,glutathione ABC transporter membrane subunit GsiC,GsiC,1.0
Inorganic ion transport and metabolism,ABC-49-CPLX,glutathione ABC transporter,glutathione ABC transporter membrane subunit GsiD,GsiD,1.0
Energy production and conversion,GLUTATHIONE-REDUCT-NADPH-CPLX,glutathione reductase,glutathione reductase (NADPH),Gor,2.0
"Translation, ribosomal structure, and biogenesis",GLUTATHIONE-SYN-CPLX,glutathione synthetase,glutathione synthetase,GshB,4.0
Energy production and conversion,CPLX0-7984,glutathionyl-hydroquinone reductase YqjG,glutathionyl-hydroquinone reductase YqjG,YqjG,2.0
Carbohydrate transport and metabolism,GAPDH-A-CPLX,glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde-3-phosphate dehydrogenase A,GapA,4.0
Carbohydrate transport and metabolism,CPLX0-7654,glycerol facilitator,glycerol facilitator,GlpF,4.0
Energy production and conversion,GLYCEROL-KIN-CPLX,glycerol kinase,glycerol kinase,GlpK,4.0
Energy production and conversion,GLYC3PDEHYDROGBIOSYN-CPLX,"glycerol-3-phosphate dehydrogenase, biosynthetic",glycerol-3-phosphate dehydrogenase,GpsA,2.0
Lipid transport and metabolism,GLYCPDIESTER-PERI-CPLX,"glycerophosphoryl diester phosphodiesterase, periplasmic",glycerophosphoryl diester phosphodiesterase GlpQ,GlpQ,2.0
Aminio acid transport and metabolism,ABC-26-CPLX,glycine betaine ABC transporter,glycine betaine ABC transporter ATP binding subunit ProV,ProV,2.0
Aminio acid transport and metabolism,ABC-40-CPLX,"glycine betaine ABC transporter, non-osmoregulatory",glycine betaine ABC transporter membrane subunit YehW,YehW,1.0
Aminio acid transport and metabolism,ABC-40-CPLX,"glycine betaine ABC transporter, non-osmoregulatory",glycine betaine ABC transporter ATP binding subunit YehX,YehX,1.0
Aminio acid transport and metabolism,ABC-40-CPLX,"glycine betaine ABC transporter, non-osmoregulatory",glycine betaine ABC transporter membrane subunit YehY,YehY,1.0
Cell wall/membrane/envelope biogenesis,ABC-40-CPLX,"glycine betaine ABC transporter, non-osmoregulatory",glycine betaine ABC transporter periplasmic binding protein OsmF,OsmF,1.0
Energy production and conversion,GCVMULTI-CPLX,glycine cleavage system,lipoamide dehydrogenase,LpdA,2.0
Aminio acid transport and metabolism,GCVMULTI-CPLX,glycine cleavage system,"lipoyl-GcvH-protein // ""glycine cleavage system H protein""",GcvH,1.0
Aminio acid transport and metabolism,GCVMULTI-CPLX,glycine cleavage system,glycine decarboxylase,GcvP,2.0
Aminio acid transport and metabolism,GCVMULTI-CPLX,glycine cleavage system,GCVT-MONOMER,GcvT,1.0
Aminio acid transport and metabolism,GCVP-CPLX,glycine decarboxylase,glycine decarboxylase,GcvP,2.0
"Translation, ribosomal structure, and biogenesis",GLYS-CPLX,glycine-tRNA ligase,glycine-tRNA ligase subunit α,GlyQ,2.0
"Translation, ribosomal structure, and biogenesis",GLYS-CPLX,glycine-tRNA ligase,glycine-tRNA ligase subunit β,GlyS,2.0
Carbohydrate transport and metabolism,GLYCOPHOSPHORYL-CPLX,glycogen phosphorylase,glycogen phosphorylase,GlgP,2.0
Energy production and conversion,CPLX0-7458,glycolate dehydrogenase,"glycolate dehydrogenase, putative FAD-linked subunit",GlcD,1.0
Energy production and conversion,CPLX0-7458,glycolate dehydrogenase,"glycolate dehydrogenase, putative FAD-binding subunit",GlcE,1.0
"Secondary metabolites, biosynthesis, transport, and catabolism",GLYOXI-CPLX,glyoxalase I,glyoxalase I,GloA,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",GLYOCARBOLIG-CPLX,glyoxylate carboligase,glyoxylate carboligase,Gcl,2.0
Energy production and conversion,CPLX0-235,glyoxylate reductase,glyoxylate reductase,GhrB,2.0
Defense Mechanisms,CPLX0-8263,guanidinium exporter,guanidinium exporter,SugE,2.0
Inorganic ion transport and metabolism,PPPGPPHYDRO-CPLX,"guanosine-5'-triphosphate,3'-diphosphate phosphatase","guanosine-5'-triphosphate,3'-diphosphate phosphatase",GppA,2.0
Nucleotide transport and metabolism,GUANYL-KIN-CPLX,guanylate kinase,guanylate kinase,Gmk,2.0
