"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"torZ"	"b1872"	1954578	1957007	"trimethylamine <i>N</i>-oxide reductase 2"	"Chromosome Region 40, 1925781->1975159" // "torYZ"	"anaerobic electron transport chain" // "anaerobic respiration" // "oxidation-reduction process"	"outer membrane-bounded periplasmic space" // "periplasmic space"	"molybdenum ion binding" // "molybdopterin cofactor binding" // "metal ion binding" // "oxidoreductase activity" // "electron transfer activity" // "trimethylamine-N-oxide reductase (cytochrome c) activity"
"dinG"	"b0799"	833070	835220	"ATP-dependent DNA helicase DinG"	"Chromosome Region 17, 790064->839442" // "dinG-ybiB"	"SOS response" // "nucleobase-containing compound metabolic process" // "DNA duplex unwinding" // "cellular response to DNA damage stimulus" // "DNA recombination" // "DNA repair"	"cytosol"	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" // "ATPase activity" // "helicase activity" // "DNA/RNA helicase activity" // "protein binding" // "hydrolase activity" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "nucleic acid binding" // "DNA helicase activity" // "ATP binding" // "DNA binding" // "nucleotide binding"
"nrfD"	"b4073"	4290476	4291432	"putative menaquinol-cytochrome <i>c</i> reductase subunit NrfD"	"Chromosome Region 87, 4246594->4295972" // "nrfABCDEFG"	"anaerobic electron transport chain"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"fusA"	"b3340"	3471400	3473514	"elongation factor G"	"Chromosome Region 71, 3456530->3505908" // "fusA-tufA" // "rpsLG-fusA-tufA"	"translational elongation" // "translation"	"cytosol" // "cytoplasm"	"GTPase activity" // "GTP binding" // "translation elongation factor activity" // "nucleotide binding"
"hybB"	"b2995"	3142986	3144164	"hydrogenase 2 membrane subunit"	"Chromosome Region 64, 3110877->3160255" // "hybOABCDEFG"	"formate oxidation" // "oxidation-reduction process" // "anaerobic respiration"	"formate dehydrogenase complex" // "integral component of plasma membrane" // "[Ni-Fe] hydrogenase complex" // "plasma membrane" // "integral component of membrane" // "membrane"	"formate dehydrogenase (quinone) activity" // "hydrogenase (acceptor) activity" // "metal ion binding"
"rpnD"	"b4584"	4568998	4569918	"truncated recombination-promoting nuclease-like protein RpnD"	"Chromosome Region 93, 4542868->4592246" // "rpnD"	"biofilm formation"	""	""
"hyfA"	"b2481"	2601201	2601818	"hydrogenase 4 component A"	"Chromosome Region 53, 2567708->2617086" // "hyfABCDEFGHIJR-focB"	"uracil catabolic process" // "thymine catabolic process" // "oxidation-reduction process"	"[Ni-Fe] hydrogenase complex"	"NADP binding" // "dihydropyrimidine dehydrogenase (NADP+) activity" // "uracil binding" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity"
"yheS"	"b3352"	3481289	3483202	"putative ATP-binding protein YheS"	"Chromosome Region 71, 3456530->3505908" // "yheU" // "yheT" // "yheS"	"ribosome assembly"	"plasma membrane" // "cytosol"	"ATPase activity" // "ATP binding" // "protein binding" // "nucleotide binding"
"hypC"	"b2728"	2851864	2852136	"hydrogenase 3 maturation protein HypC"	"Chromosome Region 58, 2814603->2863981" // "hypBCDE-fhlA" // "hypABCDE-fhlA" // "hypBCDE" // "hypABCDE"	"protein maturation"	"cytosol"	"identical protein binding" // "iron ion binding" // "carbon dioxide binding" // "protein binding"
"rpnC"	"b0132"	146968	147870	"recombination-promoting nuclease RpnC"	"Chromosome Region 3, 98758->148136" // "yadD"	"nucleic acid phosphodiester bond hydrolysis" // "DNA recombination"	"cytosol"	"double-stranded DNA endodeoxyribonuclease activity" // "hydrolase activity" // "endonuclease activity" // "nuclease activity"
"nikE"	"b3480"	3617776	3618582	"Ni(2+) ABC transporter ATP binding subunit NikE"	"Chromosome Region 74, 3604667->3654045" // "nikABCDER" // "nikABCDER"	"nickel cation transmembrane transport" // "cellular response to DNA damage stimulus" // "ion transport" // "nickel cation transport"	"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing" // "cytosol" // "plasma membrane" // "membrane"	"ATPase activity" // "nickel cation binding" // "ATP binding" // "nucleotide binding" // "ATPase-coupled nickel transmembrane transporter activity"
"secM"	"b0097"	107705	108217	"SecA translation regulator"	"Chromosome Region 3, 98758->148136" // "secMA-mutT"	"regulation of translation"	"outer membrane-bounded periplasmic space" // "cytosol" // "periplasmic space" // "cytoplasm"	"translation regulator activity"
"lldR"	"b3604"	3779054	3779830	"DNA-binding transcriptional dual regulator LldR"	"Chromosome Region 77, 3752804->3802182" // "lldPRD"	"regulation of transcription, DNA-templated" // "cellular response to DNA damage stimulus" // "biofilm formation"	"cytosol"	"DNA binding" // "DNA-binding transcription factor activity" // "sequence-specific DNA binding"
"rpnB"	"b2305"	2422649	2423539	"recombination-promoting nuclease RpnB"	"Chromosome Region 50, 2419571->2468949" // "rpnB"	"nucleic acid phosphodiester bond hydrolysis" // "DNA recombination"	"cytosol"	"double-stranded DNA endodeoxyribonuclease activity" // "hydrolase activity" // "endonuclease activity" // "nuclease activity"
"hyaE"	"b0976"	1036354	1036752	"putative HyaA chaperone"	"Chromosome Region 21, 987580->1036958" // "hyaABCDEF"	""	"cytosol"	"signal sequence binding"
"rbbA"	"b3486"	3626803	3629538	"ribosome-associated ATPase"	"Chromosome Region 74, 3604667->3654045" // "yhiI" // "rbbA" // "yhhJ"	"transmembrane transport" // "positive regulation of translation"	"ATP-binding cassette (ABC) transporter complex" // "cytosolic small ribosomal subunit" // "cell pole" // "plasma membrane" // "integral component of membrane" // "membrane"	"hydrolase activity" // "ribosomal small subunit binding" // "protein binding" // "ATPase activity" // "ATPase activity, coupled" // "ATP binding" // "nucleotide binding"
"nuoL"	"b2278"	2393205	2395046	"NADH:quinone oxidoreductase subunit L"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "ATP synthesis coupled electron transport" // "electron transport coupled proton transport"	"integral component of membrane" // "membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I" // "integral component of plasma membrane"	"quinone binding" // "NADH dehydrogenase (ubiquinone) activity"
"ykgM"	"b0296"	312514	312777	"putative ribosomal protein"	"Chromosome Region 7, 296274->345652" // "ykgMp" // "ykgM" // "ykgO"	"translation" // "cellular response to zinc ion starvation"	"cytosol" // "ribosome"	"structural constituent of ribosome"
"ubiB"	"b3835"	4020226	4021866	"ubiquinone biosynthesis protein UbiB"	"Chromosome Region 82, 3999699->4049077" // "ubiJ" // "ubiB" // "ubiE" // "ubiE-yigP-ubiB"	"regulation of ubiquinone biosynthetic process" // "protein phosphorylation" // "phosphorylation" // "ubiquinone biosynthetic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"protein kinase activity" // "transferase activity" // "kinase activity" // "ATP binding" // "nucleotide binding"
"tsf"	"b0170"	190857	191708	"protein chain elongation factor EF-Ts"	"Chromosome Region 4, 148137->197515" // "rpsB-tsf"	"translation" // "translational elongation"	"cytosol" // "cytoplasm"	"guanyl-nucleotide exchange factor activity" // "zinc ion binding" // "protein binding" // "translation elongation factor activity"
"hyaB"	"b0973"	1033254	1035047	"hydrogenase 1 large subunit"	"Chromosome Region 21, 987580->1036958" // "hyaABCDEF"	"electron transport chain" // "hydrogen metabolic process" // "anaerobic electron transport chain" // "fermentation" // "oxidation-reduction process" // "anaerobic respiration"	"[Ni-Fe] hydrogenase complex" // "outer membrane-bounded periplasmic space" // "plasma membrane" // "membrane"	"protein binding" // "nickel cation binding" // "ferredoxin hydrogenase activity" // "hydrogenase (acceptor) activity" // "metal ion binding" // "oxidoreductase activity" // "electron transfer activity"
"alaE"	"b2670"	2799164	2799613	G7399-MONOMER	"Chromosome Region 57, 2765224->2814602" // "alaE"	"proton transmembrane transport" // "L-alanine transport" // "L-alpha-amino acid transmembrane transport" // "amino acid transport" // "amino acid export across plasma membrane" // "cellular response to stress"	"membrane" // "integral component of plasma membrane" // "plasma membrane" // "integral component of membrane"	"solute:proton antiporter activity" // "L-amino acid efflux transmembrane transporter activity"
"nuoI"	"b2281"	2395908	2396450	"NADH:quinone oxidoreductase subunit I"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "aerobic respiration"	"membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I"	"NADH dehydrogenase (quinone) activity" // "iron ion binding" // "iron-sulfur cluster binding" // "oxidoreductase activity, acting on NAD(P)H" // "quinone binding" // "metal ion binding" // "4 iron, 4 sulfur cluster binding"
"elaD"	"b2269"	2382713	2383924	"protease ElaD"	"Chromosome Region 49, 2370192->2419570" // "elaD"	"proteolysis" // "protein deubiquitination"	""	"hydrolase activity" // "peptidase activity" // "cysteine-type peptidase activity"
"ubiH"	"b2907"	3052340	3053518	OCTAPRENYL-METHOXYPHENOL-OH-MONOMER	"Chromosome Region 62, 3012119->3061497" //  // "ygfBp" // "ygfB" // "pepP" // "ubiH" // "ubiI"	"response to light stimulus" // "response to oxidative stress" // "oxidation-reduction process" // "ubiquinone biosynthetic process"	"cytoplasm" // "ubiquinone biosynthesis complex" // "cytosol"	"protein binding" // "FAD binding" // "oxidoreductase activity" // "flavin adenine dinucleotide binding" // "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" // "monooxygenase activity" // "2-octaprenyl-6-methoxyphenol hydroxylase activity"
"micF"	"b4439"	2313084	2313176	"small regulatory RNA MicF"	"Chromosome Region 47, 2271434->2320812" // "micF"	"negative regulation of translation, ncRNA-mediated" // "response to oxidative stress" // "cellular response to heat" // "cellular hyperosmotic response" // "response to drug"	""	"translation repressor activity, mRNA regulatory element binding" // "protein binding" // "mRNA 5'-UTR binding" // "mRNA binding"
"glpD"	"b3426"	3562013	3563518	"aerobic glycerol 3-phosphate dehydrogenase"	"Chromosome Region 73, 3555288->3604666" // "glpD"	"electron transport chain" // "anaerobic respiration" // "aerobic respiration" // "glycerol-3-phosphate metabolic process" // "glycerol catabolic process" // "glycerol metabolic process" // "glycerol-3-phosphate catabolic process" // "oxidation-reduction process"	"cytoplasm" // "integral component of plasma membrane" // "glycerol-3-phosphate dehydrogenase complex"	"protein binding" // "protein homodimerization activity" // "FAD binding" // "oxidoreductase activity" // "glycerol-3-phosphate dehydrogenase (quinone) activity" // "sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity" // "sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity" // "electron transfer activity"
"ycbZ"	"b0955"	1016539	1018299	"putative ATP-dependent protease YcbZ"	"Chromosome Region 21, 987580->1036958" // "ycbZ"	"protein catabolic process" // "proteolysis"	"cytosol"	"ATP binding" // "serine-type endopeptidase activity" // "ATP-dependent peptidase activity" // "serine-type peptidase activity" // "hydrolase activity" // "peptidase activity"
"nuoE"	"b2285"	2401552	2402052	"NADH:quinone oxidoreductase subunit E"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process"	"NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I"	"protein binding" // "iron-sulfur cluster binding" // "quinone binding" // "metal ion binding" // "oxidoreductase activity" // "2 iron, 2 sulfur cluster binding"
"uspC"	"b1895"	1979753	1980181	"universal stress protein C"	"Chromosome Region 41, 1975160->2024538" // "uspC"	"cellular response to starvation" // "cellular response to UV" // "response to salt stress"	"cytosol" // "cytoplasm"	"protein binding" // "molecular adaptor activity"
"ubiX"	"b2311"	2428057	2428626	"flavin prenyltransferase"	"Chromosome Region 50, 2419571->2468949" // "ubiX" // "cvpA-purF-ubiX" // "cvpA-purF-ubiX"	"cofactor biosynthetic process" // "coenzyme biosynthetic process" // "ubiquinone biosynthetic process"	"cytosol"	"carboxy-lyase activity" // "flavin prenyltransferase activity" // "transferase activity" // "prenyltransferase activity" // "catalytic activity"
"rssB"	"b1235"	1290242	1291255	"RssB-P" // "regulator of RpoS"	"Chromosome Region 27, 1283854->1333232" // "rssAB" // "rssB"	"negative regulation of nucleic acid-templated transcription" // "positive regulation of transcription, DNA-templated" // "regulation of gene expression" // "regulation of transcription, DNA-templated" // "protein destabilization" // "positive regulation of proteolysis" // "phosphorelay signal transduction system"	"protein-DNA complex" // "cytosol"	"DNA-binding transcription factor activity" // "DNA-binding transcription activator activity" // "transcription regulatory region sequence-specific DNA binding" // "phosphorelay response regulator activity" // "protein binding" // "sigma factor antagonist activity"
"cyoD"	"b0429"	447717	448046	"cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 4"	"Chromosome Region 10, 444411->493789" // "cyoABCDE"	"aerobic respiration" // "oxidation-reduction process" // "electron transport coupled proton transport" // "aerobic electron transport chain"	"integral component of plasma membrane" // "membrane" // "cytochrome o ubiquinol oxidase complex" // "plasma membrane" // "integral component of membrane"	"protein binding" // "oxidoreductase activity" // "cytochrome o ubiquinol oxidase activity" // "proton transmembrane transporter activity" // "oxidoreduction-driven active transmembrane transporter activity" // "cytochrome bo3 ubiquinol oxidase activity" // "electron transfer activity"
"cspC"	"b1823"	1907226	1907435	"stress protein, member of the CspA family"	"Chromosome Region 39, 1876402->1925780" // "yobF-cspC" // "yobFp2" // "yobF" // "cspC"	"transcription antitermination" // "negative regulation of DNA-templated transcription, termination"	"cytosol" // "cytoplasm"	"nucleic acid binding" // "chaperone binding" // "RNA binding" // "single-stranded DNA binding" // "transcription antitermination factor activity, RNA binding" // "DNA binding"
"nuoA"	"b2288"	2404629	2405072	"NADH:quinone oxidoreductase subunit A"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I"	"NADH dehydrogenase (quinone) activity" // "oxidoreductase activity, acting on NAD(P)H" // "quinone binding" // "NADH dehydrogenase (ubiquinone) activity"
"smpB"	"b2620"	2754896	2755378	"SsrA-binding protein"	"Chromosome Region 56, 2715845->2765223" // "smpB"	"trans-translation" // "trans-translation-dependent protein tagging"	"cytosol" // "cytoplasm"	"RNA binding"
"cyoA"	"b0432"	450663	451610	"cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 2"	"Chromosome Region 10, 444411->493789" // "cyoABCDE"	"ATP synthesis coupled electron transport" // "aerobic respiration" // "electron transport coupled proton transport" // "oxidation-reduction process" // "electron transport chain" // "aerobic electron transport chain"	"integral component of external side of plasma membrane" // "integral component of membrane" // "membrane" // "plasma membrane" // "cytochrome o ubiquinol oxidase complex" // "respirasome" // "integral component of plasma membrane"	"cytochrome o ubiquinol oxidase activity" // "copper ion binding" // "cytochrome-c oxidase activity" // "oxidoreductase activity" // "oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor" // "proton transmembrane transporter activity" // "cytochrome bo3 ubiquinol oxidase activity" // "electron transfer activity" // "oxidoreduction-driven active transmembrane transporter activity"
"hicB"	"b1438"	1509508	1509924	"antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB"	"hicAB" // "Chromosome Region 31, 1481370->1530748" // "hicAp1" // "hicB" // "hicA"	"response to stress"	"cytosol"	"DNA binding"
"lldD"	"b3605"	3779827	3781017	"L-lactate dehydrogenase"	"Chromosome Region 77, 3752804->3802182" // "lldPRD"	"oxidation-reduction process" // "lactate metabolic process" // "lactate oxidation" // "anaerobic respiration" // "L-fucose catabolic process" // "aerobic respiration"	"membrane" // "plasma membrane"	"oxidoreductase activity, acting on CH-OH group of donors" // "lactate dehydrogenase activity" // "oxidoreductase activity" // "catalytic activity" // "L-lactate dehydrogenase activity" // "FMN binding"
"patZ"	"b2584"	2719953	2722613	"peptidyl-lysine <i>N</i>-acetyltransferase"	"Chromosome Region 56, 2715845->2765223" // "pka" // "patZ" // "yfiP"	"regulation of protein homooligomerization" // "response to oxidative stress" // "response to heat" // "internal peptidyl-lysine acetylation"	"protein-containing complex" // "plasma membrane"	"N-acetyltransferase activity" // "identical protein binding" // "peptidyl-lysine acetyltransferase activity" // "peptide-lysine-N-acetyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "protein binding" // "cofactor binding" // "metal ion binding" // "ATP binding"
"hyaF"	"b0977"	1036749	1037606	"protein HyaF"	"Chromosome Region 22, 1036959->1086337" // "Chromosome Region 21, 987580->1036958" // "hyaABCDEF"	""	"cytosol"	""
"dsbA"	"b3860"	4043418	4044044	"thiol:disulfide oxidoreductase - DsbA<sub>reduced</sub>" // "thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub>" // "thiol:disulfide oxidoreductase DsbA"	"Chromosome Region 82, 3999699->4049077" // "dsbA" // "srkA-dsbA"	"oxidation-reduction process" // "cell redox homeostasis" // "cellular response to antibiotic"	"cell" // "periplasmic space" // "outer membrane-bounded periplasmic space"	"protein disulfide isomerase activity" // "protein disulfide oxidoreductase activity" // "protein binding"
"nuoN"	"b2276"	2390048	2391505	"NADH:quinone oxidoreductase subunit N"	"Chromosome Region 49, 2370192->2419570" // "nuoMN" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "electron transport coupled proton transport" // "ATP synthesis coupled electron transport" // "aerobic respiration"	"integral component of membrane" // "membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I" // "integral component of plasma membrane"	"NADH dehydrogenase (quinone) activity" // "quinone binding" // "NADH dehydrogenase (ubiquinone) activity"
"srkA"	"b3859"	4042415	4043401	"stress response kinase A"	"Chromosome Region 82, 3999699->4049077" // "srkA-dsbA"	"response to stress" // "phosphorylation" // "protein phosphorylation"	"cytosol" // "cytoplasm"	"magnesium ion binding" // "metal ion binding" // "transferase activity" // "kinase activity" // "ATP binding" // "nucleotide binding" // "protein serine/threonine kinase activity"
"nuoM"	"b2277"	2391512	2393041	"NADH:quinone oxidoreductase subunit M"	"Chromosome Region 49, 2370192->2419570" // "nuoMN" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "ATP synthesis coupled electron transport" // "electron transport coupled proton transport" // "aerobic respiration"	"integral component of membrane" // "membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I" // "integral component of plasma membrane"	"quinone binding" // "ubiquinone binding" // "NADH dehydrogenase (ubiquinone) activity"
"ybjN"	"b0853"	892957	893433	"protein YbjN"	"Chromosome Region 19, 888822->938200" // "ybjN" // "rimK-ybjN" // "ybjC-nfsA-rimK-ybjN"	"negative regulation of bacterial-type flagellum assembly" // "response to ionizing radiation" // "regulation of bacterial-type flagellum assembly" // "negative regulation of single-species biofilm formation on inanimate substrate" // "negative regulation of cell growth" // "pilus assembly" // "negative regulation of bacterial-type flagellum-dependent cell motility"	"cytosol"	"protein binding"
"hyaC"	"b0974"	1035066	1035773	"hydrogenase 1 cytochrome <i>b</i> subunit"	"Chromosome Region 21, 987580->1036958" // "hyaABCDEF"	"hydrogen metabolic process" // "anaerobic respiration" // "respiratory electron transport chain" // "oxidation-reduction process" // "fermentation" // "anaerobic electron transport chain"	"[Ni-Fe] hydrogenase complex" // "integral component of plasma membrane" // "membrane" // "integral component of membrane" // "plasma membrane"	"heme binding" // "hydrogenase (acceptor) activity" // "metal ion binding" // "iron ion binding" // "electron transfer activity" // "protein binding"
"sixA"	"b2340"	2456327	2456812	"phosphohistidine phosphatase SixA"	"Chromosome Region 50, 2419571->2468949" // "sixA"	"regulation of phosphorelay signal transduction system" // "peptidyl-histidine dephosphorylation" // "cellular protein modification process"	"cytosol" // "cytoplasm"	"protein histidine phosphatase activity" // "protein binding" // "hydrolase activity" // "phosphoprotein phosphatase activity"
"nuoJ"	"b2280"	2395342	2395896	"NADH:quinone oxidoreductase subunit J"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process"	"integral component of membrane" // "membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I" // "integral component of plasma membrane"	"quinone binding" // "NADH dehydrogenase (ubiquinone) activity"
"uspE"	"b1333"	1397672	1398622	"universal stress protein with a role cellular motility"	"Chromosome Region 29, 1382612->1431990" // "uspEp" // "uspE"	"bacterial-type flagellum-dependent cell motility" // "cellular response to UV" // "single-species biofilm formation" // "cellular response to hydrogen peroxide" // "response to stress"	"cytoplasm"	""
"ubiA"	"b4040"	4253016	4253888	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	"Chromosome Region 87, 4246594->4295972" // "ubiCA"	"ubiquinone biosynthetic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"4-hydroxybenzoate nonaprenyltransferase activity" // "prenyltransferase activity" // "4-hydroxybenzoate decaprenyltransferase activity" // "transferase activity" // "4-hydroxybenzoate octaprenyltransferase activity" // "transferase activity, transferring alkyl or aryl (other than methyl) groups"
"citX"	"b0614"	647484	648035	G6340-MONOMER	"Chromosome Region 14, 641927->691305" // "citCDEFXG" // "citCDEFXG"	"protein-phosphoribosyl dephospho-coenzyme A linkage" // "prosthetic group biosynthetic process"	"cytosol"	"holo-citrate lyase synthase activity" // "nucleotidyltransferase activity" // "transferase activity"
"glpT"	"b2240"	2351016	2352374	GLPT-MONOMER	"Chromosome Region 48, 2320813->2370191" // "glpTQ"	"phosphate ion transmembrane transport" // "transmembrane transport" // "glycerol metabolic process" // "glycerol-3-phosphate transmembrane transport" // "glycerol transport" // "transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity" // "glycerol-3-phosphate transmembrane transporter activity" // "glycerol-phosphate:inorganic phosphate antiporter activity" // "organophosphate:inorganic phosphate antiporter activity"
"mreB"	"b3251"	3400044	3401087	"dynamic cytoskeletal protein MreB"	"Chromosome Region 69, 3357772->3407150" // "mreB" // "mreB" // "mreB" // "mreBCD" // "mreBCD" // "mreBCD"	"FtsZ-dependent cytokinesis" // "negative regulation of cell division" // "regulation of chromosome segregation" // "regulation of cell shape"	"cytoplasm" // "polymeric cytoskeletal fiber" // "intrinsic component of plasma membrane" // "plasma membrane" // "cytoskeleton"	"ATP binding" // "nucleotide binding" // "identical protein binding" // "protein binding"
"nuoG"	"b2283"	2397439	2400165	"NADH:quinone oxidoreductase subunit G"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "ATP synthesis coupled electron transport" // "aerobic respiration"	"cytoplasm" // "membrane" // "plasma membrane" // "NADH dehydrogenase complex" // "plasma membrane respiratory chain complex I"	"molybdopterin cofactor binding" // "protein binding" // "iron-sulfur cluster binding" // "oxidoreductase activity, acting on NAD(P)H" // "electron transfer activity" // "quinone binding" // "metal ion binding" // "oxidoreductase activity" // "2 iron, 2 sulfur cluster binding" // "NADH dehydrogenase (ubiquinone) activity" // "4 iron, 4 sulfur cluster binding"
"yegI"	"b2070"	2149039	2150985	"protein kinase YegI"	"Chromosome Region 44, 2123297->2172675" // "yegI"	"phosphorylation" // "protein phosphorylation"	""	"transferase activity" // "kinase activity" // "nucleotide binding" // "ATP binding" // "protein kinase activity"
"cyoE"	"b0428"	446815	447705	HEMEOSYN-MONOMER	"Chromosome Region 10, 444411->493789" // "cyoABCDE"	"cellular respiration" // "heme biosynthetic process" // "heme O biosynthetic process"	"membrane" // "plasma membrane" // "integral component of membrane"	"transferase activity, transferring alkyl or aryl (other than methyl) groups" // "transferase activity" // "protoheme IX farnesyltransferase activity"
"igaA"	"b3398"	3526469	3528604	"inner membrane protein IgaA"	"Chromosome Region 72, 3505909->3555287" // "igaA"	""	"integral component of plasma membrane" // "Gram-negative-bacterium-type cell wall" // "plasma membrane" // "integral component of membrane" // "membrane"	"protein binding"
"nuoB"	"b2287"	2403951	2404613	"NADH:quinone oxidoreductase subunit B"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "electron transport coupled proton transport" // "aerobic respiration"	"membrane" // "plasma membrane" // "NADH dehydrogenase complex" // "plasma membrane respiratory chain complex I"	"NADH dehydrogenase (quinone) activity" // "iron ion binding" // "iron-sulfur cluster binding" // "quinone binding" // "metal ion binding" // "4 iron, 4 sulfur cluster binding" // "NADH dehydrogenase (ubiquinone) activity"
"qseC"	"b3026"	3170484	3171833	"sensory histidine kinase QseC - phosphorylated" // "sensory histidine kinase QseC"	"Chromosome Region 65, 3160256->3209634" // "qseBC" // "qseBC"	"phosphorelay signal transduction system" // "signal transduction" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorylation"	"plasma membrane" // "integral component of membrane" // "membrane"	"transferase activity, transferring phosphorus-containing groups" // "transferase activity" // "kinase activity" // "protein histidine kinase activity" // "nucleotide binding" // "ATP binding" // "phosphorelay sensor kinase activity"
"cyoB"	"b0431"	448650	450641	"cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 1"	"Chromosome Region 10, 444411->493789" // "cyoABCDE"	"oxidation-reduction process" // "aerobic respiration" // "ion transport" // "electron transport coupled proton transport" // "aerobic electron transport chain"	"integral component of membrane" // "membrane" // "plasma membrane" // "respirasome" // "cytochrome o ubiquinol oxidase complex" // "integral component of plasma membrane"	"cytochrome-c oxidase activity" // "protein binding" // "metal ion binding" // "oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor" // "proton transmembrane transporter activity" // "ubiquinone binding" // "cytochrome bo3 ubiquinol oxidase activity" // "heme binding" // "copper ion binding" // "electron transfer activity" // "oxidoreduction-driven active transmembrane transporter activity"
"yqcG"	"b4682"	2905557	2905697	"cell envelope stress response protein YqcG"	"Chromosome Region 59, 2863982->2913360"	"cellular response to cell envelope stress"	""	""
"nikD"	"b3479"	3617015	3617779	"Ni(2+) ABC transporter ATP binding subunit NikD"	"Chromosome Region 74, 3604667->3654045" // "nikABCDER" // "nikABCDER"	"transmembrane transport" // "oligopeptide transmembrane transport" // "nickel cation transport" // "ion transport" // "nickel cation transmembrane transport"	"membrane" // "plasma membrane" // "ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"	"oligopeptide transmembrane transporter activity" // "transmembrane transporter activity" // "ATPase-coupled nickel transmembrane transporter activity" // "nucleotide binding" // "ATP binding" // "nickel cation binding" // "ATPase activity"
"nrdG"	"b4237"	4459900	4460364	"anaerobic ribonucleoside-triphosphate reductase activating protein"	"Chromosome Region 91, 4444110->4493488" // "nrdG" // "nrdDG"	"oxidation-reduction process" // "nucleobase-containing small molecule interconversion"	"cytosol" // "cytoplasm" // "anaerobic ribonucleoside-triphosphate reductase complex"	"protein binding" // "catalytic activity" // "[formate-C-acetyltransferase]-activating enzyme activity" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity"
"ndh"	"b1109"	1166085	1167389	"NADH:quinone oxidoreductase II"	"Chromosome Region 24, 1135717->1185095" // "ndh"	"copper ion homeostasis" // "anaerobic respiration" // "oxidation-reduction process" // "aerobic electron transport chain" // "aerobic respiration"	"integral component of plasma membrane" // "NADH dehydrogenase complex" // "membrane" // "plasma membrane"	"oxidoreductase activity" // "NADH dehydrogenase activity" // "flavin adenine dinucleotide binding" // "NADH dehydrogenase (ubiquinone) activity"
