annotation,b_number,complex,gene_name,n_copies
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b0616,CITLY-CPLX,ybdw,6.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1303,CPLX0-981,pspf,6.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3987,CPLX0-221,stl,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3988,CPLX0-221,tabb,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3295,CPLX0-221,sez,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b4293,CPLX0-221,feci,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3129,CPLX0-7624,prlf,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3130,CPLX0-7624,yhav,4.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3987,RNAPE-CPLX,stl,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3988,RNAPE-CPLX,tabb,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b3295,RNAPE-CPLX,sez,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b2573,RNAPE-CPLX,sige,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1755,ABC-48-CPLX,ynjc,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1756,ABC-48-CPLX,ynjd,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1754,ABC-48-CPLX,ynjb,1.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1887,TSR-GLUME,purine-binding chemotaxis protein,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1888,TSR-GLUME,chea,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b4355,TSR-GLUME,ched,12.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b4384,DEOD-CPLX,pup,6.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1888,CHEA-CPLX,chea,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b2571,CPLX0-7648,rseb,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b4238,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,nrdd,2.0
taurine ABC transporter,b0365,ABC-64-CPLX,taua,1.0
taurine ABC transporter,b0367,ABC-64-CPLX,tauc,2.0
taurine ABC transporter,b0366,ABC-64-CPLX,taub,2.0
taurine ABC transporter,b3987,RNAP32-CPLX,stl,1.0
taurine ABC transporter,b3988,RNAP32-CPLX,tabb,1.0
taurine ABC transporter,b3295,RNAP32-CPLX,sez,2.0
taurine ABC transporter,b3461,RNAP32-CPLX,hin,1.0
taurine ABC transporter,b2041,DTDPGLUCDEHYDRAT-CPLX,rmlb,2.0
taurine ABC transporter,b1888,TRG-CPLX,chea,2.0
taurine ABC transporter,b1887,TRG-CPLX,purine-binding chemotaxis protein,2.0
taurine ABC transporter,b1421,TRG-CPLX,mcp-iii,12.0
taurine ABC transporter,b1250,CPLX0-7674,kch,4.0
taurine ABC transporter,b0995,CPLX0-2821,torr,2.0
taurine ABC transporter,b2414,ACSERLYA-CPLX,ssi5,2.0
taurine ABC transporter,b1888,TRG-GLUME,chea,2.0
taurine ABC transporter,b1887,TRG-GLUME,purine-binding chemotaxis protein,2.0
taurine ABC transporter,b1421,TRG-GLUME,mcp-iii,12.0
taurine ABC transporter,b3731,F-1-CPLX,uncc,1.0
taurine ABC transporter,b3735,F-1-CPLX,unch,1.0
taurine ABC transporter,b3734,F-1-CPLX,unca,3.0
taurine ABC transporter,b3733,F-1-CPLX,uncg,1.0
taurine ABC transporter,b3732,F-1-CPLX,uncd,3.0
taurine ABC transporter,b0924,CPLX0-7696,mukb,2.0
taurine ABC transporter,b1888,TAP-CPLX,chea,2.0
taurine ABC transporter,b1887,TAP-CPLX,purine-binding chemotaxis protein,2.0
taurine ABC transporter,b1885,TAP-CPLX,tap,12.0
taurine ABC transporter,b1476,ALPHA-SUBUNIT-CPLX,fdni,1.0
taurine ABC transporter,b1475,ALPHA-SUBUNIT-CPLX,fdnh,1.0
taurine ABC transporter,b1474,ALPHA-SUBUNIT-CPLX,fdng,1.0
taurine ABC transporter,b2996,FORMHYDROG2-CPLX,hydl,1.0
taurine ABC transporter,b2995,FORMHYDROG2-CPLX,hybb,1.0
taurine ABC transporter,b2997,FORMHYDROG2-CPLX,yghv,1.0
taurine ABC transporter,b2994,FORMHYDROG2-CPLX,hybc,1.0
taurine ABC transporter,b0995,TORR-CPLX,torr,2.0
taurine ABC transporter,b4124,CPLX0-7721,yjdg,2.0
taurine ABC transporter,b0604,CPLX0-8004,dsbg,2.0
3-dehydroquinate dehydratase,b1693,AROD-CPLX,arod,2.0
3-dehydroquinate dehydratase,b3868,GLNG-CPLX,glnt,2.0
"GDP-mannose 4,6-dehydratase",b2053,GDPMANDEHYDRA-CPLX,yefn,2.0
"GDP-mannose 4,6-dehydratase",b0903,PYRUVFORMLY-INACTIVE-CPLX,pfl,2.0
"GDP-mannose 4,6-dehydratase",b1324,CPLX0-7747,yzzj,2.0
"GDP-mannose 4,6-dehydratase",b1888,TAP-GLU,chea,2.0
"GDP-mannose 4,6-dehydratase",b1887,TAP-GLU,purine-binding chemotaxis protein,2.0
"GDP-mannose 4,6-dehydratase",b1885,TAP-GLU,tap,12.0
aspartate&mdash;tRNA ligase,b1866,ASPS-CPLX,tls,2.0
aspartate&mdash;tRNA ligase,b3608,GLYC3PDEHYDROGBIOSYN-CPLX,gpsa,2.0
aspartate&mdash;tRNA ligase,b1888,TAR-GLU,chea,2.0
aspartate&mdash;tRNA ligase,b1887,TAR-GLU,purine-binding chemotaxis protein,2.0
aspartate&mdash;tRNA ligase,b1886,TAR-GLU,tar,12.0
aspartate&mdash;tRNA ligase,[],CPLX0-7795,phospho,2.0
aspartate&mdash;tRNA ligase,b3723,CPLX0-8117,bglc,2.0
aspartate&mdash;tRNA ligase,b3770,BRANCHED-CHAINAMINOTRANSFER-CPLX,ilve,6.0
aspartate&mdash;tRNA ligase,b1887,TSR-CPLX,purine-binding chemotaxis protein,2.0
aspartate&mdash;tRNA ligase,b1888,TSR-CPLX,chea,2.0
aspartate&mdash;tRNA ligase,b4355,TSR-CPLX,ched,12.0
aspartate&mdash;tRNA ligase,b3648,GUANYL-KIN-CPLX,spor,2.0
aspartate&mdash;tRNA ligase,b3021,CPLX0-7822,mqsa,2.0
aspartate&mdash;tRNA ligase,b3022,CPLX0-7822,ygiu,4.0
aspartate&mdash;tRNA ligase,b1221,PHOSPHO-NARX,narr,2.0
aspartate&mdash;tRNA ligase,b2934,CPLX-156,cmtb,1.0
aspartate&mdash;tRNA ligase,b2933,CPLX-156,cmta,1.0
isocitrate dehydrogenase,b1136,ISOCITHASE-CPLX,icde,2.0
isocitrate dehydrogenase,b3198,KDO-8PPHOSPHAT-CPLX,yrbj,4.0
isocitrate dehydrogenase,b3210,ARCB-CPLX,arcb,2.0
isocitrate dehydrogenase,b2217,CPLX0-7852,rcsb,1.0
isocitrate dehydrogenase,b3512,CPLX0-7852,gade,1.0
isocitrate dehydrogenase,b0993,CPLX0-8268,ycci,2.0
allantoinase,b0512,CPLX-64,ybbx,4.0
allantoinase,b2316,ACETYL-COA-CARBOXYLMULTI-CPLX,usg,2.0
allantoinase,b0185,ACETYL-COA-CARBOXYLMULTI-CPLX,acca,2.0
allantoinase,b3256,ACETYL-COA-CARBOXYLMULTI-CPLX,accc,2.0
allantoinase,b1479,MALIC-NAD-CPLX,maea,4.0
allantoinase,b1888,TRG-GLU,chea,2.0
allantoinase,b1887,TRG-GLU,purine-binding chemotaxis protein,2.0
allantoinase,b1421,TRG-GLU,mcp-iii,12.0
allantoinase,b4259,CPLX0-7910,holc,1.0
allantoinase,b4372,CPLX0-7910,hold,1.0
allantoinase,b3397,CPLX0-1221,nude,2.0
<i>N</i>-acetylglucosamine-6-phosphate deacetylase,b0677,NAG6PDEACET-CPLX,naga,4.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b4092,CPLX0-7936,phnp,2.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2342,CPLX0-1668,fadi,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2341,CPLX0-1668,fadj,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2965,ORNDECARBOX-BIO-CPLX,spec,2.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b3665,CPLX0-7959,ade,4.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b3575,CPLX0-2061,yiak,2.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b0080,PC00061,cra,4.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b3102,CPLX0-7984,yqjg,2.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b3607,CPLX0-237,cyse,6.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2487,CPLX0-250,hyfg,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2489,CPLX0-250,hyfi,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2481,CPLX0-250,yffe,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2482,CPLX0-250,yfff,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2483,CPLX0-250,hyfc,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2484,CPLX0-250,hyfd,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2485,CPLX0-250,hyfe,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2486,CPLX0-250,hyff,1.0
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",b2488,CPLX0-250,hyfh,1.0
exopolyphosphatase,b2502,PPX-CPLX,ppx,2.0
exopolyphosphatase,b3609,CPLX0-8046,secb,4.0
exopolyphosphatase,b3723,CPLX0-2861,bglc,2.0
rhamnulose-1-phosphate aldolase,b3902,RHAMNULPALDOL-CPLX,rhad,4.0
rhamnulose-1-phosphate aldolase,b0315,CPLX0-8109,pdel,2.0
rhamnulose-1-phosphate aldolase,b0437,CPLX0-3104,lopp,14.0
rhamnulose-1-phosphate aldolase,b0882,CPLX0-3104,lopd,12.0
rhamnulose-1-phosphate aldolase,b0723,SUCC-DEHASE,dhsa,1.0
rhamnulose-1-phosphate aldolase,b0724,SUCC-DEHASE,dhsb,1.0
rhamnulose-1-phosphate aldolase,b0721,SUCC-DEHASE,dhsc,1.0
rhamnulose-1-phosphate aldolase,b0722,SUCC-DEHASE,dhsd,1.0
rhamnulose-1-phosphate aldolase,b4484,CPLX0-8155,cpxp,2.0
rhamnulose-1-phosphate aldolase,b1084,CPLX0-3461,smbb,4.0
threonine&mdash;tRNA ligase,b1719,THRS-CPLX,thrs,2.0
threonine&mdash;tRNA ligase,[],CPLX0-8180,clpb95,6.0
threonine&mdash;tRNA ligase,b4539,CPLX0-3781,yoeb,1.0
threonine&mdash;tRNA ligase,b2017,CPLX0-3781,yefm,2.0
threonine&mdash;tRNA ligase,b4054,TYRB-DIMER,tyrb,2.0
threonine&mdash;tRNA ligase,b2503,CPLX0-8200,pdef,2.0
threonine&mdash;tRNA ligase,b1184,CPLX0-3925,uvm,1.0
threonine&mdash;tRNA ligase,b1183,CPLX0-3925,umud,2.0
threonine&mdash;tRNA ligase,b0623,CPLX0-8223,msmc,2.0
threonine&mdash;tRNA ligase,b2607,CPLX0-3950,trmd,2.0
threonine&mdash;tRNA ligase,b2300,CPLX0-8248,yfce,4.0
NAD kinase,b2615,CPLX0-682,yfje,6.0
NAD kinase,b3911,CPLX0-8270,cpxa,2.0
NAD kinase,b1944,CPLX0-7452,flil,2.0
NAD kinase,b1937,CPLX0-7452,fla,1.0
NAD kinase,b1938,CPLX0-7452,flif,1.0
NAD kinase,b1080,CPLX0-7452,flam,1.0
NAD kinase,b1078,CPLX0-7452,flal,1.0
NAD kinase,b1077,CPLX0-7452,flax,1.0
NAD kinase,b1074,CPLX0-7452,flaw,1.0
NAD kinase,b1073,CPLX0-7452,flba,1.0
NAD kinase,b1890,CPLX0-7452,flaj,1.0
NAD kinase,b1890,CPLX0-7452,flaj,1.0
NAD kinase,b1079,CPLX0-7452,flay,1.0
NAD kinase,b1939,CPLX0-7452,flig,26.0
NAD kinase,b1945,CPLX0-7452,flaa,34.0
NAD kinase,b1946,CPLX0-7452,motd,1.0
NAD kinase,b1942,CPLX0-7452,flao,1.0
NAD kinase,b1937,CPLX0-7452,fla,6.0
NAD kinase,b1940,CPLX0-7452,flih,12.0
NAD kinase,b1950,CPLX0-7452,flap,1.0
NAD kinase,b1945,CPLX0-7452,flaq,1.0
NAD kinase,b1948,CPLX0-7452,flar,1.0
NAD kinase,b1947,CPLX0-7452,flbd,1.0
NAD kinase,b1880,CPLX0-7452,yecq,1.0
NAD kinase,b1879,CPLX0-7452,flah,1.0
NAD kinase,b1076,CPLX0-7452,flak,120.0
NAD kinase,b1082,CPLX0-7452,flas,1.0
NAD kinase,b1083,CPLX0-7452,flat,1.0
NAD kinase,b1923,CPLX0-7452,hag,1.0
NAD kinase,b1924,CPLX0-7452,rfs,5.0
NAD kinase,b0655,ABC-13-CPLX,glti,1.0
NAD kinase,b0653,ABC-13-CPLX,gltk,1.0
NAD kinase,b0654,ABC-13-CPLX,gltj,1.0
NAD kinase,b0652,ABC-13-CPLX,gltl,2.0
NAD kinase,b1009,CPLX0-8303,rutd,2.0
NAD kinase,b0029,CPLX0-7564,yaae,2.0
NAD kinase,b1290,ABC-29-CPLX,sapf,1.0
NAD kinase,b1292,ABC-29-CPLX,sapc,1.0
NAD kinase,b1293,ABC-29-CPLX,sapb,1.0
NAD kinase,b1291,ABC-29-CPLX,sapd,1.0
NAD kinase,b2780,CTPSYN-CPLX,pyrg,4.0
NAD kinase,b3291,CPLX0-7627,yhdc,5.0
NAD kinase,b1440,ABC-51-CPLX,ydcs,1.0
NAD kinase,b1441,ABC-51-CPLX,ydct,1.0
NAD kinase,b1443,ABC-51-CPLX,ydcv,1.0
NAD kinase,b1442,ABC-51-CPLX,ydcu,1.0
NAD kinase,b0348,DHPDIOXYGEN-CPLX,mhpb,4.0
water channel AqpZ,b0875,CPLX0-7653,bnip,4.0
water channel AqpZ,b3541,ABC-8-CPLX,dppd,1.0
water channel AqpZ,b3540,ABC-8-CPLX,dppf,1.0
water channel AqpZ,b3543,ABC-8-CPLX,dppb,1.0
water channel AqpZ,b3542,ABC-8-CPLX,dppc,1.0
water channel AqpZ,b3544,ABC-8-CPLX,dpp,1.0
water channel AqpZ,b0726,E1O,lys,12.0
water channel AqpZ,b4046,CPLX0-7679,zur,2.0
aminodeoxychorismate lyase,b1096,ADCLY-CPLX,pabc,2.0
aminodeoxychorismate lyase,b0954,FABA-CPLX,faba,2.0
aminodeoxychorismate lyase,b0914,CPLX0-7704,msba,2.0
AMP nucleosidase,b1982,AMP-NUCLEOSID-CPLX,amn,6.0
AMP nucleosidase,b2097,FRUCBISALD-CLASSI,dhna,10.0
AMP nucleosidase,b3891,CPLX0-7724,fdhe,2.0
3-deoxy-7-phosphoheptulonate synthase,b2601,AROH-CPLX,2-dehydro-3-deoxyphosphoheptonate aldolase,2.0
3-deoxy-7-phosphoheptulonate synthase,b3437,GLUCONOKINII-CPLX,gntk,2.0
purine nucleoside phosphoramidase,b1103,CPLX0-7755,ycff,2.0
purine nucleoside phosphoramidase,b3734,ATPA-CPLX,unca,3.0
glycogen phosphorylase,b3428,GLYCOPHOSPHORYL-CPLX,glgy,2.0
glycogen phosphorylase,b2439,CPLX0-7801,yffj,3.0
&gamma;-butyrobetainyl-CoA:carnitine CoA transferase,b0038,CARNDEHYDRA-CPLX,yaan,2.0
histidine&mdash;tRNA ligase,b2514,HISS-CPLX,hiss,2.0
histidine&mdash;tRNA ligase,b2954,CPLX0-7826,yggv,2.0
histidine&mdash;tRNA ligase,b3899,CPLX-159,frvb,1.0
histidine&mdash;tRNA ligase,b3900,CPLX-159,frva,1.0
histidine&mdash;tRNA ligase,b1850,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,kga,3.0
histidine&mdash;tRNA ligase,b2219,CPLX0-7870,atos,2.0
histidine&mdash;tRNA ligase,b0516,CPLX-7524,ylbb,2.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b2260,MENE-CPLX,mene,4.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b2755,CPLX0-7914,ygbt,2.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b2465,CPLX0-1261,tktb,1.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b1221,NARX-CPLX,narr,2.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b0268,CPLX0-7940,yage,4.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b1392,CPLX0-1762,ydbr,1.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b1388,CPLX0-1762,ydbo,1.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b1390,CPLX0-1762,ydbp,1.0
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b1389,CPLX0-1762,ynbf,1.0
orotidine-5'-phosphate decarboxylase,b1281,OROTPDECARB-CPLX,pyrf,2.0
orotidine-5'-phosphate decarboxylase,b1448,CPLX0-7962,mnat,2.0
orotidine-5'-phosphate decarboxylase,b3035,CPLX0-2141,weea,3.0
orotidine-5'-phosphate decarboxylase,b3265,CPLX0-2141,envc,6.0
orotidine-5'-phosphate decarboxylase,b3266,CPLX0-2141,acrf,3.0
orotidine-5'-phosphate decarboxylase,b0730,PC00103,mngr,2.0
orotidine-5'-phosphate decarboxylase,b3113,CPLX0-7987,yhar,3.0
orotidine-5'-phosphate decarboxylase,b3137,CPLX0-240,kba,4.0
orotidine-5'-phosphate decarboxylase,b3132,CPLX0-240,yhax,1.0
UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase,b3784,CPLX0-8011,weca,2.0
UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase,b1091,CPLX0-252,fabh,2.0
amidophosphoribosyltransferase,b3665,PRPPAMIDOTRANS-CPLX,ade,4.0
amidophosphoribosyltransferase,b1341,CPLX0-8090,dgcm,4.0
amidophosphoribosyltransferase,b0161,CPLX0-2921,ptd,12.0
amidophosphoribosyltransferase,b2234,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,dnaf,2.0
amidophosphoribosyltransferase,b2748,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,ftsb,2.0
amidophosphoribosyltransferase,b1128,CPLX0-8112,roxa,2.0
amidophosphoribosyltransferase,b3713,CPLX0-3121,chrr,2.0
amidophosphoribosyltransferase,b2752,SULFATE-ADENYLYLTRANS-CPLX,cysd,4.0
amidophosphoribosyltransferase,b2751,SULFATE-ADENYLYLTRANS-CPLX,cysn,4.0
amidophosphoribosyltransferase,b1380,CPLX0-8158,htph,4.0
amidophosphoribosyltransferase,b3164,CPLX0-3521,bfl,3.0
amidophosphoribosyltransferase,b0993,TORS-CPLX,ycci,2.0
serine endoprotease,b3235,CPLX0-8183,htrh,3.0
UDP-glucose 4-epimerase,b0759,UDPGLUCEPIM-CPLX,gald,2.0
UDP-glucose 4-epimerase,b4002,CPLX0-8204,zra,8.0
UDP-glucose 4-epimerase,b1344,CPLX0-8124,ttca,2.0
UDP-glucose 4-epimerase,b1892,CPLX0-3930,flbb,4.0
UDP-glucose 4-epimerase,b1891,CPLX0-3930,flai,2.0
UDP-glucose 4-epimerase,b2567,CPLX0-3281,rana,2.0
UDP-glucose 4-epimerase,b3082,CPLX0-8229,higa,2.0
UDP-glucose 4-epimerase,b3908,SUPEROX-DISMUTMN-CPLX,soda,2.0
<i>S</i>-formylglutathione hydrolase,b2154,CPLX0-3954,yeig,4.0
<i>S</i>-formylglutathione hydrolase,b0974,CPLX0-8167,cybh,2.0
<i>S</i>-formylglutathione hydrolase,b0973,CPLX0-8167,hyab,4.0
<i>S</i>-formylglutathione hydrolase,b0972,CPLX0-8167,hyaa,4.0
<i>S</i>-formylglutathione hydrolase,b0632,CPLX0-8252,pfv,2.0
<i>S</i>-formylglutathione hydrolase,b4052,CPLX0-3621,grpd,6.0
<i>S</i>-formylglutathione hydrolase,b0182,CPLX0-7415,pgsb,2.0
<i>S</i>-formylglutathione hydrolase,b3035,TRANS-CPLX-204,weea,3.0
<i>S</i>-formylglutathione hydrolase,b3513,TRANS-CPLX-204,yhiu,1.0
<i>S</i>-formylglutathione hydrolase,b3514,TRANS-CPLX-204,mdtf,1.0
<i>S</i>-formylglutathione hydrolase,b0726,2OXOGLUTARATEDEH-CPLX,lys,12.0
<i>S</i>-formylglutathione hydrolase,b0727,2OXOGLUTARATEDEH-CPLX,e2(o) subunit,24.0
<i>S</i>-formylglutathione hydrolase,b0116,2OXOGLUTARATEDEH-CPLX,lpd,2.0
peptidyl-lysine <i>N</i>-acetyltransferase,b2584,CPLX0-8189,patz,4.0
peptidyl-lysine <i>N</i>-acetyltransferase,b2556,CPLX0-8275,glrk,2.0
fructoselysine 3-epimerase,b4474,CPLX0-3861,yhfp,8.0
fructoselysine 3-epimerase,b1190,CPLX0-7465,dadb,2.0
fructoselysine 3-epimerase,b0779,UVRABC-CPLX,uvrb,1.0
fructoselysine 3-epimerase,b1913,UVRABC-CPLX,uvrc,1.0
fructoselysine 3-epimerase,b4058,UVRABC-CPLX,dar,1.0
fructoselysine 3-epimerase,b4035,ABC-16-CPLX,malk,2.0
fructoselysine 3-epimerase,b4033,ABC-16-CPLX,malf,1.0
fructoselysine 3-epimerase,b4032,ABC-16-CPLX,malg,1.0
fructoselysine 3-epimerase,b4034,ABC-16-CPLX,male,1.0
hydroxyethylthiazole kinase,b2104,CPLX0-8211,thim,2.0
5-carboxymethylaminomethyluridine-tRNA synthase,b3706,CPLX0-7609,mnme,2.0
5-carboxymethylaminomethyluridine-tRNA synthase,b3741,CPLX0-7609,gida,2.0
5-carboxymethylaminomethyluridine-tRNA synthase,b3076,CPLX0-3937,ebga,4.0
5-carboxymethylaminomethyluridine-tRNA synthase,b3077,CPLX0-3937,ebgc,4.0
thiamin(e) ABC transporter,b0066,ABC-32-CPLX,sfuc,2.0
thiamin(e) ABC transporter,b0067,ABC-32-CPLX,sfub,2.0
thiamin(e) ABC transporter,b0068,ABC-32-CPLX,yabl,1.0
thiamin(e) ABC transporter,b0550,CPLX0-8237,ybcp,2.0
cystathionine &beta;-lyase,b3008,CYSTATHIONINE-BETA-LYASE-CPLX,metc,4.0
cystathionine &beta;-lyase,b1970,CPLX0-3961,hiuh,4.0
cystathionine &beta;-lyase,b0494,CPLX0-7630,pldc,4.0
thymidine kinase,b1238,CPLX0-8261,tdk,1.0
thymidine kinase,b1312,ABC-55-CPLX,ycjp,1.0
thymidine kinase,b1311,ABC-55-CPLX,ycjo,1.0
thymidine kinase,b1310,ABC-55-CPLX,ycjn,1.0
thymidine kinase,b0636,CPLX0-7423,ybea,2.0
thymidine kinase,b2478,DIHYDRODIPICSYN-CPLX,dapa,4.0
thymidine kinase,b1723,6PFK-2-CPX,pfkb,2.0
acetohydroxybutanoate synthase,b3671,ACETOLACTSYNI-CPLX,ilvb,2.0
acetohydroxybutanoate synthase,b3670,ACETOLACTSYNI-CPLX,ilvn,2.0
acetohydroxybutanoate synthase,b2385,CPLX0-8290,ypdf,2.0
acetohydroxybutanoate synthase,b0116,E3-CPLX,lpd,2.0
acetohydroxybutanoate synthase,b0451,CPLX0-7532,ybag,3.0
acetohydroxybutanoate synthase,b2682,CPLX0-7684,ygaz,1.0
acetohydroxybutanoate synthase,b2683,CPLX0-7684,ygah,1.0
acetohydroxybutanoate synthase,b1245,ABC-22-CPLX,oppc,1.0
acetohydroxybutanoate synthase,b1246,ABC-22-CPLX,oppd,1.0
acetohydroxybutanoate synthase,b1247,ABC-22-CPLX,oppf,1.0
acetohydroxybutanoate synthase,b1244,ABC-22-CPLX,oppb,1.0
acetohydroxybutanoate synthase,b1243,ABC-22-CPLX,oppa,1.0
adenylyl-sulfate kinase,b2750,ADENYLYLSULFKIN-CPLX,cysc,2.0
adenylyl-sulfate kinase,b0882,CPLX0-881,lopd,6.0
adenylyl-sulfate kinase,b3845,FADA-CPLX,olda,2.0
adenylyl-sulfate kinase,b0509,CPLX0-7616,ybbq,4.0
adenylyl-sulfate kinase,b0487,CPLX0-7708,ybbi,2.0
putative oligopeptide ABC transporter,b2180,ABC-41-CPLX,yejf,1.0
putative oligopeptide ABC transporter,b2178,ABC-41-CPLX,yejb,1.0
putative oligopeptide ABC transporter,b2179,ABC-41-CPLX,yeje,1.0
putative oligopeptide ABC transporter,b2177,ABC-41-CPLX,yeja,1.0
putative oligopeptide ABC transporter,b2957,ANSB-CPLX,ansb,4.0
putative oligopeptide ABC transporter,b0774,DAPASYN-CPLX,bioa,2.0
putative oligopeptide ABC transporter,b4122,FUMARASE-B,fumb,2.0
putative oligopeptide ABC transporter,b3774,CPLX0-7643,ilvc,4.0
putative oligopeptide ABC transporter,b2946,CPLX0-7727,yggj,2.0
putative oligopeptide ABC transporter,b2546,ABC-60-CPLX,yphd,1.0
putative oligopeptide ABC transporter,b2548,ABC-60-CPLX,yphf,1.0
putative oligopeptide ABC transporter,b2547,ABC-60-CPLX,yphe,1.0
putative oligopeptide ABC transporter,b0674,ASNSYNB-CPLX,asnb,2.0
"3,4-dihydroxy-2-butanone-4-phosphate synthase",b3041,DIOHBUTANONEPSYN-CPLX,luxh,2.0
"3,4-dihydroxy-2-butanone-4-phosphate synthase",b3212,GLUTAMATESYN-CPLX,ossb,4.0
"3,4-dihydroxy-2-butanone-4-phosphate synthase",b3212,GLUTAMATESYN-CPLX,ossb,4.0
"3,4-dihydroxy-2-butanone-4-phosphate synthase",b3011,CPLX0-7667,yqhd,2.0
"3,4-dihydroxy-2-butanone-4-phosphate synthase",b1045,CPLX0-7758,ymdb,2.0
acetylornithine deacetylase,b3957,ACETYLORNDEACET-CPLX,arge,2.0
acetylornithine deacetylase,b3737,ATPE-CPLX,unce,10.0
enterobactin synthase,[],ENTMULTI-CPLX,holo,2.0
enterobactin synthase,b0583,ENTMULTI-CPLX,entd,1.0
enterobactin synthase,b0586,ENTMULTI-CPLX,enterochelin synthase f,1.0
enterobactin synthase,b0594,ENTMULTI-CPLX,ente,2.0
enterobactin synthase,b2551,GLYOHMETRANS-CPLX,glya,2.0
enterobactin synthase,b2781,CPLX0-7692,mazg,2.0
enterobactin synthase,b2302,CPLX0-7806,yfcg,2.0
2-amino-3-ketobutyrate CoA ligase,b3617,AKBLIG-CPLX,kbl,2.0
2-amino-3-ketobutyrate CoA ligase,b2599,CHORISMUTPREPHENDEHYDRAT-CPLX,phea,2.0
2-amino-3-ketobutyrate CoA ligase,b2153,FOLE-CPLX,fole,10.0
hydroxymethylpyrimidine kinase,b2418,HMP-P-KIN-CPLX,thij,4.0
hydroxymethylpyrimidine kinase,b3396,CPLX0-7717,pona,2.0
