gene_name	ecocyc_gene_id	b_number	gene_product	go_terms	synonyms	common_name	mw_kda
wza	G7107	b2062	outer membrane polysaccharide export protein Wza	GO:0005515 // GO:0046377 // GO:0055085 // GO:0000271 // GO:0015159 // GO:0015288 // GO:0046930 // GO:0009279 // GO:0016021 // GO:0016020 // GO:0015774 // GO:0008643 // GO:0006811	Wza	outer membrane polysaccharide export protein Wza	41.91
dcuC	G6347	b0621	anaerobic C4-dicarboxylate transporter DcuC	GO:0071422 // GO:0015741 // GO:0005887 // GO:0019664 // GO:0005469 // GO:0015556 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0015740	DcuC	anaerobic C4-dicarboxylate transporter DcuC	48.412
norR	EG12108	b2709	DNA-binding transcriptional dual regulator NorR	GO:0000160 // GO:0042802 // GO:0008198 // GO:0000986 // GO:0070026 // GO:2000144 // GO:0005829 // GO:0008134 // GO:0003700 // GO:0006355 // GO:0005524 // GO:0003677 // GO:0000166	"NorR // ""YgaA"""	DNA-binding transcriptional dual regulator NorR	55.236
pta	EG20173	b2297	phosphate acetyltransferase	GO:0005829 // GO:0006083 // GO:0016746 // GO:0016740 // GO:0016407 // GO:0006085 // GO:0019427 // GO:0019413 // GO:0070689 // GO:0008270 // GO:0005737 // GO:0005515 // GO:0008959 // GO:0045733	Pta	phosphate acetyltransferase	77.172
yfeH	EG12376	b2410	putative solute:Na+ symporter	GO:0055085 // GO:0015293 // GO:0005886	YfeH	putative solute:Na+ symporter	36.406
gatY	EG12419	b2096	"tagatose-1,6-bisphosphate aldolase 2 subunit GatY"	GO:0005829 // GO:0005515 // GO:0019404 // GO:0016832 // GO:0008270 // GO:0005975 // GO:0003824 // GO:2001059 // GO:0046872 // GO:0019402 // GO:0016829 // GO:0009025	"YegF // ""GatY"""	"tagatose-1,6-bisphosphate aldolase 2 subunit GatY"	30.812
yfiE	EG11785	b2577	putative LysR-type DNA-binding transcriptional regulator YfiE	GO:0005829 // GO:0003700 // GO:0006355 // GO:0003677 // GO:0006351	YfiE	putative LysR-type DNA-binding transcriptional regulator YfiE	33.243
kdgK	EG12253	b3526	2-dehydro-3-deoxygluconokinase	GO:0019200 // GO:0046835 // GO:0005829 // GO:0016773 // GO:0016740 // GO:0016301 // GO:0005975 // GO:0006974 // GO:0016310 // GO:0005524 // GO:0000166 // GO:0019698 // GO:0042840 // GO:0008673	"YhjI // ""KdgK"""	2-dehydro-3-deoxygluconokinase	33.962
yccA	EG11113	b0970	modulator of FtsH protease	GO:0016020 // GO:0043066 // GO:0030162 // GO:0005886 // GO:0016021	YccA	modulator of FtsH protease	23.363
frwB	EG11909	b3950	putative PTS enzyme IIB component FrwB	GO:0005886 // GO:0090582 // GO:0034219 // GO:0022877 // GO:0015755 // GO:0005829 // GO:0016310 // GO:0016740 // GO:0016301 // GO:0008982 // GO:0008643 // GO:0005737 // GO:0009401	"YijK // ""EIIBfrw"" // ""Enzyme IIBfrw"""	putative PTS enzyme IIB component FrwB	11.248
decR	G6247	b0447	DNA-binding transcriptional activator DecR	GO:0009093 // GO:2000144 // GO:0005829 // GO:0043565 // GO:0003700 // GO:0006355 // GO:0003677 // GO:0006351	"CyuR // ""DecR"" // ""YbaO"""	DNA-binding transcriptional activator DecR	17.437
uidB	EG11658	b1616	glucuronide:H+ symporter	GO:0071702 // GO:0055085 // GO:0022857 // GO:0015293 // GO:0008643 // GO:0005887 // GO:0006814 // GO:0016021 // GO:0016020 // GO:0005886	"UidP // ""GusB"" // ""UidB"" // ""glucuronide GPH transporter"""	glucuronide:H+ symporter	49.908
gspF	G7705	b3327	Type II secretion system protein GspF	GO:0015628 // GO:0015627 // GO:0009306 // GO:0015031 // GO:0005886 // GO:0016021 // GO:0016020	"HopF // ""GspF"" // ""HofF"""	Type II secretion system protein GspF	44.339
dcuA	EG11225	b4138	C4-dicarboxylate transporter DcuA	GO:0044271 // GO:0140009 // GO:0071422 // GO:0015741 // GO:0005887 // GO:0005469 // GO:0009061 // GO:0015556 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0015740	"GenA // ""DcuA"""	C4-dicarboxylate transporter DcuA	45.751
yhjB	EG12246	b3520	putative DNA-binding transcriptional regulator YhjB	GO:0005829 // GO:0005515 // GO:0006355 // GO:0003677 // GO:0006351	YhjB	putative DNA-binding transcriptional regulator YhjB	22.604
gutM	EG10972	b2706	DNA-binding transcriptional activator GutM	GO:0006355 // GO:0009401 // GO:0003677	"GutM // ""SrlM"" // ""Gut"""	DNA-binding transcriptional activator GutM	12.953
yohK	EG12024	b2142	PF04712 family membrane protein YohK	GO:0005886 // GO:0016021 // GO:0016020	YohK	PF04712 family membrane protein YohK	24.469
poxB	EG10754	b0871	pyruvate oxidase	GO:0032991 // GO:0042867 // GO:0050660 // GO:0042802 // GO:0006090 // GO:0030976 // GO:0003824 // GO:0000287 // GO:0052737 // GO:0055114 // GO:0005886 // GO:0005829 // GO:0016491 // GO:0016020 // GO:0008289	PoxB	pyruvate oxidase	62.011
yidZ	EG11721	b3711	putative LysR-type transcriptional regulator YidZ	GO:0005829 // GO:0003700 // GO:0006355 // GO:0006355 // GO:0003677 // GO:0006351	YidZ	putative LysR-type transcriptional regulator YidZ	36.882
malZ	EG10565	b0403	maltodextrin glucosidase	GO:0090599 // GO:0016798 // GO:0016787 // GO:0008152 // GO:0005975 // GO:0004553 // GO:0003824 // GO:0005829 // GO:0032450 // GO:0051692 // GO:0000023 // GO:0004558 // GO:0030980 // GO:0005737	MalZ	maltodextrin glucosidase	69.041
gspC	G7702	b3324	Type II secretion system protein GspC	GO:0005887 // GO:0015628 // GO:0015627 // GO:0015031 // GO:0005886 // GO:0016021 // GO:0016020	"YheE // ""GspC"""	Type II secretion system protein GspC	30.038
glgP	EG10380	b3428	glycogen phosphorylase	GO:0005515 // GO:0102250 // GO:0102499 // GO:0005737 // GO:0042803 // GO:0005980 // GO:0030170 // GO:0016757 // GO:0016740 // GO:0008184 // GO:0008152 // GO:0005977 // GO:0005975 // GO:0004645 // GO:0003824 // GO:0005829	"GlgY // ""GlgP"""	glycogen phosphorylase	93.172
rpoZ	EG10899	b3649	RNA polymerase subunit &omega;	GO:0003677 // GO:0030880 // GO:0005829 // GO:0005515 // GO:0016779 // GO:0016740 // GO:0006351 // GO:0003899 // GO:0065003 // GO:0006351	"SpoS // ""RpoZ"""	RNA polymerase subunit &omega;	10.237
eda	EG10256	b1850	KHG/KDPG aldolase	GO:0043725 // GO:0106009 // GO:0008948 // GO:0009255 // GO:0016833 // GO:0042802 // GO:0016829 // GO:0005737 // GO:0003824 // GO:0005829 // GO:0008152 // GO:0008675 // GO:0008700	"Kga // ""Hga"" // ""KdgA"" // ""Eda"""	KHG/KDPG aldolase	22.284
ycfT	G6572	b1115	inner membrane protein YcfT	GO:0016747 // GO:0005886 // GO:0016021 // GO:0016020	YcfT	inner membrane protein YcfT	40.834
ascB	EG10085	b2716	6-phospho-&beta;-glucosidase AscB	GO:0016052 // GO:0103047 // GO:0008422 // GO:2000892 // GO:0005829 // GO:0005975 // GO:0004553 // GO:0016798 // GO:0016787 // GO:0008152 // GO:0008706	"Sac // ""AscB"""	6-phospho-&beta;-glucosidase AscB	53.935
fecR	EG10292	b4292	"regulator for fec operon, periplasmic"	GO:1903507 // GO:0016989 // GO:0055072 // GO:0050896 // GO:0042597 // GO:0006811	FecR	"regulator for fec operon, periplasmic"	35.532
nanM	G7920	b4310	N-acetylneuraminate mutarotase	GO:0042597 // GO:0016853 // GO:0005975 // GO:0016857 // GO:0030288	"YjhT // ""NanM"""	N-acetylneuraminate mutarotase	39.572
yeeE	EG11895	b2013	inner membrane protein YeeE	GO:0005886 // GO:0016021 // GO:0016020	YeeE	inner membrane protein YeeE	38.1
kduI	G7463	b2843	5-dehydro-4-deoxy-D-glucuronate isomerase	GO:0008270 // GO:0019698 // GO:0042840 // GO:0042802 // GO:0005515 // GO:0016861 // GO:0046872 // GO:0045490 // GO:0005829 // GO:0016853 // GO:0008697	"YqeE // ""KduI"" // ""5-keto 4-deoxyuronate isomerase"""	5-dehydro-4-deoxy-D-glucuronate isomerase	31.076
hypT	G7924	b4327	DNA-binding transcriptional dual regulator HypT	GO:0005829 // GO:0001017 // GO:0000976 // GO:0042802 // GO:0003700 // GO:0006355 // GO:0003677 // GO:0006351	"HypT // ""QseD"" // ""YjiE"""	DNA-binding transcriptional dual regulator HypT	34.711
paaK	G6719	b1398	phenylacetate-CoA ligase	GO:0005829 // GO:0016874 // GO:0003824 // GO:0016405 // GO:0010124 // GO:0005524 // GO:0000166 // GO:0047475	PaaK	phenylacetate-CoA ligase	48.953
yjiJ	G7929	b4332	putative transporter YjiJ	GO:0005886 // GO:0016021 // GO:0016020	YjiJ	putative transporter YjiJ	41.361
glxR	G6278	b0509	tartronate semialdehyde reductase 2	GO:0050661 // GO:0051287 // GO:0005829 // GO:0046487 // GO:0016491 // GO:0046296 // GO:0006974 // GO:0055114 // GO:0008679 // GO:0009436 // GO:0009442	"YbbQ // ""GlxR"""	tartronate semialdehyde reductase 2	30.801
pyrR	G7244	b2381	"phosphorylated DNA-binding transcriptional dual regulator PyrR // ""DNA-binding transcriptional activator PyrR"""	GO:0005829 // GO:0003677 // GO:0006355 // GO:0046677 // GO:0048870 // GO:1900192 // GO:0005737 // GO:0000160	"YpdB-Pasp // ""YpdB response regulator - phosphorylated"" // ""phosphorylated DNA-binding transcriptional activator YpdB"" // ""YpdB"""	"phosphorylated DNA-binding transcriptional dual regulator PyrR // ""DNA-binding transcriptional activator PyrR"""	28.721
dgoA	EG20049	b4477	DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	GO:0005829 // GO:0016829 // GO:0003824 // GO:0034194 // GO:0008674	"YidU // ""DgoA"""		21.391
yghQ	G7549	b2983	putative transport protein YghQ	GO:0005886 // GO:0016021 // GO:0016020	YghQ	putative transport protein YghQ	38.533
gatB	EG12415	b2093	galactitol-specific PTS enzyme IIB component	GO:0034219 // GO:0008982 // GO:0090563 // GO:0090584 // GO:0015796 // GO:0005829 // GO:0019402 // GO:0016740 // GO:0008643 // GO:0005737 // GO:0009401	"Enzyme IIB Gat // ""EIIB Gat"""	galactitol-specific PTS enzyme IIB component	10.222
ydfH	G6814	b1540	DNA-binding transcriptional repressor YdfH	GO:0005829 // GO:0003700 // GO:0006355 // GO:0003677 // GO:0006351	YdfH	DNA-binding transcriptional repressor YdfH	26.565
galP	EG12148	b2943	galactose:H+ symporter	GO:1902600 // GO:0005887 // GO:0005351 // GO:0022857 // GO:0015293 // GO:0008643 // GO:0055085 // GO:0015517 // GO:0015757 // GO:0005886 // GO:0016021 // GO:0016020	GalP	galactose:H+ symporter	50.982
ybjJ	G6443	b0845	inner membrane protein YbjJ	GO:0055085 // GO:0005886 // GO:0016021 // GO:0016020	YbjJ	inner membrane protein YbjJ	41.852
rhaB	EG11868	b3904	RHAMNULOKIN-MONOMER	GO:0046835 // GO:0005829 // GO:0019299 // GO:0016773 // GO:0016740 // GO:0016301 // GO:0005975 // GO:0016310 // GO:0000166 // GO:0005524 // GO:0019301 // GO:0008993	RhaB		54.069
bluR	G6602	b1162	DNA-binding transcriptional repressor BluR	GO:0005515 // GO:0005829 // GO:0006355 // GO:0003677 // GO:0045892 // GO:0003700	"BluR // ""YcgE"""	DNA-binding transcriptional repressor BluR	28.264
acs	EG11448	b4069	acetyl-CoA synthetase (AMP-forming)	GO:0006935 // GO:0006476 // GO:0005829 // GO:0034421 // GO:0033558 // GO:0018394 // GO:0016874 // GO:0003824 // GO:0046872 // GO:0019427 // GO:0016208 // GO:0005524 // GO:0000166 // GO:0003987 // GO:0050218 // GO:0045733	"AcsA // ""YfaC"" // ""Acs"""	acetyl-CoA synthetase (AMP-forming)	72.094
atoE	EG11671	b2223	short chain fatty acid transporter	GO:0005886 // GO:0016021 // GO:0016020	"AtoE // ""putative short chain fatty acid transporter"""	short chain fatty acid transporter	47.528
garK	EG11175	b3124	glycerate 2-kinase 1	GO:0043798 // GO:0005829 // GO:0016740 // GO:0031388 // GO:0016310 // GO:0005524 // GO:0000166 // GO:0008887 // GO:0046392 // GO:0042838 // GO:0016301	"YhaD // ""GarK"" // ""glycerate 2-kinase I"""	glycerate 2-kinase 1	39.104
yeeY	G7088	b2015	putative DNA-binding transcriptional regulator YeeY	GO:0005829 // GO:0003700 // GO:0006355 // GO:0003677 // GO:0006351	YeeY	putative DNA-binding transcriptional regulator YeeY	34.169
srlE	EG10969	b2703	sorbitol-specific PTS enzyme IIBC1 component	GO:0034219 // GO:0090563 // GO:0005887 // GO:0016310 // GO:0005886 // GO:0016740 // GO:0016301 // GO:0016021 // GO:0016020 // GO:0008982 // GO:0008643 // GO:0009401	"SrlA // ""GutA"" // ""Sbl"" // ""GutE"" // ""SrlE"" // ""enzyme IIB component of sorbitol PTS"" // ""Enzyme IIB sorbitol"""	sorbitol-specific PTS enzyme IIBC1 component	33.332
yhfT	G7729	b3377	uncharacterized protein YhfT	GO:0005886 // GO:0016021 // GO:0016020	YhfT	uncharacterized protein YhfT	46.516
sfsB	EG10656	b3188	putative transcriptional regulator SfsB	GO:0005829 // GO:0003677 // GO:0006351	"SfsB // ""Nlp"""	putative transcriptional regulator SfsB	10.495
malT	EG10562	b3418	DNA-binding transcriptional activator MalT	GO:0045913 // GO:0045893 // GO:0003700 // GO:0042802 // GO:0006355 // GO:0005829 // GO:0005515 // GO:0048031 // GO:0005975 // GO:0005524 // GO:0003677 // GO:0000166	"MalA // ""MalT"""	DNA-binding transcriptional activator MalT	103.118
ydeO	G6789	b1499	DNA-binding transcriptional dual regulator YdeO	GO:0045893 // GO:0005829 // GO:0043565 // GO:0003700 // GO:0006355 // GO:0006355 // GO:0003677 // GO:0006351	YdeO	DNA-binding transcriptional dual regulator YdeO	28.725
galS	EG10365	b2151	DNA-binding transcriptional dual regulator GalS	GO:0005829 // GO:0005515 // GO:0006355 // GO:0003677	"MglD // ""GalS"""	DNA-binding transcriptional dual regulator GalS	37.357
rclR	G6175	b0305	DNA-binding transcriptional activator RclR	GO:0005829 // GO:0090347 // GO:0001216 // GO:0045893 // GO:0043565 // GO:0003700 // GO:0006355 // GO:0006355 // GO:0003677 // GO:0006351	"RclR // ""YkgD"""	DNA-binding transcriptional activator RclR	31.474
ebgA	EG10252	b3076	evolved &beta;-D-galactosidase subunit &alpha;	GO:0005515 // GO:0005990 // GO:0030246 // GO:0009341 // GO:0005975 // GO:0004553 // GO:0003824 // GO:0016798 // GO:0016787 // GO:0008152 // GO:0004565	EbgA	evolved &beta;-D-galactosidase subunit &alpha;	117.879
ynaI	G6666	b1330	small conductance mechanosensitive channel YnaI	GO:0042802 // GO:0055085 // GO:0071470 // GO:0005887 // GO:0005886 // GO:0008381 // GO:0006811 // GO:0016021 // GO:0016020	YnaI	small conductance mechanosensitive channel YnaI	38.754
araG	EG10058	b1900	arabinose ABC transporter ATP binding subunit	GO:0015751 // GO:0005515 // GO:0015147 // GO:0043190 // GO:0008643 // GO:0016887 // GO:0015612 // GO:0005829 // GO:0042882 // GO:0005886 // GO:0016020 // GO:0005524 // GO:0000166		arabinose ABC transporter ATP binding subunit	55.018
yijO	EG11913	b3954	putative DNA-binding transcriptional regulator YijO	GO:0005829 // GO:0043565 // GO:0003700 // GO:0006355 // GO:0006355 // GO:0003677 // GO:0006351	YijO	putative DNA-binding transcriptional regulator YijO	32.149
hcaF	M015	b2539	putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;	GO:0005829 // GO:0051213 // GO:0006725 // GO:0019380 // GO:0008695 // GO:0055114 // GO:0019439 // GO:0016491	"HcaA // ""YfhV"" // ""HcaB"" // ""DigB"" // ""HcaF"" // ""HcaA2"" // ""3-phenylpropionate dioxygenase, small subunit"" // ""3-phenylpropionate dioxygenase, &beta; subunit"""	putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;	20.579
ybdG	G6323	b0577	miniconductance mechanosensitive channel YbdG	GO:0034220 // GO:0042802 // GO:0016020 // GO:0055085 // GO:0006970 // GO:0006811 // GO:0008381 // GO:0071470 // GO:0005886 // GO:0016021	YbdG	miniconductance mechanosensitive channel YbdG	46.603
idnD	G7893	b4267	IDONDEHYD-MONOMER	GO:0005515 // GO:0005829 // GO:0016491 // GO:0055114 // GO:0046872 // GO:0019521 // GO:0050572 // GO:0046183	"YjgV // ""IdnD"""		37.147
basR	EG11615	b4113	"Phosphorylated DNA-binding transcriptional dual regulator BasR // ""DNA-binding transcriptional dual regulator BasR"""	GO:0045893 // GO:0032993 // GO:0003700 // GO:0001216 // GO:0000976 // GO:0005829 // GO:0010041 // GO:0046677 // GO:0006355 // GO:0005737 // GO:0003677 // GO:0000160 // GO:0000156	"PmrA // ""BasR"" // ""BasR-Pasp51"" // ""BasR response regulator - phosphorylated"" // ""BasR response regulator"""	"Phosphorylated DNA-binding transcriptional dual regulator BasR // ""DNA-binding transcriptional dual regulator BasR"""	25.031
gudD	G7445	b2787	D-glucarate dehydratase	GO:0005829 // GO:0019394 // GO:0016829 // GO:0000287 // GO:0046872 // GO:0008872 // GO:0042838	"YgcX // ""GudD"""	D-glucarate dehydratase	49.141
mscM	G7840	b4159	miniconductance mechanosensitive channel MscM	GO:0006811 // GO:0055085 // GO:0071470 // GO:0008381 // GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	"YjeP // ""MscM"""	miniconductance mechanosensitive channel MscM	123.967
paaG	G6715	b1394	"putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)"	GO:0006635 // GO:0004300 // GO:0005829 // GO:0003824 // GO:0042802 // GO:0005515 // GO:0016853 // GO:0010124 // GO:0016829	"YdbT // ""PaaG"""	"putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)"	28.405
rpoA	EG10893	b3295	RNA polymerase subunit &alpha;	GO:0005737 // GO:0005515 // GO:0046983 // GO:0003677 // GO:0005829 // GO:0016779 // GO:0016740 // GO:0006351 // GO:0003899 // GO:0006351	"Sez // ""Phs"" // ""Pez"" // ""RpoA"""	RNA polymerase subunit &alpha;	36.512
prpC	G6198	b0333	2-methylcitrate synthase	GO:0005975 // GO:0005759 // GO:0046912 // GO:0016740 // GO:0006099 // GO:0005737 // GO:0005829 // GO:0042803 // GO:0019679 // GO:0004108 // GO:0050440	"YahS // ""YzzD"" // ""PrpC"""	2-methylcitrate synthase	43.102
ybiO	G6417	b0808	moderate conductance mechanosensitive channel YbiO	GO:0034220 // GO:0006811 // GO:0055085 // GO:0071470 // GO:0008381 // GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	YbiO	moderate conductance mechanosensitive channel YbiO	81.904
mngA	EG13235	b0731	HRSA-MONOMER	GO:1902600 // GO:0034219 // GO:0022877 // GO:0016740 // GO:0016310 // GO:0016301 // GO:0016021 // GO:0016020 // GO:0015755 // GO:0008982 // GO:0008643 // GO:0005515 // GO:0005351 // GO:0090563 // GO:0090581 // GO:0051476 // GO:0005887 // GO:0005886 // GO:0009401	"HrsA // ""EIIMngA"" // ""EIIHrsA"" // ""EIImannosylglycerate"" // ""Enzyme IImannosylglycerate"" // ""Frx"""		69.668
ulaR	G7854	b4191	DNA-binding transcriptional repressor UlaR	GO:0005829 // GO:0045892 // GO:0003700 // GO:0006355 // GO:0031418 // GO:0005737 // GO:0005515 // GO:0003677 // GO:0006351	"UlaR // ""YjfQ"""	DNA-binding transcriptional repressor UlaR	27.602
acnB	EG12316	b0118	AcnB	GO:0047780 // GO:0003723 // GO:0051536 // GO:0016829 // GO:0005829 // GO:0003730 // GO:0006417 // GO:0003729 // GO:0006097 // GO:0019629 // GO:0051539 // GO:0046872 // GO:0005515 // GO:0003994 // GO:0047456 // GO:0006099	"YacI // ""YacJ"""	AcnB	93.498
nanC	G7921	b4311	N-acetylneuraminic acid outer membrane channel	GO:0015739 // GO:0055085 // GO:0016021 // GO:0016020 // GO:0015288 // GO:0009279 // GO:0008643 // GO:0046930 // GO:0045203 // GO:0015772 // GO:0015478 // GO:0015136 // GO:0006811	"NanC // ""YjhA"""	N-acetylneuraminic acid outer membrane channel	27.888
tktB	EG12100	b2465	transketolase 2	GO:0006098 // GO:0005829 // GO:0016740 // GO:0003824 // GO:0009052 // GO:0046872 // GO:0004802	"TktB // ""transketolase II"""	transketolase 2	73.043
ygeV	G7488	b2869	putative &sigma;54-dependent transcriptional regulator YgeV	GO:0019628 // GO:0005829 // GO:0043565 // GO:0008134 // GO:0006355 // GO:0005524 // GO:0003677 // GO:0000166 // GO:0000160 // GO:0006351	YgeV	putative &sigma;54-dependent transcriptional regulator YgeV	66.096
frvA	EG11864	b3900	putative PTS enzyme IIA component FrvA	GO:0034219 // GO:0005829 // GO:0016021 // GO:0008982 // GO:0016310 // GO:0016740 // GO:0016301 // GO:0008643 // GO:0005737 // GO:0009401	"FrvA // ""YiiK"""	putative PTS enzyme IIA component FrvA	16.093
csgG	G6543	b1037	curli secretion channel	GO:0030288 // GO:0005886 // GO:0031246 // GO:0005515 // GO:0042802 // GO:0016020 // GO:0044010 // GO:0022610 // GO:0071806 // GO:0009279	CsgG	curli secretion channel	30.557
tktA	EG11427	b2935	transketolase 1	GO:0032991 // GO:0006098 // GO:0072756 // GO:0072747 // GO:0071236 // GO:0070301 // GO:0045893 // GO:0036245 // GO:0005515 // GO:0005829 // GO:0046872 // GO:0016740 // GO:0003824 // GO:0042803 // GO:0030145 // GO:0030976 // GO:0009052 // GO:0004802	"TktA // ""Tkt"" // ""transketolase I"""	transketolase 1	72.212
xylB	EG11075	b3564	xylulokinase	GO:0008152 // GO:0003824 // GO:0042803 // GO:0046835 // GO:0005829 // GO:0042732 // GO:0016773 // GO:0016740 // GO:0016301 // GO:0005997 // GO:0005975 // GO:0016310 // GO:0005524 // GO:0000166 // GO:0004856 // GO:0042843 // GO:0005998	XylB	xylulokinase	52.618
hprR	G7057	b1969	"phosphorylated DNA-binding transcriptional dual regulator HprR // ""DNA-binding transcriptional dual regulator HprR"""	GO:0005829 // GO:0003677 // GO:0045893 // GO:0045892 // GO:0032993 // GO:0001216 // GO:0000976 // GO:0000156 // GO:0005515 // GO:0003700 // GO:0006355 // GO:0005737 // GO:0000160 // GO:0006351	"Modified YedW DNA-binding response regulator in two-component system with YedV // ""YedW-P"" // ""YedW"""	"phosphorylated DNA-binding transcriptional dual regulator HprR // ""DNA-binding transcriptional dual regulator HprR"""	25.018
rhaR	EG10842	b3906	DNA-binding transcriptional activator RhaR	GO:0005829 // GO:0003677 // GO:0045893 // GO:0003700 // GO:0006355 // GO:0043565 // GO:0019299 // GO:0006351 // GO:0005737	RhaR	DNA-binding transcriptional activator RhaR	32.373
mglC	EG10594	b2148	D-galactose/methyl-galactoside ABC transporter membrane subunit	GO:0055085 // GO:0022857 // GO:0015765 // GO:0015592 // GO:0015757 // GO:0005354 // GO:0043190 // GO:0005887 // GO:0006974 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0008643	"MglP // ""MglC"""	D-galactose/methyl-galactoside ABC transporter membrane subunit	35.55
ydcI	G6737	b1422	DNA-binding transcriptional repressor YdcI	GO:0005737 // GO:0000986 // GO:0045892 // GO:0043565 // GO:0005829 // GO:0003700 // GO:0006355 // GO:0003677 // GO:0006351	YdcI	DNA-binding transcriptional repressor YdcI	33.402
malM	EG10559	b4037	maltose regulon periplasmic protein	GO:0030288 // GO:0042597 // GO:0008643	"MolA // ""MalM"""	maltose regulon periplasmic protein	31.943
rseA	EG12341	b2572	anti-sigma-E factor RseA	GO:1903507 // GO:0005887 // GO:0006950 // GO:0005515 // GO:0005886 // GO:0016021 // GO:0016020 // GO:0016989	"YfiJ // ""MclA"" // ""RseA"""	anti-sigma-E factor RseA	24.321
malG	EG10556	b4032	maltose ABC transporter membrane subunit MalG	GO:1904981 // GO:0055085 // GO:1990060 // GO:0005887 // GO:0005515 // GO:0008643 // GO:0016020 // GO:0005886 // GO:0016021 // GO:0043190 // GO:0015768 // GO:0042956 // GO:0015423		maltose ABC transporter membrane subunit MalG	32.225
cusB	G6322	b0574	copper/silver export system membrane fusion protein	GO:0022857 // GO:0005623 // GO:0055085 // GO:0006825 // GO:0006811 // GO:0016020 // GO:0030288 // GO:0006878 // GO:0010272 // GO:0010273 // GO:0015679 // GO:0046688 // GO:0060003 // GO:0046914 // GO:0005515 // GO:0005507 // GO:0005375	"CusB // ""YlcD"""	copper/silver export system membrane fusion protein	44.305
galE	EG10362	b0759	UDP-glucose 4-epimerase	GO:0019388 // GO:0005515 // GO:0016853 // GO:0005975 // GO:0042802 // GO:0016857 // GO:0006012 // GO:0005737 // GO:0070403 // GO:0033499 // GO:0005829 // GO:0003978 // GO:0009242	"GalD // ""GalE"""	UDP-glucose 4-epimerase	37.265
dgcM	G6673	b1341	diguanylate cyclase DgcM	GO:1902201 // GO:0043709 // GO:0005886 // GO:0019935 // GO:0051091 // GO:0042802 // GO:0005515 // GO:1900233 // GO:0052621 // GO:0046872 // GO:0016740 // GO:0005525 // GO:0000166	"DgcM // ""YdaM"""	diguanylate cyclase DgcM	46.452
chbF	EG10144	b1734	monoacetylchitobiose-6-phosphate hydrolase	GO:0103047 // GO:0003824 // GO:0016798 // GO:0016787 // GO:0008152 // GO:0004553 // GO:0005975 // GO:0055114 // GO:0016616 // GO:0005829 // GO:0052777 // GO:0042802 // GO:0046872 // GO:0008706 // GO:0005737	"YdjD // ""ChbF"" // ""CelF"""	monoacetylchitobiose-6-phosphate hydrolase	50.512
trkA	EG11019	b3290	NAD-binding component of Trk potassium transporters	GO:0008324 // GO:0051287 // GO:0031234 // GO:0005829 // GO:0005515 // GO:0071805 // GO:0006811 // GO:0015079 // GO:0005886 // GO:0016020 // GO:0006813	TrkA	NAD-binding component of Trk potassium transporters	50.368
araD	EG10055	b0061	L-ribulose-5-phosphate 4-epimerase AraD	GO:0019323 // GO:0051289 // GO:0016832 // GO:0019572 // GO:0019568 // GO:0016853 // GO:0005975 // GO:0008270 // GO:0005829 // GO:0046872 // GO:0019324 // GO:0019569 // GO:0008742	AraD	L-ribulose-5-phosphate 4-epimerase AraD	25.519
ycjW	G6658	b1320	DNA-binding transcriptional repressor YcjW	GO:0005829 // GO:0006355 // GO:0006974 // GO:0003677 // GO:0006351	"YcjW // ""putative LacI-type DNA-binding transcriptional regulator YcjW"""	DNA-binding transcriptional repressor YcjW	36.134
mhpC	M012	b0349	"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase"	GO:0005829 // GO:0003824 // GO:0042803 // GO:0019380 // GO:0052823 // GO:0018771 // GO:0019622 // GO:0005737 // GO:0019439 // GO:0016787	MhpC	"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase"	31.937
macA	G6461	b0878	ABC-type tripartite efflux pump membrane fusion protein	GO:1990961 // GO:1990281 // GO:0046677 // GO:0015562 // GO:0001530 // GO:0042893 // GO:0042897 // GO:1990195 // GO:1990196 // GO:0042802 // GO:0016021 // GO:0016020 // GO:0005515 // GO:0055085 // GO:0022857 // GO:0019898 // GO:0005886	"YbjY // ""MacA"" // ""macrolide efflux pump - membrane fusion protein"""	ABC-type tripartite efflux pump membrane fusion protein	40.624
ulaD	G7858	b4196	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	GO:0005829 // GO:0046872 // GO:0016831 // GO:0016829 // GO:0003824 // GO:0006207 // GO:0004590 // GO:0033982 // GO:0019854 // GO:0005975 // GO:0000287	"YjfV // ""SgaH"" // ""UlaD"""	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	23.578
yhjC	EG12247	b3521	putative DNA-binding transcriptional regulator YhjC	GO:0043565 // GO:0005829 // GO:0003700 // GO:0006355 // GO:0003677 // GO:0006351	YhjC	putative DNA-binding transcriptional regulator YhjC	33.33
