SwissProt ID,SwissProt accession,Protein description,Observed parent ions,Protein score,Observable peptides,PAI lysate,emPAI,emPAI-derived copy no/cell (see Figure 2),Detection Frequency,Molecular mass (Da),Isoelectric point (pI),GRAVY (Kyte-Doolittle),number of alternating hydrophobic/hydrophilic stretches,CAI,Essentiality,hgt,Expr_value,FunCat (v.1.3) top level classification,FunCat (v.1.3) complete classification,FunCat class description,SCOP Fold,SCOP Family,SCOP Class,SCOP Fold Description,TMHMM 2.0 number of transmembrane segments,PSORT localisation,Experimentally derived localization,Group,Operon,Running Number,ribosomal protein,log copynumber
CSPG_ECOLI,Q47130,Cold shock-like protein cspG (CPS-G),6,284,5,1.2,1.48E+01,1.39E+03,0.027910686,7782,5.8,-0.36,2,0.42,N,,,11,11.01;11.01.06;11;,"CELL RESCUE, DEFENSE AND VIRULENCE; ",b.40,b.40.4;,All beta proteins,OB-fold,0,Cytoplasmic,,low,,532,no,3.1430148
KGUA_ECOLI,P60546,Guanylate kinase (EC 2.7.4.8) (GMP kinase),6,280,7,0.86,6.20E+00,8.35E+02,0.016746411,23594,6.52,-0.43,8,,,,,"01,40",01;01.03;01.04;40.03;01.03.01;40;01.04.99;,METABOLISM; SUBCELLULAR LOCALISATION; ,c.37,c.37.1;,Alpha and beta proteins (a/b),P-loop containing nucleotide triphosphate hydrolases,0,Cytoplasmic,,low,,533,no,2.921686475
BTUB_ECOLI,P06129,Vitamin B12 receptor precursor,7,303,30,0.23,7.11E-01,2.38E+02,0.00683527,68408,5.17,-0.53,21,,,,,"01,63,40,10",01;63.02;63;10;40.31;63.21.09;01.07;10.05;40;01.07.10;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; ,f.4,f.4.3;,Membrane and cell surface proteins and peptides,Transmembrane beta-barrels,0,OuterMembrane,C,low,,534,no,2.376576957
PDXJ_ECOLI,P24223,Pyridoxal phosphate biosynthetic protein pdxJ (PNP synthase),7,298,9,0.78,4.99E+00,7.37E+02,0.010252905,26254,5.85,-0.1,6,,,,,"01,40",01;40.03;01.07;01.07.01;40;,METABOLISM; SUBCELLULAR LOCALISATION; ,c.1,c.1.24;,Alpha and beta proteins (a/b),TIM beta/alpha-barrel,0,Cytoplasmic,,low,,535,no,2.867467488
YCAO_ECOLI,P75838,Hypothetical UPF0142 protein ycaO,7,296,16,0.44,1.74E+00,3.99E+02,0.012987013,65653,4.21,-0.2,15,,N,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Cytoplasmic,,low,,536,no,2.600972896
GSP_ECOLI,P43675,Bifunctional glutathionylspermidine synthetase/amidase [Includes: Glutathionylspermidine s,6,269,31,0.19,5.62E-01,2.07E+02,0.007177033,70533,5.03,-0.34,20,0.43,N,,,"01,63",63.99;01;63.19;63.02;01.04;63;63.19.03;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ,,,,,1,Cytoplasmic,,low,,537,no,2.315970345
MOG_ECOLI,P28694,Molybdopterin biosynthesis mog protein,7,291,7,1,9.00E+00,1.04E+03,0.010252905,21223,4.77,-0.01,4,0.37,E,,,"01,13",13.01;01;13.01.01;13;01.07;01.07.01;13.01.01.01;,METABOLISM; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ,c.57,c.57.1;,Alpha and beta proteins (a/b),Molybdenum cofactor biosynthesis proteins,0,Cytoplasmic,,low,,538,no,3.017033339
YCDO_ECOLI,P75902,Protein ycdO,7,290,20,0.35,1.24E+00,3.28E+02,0.010936432,41139,4.81,-0.31,17,,N,,,"40,20",40.28;20;40;,SUBCELLULAR LOCALISATION; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; ,,,,,0,Unknown,P,low,,539,no,2.515873844
NAGB_ECOLI,P09375,Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (Glucosamine-6-phosphate isomerase) (GNPDA,6,258,10,0.6,2.98E+00,5.46E+02,0.004784689,29775,6.9,-0.18,10,0.5,N,,,1,01;01.05;01.05.01;01.05.01.01;,METABOLISM; ,c.35,c.35.1;,Alpha and beta proteins (a/b),Phosphosugar isomerase,0,Cytoplasmic,,low,nagBACD,540,no,2.737192643
YEGQ_ECOLI,P76403,Putative protease yegQ (EC 3.4.-.-),7,283,21,0.33,1.15E+00,3.15E+02,0.007518797,51194,6.14,-0.41,17,,N,,,6,06.07;06.13;06;06.07.11;,"PROTEIN FATE (folding, modification, destination); ",,,,,0,Unknown,,low,,541,no,2.498310554
RFAE_ECOLI,P76658,ADP-heptose synthase (EC 2.7.-.-),6,255,25,0.24,7.38E-01,2.43E+02,0.006379585,51052,5.17,0,15,,,,,"63,01",01;63.19;01.04;63;63.13;01.05.01.03.02;01.05;01.05.01;01.05.01.03;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; ,c.26,c.26.1;c.26.1;,Alpha and beta proteins (a/b),Adenine nucleotide alpha hydrolase-like,0,Cytoplasmic,C,low,,542,no,2.385606274
HDHA_ECOLI,P25529,7-alpha-hydroxysteroid dehydrogenase (EC 1.1.1.159) (7-alpha-HSDH),7,279,12,0.58,2.83E+00,5.30E+02,0.008202324,26780,5.13,0.14,10,0.34,N,,,"67,01,63",01.06.01.07;01.06;01.06.04;01;63;63.21.07;01.06.01.07.11;67.15;63.21;01.06.01;67;,TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ,c.2,c.2.1;,Alpha and beta proteins (a/b),NAD(P)-binding Rossmann-fold domains,0,Cytoplasmic,C,low,,543,no,2.72427587
ACO1_ECOLI,P25516,Aconitate hydratase 1 (EC 4.2.1.3) (Citrate hydro-lyase 1) (Aconitase 1),6,255,33,0.18,5.20E-01,1.98E+02,0.010366826,97517,5.73,-0.24,29,0.32,N,,,"01,63,02",63.99;01;63.17;02.10;63;02;63.17.09;01.05;01.05.01;01.05.01.01;01.05.01.03;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; ,"c.83,c.8",c.8.2;c.83.1;,Alpha and beta proteins (a/b),"The ""swivelling"" beta/beta/alpha domain,Aconitase iron-sulfur domain",0,Cytoplasmic,,low,acnA,544,no,2.29666519
AMPP_ECOLI,P15034,Xaa-Pro aminopeptidase (EC 3.4.11.9) (X-Pro aminopeptidase) (Aminopeptidase P II) (APP-II),7,273,17,0.41,1.58E+00,3.78E+02,0.004784689,49685,5.18,-0.31,13,0.42,N,,,"63,40,06",63.17;63.02;06.10;63;40.03;63.01;63.17.09;40;06;,"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ","d.127,c.55",d.127.1;c.55.2;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Ribonuclease H-like motif,Creatinase/aminopeptidase",0,Cytoplasmic,,low,,545,no,2.5774918
F16P_ECOLI,P09200,"Fructose-1,6-bisphosphatase (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)",7,270,14,0.5,2.16E+00,4.53E+02,0.008202324,36835,5.89,-0.22,7,0.47,N,,,"01,02",01;02.01;02;01.05;01.05.01;,METABOLISM; ENERGY; ,e.7,e.7.1;,Multi-domain proteins (alpha and beta),Sugar phosphatases,0,Cytoplasmic,C,low,,546,no,2.656098202
NADB_ECOLI,P10902,L-aspartate oxidase (EC 1.4.3.16) (LASPO) (Quinolinate synthetase B),7,270,26,0.27,8.59E-01,2.65E+02,0.006151743,60339,6.32,-0.23,15,,,,,"01,63,40",01.01;01;01.01.10.03.01;63;01.01.10;40.03;01.07;01.01.10.03;01.07.01;40;63.21;63.21.05;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ,"a.7,c.3,d.168",a.7.3;c.3.1;d.168.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b),All alpha proteins","Spectrin repeat-like,FAD/NAD(P)-binding domain,Succinate dehydrogenase/fumarate reductase catalytic domain",0,Unknown (This protein may have multiple localization sites.),,low,nadB,547,no,2.423245874
NANA_ECOLI,P06995,N-acetylneuraminate lyase (EC 4.1.3.3) (N-acetylneuraminic acid aldolase) (N-acetylneurami,7,270,11,0.64,3.33E+00,5.82E+02,0.009569378,32463,5.75,-0.04,7,,,,,"01,40",01;40.03;01.05.01.01.04;01.05;40;01.05.01;01.05.01.01;,METABOLISM; SUBCELLULAR LOCALISATION; ,c.1,c.1.10;,Alpha and beta proteins (a/b),TIM beta/alpha-barrel,0,Unknown,,low,nanA,548,no,2.764922985
KHSE_ECOLI,P00547,Homoserine kinase (EC 2.7.1.39) (HK),7,267,9,0.78,4.99E+00,7.37E+02,0.007518797,33625,5.48,0.02,6,,,,,"63,01,40",01.01.01;01.01;01;63.19;63;01.01.01.07.03;40.03;01.01.01.07;40;63.19.03;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ,"d.14,d.58",d.14.1;d.58.26;,Alpha and beta proteins (a+b),"Ribosomal protein S5 domain 2-like,Ferredoxin-like",0,Cytoplasmic,C,low,thrLABC,549,no,2.867467488
IBPB_ECOLI,P29210,16 kDa heat shock protein B,7,266,8,0.88,6.50E+00,8.59E+02,0.036226931,16094,5.07,-0.5,7,,N,,,"11,63,06",11.01.01;11.01;06.10;63;63.01;11;06;06.01;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding, modification, destination); ",,,,,0,Unknown,,low,ibpAB,550,no,2.933993164
DP3B_ECOLI,P00583,"DNA polymerase III, beta chain (EC 2.7.7.7)",6,245,12,0.5,2.16E+00,4.53E+02,0.007974482,40588,5.15,-0.13,16,,,,,"03,40",03;03.01.03;40.37;40;03.01;,CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; ,d.131,d.131.1;,Alpha and beta proteins (a+b),DNA clamp,0,Cytoplasmic,,low,dnaAN-recF,551,no,2.656098202
CYSB_ECOLI,P06613,HTH-type transcriptional regulator cysB (Cys regulon transcriptional activator),6,244,16,0.38,1.37E+00,3.48E+02,0.005582137,36152,7.46,-0.08,9,0.27,N,,,"01,63,40,06,04",01.01.01;01;63;01.01.01.11;04.05;40.03;04.05.01.04.01;04.05.01.04;01.02.04;01.02;06;01.01;06.10;01.02.04.03;04;04.05.01.04.03;04.05.01;63.01;01.01.01.11.03;40;,"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); TRANSCRIPTION; ",c.94,c.94.1;,Alpha and beta proteins (a/b),Periplasmic binding protein-like II,0,Cytoplasmic,,low,cysB,552,no,2.541579244
GSH1_ECOLI,P0A6W9,Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase) (Gamma-ECS) (G,5,209,19,0.26,8.33E-01,2.60E+02,0.006698565,58256,5.15,-0.31,15,,,,,"63,01",01.01;01;63.19;63;01.01.99;01.20.21;63.19.03;01.20;01.20.29;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; ,,,,,0,Cytoplasmic,,low,,553,no,2.414973348
YLIG_ECOLI,P75802,Hypothetical UPF0004 protein yliG,6,237,18,0.33,1.15E+00,3.15E+02,0.009569378,49583,5.26,-0.28,14,,E,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Cytoplasmic,,low,,554,no,2.498310554
TREC_ECOLI,P28904,"Trehalose-6-phosphate hydrolase (EC 3.2.1.93) (Alpha,alpha-phosphotrehalase)",6,235,20,0.3,9.95E-01,2.89E+02,0.013556619,63839,5.71,-0.56,22,0.32,N,,,"11,01",11.01;01;01.05;11;01.05.01;01.05.01.01;11.01.03;01.05.01.01.01;,"CELL RESCUE, DEFENSE AND VIRULENCE; METABOLISM; ","c.1,b.71",b.71.1;c.1.8;,"Alpha and beta proteins (a/b),All beta proteins","TIM beta/alpha-barrel,alpha-Amylases, C-terminal beta-sheet domain",0,Cytoplasmic,,low,treBC,555,no,2.460897843
CSRA_ECOLI,P31803,Carbon storage regulator,7,245,2,3.5,3.16E+03,3.12E+04,0.012987013,6857,9.32,-0.26,3,0.42,X,,,"01,63,30,02,14",01;63;30;02;63.03;14.01.05;01.05;01.05.01;14;01.05.04;14.01;30.34;63.03.03;02.19;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CONTROL OF CELLULAR ORGANIZATION; ENERGY; CELL FATE; ,,,,,0,Unknown,,high,,556,no,4.494154594
HFLC_ECOLI,P25661,HflC protein (EC 3.4.-.-),7,245,14,0.5,2.16E+00,4.53E+02,0.00683527,37651,6.63,-0.36,12,0.52,N,,1.32,"99,40",40.28;99;40;40.30;,UNCLASSIFIED PROTEINS; SUBCELLULAR LOCALISATION; ,,,,,1,Unknown,IM,low,yjeFE-amiB-mutL-miaA-hfq-hflXKC,557,no,2.656098202
GCH1_ECOLI,P27511,GTP cyclohydrolase I (EC 3.5.4.16) (GTP-CH-I),7,236,9,0.78,4.99E+00,7.37E+02,0.00683527,24701,7.35,-0.13,8,,,,,1,01.03.01.01;01;01.03;01.03.01;01.07;01.07.01;,METABOLISM; ,d.96,d.96.1;,Alpha and beta proteins (a+b),T-fold,0,Unknown,,low,,558,no,2.867467488
LEUD_ECOLI,P30126,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Isopropylmalate isomerase) (Alp,7,234,10,0.7,4.01E+00,6.49E+02,0.004784689,22357,5.1,-0.19,6,,,,,"01,06",01.01.01;01.01;01;06.10;06;01.01.01.15.03;01.01.01.15;,"METABOLISM; PROTEIN FATE (folding, modification, destination); ",c.8,c.8.2;,Alpha and beta proteins (a/b),"The ""swivelling"" beta/beta/alpha domain",0,Unknown,C,low,leuLABCD,559,no,2.812244697
TYSY_ECOLI,P00470,Thymidylate synthase (EC 2.1.1.45) (TS) (TSase),6,213,12,0.5,2.16E+00,4.53E+02,0.011164274,30481,5.95,-0.38,10,,,,,"01,63,03,40,06",01;01.03;63;01.04;01.03.07.03;40.03;63.03;03.01.03;06;03.01;03;06.10;01.03.07;63.03.03;63.01;01.07;40;01.03.04;,"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ",d.117,d.117.1;,Alpha and beta proteins (a+b),Thymidylate synthase/dCMP hydroxymethylase,0,Cytoplasmic,,low,lgt-thyA,560,no,2.656098202
YBIB_ECOLI,P30177,Hypothetical protein ybiB,7,232,17,0.41,1.58E+00,3.78E+02,0.004784689,35050,6.84,-0.17,13,0.34,N,,,1,01.01.01;01.01;01;01.01.01.11;01.01.01.11.13;,METABOLISM; ,,,,,0,Cytoplasmic,,low,,561,no,2.5774918
MURC_ECOLI,P17952,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthe,5,179,19,0.26,8.33E-01,2.60E+02,0.00861244,53627,5.73,-0.16,14,,,,,"63,01,40,30",01;63.19;30.01;63;30;40.03;40;63.19.03;01.20;01.20.36;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; ,c.72,c.72.2;,Alpha and beta proteins (a/b),Ribokinase-like,0,Cytoplasmic,,low,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ,562,no,2.414973348
DP3A_ECOLI,P10443,DNA polymerase III alpha subunit (EC 2.7.7.7),6,189,58,0.1,2.69E-01,1.35E+02,0.004784689,129906,5.04,-0.24,32,0.38,E,,,"63,03,40,06",03;63.19;06.10;63;40.03;03.01.03;40;03.01;06;,"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ",,,,,0,Cytoplasmic,,low,,563,no,2.130333768
YIAD_ECOLI,P37665,Hypothetical lipoprotein yiaD precursor,6,369,7,0.86,6.20E+00,8.35E+02,0.00877193,22198,10.63,-0.07,8,0.5,N,,,"67,40",67.01;40.27.03;40;40.30;40.27;67.01.07;67;,TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; ,,,,,3,OuterMembrane,,low,,564,no,2.921686475
YAJG_ECOLI,P36671,Hypothetical lipoprotein yajG precursor,6,365,4,1.5,3.06E+01,2.11E+03,0.018341308,20951,9.17,-0.09,7,0.45,N,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Unknown,,high,,565,no,3.324282455
YEEN_ECOLI,P76351,Hypothetical UPF0082 protein yeeN,6,344,8,0.75,4.62E+00,7.04E+02,0.010366826,25868,4.54,-0.26,6,,,,,99,99;,UNCLASSIFIED PROTEINS; ,e.39,e.39.1;,Multi-domain proteins (alpha and beta),YebC-like,0,Cytoplasmic,,low,,566,no,2.847572659
YCFF_ECOLI,P36950,HIT-like protein ycfF,6,333,4,1.5,3.06E+01,2.11E+03,0.015948963,13242,6.15,-0.06,3,0.36,N,,,"63,62",62.02.01.02;63.17;62.02.01.02.05;63;63.17.09;62.02;62;62.02.01;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN ACTIVITY REGULATION; ,d.13,d.13.1;,Alpha and beta proteins (a+b),HIT-like,0,Cytoplasmic,,high,,567,no,3.324282455
PUR6_ECOLI,P09028,Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21) (AIR carboxylase),5,306,3,1.67,4.54E+01,2.66E+03,0.020095694,17650,6.52,0.08,2,0.44,N,,,1,01;01.03;01.03.01.03;01.03.01;01.05;01.05.01.05;01.05.01;,METABOLISM; ,c.23,c.23.8;,Alpha and beta proteins (a/b),Flavodoxin-like,0,Unknown,C,high,purEK,568,no,3.424881637
ATPE_ECOLI,P00832,ATP synthase epsilon chain (EC 3.6.3.14) (ATP synthase F1 sector epsilon subunit),6,325,3,2,9.90E+01,4.18E+03,0.007177033,14938,5.6,-0.11,7,,,,,"67,40,13,02",13.01;13.01.01;67.04;02;02.45;67.15;40.30;02.11;13.01.01.03;67.50;67.04.01;67.50.22;13;67.04.01.02;02.45.15;40;02.13;67;,TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; ,"a.2,b.93",b.93.1;a.2.10;,"All beta proteins,All alpha proteins","Long alpha-hairpin,Epsilon subunit of F1F0-ATP synthase N-terminal domain",0,Cytoplasmic,IM,high,atpIBEFHAGDC,569,no,3.621176282
K6P2_ECOLI,P06999,6-phosphofructokinase isozyme 2 (EC 2.7.1.11) (Phosphofructokinase-2),6,325,16,0.38,1.37E+00,3.48E+02,0.007177033,32457,5.15,0.01,11,0.31,N,,,"01,40,02",01.05.01.03.01;01;02.01;40.03;02;01.05;01.20.01.01;40;01.05.01;01.20.01;01.20;01.05.01.03;,METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,,,,,0,Cytoplasmic,,low,,570,no,2.541579244
KITH_ECOLI,P23331,Thymidine kinase (EC 2.7.1.21),6,324,9,0.67,3.64E+00,6.13E+02,0.006379585,23458,6.35,-0.32,4,,,,,"63,01",01;01.03;63.19;01.04;63;63.19.99;01.03.04.03;63.19.03;01.03.04;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; ,,,,,0,Unknown,,low,,571,no,2.787460475
DDLB_ECOLI,P07862,D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-alanylalanine synthetase B) (D-Ala-D-Ala lig,6,320,14,0.43,1.68E+00,3.92E+02,0.006379585,32710,4.58,0.07,12,,,,,"63,01,40,30",01;63.19;30.01;63;30;40.03;40;63.19.03;01.20;01.20.36;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; ,"d.142,c.30",c.30.1;d.142.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","ATP-grasp,Biotin carboxylase N-terminal domain-like",0,Cytoplasmic,,low,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ,572,no,2.593286067
RBFA_ECOLI,P09170,Ribosome-binding factor A (P15B protein),6,309,8,0.75,4.62E+00,7.04E+02,0.050239234,15024,6.05,-0.42,3,,,,1.2,"11,63,40,05,04",11.01.06;63;04.01;40.03;63.03;05.01.99;05.01;11.01;04;05;63.03.03;63.01;11;40;04.01.04;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; TRANSCRIPTION; ",,,,,0,Cytoplasmic,,low,metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp,573,no,2.847572659
OPGD_ECOLI,P40120,Glucans biosynthesis protein D precursor,6,307,27,0.22,6.68E-01,2.29E+02,0.004784689,62759,6.26,-0.43,23,,,,,"01,40,20",01.05.01.03.01;01;40.28;20;01.05;40;01.05.01;20.05;01.05.01.03;,METABOLISM; SUBCELLULAR LOCALISATION; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; ,,,,,0,Periplasmic,,low,,574,no,2.359835482
FOLX_ECOLI,P80449,"D-erythro-7,8-dihydroneopterin triphosphate epimerase (EC 5.-.-.-) (Dihydroneopterin triph",6,306,8,0.75,4.62E+00,7.04E+02,0.027113238,13952,7.09,-0.45,4,,N,,,1,01;01.07;01.07.01;,METABOLISM; ,d.96,d.96.1;,Alpha and beta proteins (a+b),T-fold,0,Cytoplasmic,,low,,575,no,2.847572659
MIPA_ECOLI,P77486,MltA-interacting protein precursor,5,281,10,0.5,2.16E+00,4.53E+02,0.007655502,27832,5.66,-0.4,7,,N,,,"40,30,06,14",14.01;30.34;06.10;30.01;30;14.01.01;30.34.99;30.34.07;40;40.30;06;14;,"SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; PROTEIN FATE (folding, modification, destination); CELL FATE; ",,,,,0,OuterMembrane,OM,low,,576,no,2.656098202
YCED_ECOLI,P14189,Hypothetical protein yceD (G30K),6,296,6,1,9.00E+00,1.04E+03,0.013556619,19316,4.27,-0.19,7,0.36,N,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Cytoplasmic,C,low,g30K-rpmF,577,no,3.017033339
KSGA_ECOLI,P06992,"Dimethyladenosine transferase (EC 2.1.1.-) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) d",6,295,10,0.6,2.98E+00,5.46E+02,0.011961722,30421,8.16,-0.1,6,,,,,"01,04",01;01.03;04.01;01.03.01.03;04;01.03.01;04.01.04;,METABOLISM; TRANSCRIPTION; ,c.66,c.66.1;,Alpha and beta proteins (a/b),S-adenosyl-L-methionine-dependent methyltransferases,0,Unknown,,low,surA-pdxA-ksgA-apaGH,578,no,2.737192643
RBSK_ECOLI,P05054,Ribokinase (EC 2.7.1.15),6,295,13,0.46,1.89E+00,4.20E+02,0.007974482,32292,4.84,0.05,8,0.35,N,,,"63,01,40,02",01.01.01;01;63.19;01.03;02.07;63;01.04;63.13;01.01.01.11;40.03;02;01.05;63.19.03;01.01.01.11.13;01.01;01.01.01.11.15;63.01;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,c.72,c.72.1;,Alpha and beta proteins (a/b),Ribokinase-like,0,Cytoplasmic,C,low,rbsDACBK,579,no,2.62324929
YCBY_ECOLI,P75864,Hypothetical UPF0020/UPF0064 protein ycbY,6,291,34,0.18,5.01E-01,1.94E+02,0.006379585,78855,9.33,-0.36,26,,N,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Unknown,P,low,ycbY-uup,580,no,2.28780173
SPEE_ECOLI,P09158,Spermidine synthase (EC 2.5.1.16) (Putrescine aminopropyltransferase) (SPDSY),6,290,7,0.86,6.20E+00,8.35E+02,0.007177033,32191,5.49,-0.18,5,,,,,1,01;01.20.17;01.20.17.03;01.20;,METABOLISM; ,c.66,c.66.1;,Alpha and beta proteins (a/b),S-adenosyl-L-methionine-dependent methyltransferases,0,Unknown,C,low,speED,581,no,2.921686475
FLAV_ECOLI,P61949,Flavodoxin 1,6,284,7,0.86,6.20E+00,8.35E+02,0.009569378,19607,4.05,-0.3,6,,,,1.24,"11,67,63",11.01.01;11.01;63;11;67.15;63.21;63.21.05;67;,"CELL RESCUE, DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ",c.23,c.23.5;c.23.5;,Alpha and beta proteins (a/b),Flavodoxin-like,0,Cytoplasmic,C,low,fldA-fur,582,no,2.921686475
YAEH_ECOLI,P62768,Hypothetical UPF0325 protein yaeH,6,282,7,0.86,6.20E+00,8.35E+02,0.010366826,15097,7.31,-0.81,5,0.38,N,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Cytoplasmic,IM,low,,583,no,2.921686475
USHA_ECOLI,P07024,Protein ushA precursor [Includes: UDP-sugar hydrolase (EC 3.6.1.45) (UDP-sugar diphosphata,6,280,20,0.3,9.95E-01,2.89E+02,0.005582137,60825,5.49,-0.41,23,0.38,N,,,"01,40",01.03.01.01;01;01.03;40.28;01.03.01;40;,METABOLISM; SUBCELLULAR LOCALISATION; ,"d.159,d.114",d.159.1;d.114.1;,Alpha and beta proteins (a+b),"5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain,Metallo-dependent phosphatases",0,Periplasmic,P,low,,584,no,2.460897843
OSMC_ECOLI,P23929,Osmotically inducible protein C,6,276,6,1,9.00E+00,1.04E+03,0.004784689,14958,5.71,-0.14,6,0.33,N,,,11,11.01;11;11.01.03;,"CELL RESCUE, DEFENSE AND VIRULENCE; ",,,,,0,Unknown,C,low,osmC,585,no,3.017033339
YCAR_ECOLI,P75844,Protein ycaR,6,274,5,1.2,1.48E+01,1.39E+03,0.007177033,6856,4.75,-0.13,1,,?,,,99,99;,UNCLASSIFIED PROTEINS; ,,,,,0,Cytoplasmic,,low,,586,no,3.1430148
TDH_ECOLI,P07913,L-threonine 3-dehydrogenase (EC 1.1.1.103),6,269,11,0.55,2.51E+00,4.94E+02,0.009569378,37240,6.35,0.05,8,,,,,"01,63,40",01;63;63.17;63.21.07;01.01.10;40.03;01.01.10.03;63.17.09;01.01;63.17.07;40;63.21;01.01.10.03.03;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ,"b.35,c.2",b.35.1;c.2.1;,"Alpha and beta proteins (a/b),All beta proteins","NAD(P)-binding Rossmann-fold domains,GroES-like",0,Cytoplasmic,,low,kbl-tdh,587,no,2.693726949
