Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	Annotation	Function [CC]
P0A9X4	reviewed	Cell shape-determining protein MreB (Actin-like MreB protein) (Rod shape-determining protein MreB)	mreB envB rodY b3251 JW3220		MREB_ECOLI	GO:0005524; GO:0005737; GO:0005856; GO:0005886; GO:0008360; GO:0031226; GO:0042802; GO:0043093; GO:0051782; GO:0051983; GO:0099513	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]; polymeric cytoskeletal fiber [GO:0099513]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; FtsZ-dependent cytokinesis [GO:0043093]; negative regulation of cell division [GO:0051782]; regulation of cell shape [GO:0008360]; regulation of chromosome segregation [GO:0051983]	FtsZ-dependent cytokinesis [GO:0043093]; negative regulation of cell division [GO:0051782]; regulation of cell shape [GO:0008360]; regulation of chromosome segregation [GO:0051983]	36,952		KW-0067; KW-0133; KW-0547; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Forms membrane-associated dynamic filaments that are essential for cell shape determination (PubMed:15612918, PubMed:21903929). Acts by regulating cell wall synthesis and cell elongation, and thus cell shape (PubMed:21903929). A feedback loop between cell geometry and MreB localization maintains elongated cell shape by targeting cell wall growth to regions of negative cell wall curvature (PubMed:24550515). Filaments rotate around the cell circumference in concert with the cell wall synthesis enzymes. The process is driven by the cell wall synthesis machinery and does not depend on MreB polymerization (PubMed:21903929). Rotation may contribute to the robust maintenance of rod shape (PubMed:21903929). {ECO:0000269|PubMed:15612918, ECO:0000269|PubMed:21903929, ECO:0000269|PubMed:24550515}.
P16926	reviewed	Cell shape-determining protein MreC (Cell shape protein MreC) (Rod shape-determining protein MreC)	mreC b3250 JW3219		MREC_ECOLI	GO:0005886; GO:0005887; GO:0008360; GO:0043621; GO:0071963	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; protein self-association [GO:0043621]; establishment or maintenance of cell polarity regulating cell shape [GO:0071963]; regulation of cell shape [GO:0008360]	establishment or maintenance of cell polarity regulating cell shape [GO:0071963]; regulation of cell shape [GO:0008360]	39,530		KW-0133; KW-0175; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Involved in formation and maintenance of cell shape. Responsible for formation of rod shape. May also contribute to regulation of formation of penicillin-binding proteins. {ECO:0000269|PubMed:15612918, ECO:0000269|PubMed:2687239}.
P0ABH4	reviewed	Rod shape-determining protein MreD	mreD b3249 JW3218		MRED_ECOLI	GO:0005886; GO:0005887; GO:0008360	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; regulation of cell shape [GO:0008360]	regulation of cell shape [GO:0008360]	18,788		KW-0133; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	3 out of 5	FUNCTION: Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins.
P0AF08	reviewed	Iron-sulfur cluster carrier protein	mrp b2113 JW2100		APBC_ECOLI	GO:0005524; GO:0005829; GO:0016226; GO:0016887; GO:0046872; GO:0051539	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; iron-sulfur cluster assembly [GO:0016226]	iron-sulfur cluster assembly [GO:0016226]	39,938		KW-0067; KW-0378; KW-0408; KW-0411; KW-0479; KW-0547; KW-1185	3 out of 5	FUNCTION: Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP. {ECO:0000255|HAMAP-Rule:MF_02040}.
P24202	reviewed	Mrr restriction system protein (EcoKMrr)	mrr b4351 JW4314		MRR_ECOLI	GO:0003677; GO:0009307; GO:0015666; GO:0032067; GO:0043590; GO:0051599	bacterial nucleoid [GO:0043590]; DNA binding [GO:0003677]; restriction endodeoxyribonuclease activity [GO:0015666]; type IV site-specific deoxyribonuclease activity [GO:0032067]; DNA restriction-modification system [GO:0009307]; response to hydrostatic pressure [GO:0051599]	DNA restriction-modification system [GO:0009307]; response to hydrostatic pressure [GO:0051599]	33,520		KW-0680; KW-0903; KW-1185	3 out of 5	FUNCTION: Involved in the acceptance of foreign DNA which is modified. Restricts both adenine- and cytosine-methylated DNA.
P60752	reviewed	Lipid A export ATP-binding/permease protein MsbA (EC 7.5.2.6)	msbA b0914 JW0897		MSBA_ECOLI	GO:0005524; GO:0005886; GO:0005887; GO:0008144; GO:0008289; GO:0008559; GO:0015437; GO:0015920; GO:0016020; GO:0016021; GO:0016887; GO:0034040; GO:0034204; GO:0042626; GO:0042802; GO:0042910; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; drug binding [GO:0008144]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipopolysaccharide floppase activity [GO:0015437]; xenobiotic transmembrane transporter activity [GO:0042910]; lipid translocation [GO:0034204]; lipopolysaccharide transport [GO:0015920]	lipid translocation [GO:0034204]; lipopolysaccharide transport [GO:0015920]	64,461		KW-0002; KW-0067; KW-0445; KW-0472; KW-0547; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185; KW-1278	5 out of 5	FUNCTION: Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation. {ECO:0000269|PubMed:12119303, ECO:0000269|PubMed:8809774, ECO:0000269|PubMed:9575204}.
P0A742	reviewed	Large-conductance mechanosensitive channel	mscL yhdC b3291 JW3252		MSCL_ECOLI	GO:0005623; GO:0005886; GO:0005887; GO:0006811; GO:0008381; GO:0009992; GO:0016020; GO:0016021; GO:0034220; GO:0042802	cell [GO:0005623]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; mechanosensitive ion channel activity [GO:0008381]; cellular water homeostasis [GO:0009992]; ion transmembrane transport [GO:0034220]; ion transport [GO:0006811]	cellular water homeostasis [GO:0009992]; ion transmembrane transport [GO:0034220]; ion transport [GO:0006811]	14,957		KW-0002; KW-0406; KW-0407; KW-0472; KW-0812; KW-0813; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Mechanosensitive channel that opens in response to stretch forces in the membrane lipid bilayer. Forms a nonselective ion channel with a conductance of about 4 nanosiemens. Participates in the regulation of osmotic pressure changes within the cell. Opens at a pressure just below that which would cause cell disruption and death. The force required to trigger channel opening depends on the membrane lipids composition. {ECO:0000269|PubMed:10202137, ECO:0000269|PubMed:23416054, ECO:0000269|PubMed:23875651, ECO:0000269|PubMed:7511799, ECO:0000269|PubMed:9632260}.
P0A744	reviewed	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA pms b4219 JW4178		MSRA_ECOLI	GO:0005737; GO:0005829; GO:0006464; GO:0006979; GO:0008113; GO:0016671; GO:0030091; GO:0034599; GO:0036456	cytoplasm [GO:0005737]; cytosol [GO:0005829]; L-methionine-(S)-S-oxide reductase activity [GO:0036456]; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; cellular protein modification process [GO:0006464]; cellular response to oxidative stress [GO:0034599]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	cellular protein modification process [GO:0006464]; cellular response to oxidative stress [GO:0034599]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	23,315		KW-0002; KW-0560; KW-0676; KW-0903; KW-1015; KW-1185	5 out of 5	FUNCTION: Could have an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine.
P25738	reviewed	Acidic protein MsyB	msyB b1051 JW1039		MSYB_ECOLI	GO:0005829	cytosol [GO:0005829]		14,259		KW-1185	2 out of 5	FUNCTION: Could participate in the normal pathway of protein export.
P46022	reviewed	Biosynthetic peptidoglycan transglycosylase (EC 2.4.1.129) (Glycan polymerase) (Monofunctional biosynthetic peptidoglycan transglycosylase) (Monofunctional glycosyltransferase) (Monofunctional GTase) (Peptidoglycan glycosyltransferase MtgA) (PGT)	mtgA mgt yrbM b3208 JW3175		MTGA_ECOLI	GO:0005886; GO:0008360; GO:0008955; GO:0009252; GO:0009274; GO:0016021; GO:0016763; GO:0043164; GO:0071555	integral component of membrane [GO:0016021]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; peptidoglycan glycosyltransferase activity [GO:0008955]; transferase activity, transferring pentosyl groups [GO:0016763]; cell wall organization [GO:0071555]; Gram-negative-bacterium-type cell wall biogenesis [GO:0043164]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell wall organization [GO:0071555]; Gram-negative-bacterium-type cell wall biogenesis [GO:0043164]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	27,342		KW-0133; KW-0328; KW-0472; KW-0573; KW-0808; KW-0812; KW-0961; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Peptidoglycan polymerase that catalyzes glycan chain elongation from lipid-linked precursors (PubMed:6368264, PubMed:8772200, PubMed:18165305). May play a role in peptidoglycan assembly during cell division in collaboration with other cell division proteins (PubMed:18165305). {ECO:0000269|PubMed:18165305, ECO:0000269|PubMed:6368264, ECO:0000269|PubMed:8772200}.
P00550	reviewed	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	mtlA b3599 JW3573		PTM3C_ECOLI	GO:0005886; GO:0005887; GO:0009401; GO:0015797; GO:0016301; GO:0022872; GO:0090565	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]; protein-phosphocysteine-mannitol phosphotransferase system transporter activity [GO:0090565]; mannitol transport [GO:0015797]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	mannitol transport [GO:0015797]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	67,972		KW-0002; KW-0418; KW-0472; KW-0597; KW-0598; KW-0762; KW-0808; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in D-mannitol transport (PubMed:368051, PubMed:6427236, PubMed:2123863). Also able to use D-mannonic acid (PubMed:6427236). {ECO:0000269|PubMed:2123863, ECO:0000269|PubMed:368051, ECO:0000269|PubMed:6427236}.
P09424	reviewed	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD b3600 JW3574		MTLD_ECOLI	GO:0005829; GO:0008926; GO:0019592; GO:0050662	cytosol [GO:0005829]; coenzyme binding [GO:0050662]; mannitol-1-phosphate 5-dehydrogenase activity [GO:0008926]; mannitol catabolic process [GO:0019592]	mannitol catabolic process [GO:0019592]	41,139		KW-0007; KW-0520; KW-0560; KW-0903; KW-1185	4 out of 5	
P0AF10	reviewed	Mannitol operon repressor (Mannitol repressor protein)	mtlR b3601 JW3575		MTLR_ECOLI	GO:0045892	negative regulation of transcription, DNA-templated [GO:0045892]	negative regulation of transcription, DNA-templated [GO:0045892]	21,990		KW-0678; KW-0804; KW-0805; KW-1185	3 out of 5	FUNCTION: Involved in the repression of the expression of the mannitol mtlADR operon (PubMed:8300537). Does not bind the operator/promoter regulatory region of this operon (PubMed:19840941). Therefore, seems to belong to a new class of transcription factors in bacteria that may regulate gene expression indirectly, perhaps as a part of a larger transcriptional complex. {ECO:0000269|PubMed:19840941, ECO:0000269|PubMed:8300537}.
P0AAD2	reviewed	Tryptophan-specific transport protein (Tryptophan permease)	mtr b3161 JW3130		MTR_ECOLI	GO:0003333; GO:0005300; GO:0005886; GO:0005887; GO:0015293; GO:0022804	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; active transmembrane transporter activity [GO:0022804]; high-affinity tryptophan transmembrane transporter activity [GO:0005300]; symporter activity [GO:0015293]; amino acid transmembrane transport [GO:0003333]	amino acid transmembrane transport [GO:0003333]	44,333		KW-0029; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	4 out of 5	FUNCTION: Involved in transporting tryptophan across the cytoplasmic membrane.
P22523	reviewed	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)	mukB b0924 JW0907		MUKB_ECOLI	GO:0000796; GO:0003677; GO:0005524; GO:0005525; GO:0005829; GO:0006260; GO:0007059; GO:0007062; GO:0009295; GO:0030261; GO:0042802; GO:0051301	condensin complex [GO:0000796]; cytosol [GO:0005829]; nucleoid [GO:0009295]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]	cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]	170,230		KW-0002; KW-0067; KW-0131; KW-0132; KW-0159; KW-0175; KW-0226; KW-0238; KW-0547; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Plays a central role in chromosome condensation, segregation and cell cycle progression. Functions as a homodimer, which is essential for chromosome partition. Involved in negative DNA supercoiling in vivo, and by this means organizes and compacts chromosomes. May achieve or facilitate chromosome segregation by condensation of DNA from both sides of a centrally located replisome during cell division. Stimulates both DNA relaxation and to a lesser extent decatenation activity of topoisomerase IV. {ECO:0000269|PubMed:10660686}.
P22524	reviewed	Chromosome partition protein MukE (Protein KicA)	mukE kicA ycbA b0923 JW0906		MUKE_ECOLI	GO:0005737; GO:0006260; GO:0007049; GO:0007059; GO:0009295; GO:0030261; GO:0051301	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	26,974		KW-0002; KW-0131; KW-0132; KW-0159; KW-0226; KW-0903; KW-0963; KW-1185	4 out of 5	FUNCTION: Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Probably acts via its interaction with MukB and MukF. {ECO:0000269|PubMed:8602138}.
P60293	reviewed	Chromosome partition protein MukF (Protein KicB)	mukF kicB b0922 JW0905		MUKF_ECOLI	GO:0005509; GO:0005737; GO:0006260; GO:0007049; GO:0007059; GO:0009295; GO:0030261; GO:0051301	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; calcium ion binding [GO:0005509]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	50,579		KW-0002; KW-0106; KW-0131; KW-0132; KW-0159; KW-0226; KW-0903; KW-0963; KW-1185	4 out of 5	FUNCTION: Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Not required for mini-F plasmid partitioning. Probably acts via its interaction with MukB and MukE. Overexpression results in anucleate cells. It has a calcium binding activity. {ECO:0000269|PubMed:8602138}.
P0A749	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ b3189 JW3156		MURA_ECOLI	GO:0005829; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555	cytosol [GO:0005829]; UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	44,818		KW-0002; KW-0131; KW-0132; KW-0133; KW-0573; KW-0670; KW-0808; KW-0903; KW-0961; KW-0963; KW-1185	5 out of 5	FUNCTION: Cell wall formation (PubMed:1512209). Adds enolpyruvyl to UDP-N-acetylglucosamine (PubMed:1512209, PubMed:20392080). Target for the antibiotic fosfomycin. {ECO:0000269|PubMed:1512209, ECO:0000269|PubMed:20392080}.
P08373	reviewed	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB yijB b3972 JW3940	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; 	MURB_ECOLI	GO:0005737; GO:0005829; GO:0007049; GO:0008360; GO:0008762; GO:0009252; GO:0050660; GO:0051301; GO:0071555; GO:0071949	cytoplasm [GO:0005737]; cytosol [GO:0005829]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; UDP-N-acetylmuramate dehydrogenase activity [GO:0008762]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	37,851		KW-0002; KW-0131; KW-0132; KW-0133; KW-0274; KW-0285; KW-0521; KW-0560; KW-0573; KW-0961; KW-0963; KW-1185	5 out of 5	FUNCTION: Cell wall formation.
P17952	reviewed	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC b0091 JW0089		MURC_ECOLI	GO:0000287; GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	53,626		KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185	5 out of 5	FUNCTION: Cell wall formation. {ECO:0000269|PubMed:7601127}.
P14900	reviewed	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD b0088 JW0086		MURD_ECOLI	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0042802; GO:0051301; GO:0071555	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	46,974		KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185	5 out of 5	FUNCTION: Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA).
P22188	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE b0085 JW0083	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00208}; 	MURE_ECOLI	GO:0000287; GO:0005524; GO:0005829; GO:0007049; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555	cytosol [GO:0005829]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	53,344		KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0460; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185	5 out of 5	FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. Is also able to use many meso-diaminopimelate analogs as substrates, although much less efficiently, but not L-lysine. {ECO:0000269|PubMed:11124264, ECO:0000269|PubMed:2269304, ECO:0000269|PubMed:3905407}.
P11880	reviewed	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF mra b0086 JW0084		MURF_ECOLI	GO:0005524; GO:0005829; GO:0007049; GO:0008360; GO:0008766; GO:0009252; GO:0047480; GO:0051301; GO:0071555	cytosol [GO:0005829]; ATP binding [GO:0005524]; UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity [GO:0047480]; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity [GO:0008766]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	47,447		KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185	5 out of 5	FUNCTION: Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein. {ECO:0000255|HAMAP-Rule:MF_02019, ECO:0000269|PubMed:2186811}.
P17443	reviewed	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG b0090 JW0088		MURG_ECOLI	GO:0005886; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555	plasma membrane [GO:0005886]; UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]; carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	37,815		KW-0002; KW-0131; KW-0132; KW-0133; KW-0328; KW-0472; KW-0573; KW-0808; KW-0903; KW-0961; KW-0997; KW-1003; KW-1185	4 out of 5	FUNCTION: Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc-(pentapeptide)GlcNAc (lipid intermediate II).
P22634	reviewed	Glutamate racemase (EC 5.1.1.3)	murI dga glr yijA b3967 JW5550		MURI_ECOLI	GO:0008360; GO:0008881; GO:0009252; GO:0071555	glutamate racemase activity [GO:0008881]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	31,002		KW-0002; KW-0133; KW-0413; KW-0573; KW-0961; KW-1185	5 out of 5	FUNCTION: Provides the (R)-glutamate required for cell wall biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00258, ECO:0000269|PubMed:1355768, ECO:0000269|PubMed:8098327, ECO:0000305|PubMed:17568739}.
